time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,7.6,7.4,7.69,7.39,233604.0,星期五,-0.0052,-0.0263
2026-06-25,7.97,7.64,8.0,7.58,292518.0,星期四,0.0013,-0.0414
2026-06-24,8.01,7.96,8.02,7.77,218730.0,星期三,-0.005,-0.0062
2026-06-23,8.31,8.05,8.32,7.98,229429.0,星期二,-0.0072,-0.0313
2026-06-22,8.15,8.37,8.38,7.95,311704.0,星期一,0.0,0.027
2026-06-18,8.25,8.15,8.31,8.13,196020.0,星期四,-0.0084,-0.0121
2026-06-17,8.58,8.32,8.59,8.24,254593.0,星期三,0.0035,-0.0303
2026-06-16,8.25,8.55,8.63,8.12,338495.0,星期二,-0.006,0.0364
2026-06-15,8.25,8.3,8.36,8.14,269391.0,星期一,0.0261,0.0061
2026-06-12,8.0,8.04,8.17,7.92,251681.0,星期五,0.0139,0.005
2026-06-11,8.02,7.89,8.09,7.8,229238.0,星期四,-0.0111,-0.0162
2026-06-10,8.26,8.11,8.34,8.03,218349.0,星期三,-0.0096,-0.0182
2026-06-09,8.39,8.34,8.43,8.22,178477.0,星期二,0.017,-0.006
2026-06-08,8.51,8.25,8.65,8.13,289661.0,星期一,-0.0296,-0.0306
2026-06-05,8.78,8.77,8.93,8.54,276286.0,星期五,-0.0079,-0.0011
2026-06-04,8.97,8.85,9.07,8.76,272593.0,星期四,-0.0099,-0.0134
2026-06-03,9.1,9.06,9.18,9.0,228726.0,星期三,-0.0011,-0.0044
2026-06-02,9.42,9.11,9.45,8.96,317280.0,星期二,-0.0063,-0.0329
2026-06-01,9.33,9.48,9.58,9.3,236060.0,星期一,0.0011,0.0161
2026-05-29,9.91,9.32,9.97,9.3,406610.0,星期五,-0.001,-0.0595
2026-05-28,9.73,9.92,9.95,9.65,329484.0,星期四,0.0,0.0195
2026-05-27,9.9,9.73,10.05,9.69,356709.0,星期三,-0.009,-0.0172
2026-05-26,10.26,9.99,10.27,9.84,455418.0,星期二,-0.0154,-0.0263
2026-05-25,10.71,10.42,11.02,10.32,472527.0,星期一,0.0047,-0.0271
2026-05-22,10.64,10.66,10.83,10.54,406367.0,星期五,0.0057,0.0019
2026-05-21,11.19,10.58,11.31,10.5,792028.0,星期四,-0.0089,-0.0545
2026-05-20,11.7,11.29,11.7,11.28,721645.0,星期三,-0.0152,-0.035
2026-05-19,11.55,11.88,12.01,11.4,1057424.0,星期二,-0.0153,0.0286
2026-05-18,11.41,11.73,11.78,11.28,976770.0,星期一,0.0062,0.028
2026-05-15,11.22,11.34,11.54,11.01,690339.0,星期五,0.0081,0.0107
2026-05-14,11.53,11.13,11.65,11.13,699897.0,星期四,0.0,-0.0347
2026-05-13,11.21,11.53,11.59,11.21,907581.0,星期三,0.0018,0.0285
2026-05-12,11.28,11.19,11.54,11.16,835278.0,星期二,-0.0097,-0.008
2026-05-11,11.12,11.39,11.86,11.07,1277992.0,星期一,0.0027,0.0243
2026-05-08,11.16,11.09,11.26,10.88,1148430.0,星期五,0.0045,-0.0063
2026-05-07,10.2,11.11,11.11,10.1,825670.0,星期四,0.0099,0.0892
2026-05-06,9.95,10.1,10.18,9.91,337352.0,星期三,0.0153,0.0151
2026-04-30,9.78,9.8,9.91,9.72,204779.0,星期四,0.001,0.002
2026-04-29,9.58,9.77,9.82,9.52,216684.0,星期三,0.0,0.0198
2026-04-28,9.8,9.58,9.85,9.54,234237.0,星期二,-0.0051,-0.0224
2026-04-27,9.8,9.85,9.89,9.68,199765.0,星期一,-0.0061,0.0051
2026-04-24,9.92,9.86,9.99,9.73,259156.0,星期五,-0.008,-0.006
2026-04-23,10.18,10.0,10.32,9.9,344503.0,星期四,-0.0049,-0.0177
2026-04-22,10.12,10.23,10.25,10.0,303341.0,星期三,-0.0059,0.0109
2026-04-21,10.36,10.18,10.4,10.01,344903.0,星期二,-0.0067,-0.0174
2026-04-20,10.39,10.43,10.44,10.33,314682.0,星期一,-0.001,0.0038
2026-04-17,10.45,10.4,10.59,10.26,314515.0,星期五,0.001,-0.0048
2026-04-16,10.34,10.44,10.46,10.17,338929.0,星期四,-0.001,0.0097
2026-04-15,10.36,10.35,10.53,10.27,411739.0,星期三,0.0078,-0.001
2026-04-14,10.25,10.28,10.44,10.13,320832.0,星期二,0.0079,0.0029
2026-04-13,9.9,10.17,10.18,9.85,330480.0,星期一,-0.007,0.0273
2026-04-10,10.07,9.97,10.15,9.97,310034.0,星期五,0.008,-0.0099
2026-04-09,10.13,9.99,10.13,9.86,344382.0,星期四,-0.0059,-0.0138
2026-04-08,9.95,10.19,10.19,9.92,449792.0,星期三,0.0226,0.0241
2026-04-07,9.46,9.73,9.85,9.39,436767.0,星期二,0.0,0.0285
2026-04-03,10.0,9.46,10.04,9.37,535827.0,星期五,0.0,-0.054
2026-04-02,10.62,10.0,10.7,9.96,690806.0,星期四,-0.0103,-0.0584
2026-04-01,10.64,10.73,10.96,10.55,523145.0,星期三,0.0192,0.0085
2026-03-31,10.89,10.44,11.16,10.44,643564.0,星期二,-0.0064,-0.0413
2026-03-30,11.38,10.96,11.43,10.48,1036966.0,星期一,-0.0223,-0.0369
2026-03-27,11.87,11.64,12.15,11.45,720814.0,星期五,-0.0008,-0.0194
2026-03-26,12.49,11.88,12.52,11.86,749881.0,星期四,0.0008,-0.0488
2026-03-25,12.29,12.48,12.62,12.29,1119515.0,星期三,0.0008,0.0155
2026-03-24,11.78,12.28,12.46,11.38,1227219.0,星期二,0.0182,0.0424
2026-03-23,11.31,11.57,12.26,11.31,847899.0,星期一,-0.044,0.023
2026-03-20,12.59,11.83,13.2,11.8,1144071.0,星期五,0.0072,-0.0604
2026-03-19,12.34,12.5,13.11,12.07,1219110.0,星期四,-0.0314,0.013
2026-03-18,12.04,12.74,12.8,11.96,1321743.0,星期三,-0.0017,0.0581
2026-03-17,11.81,12.06,12.29,11.61,936810.0,星期二,-0.0134,0.0212
