time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,4.47,4.39,4.52,4.39,67347.0,星期五,-0.0089,-0.0179
2026-06-25,4.57,4.51,4.58,4.45,75036.0,星期四,0.0,-0.0131
2026-06-24,4.69,4.57,4.69,4.52,58553.0,星期三,0.0043,-0.0256
2026-06-23,4.67,4.67,4.75,4.63,65072.0,星期二,-0.0021,0.0
2026-06-22,4.65,4.68,4.68,4.5,85907.0,星期一,0.0,0.0065
2026-06-18,4.72,4.65,4.73,4.63,64098.0,星期四,-0.0042,-0.0148
2026-06-17,4.78,4.74,4.82,4.71,64314.0,星期三,-0.0062,-0.0084
2026-06-16,4.8,4.81,4.83,4.74,59298.0,星期二,-0.0041,0.0021
2026-06-15,4.87,4.82,4.9,4.77,86745.0,星期一,0.0167,-0.0103
2026-06-12,4.82,4.79,4.89,4.79,73461.0,星期五,0.0042,-0.0062
2026-06-11,4.84,4.8,4.88,4.77,48764.0,星期四,-0.0021,-0.0083
2026-06-10,4.87,4.85,4.88,4.75,60023.0,星期三,-0.002,-0.0041
2026-06-09,4.92,4.88,4.93,4.83,55948.0,星期二,0.002,-0.0081
2026-06-08,5.0,4.91,5.03,4.83,86366.0,星期一,-0.002,-0.018
2026-06-05,4.96,5.01,5.07,4.95,71687.0,星期五,0.004,0.0101
2026-06-04,5.06,4.94,5.1,4.93,71045.0,星期四,0.002,-0.0237
2026-06-03,5.12,5.05,5.12,5.03,62126.0,星期三,0.0,-0.0137
2026-06-02,5.27,5.12,5.27,5.12,63736.0,星期二,0.0,-0.0285
2026-06-01,5.2,5.27,5.28,5.14,68521.0,星期一,0.0039,0.0135
2026-05-29,5.12,5.18,5.23,5.12,86534.0,星期五,0.002,0.0117
2026-05-28,5.12,5.11,5.18,5.07,52441.0,星期四,-0.0019,-0.002
2026-05-27,5.23,5.13,5.28,5.08,76401.0,星期三,-0.0038,-0.0191
2026-05-26,5.25,5.25,5.26,5.19,49396.0,星期二,-0.0038,0.0
2026-05-25,5.33,5.27,5.35,5.24,66965.0,星期一,0.0038,-0.0113
2026-05-22,5.39,5.31,5.42,5.27,90028.0,星期五,-0.0037,-0.0148
2026-05-21,5.51,5.41,5.58,5.39,125753.0,星期四,-0.0213,-0.0181
2026-05-20,5.51,5.63,5.81,5.4,138898.0,星期三,-0.0054,0.0218
2026-05-19,5.51,5.54,5.54,5.47,42055.0,星期二,0.0018,0.0054
2026-05-18,5.47,5.5,5.51,5.4,60668.0,星期一,-0.0018,0.0055
2026-05-15,5.53,5.48,5.55,5.45,79803.0,星期五,-0.0018,-0.009
2026-05-14,5.66,5.54,5.66,5.53,98664.0,星期四,-0.0018,-0.0212
2026-05-13,5.71,5.67,5.74,5.62,104355.0,星期三,0.0018,-0.007
2026-05-12,5.67,5.7,5.77,5.66,149384.0,星期二,-0.0018,0.0053
2026-05-11,5.61,5.68,5.71,5.56,172840.0,星期一,-0.0106,0.0125
2026-05-08,5.55,5.67,5.86,5.55,227185.0,星期五,-0.0018,0.0216
2026-05-07,5.57,5.56,5.65,5.55,86700.0,星期四,0.0018,-0.0018
2026-05-06,5.58,5.56,5.62,5.55,80978.0,星期三,0.0054,-0.0036
2026-04-30,5.64,5.55,5.64,5.55,71467.0,星期四,0.0036,-0.016
2026-04-29,5.53,5.62,5.64,5.52,76777.0,星期三,0.0,0.0163
2026-04-28,5.58,5.53,5.6,5.51,64074.0,星期二,-0.0036,-0.009
2026-04-27,5.6,5.6,5.67,5.52,86156.0,星期一,-0.0053,0.0
2026-04-24,5.57,5.63,5.63,5.53,71690.0,星期五,0.0,0.0108
2026-04-23,5.59,5.57,5.6,5.51,80672.0,星期四,-0.0018,-0.0036
2026-04-22,5.64,5.6,5.64,5.58,69007.0,星期三,0.0,-0.0071
2026-04-21,5.63,5.64,5.68,5.6,74395.0,星期二,0.0,0.0018
2026-04-20,5.6,5.63,5.68,5.54,95691.0,星期一,0.0018,0.0054
2026-04-17,5.64,5.59,5.64,5.54,96346.0,星期五,-0.0018,-0.0089
2026-04-16,5.6,5.65,5.65,5.58,64393.0,星期四,-0.0018,0.0089
2026-04-15,5.66,5.61,5.69,5.59,92244.0,星期三,0.0035,-0.0088
2026-04-14,5.69,5.64,5.72,5.55,142913.0,星期二,0.0035,-0.0088
2026-04-13,5.71,5.67,5.72,5.64,93779.0,星期一,-0.0035,-0.007
2026-04-10,5.77,5.73,5.82,5.73,84042.0,星期五,0.007,-0.0069
2026-04-09,5.9,5.73,5.92,5.72,123513.0,星期四,-0.0101,-0.0288
2026-04-08,5.81,5.96,5.96,5.8,126706.0,星期三,0.0193,0.0258
