time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.88,1.91,1.92,1.83,238662.0,星期五,-0.0105,0.016
2026-06-25,1.98,1.9,1.98,1.89,307189.0,星期四,-0.005,-0.0404
2026-06-24,2.09,1.99,2.1,1.99,315024.0,星期三,0.0,-0.0478
2026-06-23,2.05,2.09,2.11,2.04,186247.0,星期二,0.0,0.0195
2026-06-22,2.11,2.05,2.12,2.01,372736.0,星期一,-0.0047,-0.0284
2026-06-18,2.15,2.12,2.19,2.12,183383.0,星期四,-0.0092,-0.014
2026-06-17,2.19,2.17,2.22,2.15,159907.0,星期三,0.0,-0.0091
2026-06-16,2.13,2.19,2.21,2.12,250874.0,星期二,-0.0047,0.0282
2026-06-15,2.13,2.14,2.15,2.12,165401.0,星期一,0.0,0.0047
2026-06-12,2.11,2.13,2.16,2.11,207600.0,星期五,-0.0094,0.0095
2026-06-11,2.12,2.13,2.17,2.12,153904.0,星期四,-0.0047,0.0047
2026-06-10,2.16,2.13,2.19,2.07,248604.0,星期三,-0.0046,-0.0139
2026-06-09,2.2,2.17,2.21,2.15,206800.0,星期二,0.0,-0.0136
2026-06-08,2.2,2.2,2.27,2.17,219880.0,星期一,-0.0179,0.0
2026-06-05,2.26,2.24,2.31,2.21,299536.0,星期五,0.0,-0.0088
2026-06-04,2.38,2.26,2.38,2.26,403609.0,星期四,0.0,-0.0504
2026-06-03,2.43,2.38,2.45,2.36,286576.0,星期三,-0.0041,-0.0206
2026-06-02,2.39,2.44,2.44,2.38,292312.0,星期二,0.0042,0.0209
2026-06-01,2.37,2.38,2.39,2.34,195328.0,星期一,-0.0042,0.0042
2026-05-29,2.38,2.38,2.43,2.36,237930.0,星期五,0.0042,0.0
2026-05-28,2.35,2.37,2.39,2.34,169110.0,星期四,0.0,0.0085
2026-05-27,2.41,2.35,2.42,2.34,268555.0,星期三,0.0,-0.0249
2026-05-26,2.46,2.41,2.47,2.39,330936.0,星期二,-0.004,-0.0203
2026-05-25,2.37,2.47,2.49,2.37,417796.0,星期一,-0.0042,0.0422
2026-05-22,2.35,2.38,2.38,2.33,226470.0,星期五,0.0,0.0128
2026-05-21,2.4,2.35,2.44,2.35,330198.0,星期四,0.0042,-0.0208
2026-05-20,2.4,2.39,2.4,2.35,214372.0,星期三,0.0042,-0.0042
2026-05-19,2.37,2.39,2.42,2.36,212673.0,星期二,0.0,0.0084
2026-05-18,2.37,2.37,2.38,2.35,176529.0,星期一,-0.0042,0.0
2026-05-15,2.39,2.38,2.4,2.33,303728.0,星期五,0.0,-0.0042
2026-05-14,2.39,2.39,2.43,2.37,318941.0,星期四,0.0,0.0
2026-05-13,2.4,2.39,2.44,2.38,293412.0,星期三,0.0084,-0.0042
2026-05-12,2.4,2.38,2.43,2.37,302538.0,星期二,0.0127,-0.0083
2026-05-11,2.37,2.37,2.44,2.36,502436.0,星期一,0.0172,0.0
2026-05-08,2.28,2.33,2.34,2.27,309369.0,星期五,0.0044,0.0219
2026-05-07,2.21,2.27,2.29,2.2,255619.0,星期四,-0.0045,0.0271
2026-05-06,2.23,2.22,2.24,2.19,208039.0,星期三,0.0,-0.0045
2026-04-30,2.24,2.23,2.24,2.21,196978.0,星期四,0.0,-0.0045
2026-04-29,2.23,2.24,2.27,2.22,229488.0,星期三,0.0,0.0045
2026-04-28,2.33,2.23,2.35,2.21,512460.0,星期二,0.0087,-0.0429
2026-04-27,2.28,2.31,2.32,2.27,237063.0,星期一,0.0,0.0132
2026-04-24,2.23,2.28,2.3,2.21,190057.0,星期五,0.0,0.0224
2026-04-23,2.26,2.23,2.29,2.21,184180.0,星期四,0.0,-0.0133
2026-04-22,2.28,2.26,2.28,2.24,158211.0,星期三,0.0,-0.0088
2026-04-21,2.29,2.28,2.29,2.26,135502.0,星期二,0.0044,-0.0044
2026-04-20,2.33,2.28,2.34,2.25,278383.0,星期一,0.0,-0.0215
2026-04-17,2.36,2.33,2.38,2.3,331552.0,星期五,0.0,-0.0127
2026-04-16,2.28,2.36,2.39,2.28,546156.0,星期四,0.0,0.0351
2026-04-15,2.33,2.28,2.37,2.25,445334.0,星期三,0.0,-0.0215
2026-04-14,2.24,2.33,2.33,2.23,372780.0,星期二,0.009,0.0402
2026-04-13,2.19,2.22,2.25,2.18,158418.0,星期一,0.0,0.0137
2026-04-10,2.18,2.19,2.21,2.18,106219.0,星期五,0.0,0.0046
2026-04-09,2.19,2.18,2.19,2.16,105969.0,星期四,0.0,-0.0046
2026-04-08,2.17,2.19,2.2,2.16,129718.0,星期三,0.0093,0.0092
2026-04-07,2.15,2.15,2.17,2.14,97986.0,星期二,0.0,0.0
2026-04-03,2.16,2.15,2.17,2.12,140806.0,星期五,0.0,-0.0046
2026-04-02,2.2,2.16,2.22,2.14,202963.0,星期四,0.0,-0.0182
2026-04-01,2.22,2.2,2.25,2.18,242316.0,星期三,0.0,-0.009
2026-03-31,2.18,2.22,2.28,2.18,343099.0,星期二,0.0,0.0183
2026-03-30,2.17,2.18,2.25,2.16,321921.0,星期一,0.0046,0.0046
2026-03-27,2.08,2.16,2.16,2.07,304945.0,星期五,0.0097,0.0385
2026-03-26,2.08,2.06,2.1,2.06,118562.0,星期四,-0.0048,-0.0096
2026-03-25,2.03,2.09,2.09,2.03,148235.0,星期三,0.005,0.0296
2026-03-24,2.0,2.02,2.03,1.99,179422.0,星期二,0.0101,0.01
2026-03-23,2.05,1.98,2.05,1.98,305994.0,星期一,-0.0144,-0.0341
2026-03-20,2.12,2.08,2.14,2.08,206264.0,星期五,0.0,-0.0189
2026-03-19,2.14,2.12,2.15,2.11,203995.0,星期四,-0.0047,-0.0093
2026-03-18,2.19,2.15,2.19,2.13,245419.0,星期三,0.0,-0.0183
2026-03-17,2.17,2.19,2.26,2.16,371301.0,星期二,0.0046,0.0092
2026-03-16,2.15,2.16,2.16,2.14,151378.0,星期一,-0.0046,0.0047
2026-03-13,2.13,2.16,2.2,2.12,286194.0,星期五,0.0,0.0141
2026-03-12,2.14,2.13,2.15,2.12,152390.0,星期四,0.0,-0.0047
2026-03-11,2.15,2.14,2.16,2.13,163201.0,星期三,0.0,-0.0047
2026-03-10,2.13,2.15,2.16,2.13,133810.0,星期二,0.0047,0.0094
2026-03-09,2.13,2.12,2.14,2.1,225628.0,星期一,-0.0139,-0.0047
2026-03-06,2.12,2.16,2.16,2.11,180026.0,星期五,-0.0047,0.0189
2026-03-05,2.12,2.13,2.14,2.1,126071.0,星期四,0.0144,0.0047
2026-03-04,2.08,2.09,2.12,2.07,139613.0,星期三,-0.0095,0.0048
