time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,9.96,9.86,10.3,9.74,77456.0,星期五,-0.0148,-0.01
2026-06-25,10.2,10.11,10.41,10.0,82932.0,星期四,-0.0068,-0.0088
2026-06-24,10.55,10.27,10.74,10.1,85489.0,星期三,-0.0131,-0.0265
2026-06-23,10.72,10.69,10.97,10.61,65250.0,星期二,-0.0046,-0.0028
2026-06-22,11.03,10.77,11.14,10.53,82167.0,星期一,0.0,-0.0236
2026-06-18,11.3,11.03,11.45,11.03,78451.0,星期四,0.0009,-0.0239
2026-06-17,11.63,11.29,11.96,11.24,103053.0,星期三,-0.0177,-0.0292
2026-06-16,11.1,11.84,11.99,10.81,162641.0,星期二,-0.0018,0.0667
2026-06-15,11.56,11.12,11.83,11.1,110275.0,星期一,0.0061,-0.0381
2026-06-12,11.16,11.49,11.84,10.86,136894.0,星期五,0.0136,0.0296
2026-06-11,11.28,11.01,11.48,10.92,100557.0,星期四,-0.02,-0.0239
2026-06-10,12.01,11.51,12.15,11.38,131798.0,星期三,0.0025,-0.0416
2026-06-09,11.37,11.98,12.1,11.23,202593.0,星期二,0.0179,0.0536
2026-06-08,12.21,11.17,12.21,10.91,154265.0,星期一,0.0183,-0.0852
2026-06-05,11.73,11.99,12.18,11.65,129509.0,星期五,-0.0017,0.0222
2026-06-04,11.72,11.75,11.83,11.51,64406.0,星期四,-0.011,0.0026
2026-06-03,12.24,11.85,12.34,11.76,142560.0,星期三,0.0,-0.0319
2026-06-02,11.76,12.24,12.24,11.44,146229.0,星期二,-0.0068,0.0408
2026-06-01,11.17,11.84,12.17,11.1,167596.0,星期一,-0.0009,0.06
2026-05-29,11.65,11.18,11.9,11.1,74879.0,星期五,-0.0043,-0.0403
2026-05-28,11.64,11.7,11.87,11.28,76797.0,星期四,-0.0051,0.0052
2026-05-27,12.04,11.7,12.18,11.44,85169.0,星期三,0.0017,-0.0282
2026-05-26,12.22,12.02,12.25,11.73,88195.0,星期二,-0.0033,-0.0164
2026-05-25,12.47,12.26,12.52,12.13,100911.0,星期一,0.0089,-0.0168
2026-05-22,11.73,12.36,12.6,11.6,131237.0,星期五,0.0077,0.0537
2026-05-21,12.03,11.64,12.1,11.55,81823.0,星期四,0.0,-0.0324
2026-05-20,11.78,12.03,12.12,11.5,89779.0,星期三,-0.0042,0.0212
2026-05-19,12.03,11.83,12.25,11.69,99217.0,星期二,0.0042,-0.0166
2026-05-18,11.56,11.98,12.16,11.37,112693.0,星期一,0.0,0.0363
2026-05-15,11.48,11.56,11.72,11.4,72436.0,星期五,-0.0017,0.007
2026-05-14,11.74,11.5,11.85,11.26,77113.0,星期四,0.0009,-0.0204
2026-05-13,11.69,11.73,12.02,11.6,80831.0,星期三,-0.0034,0.0034
2026-05-12,12.07,11.73,12.07,11.61,53649.0,星期二,0.0,-0.0282
2026-05-11,11.94,12.07,12.15,11.8,64271.0,星期一,0.0008,0.0109
2026-05-08,11.8,11.93,12.0,11.72,53406.0,星期五,-0.0017,0.011
2026-05-07,11.84,11.82,12.04,11.75,62990.0,星期四,-0.0034,-0.0017
2026-05-06,11.75,11.88,12.31,11.66,105521.0,星期三,0.0009,0.0111
2026-04-30,11.78,11.74,11.93,11.68,59686.0,星期四,0.0043,-0.0034
2026-04-29,11.65,11.73,11.87,11.38,100199.0,星期三,-0.0017,0.0069
2026-04-28,11.22,11.67,11.92,11.11,162497.0,星期二,0.0154,0.0401
2026-04-27,10.88,11.05,11.08,10.51,85205.0,星期一,0.0009,0.0156
2026-04-24,10.75,10.87,10.97,10.7,63998.0,星期五,-0.0119,0.0112
2026-04-23,11.17,10.88,11.17,10.76,47283.0,星期四,0.0009,-0.026
2026-04-22,11.16,11.16,11.27,10.96,48210.0,星期三,-0.0009,0.0
2026-04-21,11.29,11.17,11.34,11.06,49904.0,星期二,-0.0053,-0.0106
2026-04-20,11.2,11.35,11.44,11.17,49560.0,星期一,-0.0018,0.0134
2026-04-17,11.32,11.22,11.39,11.0,54201.0,星期五,0.0053,-0.0088
2026-04-16,11.15,11.26,11.38,11.09,44285.0,星期四,0.0,0.0099
2026-04-15,11.51,11.15,11.69,11.11,56512.0,星期三,-0.0026,-0.0313
2026-04-14,11.47,11.54,11.78,11.28,68206.0,星期二,0.0088,0.0061
2026-04-13,11.2,11.37,11.38,11.02,48290.0,星期一,-0.0071,0.0152
2026-04-10,11.52,11.28,11.57,11.26,62485.0,星期五,0.0035,-0.0208
2026-04-09,11.56,11.48,11.73,11.25,84587.0,星期四,-0.0026,-0.0069
2026-04-08,11.33,11.59,11.83,11.02,123582.0,星期三,0.0171,0.0229
2026-04-07,10.58,11.14,11.56,10.56,156165.0,星期二,0.0067,0.0529
2026-04-03,10.7,10.51,11.04,10.42,71295.0,星期五,-0.0009,-0.0178
2026-04-02,11.07,10.71,11.2,10.59,54944.0,星期四,0.0,-0.0325
2026-04-01,11.17,11.07,11.5,10.95,65171.0,星期三,0.0155,-0.009
2026-03-31,11.22,11.0,11.45,10.98,70272.0,星期二,0.0,-0.0196
2026-03-30,11.26,11.22,11.48,11.09,77753.0,星期一,-0.0035,-0.0036
2026-03-27,10.96,11.3,11.44,10.93,80137.0,星期五,-0.0099,0.031
2026-03-26,11.5,11.07,11.63,10.96,64028.0,星期四,0.0,-0.0374
2026-03-25,11.66,11.5,11.82,11.38,57849.0,星期三,0.013,-0.0137
2026-03-24,11.55,11.51,11.6,11.13,72195.0,星期二,0.0405,-0.0035
2026-03-23,12.03,11.1,12.03,10.9,97833.0,星期一,0.0008,-0.0773
