time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,4.5,4.41,4.52,4.35,117415.0,星期五,-0.0066,-0.02
2026-06-25,4.58,4.53,4.58,4.45,116674.0,星期四,-0.0022,-0.0109
2026-06-24,4.88,4.59,4.9,4.56,145011.0,星期三,0.0,-0.0594
2026-06-23,4.81,4.88,5.06,4.77,141899.0,星期二,-0.0062,0.0146
2026-06-22,4.69,4.84,4.86,4.53,156662.0,星期一,-0.0105,0.032
2026-06-18,4.69,4.74,4.81,4.6,94622.0,星期四,-0.0064,0.0107
2026-06-17,4.9,4.72,4.91,4.69,118109.0,星期三,-0.0041,-0.0367
2026-06-16,4.89,4.92,4.93,4.8,79801.0,星期二,-0.0061,0.0061
2026-06-15,4.95,4.92,5.08,4.85,121591.0,星期一,0.002,-0.0061
2026-06-12,4.92,4.94,5.0,4.76,143200.0,星期五,0.0207,0.0041
2026-06-11,4.96,4.82,5.02,4.7,138816.0,星期四,-0.012,-0.0282
2026-06-10,4.99,5.02,5.2,4.91,153898.0,星期三,-0.008,0.006
2026-06-09,4.99,5.03,5.09,4.86,117715.0,星期二,0.006,0.008
2026-06-08,4.93,4.96,5.13,4.85,125149.0,星期一,-0.0295,0.0061
2026-06-05,4.94,5.08,5.14,4.92,135297.0,星期五,0.002,0.0283
2026-06-04,5.05,4.93,5.11,4.91,106260.0,星期四,-0.002,-0.0238
2026-06-03,5.16,5.06,5.16,5.0,132798.0,星期三,-0.0039,-0.0194
2026-06-02,5.47,5.18,5.54,5.12,201509.0,星期二,-0.0073,-0.053
2026-06-01,5.26,5.51,5.55,5.24,143976.0,星期一,-0.0057,0.0475
2026-05-29,5.37,5.29,5.47,5.27,116010.0,星期五,0.0,-0.0149
2026-05-28,5.34,5.37,5.47,5.25,152681.0,星期四,-0.0056,0.0056
2026-05-27,5.39,5.37,5.59,5.25,224496.0,星期三,0.0151,-0.0037
2026-05-26,5.38,5.31,5.38,5.23,113584.0,星期二,-0.0019,-0.013
2026-05-25,5.53,5.39,5.61,5.34,115298.0,星期一,0.0,-0.0253
2026-05-22,5.5,5.53,5.56,5.38,126598.0,星期五,0.0055,0.0055
2026-05-21,5.67,5.47,5.78,5.44,150376.0,星期四,0.0089,-0.0353
2026-05-20,5.94,5.62,5.94,5.6,172784.0,星期三,0.0017,-0.0539
2026-05-19,5.88,5.93,6.02,5.82,131333.0,星期二,0.0034,0.0085
2026-05-18,5.92,5.86,5.97,5.78,112595.0,星期一,0.0,-0.0101
2026-05-15,5.88,5.92,6.02,5.85,104477.0,星期五,-0.0034,0.0068
2026-05-14,6.12,5.9,6.2,5.89,137139.0,星期四,0.0,-0.0359
2026-05-13,6.08,6.12,6.13,6.02,97796.0,星期三,0.0016,0.0066
2026-05-12,6.17,6.07,6.19,6.04,106546.0,星期二,-0.0016,-0.0162
2026-05-11,6.32,6.18,6.35,6.12,153078.0,星期一,0.0,-0.0222
2026-05-08,6.26,6.32,6.38,6.26,120540.0,星期五,0.0016,0.0096
2026-05-07,6.24,6.25,6.28,6.19,111120.0,星期四,0.0032,0.0016
2026-05-06,6.22,6.22,6.29,6.18,131871.0,星期三,0.0032,0.0
2026-04-30,6.26,6.2,6.31,6.16,137205.0,星期四,-0.0079,-0.0096
2026-04-29,6.2,6.31,6.4,6.14,128407.0,星期三,0.0032,0.0177
2026-04-28,6.23,6.18,6.32,6.14,94068.0,星期二,-0.0032,-0.008
2026-04-27,6.16,6.25,6.3,6.02,127090.0,星期一,-0.0016,0.0146
2026-04-24,6.17,6.17,6.23,6.06,106210.0,星期五,-0.008,0.0
2026-04-23,6.29,6.22,6.32,6.18,85349.0,星期四,-0.0032,-0.0111
2026-04-22,6.38,6.31,6.4,6.27,88387.0,星期三,-0.0078,-0.011
2026-04-21,6.38,6.43,6.49,6.35,96808.0,星期二,-0.0062,0.0078
2026-04-20,6.35,6.42,6.43,6.32,95900.0,星期一,-0.0063,0.011
2026-04-17,6.41,6.39,6.45,6.28,123843.0,星期五,0.0,-0.0031
2026-04-16,6.3,6.41,6.45,6.28,130638.0,星期四,0.0048,0.0175
2026-04-15,6.36,6.27,6.41,6.26,87430.0,星期三,-0.0047,-0.0142
2026-04-14,6.42,6.39,6.45,6.31,77297.0,星期二,0.0063,-0.0047
2026-04-13,6.43,6.38,6.45,6.35,68848.0,星期一,-0.0062,-0.0078
2026-04-10,6.43,6.47,6.53,6.39,76743.0,星期五,0.0094,0.0062
2026-04-09,6.52,6.37,6.54,6.34,95955.0,星期四,-0.0061,-0.023
2026-04-08,6.38,6.56,6.57,6.37,117684.0,星期三,0.0143,0.0282
2026-04-07,6.14,6.29,6.3,6.1,75954.0,星期二,0.0,0.0244
2026-04-03,6.33,6.14,6.39,6.12,85440.0,星期五,-0.0016,-0.03
2026-04-02,6.44,6.34,6.45,6.3,68446.0,星期四,-0.0062,-0.0155
2026-04-01,6.5,6.48,6.53,6.37,79536.0,星期三,0.0172,-0.0031
2026-03-31,6.38,6.39,6.54,6.38,102540.0,星期二,0.0,0.0016
2026-03-30,6.23,6.38,6.4,6.21,78839.0,星期一,-0.0127,0.0241
2026-03-27,6.17,6.31,6.33,6.16,62746.0,星期五,-0.0064,0.0227
2026-03-26,6.3,6.21,6.38,6.18,80618.0,星期四,-0.0016,-0.0143
2026-03-25,6.23,6.31,6.35,6.22,99430.0,星期三,0.0016,0.0128
2026-03-24,6.05,6.22,6.22,5.96,150184.0,星期二,0.022,0.0281
2026-03-23,6.12,5.92,6.2,5.88,152385.0,星期一,-0.0255,-0.0327
2026-03-20,6.55,6.28,6.58,6.26,100002.0,星期五,0.0046,-0.0412
2026-03-19,6.59,6.52,6.63,6.52,67890.0,星期四,-0.0105,-0.0106
2026-03-18,6.62,6.66,6.67,6.53,62927.0,星期三,0.003,0.006
2026-03-17,6.69,6.6,6.74,6.58,68789.0,星期二,0.0,-0.0135
