time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,5.73,5.53,5.79,5.53,187662.0,星期五,0.0,-0.0349
2026-06-25,5.9,5.73,5.91,5.67,293181.0,星期四,-0.015,-0.0288
2026-06-24,5.83,5.99,6.15,5.68,318104.0,星期三,-0.0119,0.0274
2026-06-23,5.98,5.9,6.06,5.84,170902.0,星期二,-0.0033,-0.0134
2026-06-22,5.81,6.0,6.0,5.77,217433.0,星期一,-0.0034,0.0327
2026-06-18,5.99,5.83,5.99,5.8,182993.0,星期四,-0.005,-0.0267
2026-06-17,6.15,6.02,6.17,5.98,218801.0,星期三,-0.0081,-0.0211
2026-06-16,5.97,6.2,6.36,5.9,323233.0,星期二,0.0,0.0385
2026-06-15,5.9,5.97,6.04,5.89,158569.0,星期一,0.0068,0.0119
2026-06-12,5.89,5.86,5.94,5.74,161347.0,星期五,0.0208,-0.0051
2026-06-11,5.85,5.77,5.88,5.72,152252.0,星期四,-0.0051,-0.0137
2026-06-10,6.0,5.88,6.02,5.79,194533.0,星期三,-0.0083,-0.02
2026-06-09,6.05,6.05,6.1,5.96,136034.0,星期二,0.01,0.0
2026-06-08,6.0,5.99,6.2,5.92,209451.0,星期一,-0.0385,-0.0017
2026-06-05,6.23,6.24,6.32,6.12,171450.0,星期五,0.0,0.0016
2026-06-04,6.28,6.23,6.35,6.19,162215.0,星期四,-0.0079,-0.008
2026-06-03,6.37,6.33,6.42,6.28,180514.0,星期三,-0.0062,-0.0063
2026-06-02,6.53,6.41,6.55,6.24,224619.0,星期二,-0.0046,-0.0184
2026-06-01,6.38,6.56,6.6,6.35,218551.0,星期一,-0.0031,0.0282
2026-05-29,6.6,6.4,6.6,6.37,250247.0,星期五,0.0,-0.0303
2026-05-28,6.5,6.6,6.65,6.46,200182.0,星期四,0.0,0.0154
2026-05-27,6.53,6.5,6.64,6.46,208615.0,星期三,-0.0061,-0.0046
2026-05-26,6.8,6.57,6.8,6.48,254609.0,星期二,0.0,-0.0338
2026-05-25,6.76,6.8,6.95,6.72,206404.0,星期一,0.0075,0.0059
2026-05-22,6.69,6.71,6.74,6.6,188552.0,星期五,0.0121,0.003
2026-05-21,6.96,6.61,7.0,6.58,367095.0,星期四,-0.0014,-0.0503
2026-05-20,7.33,6.97,7.34,6.93,443104.0,星期三,-0.0081,-0.0491
2026-05-19,7.36,7.39,7.45,7.25,266693.0,星期二,-0.0027,0.0041
2026-05-18,7.2,7.38,7.42,7.17,244653.0,星期一,-0.0069,0.025
2026-05-15,7.46,7.25,7.5,7.21,377925.0,星期五,-0.0013,-0.0282
2026-05-14,7.96,7.47,7.97,7.46,602319.0,星期四,0.0051,-0.0616
2026-05-13,7.74,7.92,8.03,7.71,696017.0,星期三,-0.0013,0.0233
2026-05-12,7.55,7.75,7.89,7.51,621538.0,星期二,-0.0053,0.0265
2026-05-11,7.65,7.59,7.77,7.53,333457.0,星期一,0.0106,-0.0078
2026-05-08,7.63,7.57,7.64,7.5,245094.0,星期五,-0.0052,-0.0079
2026-05-07,7.62,7.67,7.7,7.57,293667.0,星期四,0.004,0.0066
2026-05-06,7.48,7.59,7.62,7.44,313543.0,星期三,0.0094,0.0147
2026-04-30,7.48,7.41,7.54,7.34,247922.0,星期四,-0.004,-0.0094
2026-04-29,7.3,7.51,7.61,7.3,409812.0,星期三,0.0153,0.0288
2026-04-28,7.23,7.19,7.29,7.14,199584.0,星期二,-0.0028,-0.0055
2026-04-27,7.3,7.25,7.3,7.12,195458.0,星期一,-0.0041,-0.0068
2026-04-24,7.41,7.33,7.48,7.27,242292.0,星期五,-0.008,-0.0108
2026-04-23,7.56,7.47,7.69,7.34,318917.0,星期四,0.0013,-0.0119
2026-04-22,7.52,7.55,7.58,7.48,262668.0,星期三,-0.0053,0.004
2026-04-21,7.72,7.56,7.75,7.47,334681.0,星期二,0.0026,-0.0207
