time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,5.71,5.43,5.88,5.43,402708.0,星期五,0.0106,-0.049
2026-06-25,5.63,5.65,5.79,5.55,368093.0,星期四,-0.0088,0.0036
2026-06-24,5.88,5.68,5.89,5.66,404317.0,星期三,-0.0101,-0.034
2026-06-23,6.15,5.94,6.28,5.88,487595.0,星期二,0.0424,-0.0341
2026-06-22,5.91,5.9,5.92,5.71,428035.0,星期一,-0.0067,-0.0017
2026-06-18,6.11,5.95,6.11,5.93,343500.0,星期四,0.0,-0.0262
2026-06-17,6.17,6.11,6.27,6.04,366414.0,星期三,-0.0112,-0.0097
2026-06-16,6.16,6.24,6.34,6.15,414217.0,星期二,0.0016,0.013
2026-06-15,6.04,6.15,6.17,6.03,354046.0,星期一,0.0083,0.0182
2026-06-12,5.99,5.99,6.12,5.95,373162.0,星期五,0.005,0.0
2026-06-11,6.0,5.96,6.08,5.92,360995.0,星期四,-0.0099,-0.0067
2026-06-10,6.16,6.06,6.27,6.03,435120.0,星期三,-0.0175,-0.0162
2026-06-09,6.11,6.27,6.43,6.05,631260.0,星期二,0.0116,0.0262
2026-06-08,6.14,6.04,6.24,5.98,380487.0,星期一,-0.0223,-0.0163
2026-06-05,6.24,6.28,6.44,6.21,438060.0,星期五,-0.0032,0.0064
2026-06-04,6.4,6.26,6.4,6.18,524670.0,星期四,-0.0093,-0.0219
2026-06-03,6.6,6.46,6.66,6.36,529988.0,星期三,0.0015,-0.0212
2026-06-02,6.78,6.59,6.78,6.55,480597.0,星期二,-0.0073,-0.028
2026-06-01,6.83,6.83,6.9,6.75,418169.0,星期一,-0.0101,0.0
2026-05-29,6.98,6.9,7.2,6.84,618403.0,星期五,-0.0085,-0.0115
2026-05-28,6.78,7.04,7.22,6.75,606522.0,星期四,-0.0131,0.0383
2026-05-27,6.79,6.87,7.03,6.74,462316.0,星期三,-0.0059,0.0118
2026-05-26,7.11,6.83,7.12,6.72,676500.0,星期二,-0.0056,-0.0394
2026-05-25,7.12,7.15,7.25,7.06,336131.0,星期一,0.0014,0.0042
2026-05-22,7.12,7.11,7.16,7.06,309745.0,星期五,0.0042,-0.0014
2026-05-21,7.3,7.09,7.37,7.07,469972.0,星期四,-0.0014,-0.0288
2026-05-20,7.5,7.31,7.54,7.26,489245.0,星期三,-0.0079,-0.0253
2026-05-19,7.51,7.56,7.6,7.38,508386.0,星期二,-0.0027,0.0067
2026-05-18,7.56,7.53,7.6,7.45,436735.0,星期一,-0.0053,-0.004
2026-05-15,7.59,7.6,7.71,7.51,546562.0,星期五,-0.0039,0.0013
2026-05-14,7.87,7.62,7.99,7.61,806196.0,星期四,0.0,-0.0318
2026-05-13,7.58,7.87,7.93,7.57,921421.0,星期三,-0.0066,0.0383
2026-05-12,7.68,7.63,7.75,7.58,567056.0,星期二,0.0013,-0.0065
2026-05-11,7.59,7.67,7.71,7.56,635268.0,星期一,0.0026,0.0105
2026-05-08,7.53,7.57,7.62,7.48,481773.0,星期五,-0.0079,0.0053
2026-05-07,7.6,7.59,7.68,7.52,625131.0,星期四,-0.0052,-0.0013
2026-05-06,7.48,7.64,7.68,7.46,740116.0,星期三,-0.0013,0.0214
