time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,2.69,2.6,2.7,2.59,258105.0,星期五,0.0,-0.0335
2026-06-25,2.73,2.69,2.73,2.66,216268.0,星期四,-0.0036,-0.0147
2026-06-24,2.81,2.74,2.83,2.72,210780.0,星期三,0.0036,-0.0249
2026-06-23,2.75,2.8,2.87,2.74,258029.0,星期二,-0.0072,0.0182
2026-06-22,2.76,2.77,2.78,2.65,249806.0,星期一,0.0,0.0036
2026-06-18,2.78,2.76,2.81,2.75,175224.0,星期四,-0.0071,-0.0072
2026-06-17,2.8,2.8,2.81,2.76,174403.0,星期三,-0.0036,0.0
2026-06-16,2.87,2.81,2.88,2.8,219551.0,星期二,-0.0035,-0.0209
2026-06-15,2.91,2.88,2.95,2.84,329917.0,星期一,0.0034,-0.0103
2026-06-12,2.9,2.9,2.95,2.88,257229.0,星期五,0.0035,0.0
2026-06-11,2.91,2.89,2.92,2.86,154863.0,星期四,-0.0068,-0.0069
2026-06-10,2.88,2.93,2.93,2.83,198135.0,星期三,-0.0035,0.0174
2026-06-09,2.9,2.89,2.91,2.86,180085.0,星期二,0.0,-0.0034
2026-06-08,2.93,2.9,2.96,2.86,219365.0,星期一,-0.0101,-0.0102
2026-06-05,2.94,2.96,3.01,2.94,164449.0,星期五,-0.0034,0.0068
2026-06-04,2.98,2.95,3.01,2.93,186185.0,星期四,-0.0033,-0.0101
2026-06-03,3.04,2.99,3.04,2.98,176020.0,星期三,0.0033,-0.0164
2026-06-02,3.06,3.03,3.09,3.02,186728.0,星期二,-0.0065,-0.0098
2026-06-01,3.03,3.08,3.08,3.0,258584.0,星期一,0.0,0.0165
2026-05-29,3.01,3.03,3.06,3.01,244550.0,星期五,0.0,0.0066
2026-05-28,2.99,3.01,3.04,2.97,195245.0,星期四,-0.0033,0.0067
2026-05-27,3.05,3.0,3.05,2.96,222737.0,星期三,0.0033,-0.0164
2026-05-26,3.07,3.04,3.09,3.02,199371.0,星期二,-0.0032,-0.0098
2026-05-25,3.06,3.08,3.1,3.05,195304.0,星期一,0.0,0.0065
2026-05-22,3.08,3.06,3.1,3.03,240149.0,星期五,0.0065,-0.0065
2026-05-21,3.12,3.06,3.15,3.06,253097.0,星期四,-0.0127,-0.0192
2026-05-20,3.22,3.16,3.22,3.13,230455.0,星期三,0.0,-0.0186
2026-05-19,3.15,3.22,3.23,3.15,229939.0,星期二,0.0,0.0222
2026-05-18,3.15,3.15,3.16,3.11,233606.0,星期一,0.0,0.0
2026-05-15,3.19,3.15,3.21,3.13,311233.0,星期五,0.0,-0.0125
2026-05-14,3.28,3.19,3.28,3.19,248772.0,星期四,0.0,-0.0274
2026-05-13,3.3,3.28,3.32,3.26,211109.0,星期三,0.0,-0.0061
2026-05-12,3.35,3.3,3.36,3.29,249687.0,星期二,-0.003,-0.0149
2026-05-11,3.33,3.36,3.37,3.29,318082.0,星期一,0.0,0.009
2026-05-08,3.33,3.33,3.36,3.32,215097.0,星期五,0.0,0.0
2026-05-07,3.37,3.33,3.39,3.32,264164.0,星期四,0.0,-0.0119
2026-05-06,3.36,3.37,3.44,3.33,422653.0,星期三,-0.003,0.003
2026-04-30,3.31,3.37,3.4,3.26,563222.0,星期四,0.003,0.0181
2026-04-29,3.18,3.3,3.35,3.18,520880.0,星期三,0.0,0.0377
2026-04-28,3.16,3.18,3.21,3.16,207646.0,星期二,-0.0032,0.0063
2026-04-27,3.15,3.17,3.19,3.11,233539.0,星期一,-0.0032,0.0063
2026-04-24,3.15,3.16,3.18,3.12,212817.0,星期五,-0.0063,0.0032
2026-04-23,3.19,3.17,3.19,3.14,242329.0,星期四,0.0,-0.0063
2026-04-22,3.19,3.19,3.21,3.17,199132.0,星期三,-0.0062,0.0
2026-04-21,3.22,3.21,3.28,3.19,327144.0,星期二,0.0,-0.0031
2026-04-20,3.18,3.22,3.23,3.14,261894.0,星期一,-0.0063,0.0126
2026-04-17,3.31,3.2,3.31,3.18,420960.0,星期五,0.0,-0.0332
2026-04-16,3.32,3.31,3.35,3.28,324039.0,星期四,-0.003,-0.003
