time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,12.1,11.71,12.1,11.67,34291.0,星期五,0.0008,-0.0322
2026-06-25,12.34,12.09,12.39,12.04,32247.0,星期四,-0.004,-0.0203
2026-06-24,12.78,12.39,12.92,12.27,44529.0,星期三,-0.0023,-0.0305
2026-06-23,12.92,12.81,13.1,12.75,36188.0,星期二,-0.0015,-0.0085
2026-06-22,12.89,12.94,12.99,12.43,53828.0,星期一,-0.0077,0.0039
2026-06-18,13.05,12.99,13.27,12.91,41350.0,星期四,-0.0053,-0.0046
2026-06-17,12.93,13.12,13.13,12.86,48249.0,星期三,-0.0046,0.0147
2026-06-16,12.95,12.99,13.02,12.47,63972.0,星期二,-0.0015,0.0031
2026-06-15,12.7,12.97,13.2,12.7,43105.0,星期一,0.0,0.0213
2026-06-12,12.49,12.7,12.85,12.46,42923.0,星期五,0.0056,0.0168
2026-06-11,12.7,12.42,12.7,12.16,43198.0,星期四,0.0,-0.022
2026-06-10,12.69,12.7,12.93,12.5,32681.0,星期三,-0.0086,0.0008
2026-06-09,12.6,12.8,12.99,12.47,35214.0,星期二,0.0032,0.0159
2026-06-08,12.52,12.56,12.87,12.36,36161.0,星期一,-0.0149,0.0032
2026-06-05,12.5,12.71,12.88,12.49,32610.0,星期五,-0.004,0.0168
2026-06-04,12.7,12.55,12.82,12.45,30919.0,星期四,-0.0078,-0.0118
2026-06-03,13.05,12.8,13.07,12.7,38927.0,星期三,-0.0015,-0.0192
2026-06-02,13.34,13.07,13.36,12.96,32692.0,星期二,0.0008,-0.0202
2026-06-01,12.81,13.33,13.38,12.81,37094.0,星期一,-0.0116,0.0406
2026-05-29,13.25,12.96,13.26,12.88,31858.0,星期五,0.0061,-0.0219
2026-05-28,13.19,13.17,13.29,12.86,40619.0,星期四,-0.0008,-0.0015
2026-05-27,13.72,13.2,13.8,13.13,53743.0,星期三,0.0,-0.0379
2026-05-26,13.95,13.72,14.0,13.48,49296.0,星期二,-0.0057,-0.0165
2026-05-25,14.14,14.03,14.28,13.87,38156.0,星期一,0.0014,-0.0078
2026-05-22,14.14,14.12,14.28,13.84,51753.0,星期五,0.01,-0.0014
2026-05-21,14.64,14.0,14.79,13.98,55523.0,星期四,0.0014,-0.0437
2026-05-20,14.85,14.62,14.92,14.57,34721.0,星期三,-0.0054,-0.0155
2026-05-19,14.51,14.93,14.95,14.51,39641.0,星期二,-0.0041,0.0289
2026-05-18,14.61,14.57,14.7,14.46,41595.0,星期一,-0.0054,-0.0027
2026-05-15,14.65,14.69,15.0,14.5,46660.0,星期五,-0.002,0.0027
2026-05-14,15.1,14.68,15.18,14.67,41663.0,星期四,0.0,-0.0278
2026-05-13,15.11,15.1,15.18,14.88,43740.0,星期三,-0.0013,-0.0007
2026-05-12,15.39,15.13,15.53,15.08,47696.0,星期二,-0.0077,-0.0169
2026-05-11,15.35,15.51,15.56,15.18,80344.0,星期一,0.0026,0.0104
2026-05-08,14.59,15.31,15.72,14.53,146491.0,星期五,-0.0034,0.0493
2026-05-07,14.44,14.64,14.71,14.36,64797.0,星期四,0.0133,0.0139
2026-05-06,14.19,14.25,14.42,14.19,58092.0,星期三,0.0,0.0042
2026-04-30,14.51,14.19,14.57,14.1,60844.0,星期四,-0.0041,-0.0221
2026-04-29,14.14,14.57,14.62,14.14,39216.0,星期三,-0.0077,0.0304
2026-04-28,14.39,14.25,14.57,14.2,28172.0,星期二,-0.0069,-0.0097
2026-04-27,14.68,14.49,14.69,14.25,32407.0,星期一,0.0173,-0.0129
2026-04-24,14.45,14.43,14.53,14.22,27626.0,星期五,0.0,-0.0014
2026-04-23,14.64,14.45,14.66,14.4,33449.0,星期四,0.0007,-0.013
2026-04-22,14.61,14.63,14.65,14.52,24688.0,星期三,-0.0041,0.0014
2026-04-21,14.85,14.67,14.89,14.55,34339.0,星期二,-0.0027,-0.0121
2026-04-20,14.9,14.89,14.97,14.85,22567.0,星期一,0.0007,-0.0007
2026-04-17,15.08,14.89,15.14,14.85,31137.0,星期五,-0.0033,-0.0126
2026-04-16,14.87,15.13,15.15,14.82,36204.0,星期四,0.0007,0.0175
2026-04-15,15.03,14.86,15.07,14.82,25291.0,星期三,0.002,-0.0113
2026-04-14,15.12,15.0,15.2,14.87,29983.0,星期二,0.0047,-0.0079
2026-04-13,15.1,15.05,15.12,14.95,27998.0,星期一,0.0007,-0.0033
2026-04-10,15.26,15.09,15.36,15.0,40336.0,星期五,0.0059,-0.0111
2026-04-09,15.39,15.17,15.45,15.1,35534.0,星期四,-0.0058,-0.0143
2026-04-08,15.36,15.48,15.5,15.32,44382.0,星期三,0.0092,0.0078
2026-04-07,14.83,15.22,15.31,14.83,35461.0,星期二,-0.0027,0.0263
2026-04-03,15.46,14.87,15.46,14.82,37883.0,星期五,0.0078,-0.0382
2026-04-02,15.42,15.34,15.49,15.25,29751.0,星期四,-0.0013,-0.0052
2026-04-01,15.74,15.44,15.98,15.34,42063.0,星期三,0.009,-0.0191
2026-03-31,15.7,15.6,15.92,15.6,59209.0,星期二,0.0116,-0.0064
2026-03-30,15.07,15.52,15.6,15.0,66280.0,星期一,-0.0137,0.0299
2026-03-27,14.79,15.28,15.7,14.77,76141.0,星期五,-0.0114,0.0331
2026-03-26,15.19,14.96,15.41,14.88,35401.0,星期四,0.0086,-0.0151
2026-03-25,14.68,15.06,15.13,14.67,34360.0,星期三,0.0,0.0259
2026-03-24,14.5,14.68,14.72,14.2,43417.0,星期二,0.0204,0.0124
2026-03-23,14.99,14.21,14.99,14.13,57755.0,星期一,-0.0099,-0.052
2026-03-20,15.71,15.14,15.78,15.14,45647.0,星期五,0.0013,-0.0363
2026-03-19,15.71,15.69,15.9,15.62,28402.0,星期四,-0.0107,-0.0013
2026-03-18,15.6,15.88,15.9,15.55,36044.0,星期三,0.0,0.0179
2026-03-17,16.12,15.6,16.13,15.52,43580.0,星期二,0.0025,-0.0323
2026-03-16,15.52,16.08,16.11,15.52,56158.0,星期一,-0.0026,0.0361
2026-03-13,15.82,15.56,15.92,15.52,41810.0,星期五,-0.0057,-0.0164
2026-03-12,16.1,15.91,16.2,15.9,32839.0,星期四,-0.0031,-0.0118
2026-03-11,16.1,16.15,16.28,16.06,39544.0,星期三,0.0,0.0031
2026-03-10,16.24,16.1,16.33,16.07,47487.0,星期二,0.0056,-0.0086
2026-03-09,15.91,16.15,16.28,15.86,53876.0,星期一,-0.0112,0.0151
2026-03-06,15.7,16.09,16.1,15.67,57249.0,星期五,-0.0038,0.0248
2026-03-05,15.87,15.76,15.96,15.69,86680.0,星期四,0.0186,-0.0069
2026-03-04,16.66,15.58,16.68,15.38,162186.0,星期三,-0.0083,-0.0648
2026-03-03,16.21,16.8,17.5,16.13,170696.0,星期二,0.0006,0.0364
2026-03-02,16.78,16.2,16.79,16.15,77286.0,星期一,0.0084,-0.0346
2026-02-27,16.55,16.64,16.7,16.51,34937.0,星期五,0.0006,0.0054
2026-02-26,16.52,16.54,16.69,16.45,35100.0,星期四,0.0012,0.0012
2026-02-25,16.43,16.5,16.65,16.37,31918.0,星期三,0.0031,0.0043
2026-02-24,16.46,16.38,16.5,16.3,27611.0,星期二,0.0043,-0.0049
2026-02-13,16.52,16.39,16.61,16.38,29036.0,星期五,-0.0006,-0.0079
2026-02-12,16.61,16.53,16.69,16.41,31221.0,星期四,0.0,-0.0048
2026-02-11,16.53,16.61,16.75,16.44,34056.0,星期三,0.0,0.0048
2026-02-10,16.45,16.53,16.69,16.41,37054.0,星期二,0.0024,0.0049
2026-02-09,16.2,16.41,16.42,16.2,38285.0,星期一,0.0075,0.013
2026-02-06,16.21,16.08,16.31,16.06,40147.0,星期五,-0.0031,-0.008
2026-02-05,16.3,16.26,16.45,16.24,30630.0,星期四,-0.0037,-0.0025
2026-02-04,16.32,16.36,16.43,16.23,32478.0,星期三,-0.0012,0.0025
2026-02-03,16.31,16.34,16.4,16.18,34259.0,星期二,0.0043,0.0018
2026-02-02,16.3,16.24,16.56,16.19,54304.0,星期一,0.0006,-0.0037
2026-01-30,16.57,16.29,16.64,16.25,52813.0,星期五,0.0,-0.0169
2026-01-29,16.6,16.57,16.86,16.32,52956.0,星期四,-0.0018,-0.0018
2026-01-28,16.9,16.63,16.96,16.6,47923.0,星期三,-0.0006,-0.016
2026-01-27,16.92,16.91,17.09,16.52,82085.0,星期二,0.0065,-0.0006
2026-01-26,16.97,16.81,17.03,16.63,52662.0,星期一,-0.0018,-0.0094
2026-01-23,17.05,17.0,17.08,16.92,49386.0,星期五,0.0012,-0.0029
2026-01-22,17.0,17.03,17.1,16.86,55308.0,星期四,0.0053,0.0018
2026-01-21,16.48,16.91,17.3,16.43,107833.0,星期三,-0.0054,0.0261
2026-01-20,16.75,16.57,16.86,16.41,61364.0,星期二,0.0006,-0.0107
2026-01-19,16.96,16.74,16.97,16.65,55472.0,星期一,0.003,-0.013
2026-01-16,17.19,16.91,17.31,16.84,79452.0,星期五,0.0012,-0.0163
2026-01-15,17.35,17.17,17.54,17.08,102951.0,星期四,-0.0057,-0.0104
2026-01-14,16.98,17.45,17.52,16.98,162246.0,星期三,0.0,0.0277
2026-01-13,17.46,16.98,17.48,16.92,113897.0,星期二,0.004,-0.0275
2026-01-12,16.72,17.39,17.47,16.66,171441.0,星期一,0.0097,0.0401
2026-01-09,16.35,16.56,16.56,16.33,86631.0,星期五,-0.003,0.0128
