time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,6.82,6.56,6.92,6.56,577390.0,星期五,-0.0044,-0.0381
2026-06-25,6.89,6.85,6.97,6.66,603704.0,星期四,-0.0043,-0.0058
2026-06-24,7.05,6.92,7.09,6.79,436774.0,星期三,0.0014,-0.0184
2026-06-23,7.11,7.04,7.2,6.98,442698.0,星期二,-0.0084,-0.0098
2026-06-22,7.09,7.17,7.18,6.84,670621.0,星期一,-0.0014,0.0113
2026-06-18,7.18,7.1,7.24,7.03,551620.0,星期四,-0.0042,-0.0111
2026-06-17,7.47,7.21,7.47,7.16,535004.0,星期三,0.0149,-0.0348
2026-06-16,7.45,7.36,7.47,7.28,513795.0,星期二,-0.004,-0.0121
2026-06-15,7.43,7.48,7.6,7.43,409801.0,星期一,0.0041,0.0067
2026-06-12,7.56,7.4,7.58,7.32,510049.0,星期五,0.0216,-0.0212
2026-06-11,7.8,7.4,7.8,7.36,757524.0,星期四,-0.0139,-0.0513
2026-06-10,7.79,7.91,8.33,7.77,719582.0,星期三,-0.0164,0.0154
2026-06-09,7.7,7.92,8.26,7.65,855499.0,星期二,0.0105,0.0286
2026-06-08,7.68,7.62,7.82,7.5,572100.0,星期一,-0.0254,-0.0078
2026-06-05,7.91,7.88,8.06,7.7,567797.0,星期五,0.0025,-0.0038
2026-06-04,8.04,7.89,8.11,7.83,697182.0,星期四,-0.0135,-0.0187
2026-06-03,8.35,8.15,8.4,8.1,639331.0,星期三,-0.0024,-0.024
2026-06-02,8.65,8.37,8.72,8.28,686962.0,星期二,-0.0046,-0.0324
2026-06-01,8.59,8.69,8.82,8.4,648490.0,星期一,-0.016,0.0116
2026-05-29,9.29,8.73,9.48,8.71,1016572.0,星期五,0.0065,-0.0603
2026-05-28,9.3,9.23,9.34,9.01,883529.0,星期四,-0.0064,-0.0075
2026-05-27,9.35,9.36,9.85,9.31,1010044.0,星期三,-0.0074,0.0011
2026-05-26,9.4,9.42,9.6,9.24,787537.0,星期二,-0.0157,0.0021
2026-05-25,9.5,9.55,9.72,9.45,883371.0,星期一,0.0042,0.0053
2026-05-22,9.63,9.46,9.69,9.35,968269.0,星期五,0.0105,-0.0177
2026-05-21,9.52,9.53,9.88,9.47,1304526.0,星期四,0.0171,0.0011
