time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,3.7,3.62,3.75,3.57,3056870.0,星期五,-0.0133,-0.0216
2026-06-25,3.98,3.75,4.04,3.7,4194862.0,星期四,-0.0269,-0.0578
2026-06-24,4.03,4.09,4.15,3.84,4875111.0,星期三,0.0025,0.0149
2026-06-23,4.21,4.02,4.29,3.97,5373926.0,星期二,0.0,-0.0451
2026-06-22,3.91,4.21,4.21,3.85,5786886.0,星期一,0.0209,0.0767
2026-06-18,3.81,3.83,3.91,3.67,4293222.0,星期四,-0.0052,0.0052
2026-06-17,4.01,3.83,4.04,3.8,5289956.0,星期三,-0.0337,-0.0449
2026-06-16,4.08,4.15,4.21,3.87,6275537.0,星期二,0.0175,0.0172
2026-06-15,4.1,4.01,4.16,3.98,6768179.0,星期一,-0.0682,-0.022
2026-06-12,4.4,4.4,4.64,4.4,6643430.0,星期五,-0.1002,0.0
2026-06-11,4.89,4.89,4.89,4.89,448303.0,星期四,-0.0994,0.0
2026-06-10,5.7,5.43,5.96,5.26,7441618.0,星期三,0.0,-0.0474
2026-06-09,5.99,5.7,6.16,5.49,9681407.0,星期二,0.0454,-0.0484
2026-06-08,5.21,5.73,5.73,5.1,4877236.0,星期一,0.0,0.0998
2026-06-05,4.86,5.21,5.21,4.82,7792543.0,星期五,0.0253,0.072
2026-06-04,4.87,4.74,5.08,4.66,4883523.0,星期四,-0.002,-0.0267
2026-06-03,4.88,4.88,5.1,4.74,7668822.0,星期三,-0.0181,0.0
2026-06-02,4.7,4.97,4.97,4.55,5741867.0,星期二,0.0398,0.0574
2026-06-01,3.95,4.52,4.52,3.9,3696336.0,星期一,-0.0389,0.1443
2026-05-29,4.51,4.11,4.84,4.11,5973704.0,星期五,-0.0131,-0.0887
2026-05-28,4.24,4.57,4.96,4.13,7431794.0,星期四,-0.0742,0.0778
2026-05-27,4.7,4.58,4.84,4.44,6344313.0,星期三,0.0108,-0.0255
2026-05-26,4.91,4.65,5.16,4.6,8785131.0,星期二,0.0229,-0.053
2026-05-25,4.59,4.8,4.8,4.5,7745467.0,星期一,0.0528,0.0458
2026-05-22,3.86,4.36,4.36,3.71,6475559.0,星期五,-0.0253,0.1295
2026-05-21,4.38,3.96,4.7,3.84,9256905.0,星期四,0.0258,-0.0959
2026-05-20,4.27,4.27,4.27,4.03,5234684.0,星期三,0.1005,0.0
2026-05-19,3.88,3.88,3.88,3.88,625609.0,星期二,0.0992,0.0
2026-05-18,3.21,3.53,3.53,3.15,3416071.0,星期一,0.0,0.0997
2026-05-15,2.94,3.21,3.21,2.9,2294323.0,星期五,0.0068,0.0918
2026-05-14,3.04,2.92,3.05,2.92,584276.0,星期四,0.0033,-0.0395
2026-05-13,2.98,3.03,3.05,2.95,693224.0,星期三,0.0102,0.0168
2026-05-12,3.01,2.95,3.02,2.93,639026.0,星期二,-0.0066,-0.0199
2026-05-11,3.03,3.03,3.08,3.0,691143.0,星期一,0.0033,0.0
2026-05-08,3.03,3.02,3.05,3.0,748743.0,星期五,0.0,-0.0033
2026-05-07,3.0,3.03,3.07,3.0,904632.0,星期四,0.0101,0.01
2026-05-06,2.91,2.97,2.99,2.91,1010206.0,星期三,0.0034,0.0206
2026-04-30,2.82,2.9,2.94,2.8,1155060.0,星期四,0.0108,0.0284
2026-04-29,2.71,2.79,2.83,2.7,526380.0,星期三,-0.0109,0.0295
2026-04-28,2.81,2.74,2.81,2.73,466501.0,星期二,-0.0035,-0.0249
2026-04-27,2.74,2.82,2.84,2.65,732716.0,星期一,-0.0072,0.0292
2026-04-24,2.78,2.76,2.79,2.72,486157.0,星期五,-0.0071,-0.0072
2026-04-23,2.83,2.8,2.84,2.76,515189.0,星期四,0.0071,-0.0106
2026-04-22,2.84,2.81,2.85,2.78,615192.0,星期三,-0.0035,-0.0106
2026-04-21,2.9,2.85,2.91,2.83,724206.0,星期二,0.0,-0.0172
2026-04-20,2.84,2.9,2.98,2.84,1229346.0,星期一,-0.0105,0.0211
2026-04-17,2.87,2.87,2.97,2.81,1808637.0,星期五,-0.0103,0.0
2026-04-16,2.65,2.9,2.9,2.64,1248514.0,星期四,0.0038,0.0943
2026-04-15,2.72,2.64,2.72,2.64,382769.0,星期三,0.0037,-0.0294
2026-04-14,2.73,2.71,2.76,2.67,519330.0,星期二,0.0037,-0.0073
2026-04-13,2.68,2.72,2.74,2.67,593909.0,星期一,-0.0037,0.0149
2026-04-10,2.72,2.69,2.74,2.67,785273.0,星期五,-0.0073,-0.011
2026-04-09,2.79,2.74,2.8,2.7,1510476.0,星期四,0.022,-0.0179
2026-04-08,2.54,2.73,2.73,2.54,627770.0,星期三,0.0242,0.0748
2026-04-07,2.44,2.48,2.49,2.43,324912.0,星期二,-0.0041,0.0164
2026-04-03,2.56,2.45,2.57,2.44,410280.0,星期五,0.0039,-0.043
2026-04-02,2.61,2.55,2.61,2.53,356084.0,星期四,0.0,-0.023
2026-04-01,2.65,2.61,2.65,2.59,290996.0,星期三,0.0232,-0.0151
2026-03-31,2.65,2.59,2.7,2.59,356754.0,星期二,0.0,-0.0226
2026-03-30,2.6,2.65,2.66,2.57,330075.0,星期一,-0.0152,0.0192
2026-03-27,2.57,2.64,2.65,2.57,287754.0,星期五,-0.0153,0.0272
2026-03-26,2.67,2.61,2.72,2.59,393771.0,星期四,-0.0037,-0.0225
2026-03-25,2.64,2.68,2.71,2.63,406331.0,星期三,0.0,0.0152
2026-03-24,2.59,2.64,2.64,2.53,552361.0,星期二,0.0237,0.0193
2026-03-23,2.65,2.53,2.65,2.51,665781.0,星期一,-0.0149,-0.0453
2026-03-20,2.81,2.69,2.82,2.69,670301.0,星期五,0.0036,-0.0427
2026-03-19,2.84,2.8,2.87,2.79,565978.0,星期四,-0.007,-0.0141
2026-03-18,2.85,2.86,2.88,2.82,487404.0,星期三,0.0071,0.0035
2026-03-17,2.83,2.83,2.91,2.82,723169.0,星期二,0.0,0.0
2026-03-16,2.81,2.83,2.85,2.8,340429.0,星期一,-0.0035,0.0071
2026-03-13,2.85,2.82,2.86,2.81,481068.0,星期五,-0.0035,-0.0105
2026-03-12,2.86,2.86,2.9,2.85,354038.0,星期四,-0.0035,0.0
