time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,6.12,5.98,6.16,5.96,165874.0,星期五,0.0016,-0.0229
2026-06-25,6.37,6.11,6.39,6.05,231363.0,星期四,-0.0031,-0.0408
2026-06-24,6.54,6.39,6.56,6.33,170084.0,星期三,0.0031,-0.0229
2026-06-23,6.58,6.52,6.72,6.47,174181.0,星期二,-0.009,-0.0091
2026-06-22,6.76,6.64,6.77,6.47,205791.0,星期一,-0.0029,-0.0178
2026-06-18,6.88,6.78,7.0,6.71,183027.0,星期四,-0.0029,-0.0145
2026-06-17,7.2,6.9,7.2,6.88,281677.0,星期三,0.0,-0.0417
2026-06-16,7.35,7.2,7.36,7.18,216956.0,星期二,-0.0041,-0.0204
2026-06-15,7.15,7.38,7.39,7.07,340427.0,星期一,0.02,0.0322
2026-06-12,6.91,7.01,7.27,6.82,294234.0,星期五,0.0058,0.0145
2026-06-11,7.24,6.87,7.34,6.73,292046.0,星期四,-0.0055,-0.0511
2026-06-10,7.09,7.28,7.41,7.0,333258.0,星期三,-0.007,0.0268
2026-06-09,7.19,7.14,7.3,7.05,203390.0,星期二,0.0084,-0.007
2026-06-08,7.09,7.13,7.31,7.07,169457.0,星期一,-0.0288,0.0056
2026-06-05,7.17,7.3,7.39,6.97,270119.0,星期五,-0.0028,0.0181
2026-06-04,7.28,7.19,7.43,7.14,206244.0,星期四,-0.0095,-0.0124
2026-06-03,7.12,7.35,7.54,7.09,300835.0,星期三,-0.0125,0.0323
2026-06-02,7.1,7.21,7.29,6.92,239265.0,星期二,0.0014,0.0155
2026-06-01,7.06,7.09,7.19,7.05,143082.0,星期一,-0.0056,0.0042
2026-05-29,7.08,7.1,7.3,6.95,233079.0,星期五,-0.0028,0.0028
2026-05-28,7.07,7.1,7.27,7.0,174115.0,星期四,0.0,0.0042
2026-05-27,7.34,7.07,7.4,7.02,230901.0,星期三,-0.0081,-0.0368
2026-05-26,7.58,7.4,7.67,7.28,252054.0,星期二,0.004,-0.0237
2026-05-25,7.64,7.55,7.7,7.46,236706.0,星期一,-0.0026,-0.0118
2026-05-22,7.8,7.66,7.87,7.6,362247.0,星期五,-0.0089,-0.0179
2026-05-21,7.44,7.87,8.07,7.44,456582.0,星期四,0.0013,0.0578
2026-05-20,7.66,7.43,7.67,7.36,206004.0,星期三,-0.0052,-0.03
2026-05-19,7.73,7.7,7.82,7.66,164353.0,星期二,0.0026,-0.0039
2026-05-18,7.8,7.71,7.83,7.66,204606.0,星期一,0.0,-0.0115
2026-05-15,7.61,7.8,7.96,7.6,308389.0,星期五,-0.0026,0.025
2026-05-14,7.83,7.63,7.89,7.63,247428.0,星期四,0.0013,-0.0255
2026-05-13,7.77,7.82,7.86,7.69,227039.0,星期三,-0.0026,0.0064
2026-05-12,7.76,7.79,7.98,7.73,223676.0,星期二,-0.0026,0.0039
2026-05-11,7.78,7.78,7.88,7.62,280118.0,星期一,0.0026,0.0
2026-05-08,7.47,7.76,7.87,7.4,363535.0,星期五,0.0013,0.0388
2026-05-07,7.25,7.46,7.48,7.18,230546.0,星期四,0.0042,0.029
2026-05-06,7.13,7.22,7.28,7.11,161800.0,星期三,0.0042,0.0126
2026-04-30,7.17,7.1,7.19,7.06,167447.0,星期四,-0.0042,-0.0098
2026-04-29,7.19,7.2,7.28,7.16,156372.0,星期三,-0.0042,0.0014
2026-04-28,7.13,7.22,7.42,7.08,207494.0,星期二,-0.0097,0.0126
2026-04-27,7.2,7.2,7.27,7.12,147159.0,星期一,-0.0069,0.0
2026-04-24,7.16,7.25,7.34,7.16,185591.0,星期五,-0.0056,0.0126
2026-04-23,7.39,7.2,7.39,7.16,245444.0,星期四,-0.0054,-0.0257
2026-04-22,7.63,7.43,7.66,7.33,332794.0,星期三,-0.0052,-0.0262
2026-04-21,7.96,7.67,7.97,7.58,369895.0,星期二,-0.0221,-0.0364
2026-04-20,8.26,8.14,8.27,8.13,156834.0,星期一,0.0,-0.0145
2026-04-17,8.25,8.26,8.3,8.19,118895.0,星期五,-0.0036,0.0012
2026-04-16,8.3,8.28,8.35,8.22,132291.0,星期四,0.0024,-0.0024
2026-04-15,8.25,8.28,8.37,8.19,173948.0,星期三,0.0061,0.0036
2026-04-14,8.18,8.2,8.22,8.11,140053.0,星期二,0.0074,0.0024
2026-04-13,8.05,8.12,8.18,8.01,111809.0,星期一,-0.0049,0.0087
