time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,6.18,6.1,6.31,6.08,52309.0,星期五,-0.0096,-0.0129
2026-06-25,6.41,6.24,6.41,6.2,64593.0,星期四,0.0,-0.0265
2026-06-24,6.74,6.41,6.81,6.32,81105.0,星期三,0.0,-0.049
2026-06-23,6.58,6.74,6.86,6.42,80830.0,星期二,0.0154,0.0243
2026-06-22,6.47,6.48,6.52,6.18,70504.0,星期一,0.0047,0.0015
2026-06-18,6.47,6.44,6.58,6.37,46085.0,星期四,-0.0046,-0.0046
2026-06-17,6.69,6.5,6.7,6.46,47975.0,星期三,0.0015,-0.0284
2026-06-16,6.76,6.68,6.84,6.57,56023.0,星期二,-0.0073,-0.0118
2026-06-15,6.8,6.81,7.0,6.8,47828.0,星期一,0.0029,0.0015
2026-06-12,6.75,6.78,6.91,6.66,55425.0,星期五,0.0075,0.0044
2026-06-11,6.68,6.7,6.77,6.53,49067.0,星期四,-0.0074,0.003
2026-06-10,6.63,6.73,6.78,6.57,58266.0,星期三,-0.0104,0.0151
2026-06-09,6.78,6.7,6.88,6.62,48542.0,星期二,0.0074,-0.0118
2026-06-08,6.81,6.73,6.94,6.65,65512.0,星期一,-0.013,-0.0117
2026-06-05,6.85,6.9,7.02,6.76,61346.0,星期五,0.0059,0.0073
2026-06-04,6.92,6.81,6.97,6.76,46791.0,星期四,-0.0014,-0.0159
2026-06-03,7.05,6.93,7.07,6.86,53646.0,星期三,0.0028,-0.017
2026-06-02,7.27,7.03,7.34,7.01,62021.0,星期二,0.0,-0.033
2026-06-01,6.99,7.27,7.34,6.96,70482.0,星期一,-0.0085,0.0401
2026-05-29,7.09,7.05,7.15,6.98,61728.0,星期五,-0.0014,-0.0056
2026-05-28,7.2,7.1,7.26,6.94,64289.0,星期四,0.0014,-0.0139
2026-05-27,7.36,7.19,7.44,7.05,83345.0,星期三,0.0027,-0.0231
2026-05-26,7.68,7.34,7.68,7.28,82274.0,星期二,0.0,-0.0443
2026-05-25,7.8,7.68,7.9,7.61,46722.0,星期一,-0.0026,-0.0154
2026-05-22,7.66,7.82,7.92,7.55,57586.0,星期五,0.0039,0.0209
2026-05-21,7.96,7.63,8.11,7.57,60512.0,星期四,-0.0013,-0.0415
2026-05-20,8.14,7.97,8.14,7.91,42966.0,星期三,0.0,-0.0209
2026-05-19,8.1,8.14,8.24,8.0,44380.0,星期二,0.0012,0.0049
2026-05-18,7.95,8.09,8.13,7.89,56692.0,星期一,-0.0013,0.0176
2026-05-15,8.09,7.96,8.14,7.94,64614.0,星期五,-0.0012,-0.0161
2026-05-14,8.19,8.1,8.25,8.1,45152.0,星期四,0.0,-0.011
2026-05-13,8.24,8.19,8.32,8.16,53502.0,星期三,0.0037,-0.0061
2026-05-12,8.38,8.21,8.41,8.21,59534.0,星期二,0.0,-0.0203
2026-05-11,8.36,8.38,8.4,8.26,62691.0,星期一,0.0,0.0024
2026-05-08,8.28,8.36,8.39,8.2,75385.0,星期五,0.0049,0.0097
2026-05-07,8.22,8.24,8.42,8.2,80104.0,星期四,-0.012,0.0024
2026-05-06,8.33,8.32,8.39,8.21,100352.0,星期三,0.0,-0.0012
2026-04-30,8.31,8.33,8.43,8.26,74395.0,星期四,0.0024,0.0024
2026-04-29,8.16,8.29,8.36,8.11,93409.0,星期三,-0.0012,0.0159
2026-04-28,8.26,8.17,8.32,8.1,129874.0,星期二,0.011,-0.0109
2026-04-27,8.07,8.17,8.39,7.91,194243.0,星期一,0.0481,0.0124
2026-04-24,7.53,7.7,7.74,7.48,62387.0,星期五,-0.0053,0.0226
2026-04-23,7.64,7.57,7.65,7.48,40251.0,星期四,-0.0013,-0.0092
2026-04-22,7.65,7.65,7.7,7.6,42001.0,星期三,-0.0026,0.0
2026-04-21,7.66,7.67,7.74,7.6,56080.0,星期二,-0.0026,0.0013
2026-04-20,7.54,7.68,7.68,7.43,86318.0,星期一,0.0013,0.0186
2026-04-17,7.9,7.53,7.92,7.44,119988.0,星期五,-0.0075,-0.0468
2026-04-16,7.97,7.96,7.97,7.74,61186.0,星期四,0.005,-0.0013
2026-04-15,7.83,7.93,7.98,7.74,75578.0,星期三,0.0064,0.0128
2026-04-14,7.89,7.78,7.89,7.64,61178.0,星期二,0.0102,-0.0139
2026-04-13,7.97,7.81,7.97,7.65,71884.0,星期一,0.0025,-0.0201
2026-04-10,7.89,7.95,8.08,7.83,62551.0,星期五,0.0038,0.0076
