time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,47.7,46.74,47.88,46.55,66671.0,星期五,0.0013,-0.0201
2026-06-25,48.1,47.64,48.8,47.45,45459.0,星期四,0.0,-0.0096
2026-06-24,48.18,48.1,48.5,47.55,37271.0,星期三,-0.006,-0.0017
2026-06-23,49.78,48.47,50.5,48.13,54565.0,星期二,-0.0004,-0.0263
2026-06-22,50.16,49.8,50.47,48.76,65721.0,星期一,-0.0063,-0.0072
2026-06-18,49.53,50.48,51.68,49.22,78001.0,星期四,0.0006,0.0192
2026-06-17,48.11,49.5,51.33,47.88,97521.0,星期三,0.0004,0.0289
2026-06-16,49.49,48.09,50.77,47.89,93409.0,星期二,0.0024,-0.0283
2026-06-15,50.12,49.37,50.3,48.49,77618.0,星期一,0.0416,-0.015
2026-06-12,50.8,48.12,51.13,48.12,101271.0,星期五,0.0156,-0.0528
2026-06-11,50.69,50.02,50.84,49.8,38186.0,星期四,-0.0018,-0.0132
2026-06-10,51.0,50.78,51.86,50.0,40309.0,星期三,-0.0122,-0.0043
2026-06-09,49.17,51.63,52.21,48.5,86654.0,星期二,-0.0006,0.05
2026-06-08,50.1,49.2,51.29,48.61,93463.0,星期一,-0.0136,-0.018
2026-06-05,52.24,50.79,52.43,50.51,58547.0,星期五,0.0,-0.0278
2026-06-04,52.08,52.24,52.77,51.78,39207.0,星期四,-0.0025,0.0031
2026-06-03,53.09,52.21,54.04,51.81,55840.0,星期三,0.0,-0.0166
2026-06-02,52.61,53.09,53.68,51.31,55791.0,星期二,0.0002,0.0091
2026-06-01,52.03,52.6,53.5,51.68,47006.0,星期一,-0.0054,0.011
2026-05-29,53.05,52.31,53.81,52.31,64050.0,星期五,0.0076,-0.0139
2026-05-28,52.8,52.65,53.07,51.9,38734.0,星期四,-0.0053,-0.0028
2026-05-27,54.17,53.08,54.98,52.5,56532.0,星期三,0.0004,-0.0201
2026-05-26,55.27,54.15,55.46,53.89,53229.0,星期二,-0.0054,-0.0203
2026-05-25,56.58,55.57,57.0,55.18,55098.0,星期一,0.0032,-0.0179
2026-05-22,56.08,56.4,57.5,55.79,44688.0,星期五,0.0,0.0057
2026-05-21,56.99,56.08,57.87,56.08,43276.0,星期四,0.0023,-0.016
2026-05-20,56.78,56.86,57.07,55.3,47076.0,星期三,-0.0039,0.0014
2026-05-19,57.33,57.0,57.67,55.02,60848.0,星期二,-0.0003,-0.0058
2026-05-18,58.55,57.35,58.79,56.83,66062.0,星期一,-0.0071,-0.0205
2026-05-15,59.0,58.97,59.98,58.41,53524.0,星期五,-0.0002,-0.0005
2026-05-14,59.8,59.01,60.88,58.42,56366.0,星期四,0.0002,-0.0132
2026-05-13,57.95,59.79,60.15,57.8,74789.0,星期三,-0.0033,0.0318
2026-05-12,59.22,58.14,59.47,57.42,60813.0,星期二,0.0002,-0.0182
2026-05-11,59.5,59.21,60.3,58.5,77738.0,星期一,-0.3103,-0.0049
2026-05-08,87.1,86.27,87.1,83.36,51264.0,星期五,-0.0029,-0.0095
2026-05-07,89.96,87.35,89.96,87.13,49490.0,星期四,0.0001,-0.029
2026-05-06,87.53,89.95,91.21,87.4,56836.0,星期三,0.0009,0.0276
2026-04-30,88.0,87.45,89.7,85.6,58319.0,星期四,-0.0234,-0.0062
2026-04-29,87.56,90.11,90.66,87.17,39748.0,星期三,0.0,0.0291
2026-04-28,87.45,87.56,88.09,86.79,25827.0,星期二,0.0001,0.0013
2026-04-27,89.22,87.44,89.86,87.0,34211.0,星期一,-0.0002,-0.02
2026-04-24,90.5,89.24,91.55,87.91,35291.0,星期五,-0.004,-0.0139
2026-04-23,94.7,90.86,98.5,90.33,62753.0,星期四,0.0313,-0.0405
2026-04-22,87.66,91.83,92.47,87.4,57301.0,星期三,-0.0061,0.0476
2026-04-21,88.45,88.2,89.19,86.5,45560.0,星期二,0.0,-0.0028
