time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,7.36,6.95,7.46,6.94,678875.0,星期五,0.0,-0.0557
2026-06-25,7.61,7.36,7.65,7.33,581393.0,星期四,-0.0091,-0.0329
2026-06-24,8.05,7.68,8.09,7.65,667433.0,星期三,-0.0025,-0.046
2026-06-23,8.16,8.07,8.39,8.05,475912.0,星期二,-0.0049,-0.011
2026-06-22,8.34,8.2,8.35,8.06,557700.0,星期一,-0.0012,-0.0168
2026-06-18,8.78,8.35,8.84,8.23,842617.0,星期四,0.0034,-0.049
2026-06-17,9.11,8.75,9.24,8.71,690678.0,星期三,0.0011,-0.0395
2026-06-16,8.91,9.1,9.38,8.9,680766.0,星期二,-0.0111,0.0213
2026-06-15,8.83,9.01,9.02,8.73,602838.0,星期一,0.008,0.0204
2026-06-12,8.78,8.76,8.94,8.55,642515.0,星期五,0.0046,-0.0023
2026-06-11,8.62,8.74,9.15,8.53,816881.0,星期四,-0.0046,0.0139
2026-06-10,9.23,8.66,9.3,8.6,1042042.0,星期三,-0.0139,-0.0618
2026-06-09,9.65,9.36,9.7,8.98,1096521.0,星期二,0.0094,-0.0301
2026-06-08,9.41,9.56,10.15,9.35,1213830.0,星期一,-0.0427,0.0159
2026-06-05,10.46,9.83,11.13,9.63,1717901.0,星期五,-0.0038,-0.0602
2026-06-04,10.03,10.5,10.99,9.91,1995938.0,星期四,-0.0262,0.0469
2026-06-03,10.0,10.3,10.65,9.63,1783411.0,星期三,-0.0403,0.03
2026-06-02,10.09,10.42,10.82,9.72,2204760.0,星期二,-0.003,0.0327
2026-06-01,9.96,10.12,10.12,9.49,1471421.0,星期一,0.0826,0.0161
2026-05-29,8.38,9.2,9.2,8.32,739458.0,星期五,0.0024,0.0979
2026-05-28,8.23,8.36,8.49,8.21,482333.0,星期四,0.0024,0.0158
2026-05-27,8.2,8.21,8.32,8.13,335257.0,星期三,-0.0061,0.0012
2026-05-26,8.18,8.25,8.33,8.06,344915.0,星期二,-0.0073,0.0086
2026-05-25,8.03,8.24,8.27,7.98,354973.0,星期一,0.0012,0.0262
2026-05-22,8.1,8.02,8.17,7.89,428048.0,星期五,-0.0049,-0.0099
2026-05-21,8.21,8.14,8.48,8.08,478840.0,星期四,-0.0036,-0.0085
2026-05-20,8.61,8.24,8.64,8.2,535227.0,星期三,-0.0092,-0.043
2026-05-19,8.45,8.69,8.73,8.31,609976.0,星期二,0.0012,0.0284
2026-05-18,8.02,8.44,8.85,8.02,674784.0,星期一,-0.0123,0.0524
2026-05-15,8.18,8.12,8.28,7.9,420325.0,星期五,-0.0037,-0.0073
2026-05-14,8.59,8.21,8.66,8.17,571465.0,星期四,0.0047,-0.0442
2026-05-13,8.25,8.55,8.66,8.15,753099.0,星期三,0.0049,0.0364
2026-05-12,7.94,8.21,8.38,7.93,615708.0,星期二,0.0,0.034
2026-05-11,7.9,7.94,7.97,7.83,207825.0,星期一,0.0,0.0051
2026-05-08,7.79,7.9,7.97,7.78,210182.0,星期五,-0.0026,0.0141
2026-05-07,7.79,7.81,7.88,7.77,192453.0,星期四,0.0013,0.0026
2026-05-06,7.7,7.78,7.87,7.67,264728.0,星期三,0.0105,0.0104
2026-04-30,7.74,7.62,7.76,7.6,178986.0,星期四,-0.0026,-0.0155
2026-04-29,7.63,7.76,7.78,7.6,166027.0,星期三,-0.0039,0.017
2026-04-28,7.6,7.66,7.68,7.57,145803.0,星期二,0.0,0.0079
2026-04-27,7.66,7.6,7.66,7.51,201569.0,星期一,-0.0052,-0.0078
2026-04-24,7.8,7.7,7.83,7.67,208616.0,星期五,-0.0076,-0.0128
2026-04-23,7.72,7.86,7.9,7.64,285501.0,星期四,-0.0013,0.0181
2026-04-22,7.75,7.73,7.89,7.71,285570.0,星期三,-0.0051,-0.0026
2026-04-21,8.03,7.79,8.05,7.58,478673.0,星期二,-0.0074,-0.0299
2026-04-20,8.01,8.09,8.14,8.0,151345.0,星期一,-0.0025,0.01
2026-04-17,8.08,8.03,8.13,8.02,100913.0,星期五,0.0,-0.0062
2026-04-16,8.03,8.08,8.11,8.01,110546.0,星期四,-0.0012,0.0062
2026-04-15,8.1,8.04,8.12,8.02,135026.0,星期三,0.005,-0.0074
2026-04-14,8.08,8.06,8.15,7.99,128325.0,星期二,0.0012,-0.0025
