time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,4.6,4.54,4.63,4.48,145123.0,星期五,-0.0086,-0.013
2026-06-25,4.67,4.64,4.79,4.61,141665.0,星期四,-0.0021,-0.0064
2026-06-24,4.86,4.68,4.89,4.65,127871.0,星期三,-0.0041,-0.037
2026-06-23,4.78,4.88,4.96,4.78,129803.0,星期二,-0.0083,0.0209
2026-06-22,4.74,4.82,4.83,4.64,142369.0,星期一,-0.0104,0.0169
2026-06-18,4.8,4.79,4.83,4.74,111977.0,星期四,-0.0062,-0.0021
2026-06-17,4.95,4.83,4.97,4.79,161090.0,星期三,-0.006,-0.0242
2026-06-16,4.97,4.98,5.0,4.84,174004.0,星期二,0.0,0.002
2026-06-15,5.12,4.97,5.22,4.95,186905.0,星期一,0.0,-0.0293
2026-06-12,5.02,5.12,5.15,4.95,143767.0,星期五,0.004,0.0199
2026-06-11,5.05,5.0,5.09,4.95,117880.0,星期四,-0.0098,-0.0099
2026-06-10,5.06,5.1,5.14,5.0,115807.0,星期三,-0.0098,0.0079
2026-06-09,5.08,5.11,5.15,5.0,140962.0,星期二,0.002,0.0059
2026-06-08,5.12,5.07,5.33,5.0,179615.0,星期一,-0.021,-0.0098
2026-06-05,5.11,5.23,5.32,5.08,222495.0,星期五,0.002,0.0235
2026-06-04,5.27,5.1,5.36,5.04,195035.0,星期四,-0.0038,-0.0323
2026-06-03,5.43,5.29,5.43,5.23,171534.0,星期三,0.0,-0.0258
2026-06-02,5.66,5.43,5.69,5.39,238676.0,星期二,-0.0053,-0.0406
2026-06-01,5.5,5.69,5.79,5.41,317124.0,星期一,0.0,0.0345
2026-05-29,5.35,5.5,5.78,5.35,302664.0,星期五,0.0,0.028
2026-05-28,5.33,5.35,5.39,5.23,97111.0,星期四,-0.0019,0.0038
2026-05-27,5.37,5.34,5.39,5.21,140282.0,星期三,0.0,-0.0056
2026-05-26,5.5,5.37,5.55,5.31,116948.0,星期二,-0.0036,-0.0236
2026-05-25,5.6,5.52,5.66,5.47,117030.0,星期一,-0.0018,-0.0143
2026-05-22,5.56,5.61,5.65,5.51,119745.0,星期五,0.0054,0.009
2026-05-21,5.75,5.53,5.82,5.5,130635.0,星期四,0.0017,-0.0383
2026-05-20,5.84,5.74,5.84,5.71,105606.0,星期三,0.0034,-0.0171
