time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,14.01,13.37,14.23,13.35,270643.0,星期五,0.0007,-0.0457
2026-06-25,14.83,14.0,14.87,13.88,285823.0,星期四,0.0,-0.056
2026-06-24,14.78,14.83,15.12,14.3,236606.0,星期三,-0.0094,0.0034
2026-06-23,14.92,14.92,15.5,14.81,292044.0,星期二,-0.004,0.0
2026-06-22,15.14,14.98,15.49,14.28,412965.0,星期一,-0.0026,-0.0106
2026-06-18,14.17,15.18,15.42,14.16,460532.0,星期四,0.0028,0.0713
2026-06-17,13.87,14.13,14.59,13.75,293931.0,星期三,-0.005,0.0187
2026-06-16,13.39,13.94,14.21,13.23,315438.0,星期二,-0.0015,0.0411
2026-06-15,13.16,13.41,13.72,13.11,296050.0,星期一,0.0046,0.019
2026-06-12,13.99,13.1,14.4,13.04,354814.0,星期五,0.0145,-0.0636
2026-06-11,14.12,13.79,14.56,13.59,303996.0,星期四,-0.0084,-0.0234
2026-06-10,14.45,14.24,14.54,13.79,343138.0,星期三,-0.017,-0.0145
2026-06-09,15.14,14.7,15.43,14.45,439849.0,星期二,0.0033,-0.0291
2026-06-08,15.24,15.09,15.83,14.94,585556.0,星期一,-0.0391,-0.0098
2026-06-05,14.28,15.86,15.86,14.23,615242.0,星期五,-0.0097,0.1106
2026-06-04,13.94,14.42,14.97,13.87,302582.0,星期四,-0.0099,0.0344
2026-06-03,13.4,14.08,14.6,13.17,305641.0,星期三,0.0007,0.0507
2026-06-02,13.72,13.39,13.8,13.27,161255.0,星期二,0.0088,-0.0241
2026-06-01,13.61,13.6,14.12,13.43,189150.0,星期一,-0.0066,-0.0007
2026-05-29,14.85,13.7,14.95,13.58,271079.0,星期五,-0.0013,-0.0774
2026-05-28,15.12,14.87,15.28,14.59,228634.0,星期四,0.0,-0.0165
2026-05-27,15.65,15.12,15.68,15.05,222006.0,星期三,-0.0063,-0.0339
2026-05-26,15.69,15.75,16.15,15.41,263392.0,星期二,0.0058,0.0038
2026-05-25,15.99,15.6,16.35,15.4,257489.0,星期一,0.0006,-0.0244
2026-05-22,15.4,15.98,16.05,15.11,308422.0,星期五,0.0079,0.0377
2026-05-21,15.47,15.28,16.3,15.27,327329.0,星期四,0.0059,-0.0123
2026-05-20,15.48,15.38,15.56,15.08,265771.0,星期三,-0.0146,-0.0065
2026-05-19,16.32,15.71,16.5,15.58,339090.0,星期二,0.0316,-0.0374
2026-05-18,15.41,15.82,16.08,15.26,274809.0,星期一,-0.0077,0.0266
2026-05-15,15.25,15.53,15.98,14.92,337696.0,星期五,-0.0104,0.0184
2026-05-14,15.83,15.41,16.07,15.34,251251.0,星期四,-0.0013,-0.0265
2026-05-13,15.47,15.85,15.94,15.32,308808.0,星期三,-0.0128,0.0246
2026-05-12,15.34,15.67,15.76,15.08,418341.0,星期二,0.0013,0.0215
2026-05-11,14.3,15.32,15.76,14.2,581732.0,星期一,-0.0021,0.0713
2026-05-08,13.79,14.33,14.41,13.76,272843.0,星期五,-0.0115,0.0392
2026-05-07,13.51,13.95,14.13,13.41,245861.0,星期四,0.0,0.0326
2026-05-06,13.34,13.51,13.64,13.3,156259.0,星期三,0.0,0.0127
2026-04-30,13.13,13.34,13.5,13.13,132881.0,星期四,-0.003,0.016
2026-04-29,13.15,13.17,13.43,13.11,131638.0,星期三,-0.0015,0.0015
2026-04-28,13.48,13.17,13.48,13.11,135735.0,星期二,-0.0022,-0.023
2026-04-27,13.02,13.51,13.76,12.95,192446.0,星期一,0.0008,0.0376
2026-04-24,13.22,13.01,13.22,12.84,141037.0,星期五,0.0,-0.0159
2026-04-23,13.57,13.22,13.57,13.14,177061.0,星期四,0.0,-0.0258
2026-04-22,13.52,13.57,13.7,13.45,194166.0,星期三,-0.0037,0.0037
2026-04-21,13.48,13.57,13.95,13.36,319182.0,星期二,-0.0153,0.0067
2026-04-20,14.51,13.69,14.51,13.4,603166.0,星期一,-0.0143,-0.0565
2026-04-17,14.02,14.72,14.98,13.6,551319.0,星期五,0.0174,0.0499
2026-04-16,13.22,13.78,14.16,13.22,319396.0,星期四,0.0076,0.0424
2026-04-15,13.32,13.12,13.48,13.05,127701.0,星期三,0.0045,-0.015
2026-04-14,13.39,13.26,13.4,13.14,124146.0,星期二,0.0144,-0.0097
2026-04-13,13.37,13.2,13.64,13.15,198279.0,星期一,-0.0045,-0.0127
2026-04-10,13.6,13.43,13.86,13.41,320287.0,星期五,0.0082,-0.0125
2026-04-09,12.64,13.49,13.9,12.58,474310.0,星期四,-0.0117,0.0672
2026-04-08,12.03,12.79,12.79,11.95,201968.0,星期三,0.0344,0.0632
2026-04-07,11.31,11.63,11.88,11.26,90113.0,星期二,0.0071,0.0283
2026-04-03,11.65,11.23,11.69,11.21,59289.0,星期五,0.0034,-0.0361
2026-04-02,11.94,11.61,11.94,11.52,61614.0,星期四,0.0008,-0.0276
2026-04-01,11.88,11.93,12.15,11.86,74902.0,星期三,0.0137,0.0042
2026-03-31,11.95,11.72,11.97,11.7,66661.0,星期二,0.0042,-0.0192
2026-03-30,11.71,11.9,11.96,11.66,49357.0,星期一,-0.0184,0.0162
2026-03-27,11.5,11.93,12.02,11.47,65363.0,星期五,-0.012,0.0374
2026-03-26,11.79,11.64,11.87,11.58,58657.0,星期四,-0.0025,-0.0127
