time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,8.41,8.06,8.49,7.95,930629.0,星期五,0.0012,-0.0416
2026-06-25,8.5,8.4,8.56,8.32,956088.0,星期四,-0.0263,-0.0118
2026-06-24,8.66,8.73,8.77,8.47,861195.0,星期三,0.0,0.0081
2026-06-23,9.46,8.66,9.49,8.64,1712719.0,星期二,-0.0146,-0.0846
2026-06-22,9.03,9.6,9.6,8.98,1338248.0,星期一,-0.012,0.0631
2026-06-18,9.19,9.14,9.38,9.02,879062.0,星期四,-0.0054,-0.0054
2026-06-17,9.3,9.24,9.41,9.13,843601.0,星期三,0.0,-0.0065
2026-06-16,9.43,9.3,9.46,9.23,1169802.0,星期二,-0.0146,-0.0138
2026-06-15,9.37,9.57,9.57,9.28,1576104.0,星期一,0.04,0.0213
2026-06-12,8.9,9.01,9.42,8.78,1864248.0,星期五,0.0253,0.0124
2026-06-11,8.46,8.68,8.79,8.43,921071.0,星期四,-0.007,0.026
2026-06-10,8.46,8.52,8.63,8.36,845649.0,星期三,-0.0298,0.0071
2026-06-09,8.67,8.72,8.74,8.45,741883.0,星期二,0.02,0.0058
2026-06-08,8.63,8.5,8.82,8.36,1079759.0,星期一,-0.0496,-0.0151
2026-06-05,9.24,9.08,9.3,9.03,799160.0,星期五,-0.0043,-0.0173
2026-06-04,9.38,9.28,9.43,9.22,663163.0,星期四,-0.0085,-0.0107
2026-06-03,9.38,9.46,9.6,9.31,743392.0,星期三,-0.0219,0.0085
2026-06-02,9.36,9.59,9.62,9.12,1043753.0,星期二,-0.0032,0.0246
2026-06-01,9.33,9.39,9.51,9.26,819046.0,星期一,-0.0064,0.0064
2026-05-29,9.86,9.39,9.93,9.29,1025424.0,星期五,0.0218,-0.0477
2026-05-28,9.65,9.65,9.72,9.33,1161204.0,星期四,0.0,0.0
2026-05-27,10.11,9.65,10.17,9.61,1419619.0,星期三,-0.0165,-0.0455
2026-05-26,10.05,10.28,10.28,9.91,1319201.0,星期二,-0.0118,0.0229
2026-05-25,10.42,10.17,10.62,10.13,1092856.0,星期一,0.0246,-0.024
2026-05-22,9.95,10.17,10.22,9.78,1075163.0,星期五,0.0071,0.0221
2026-05-21,10.46,9.88,10.61,9.85,1304612.0,星期四,0.0175,-0.0554
2026-05-20,10.4,10.28,10.41,10.01,1219333.0,星期三,-0.0114,-0.0115
2026-05-19,10.75,10.52,10.82,10.28,1198791.0,星期二,0.0028,-0.0214
2026-05-18,10.62,10.72,10.83,10.42,1380506.0,星期一,-0.0345,0.0094
2026-05-15,11.6,11.0,11.66,10.91,2165560.0,星期五,-0.0169,-0.0517
2026-05-14,12.22,11.8,12.39,11.79,1560762.0,星期四,0.0,-0.0344
2026-05-13,12.76,12.22,12.79,12.14,1889282.0,星期三,0.0159,-0.0423
2026-05-12,13.01,12.56,13.3,12.45,2920738.0,星期二,0.0467,-0.0346
2026-05-11,12.59,12.43,12.75,12.3,1496052.0,星期一,-0.0071,-0.0127
2026-05-08,12.62,12.68,12.85,12.44,1730143.0,星期五,0.0104,0.0048
2026-05-07,12.58,12.49,12.65,12.18,1771773.0,星期四,0.0253,-0.0072
2026-05-06,11.75,12.27,12.36,11.74,1926642.0,星期三,0.0164,0.0443
2026-04-30,11.41,11.56,11.68,11.25,1084181.0,星期四,-0.0009,0.0131
2026-04-29,10.91,11.42,11.45,10.82,1373373.0,星期三,-0.0091,0.0467
2026-04-28,11.32,11.01,11.34,10.92,1228132.0,星期二,-0.007,-0.0274
2026-04-27,11.46,11.4,11.56,11.28,866238.0,星期一,-0.0095,-0.0052
2026-04-24,11.69,11.57,11.72,11.31,1307462.0,星期五,-0.0085,-0.0103
2026-04-23,12.69,11.79,12.71,11.6,3012083.0,星期四,0.0016,-0.0709
2026-04-22,12.2,12.67,12.72,11.93,1970400.0,星期三,-0.0113,0.0385
2026-04-21,12.39,12.34,12.43,12.02,1158055.0,星期二,0.0057,-0.004
2026-04-20,12.09,12.32,12.44,12.09,1664595.0,星期一,0.0008,0.019
2026-04-17,11.86,12.08,12.19,11.75,1417454.0,星期五,-0.0158,0.0185
2026-04-16,12.13,12.05,12.18,11.74,1668134.0,星期四,0.0159,-0.0066
2026-04-15,12.48,11.94,12.54,11.88,2434446.0,星期三,0.0331,-0.0433
2026-04-14,12.09,12.08,12.17,11.83,1284457.0,星期二,0.0177,-0.0008
2026-04-13,11.84,11.88,11.92,11.7,1008477.0,星期一,-0.0067,0.0034
2026-04-10,12.26,11.92,12.4,11.9,1646090.0,星期五,0.0157,-0.0277
2026-04-09,12.06,12.07,12.25,11.82,1961386.0,星期四,-0.0344,0.0008
2026-04-08,12.0,12.49,12.49,11.91,2125424.0,星期三,0.0573,0.0408
2026-04-07,11.31,11.35,11.45,11.23,811309.0,星期二,0.0,0.0035
2026-04-03,11.68,11.31,11.75,11.19,998097.0,星期五,0.0113,-0.0317
2026-04-02,11.87,11.55,11.91,11.41,1598912.0,星期四,-0.0149,-0.027
2026-04-01,12.34,12.05,12.46,11.86,1905544.0,星期三,0.0249,-0.0235
2026-03-31,12.16,12.04,12.56,11.96,2275988.0,星期二,0.0133,-0.0099
2026-03-30,11.76,12.0,12.04,11.58,1277268.0,星期一,-0.0034,0.0204
2026-03-27,11.39,11.8,11.92,11.37,1369030.0,星期五,-0.0232,0.036
2026-03-26,11.84,11.66,12.1,11.55,1398856.0,星期四,-0.0239,-0.0152
2026-03-25,12.49,12.13,12.68,12.01,2373229.0,星期三,0.073,-0.0288
2026-03-24,11.68,11.64,11.74,11.21,1784455.0,星期二,0.0494,-0.0034
2026-03-23,11.95,11.13,12.04,11.03,2217834.0,星期一,-0.0237,-0.0686
2026-03-20,12.51,12.24,12.84,12.24,1687476.0,星期五,0.0212,-0.0216
2026-03-19,12.61,12.25,12.8,12.16,1641223.0,星期四,-0.0374,-0.0285
2026-03-18,13.19,13.1,13.32,12.89,1115518.0,星期三,-0.0045,-0.0068
2026-03-17,13.47,13.25,13.63,13.22,1272465.0,星期二,0.0166,-0.0163
2026-03-16,13.28,13.25,13.42,12.9,1823930.0,星期一,-0.0178,-0.0023
2026-03-13,13.99,13.52,14.16,13.44,1603719.0,星期五,-0.012,-0.0336
2026-03-12,14.51,14.16,14.61,13.94,1659703.0,星期四,-0.0109,-0.0241
2026-03-11,15.19,14.67,15.23,14.55,1608532.0,星期三,0.004,-0.0342
2026-03-10,15.28,15.13,15.44,15.01,1810691.0,星期二,0.0359,-0.0098
2026-03-09,14.51,14.75,14.99,14.08,1937532.0,星期一,-0.0242,0.0165
2026-03-06,14.68,14.87,15.1,14.46,1617302.0,星期五,-0.0081,0.0129
2026-03-05,15.41,14.8,15.49,14.58,2058237.0,星期四,0.0205,-0.0396
2026-03-04,14.26,15.1,15.67,14.26,2469172.0,星期三,-0.09,0.0589
