time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,10.84,10.56,10.94,10.54,52507.0,星期五,-0.0091,-0.0258
2026-06-25,11.13,10.94,11.18,10.86,45534.0,星期四,-0.0045,-0.0171
2026-06-24,11.3,11.18,11.68,11.02,53019.0,星期三,-0.007,-0.0106
2026-06-23,11.04,11.38,11.44,10.93,63628.0,星期二,-0.0045,0.0308
2026-06-22,10.43,11.09,11.12,10.27,79762.0,星期一,-0.0076,0.0633
2026-06-18,10.71,10.51,10.79,10.44,47879.0,星期四,-0.0065,-0.0187
2026-06-17,10.92,10.78,10.93,10.74,32576.0,星期三,-0.0055,-0.0128
2026-06-16,10.96,10.98,11.14,10.66,49430.0,星期二,-0.0036,0.0018
2026-06-15,11.1,11.0,11.36,10.96,55146.0,星期一,0.0009,-0.009
2026-06-12,10.62,11.09,11.28,10.4,83503.0,星期五,0.0009,0.0443
2026-06-11,10.61,10.61,10.97,10.43,60521.0,星期四,-0.0047,0.0
2026-06-10,10.9,10.66,11.14,10.53,64409.0,星期三,-0.0037,-0.022
2026-06-09,10.76,10.94,11.13,10.62,93775.0,星期二,0.0047,0.0167
2026-06-08,10.58,10.71,11.24,10.4,109191.0,星期一,-0.014,0.0123
2026-06-05,10.68,10.73,10.9,10.45,34086.0,星期五,0.0,0.0047
2026-06-04,10.84,10.68,10.88,10.6,31926.0,星期四,-0.0055,-0.0148
2026-06-03,10.98,10.9,11.07,10.78,37854.0,星期三,-0.0018,-0.0073
2026-06-02,11.45,11.0,11.45,10.95,45930.0,星期二,-0.0009,-0.0393
2026-06-01,11.07,11.46,11.53,10.92,54678.0,星期一,0.0009,0.0352
2026-05-29,11.21,11.06,11.27,11.0,50667.0,星期五,0.0027,-0.0134
2026-05-28,11.22,11.18,11.34,10.92,39457.0,星期四,0.0027,-0.0036
2026-05-27,11.5,11.19,11.51,11.05,44395.0,星期三,0.0017,-0.027
2026-05-26,11.56,11.48,11.61,11.3,39923.0,星期二,-0.0034,-0.0069
2026-05-25,12.02,11.6,12.15,11.51,47439.0,星期一,0.0033,-0.0349
