time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,34.2,34.6,35.54,33.07,318779.0,星期五,-0.0023,0.0117
2026-06-25,35.27,34.28,36.11,34.0,241970.0,星期四,-0.009,-0.0281
2026-06-24,34.99,35.59,35.99,34.68,203664.0,星期三,0.0,0.0171
2026-06-23,35.81,34.99,36.26,34.82,206504.0,星期二,-0.0157,-0.0229
2026-06-22,37.12,36.38,37.44,34.81,307282.0,星期一,0.0003,-0.0199
2026-06-18,36.44,37.11,37.73,35.75,264453.0,星期四,-0.0178,0.0184
2026-06-17,36.2,37.1,38.41,36.15,278109.0,星期三,-0.015,0.0249
2026-06-16,38.3,36.75,39.3,36.63,285997.0,星期二,0.0232,-0.0405
2026-06-15,36.81,37.43,37.66,35.72,238055.0,星期一,-0.0054,0.0168
2026-06-12,38.33,37.01,38.97,36.8,254971.0,星期五,0.01,-0.0344
2026-06-11,36.45,37.95,38.98,35.72,268258.0,星期四,-0.0149,0.0412
2026-06-10,39.21,37.0,39.63,35.85,289806.0,星期三,-0.0133,-0.0564
2026-06-09,40.97,39.74,41.37,38.2,291573.0,星期二,0.0,-0.03
2026-06-08,40.4,40.97,42.99,39.79,322421.0,星期一,-0.0494,0.0141
2026-06-05,41.0,42.5,43.23,40.34,442767.0,星期五,0.0314,0.0366
2026-06-04,39.4,39.75,39.93,38.9,167952.0,星期四,-0.0155,0.0089
2026-06-03,39.28,40.02,41.3,39.08,300562.0,星期三,0.0023,0.0188
2026-06-02,39.2,39.19,39.7,37.56,264429.0,星期二,0.0003,-0.0003
2026-06-01,40.7,39.19,41.19,39.1,283853.0,星期一,-0.0242,-0.0371
2026-05-29,45.51,41.71,45.8,41.71,359422.0,星期五,-0.0179,-0.0835
2026-05-28,44.68,46.34,46.5,43.72,256150.0,星期四,-0.0174,0.0372
2026-05-27,47.02,45.47,47.8,44.32,305413.0,星期三,0.018,-0.033
2026-05-26,47.5,46.19,49.4,45.87,347280.0,星期二,-0.0186,-0.0276
2026-05-25,48.29,48.4,49.0,46.5,365340.0,星期一,0.0207,0.0023
2026-05-22,46.7,47.31,47.55,45.5,256536.0,星期五,0.0024,0.0131
2026-05-21,49.94,46.59,49.99,46.0,406206.0,星期四,0.0118,-0.0671
2026-05-20,48.4,49.36,50.13,47.79,439667.0,星期三,0.0014,0.0198
2026-05-19,50.36,48.33,50.85,47.5,401463.0,星期二,0.0018,-0.0403
2026-05-18,49.6,50.27,53.21,49.02,565587.0,星期一,0.0254,0.0135
2026-05-15,49.9,48.37,50.1,47.69,413486.0,星期五,0.0167,-0.0307
2026-05-14,52.9,49.08,54.0,49.04,564555.0,星期四,0.0067,-0.0722
2026-05-13,51.66,52.55,54.2,51.06,572113.0,星期三,-0.0077,0.0172
2026-05-12,52.7,52.06,53.96,51.13,486535.0,星期二,-0.0058,-0.0121
2026-05-11,52.2,53.01,54.4,50.35,711652.0,星期一,0.0199,0.0155
2026-05-08,50.18,51.18,52.45,50.03,687604.0,星期五,-0.0247,0.0199
2026-05-07,48.79,51.45,51.75,47.68,739056.0,星期四,0.0158,0.0545
2026-05-06,44.13,48.03,48.03,44.01,437653.0,星期三,0.0108,0.0884
2026-04-30,42.61,43.66,44.08,41.9,332433.0,星期四,0.0002,0.0246
2026-04-29,42.01,42.6,43.16,42.0,241243.0,星期三,-0.0062,0.014
2026-04-28,44.65,42.27,44.89,41.69,414871.0,星期二,-0.0089,-0.0533
2026-04-27,45.6,45.05,46.78,45.02,351214.0,星期一,-0.0004,-0.0121
