time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,20.01,20.24,20.98,19.73,280796.0,星期五,-0.0153,0.0115
2026-06-25,20.31,20.32,21.07,19.72,245356.0,星期四,0.0099,0.0005
2026-06-24,20.48,20.11,20.7,19.72,225525.0,星期三,-0.0144,-0.0181
2026-06-23,20.7,20.78,22.08,20.6,280528.0,星期二,-0.0034,0.0039
2026-06-22,21.51,20.77,21.8,19.7,266694.0,星期一,0.0,-0.0344
2026-06-18,20.95,21.51,22.18,20.83,307346.0,星期四,0.0082,0.0267
2026-06-17,21.41,20.78,21.95,20.36,395644.0,星期三,0.0343,-0.0294
2026-06-16,19.09,20.7,20.7,19.06,473983.0,星期二,0.0143,0.0843
2026-06-15,17.12,18.82,18.82,17.12,162602.0,星期一,0.0006,0.0993
2026-06-12,18.18,17.11,18.19,17.11,225580.0,星期五,0.0179,-0.0589
2026-06-11,18.3,17.86,19.22,17.62,261073.0,星期四,-0.0214,-0.024
2026-06-10,18.81,18.7,19.6,18.22,250441.0,星期三,-0.0259,-0.0058
2026-06-09,19.1,19.31,19.77,17.96,364018.0,星期二,-0.0078,0.011
2026-06-08,18.51,19.25,20.06,18.5,289648.0,星期一,-0.0642,0.04
2026-06-05,20.74,19.78,21.25,19.51,503606.0,星期五,0.0029,-0.0463
2026-06-04,18.62,20.68,20.68,18.31,282158.0,星期四,-0.0096,0.1106
2026-06-03,19.67,18.8,20.32,18.36,590394.0,星期三,-0.0325,-0.0442
2026-06-02,17.68,20.33,20.33,17.49,729993.0,星期二,-0.0433,0.1499
2026-06-01,19.28,18.48,20.34,18.47,771227.0,星期一,0.0427,-0.0415
2026-05-29,18.49,18.49,18.49,16.85,546937.0,星期五,0.0999,0.0
2026-05-28,15.14,16.81,16.81,15.14,181436.0,星期四,-0.0092,0.1103
2026-05-27,16.18,15.28,16.8,15.12,216136.0,星期三,0.0208,-0.0556
2026-05-26,16.45,15.85,16.56,15.68,283306.0,星期二,-0.0018,-0.0365
2026-05-25,17.09,16.48,17.9,16.33,495148.0,星期一,0.0179,-0.0357
2026-05-22,15.28,16.79,16.79,15.21,406548.0,星期五,0.0013,0.0988
2026-05-21,14.88,15.26,16.06,14.88,193709.0,星期四,-0.0047,0.0255
2026-05-20,15.3,14.95,15.4,14.86,123170.0,星期三,-0.0161,-0.0229
2026-05-19,14.98,15.55,16.22,14.72,191838.0,星期二,0.0101,0.0381
2026-05-18,14.68,14.83,14.88,14.42,77949.0,星期一,0.0007,0.0102
2026-05-15,15.15,14.67,15.2,14.59,91733.0,星期五,0.0,-0.0317
2026-05-14,15.42,15.15,15.47,15.05,74033.0,星期四,0.0145,-0.0175
2026-05-13,15.0,15.2,15.65,14.89,98614.0,星期三,-0.0033,0.0133
2026-05-12,15.04,15.05,15.23,14.82,71377.0,星期二,0.0,0.0007
2026-05-11,15.0,15.04,15.19,14.8,102569.0,星期一,0.0067,0.0027
2026-05-08,14.79,14.9,14.98,14.56,82879.0,星期五,-0.0027,0.0074
2026-05-07,14.44,14.83,15.2,14.39,145778.0,星期四,0.0091,0.027
2026-05-06,14.08,14.31,14.34,13.94,77659.0,星期三,0.0,0.0163
2026-04-30,14.2,14.08,14.28,13.8,77619.0,星期四,0.0042,-0.0085
2026-04-29,13.71,14.14,14.43,13.66,88374.0,星期三,-0.0044,0.0314
2026-04-28,14.08,13.77,14.12,13.69,62026.0,星期二,0.0007,-0.022
2026-04-27,14.2,14.07,14.27,13.8,56760.0,星期一,0.0007,-0.0092
2026-04-24,14.11,14.19,14.39,13.99,55081.0,星期五,-0.0021,0.0057
2026-04-23,14.45,14.14,14.5,13.95,77448.0,星期四,-0.0055,-0.0215
2026-04-22,14.52,14.53,14.88,14.32,79493.0,星期三,0.0014,0.0007
2026-04-21,14.28,14.5,14.69,14.12,99035.0,星期二,-0.0007,0.0154
2026-04-20,14.48,14.29,14.67,14.17,71566.0,星期一,-0.0014,-0.0131
2026-04-17,14.34,14.5,14.68,13.94,98543.0,星期五,0.0091,0.0112
2026-04-16,14.18,14.21,14.38,14.01,74666.0,星期四,0.0107,0.0021
2026-04-15,14.28,14.03,14.55,13.95,91386.0,星期三,0.0021,-0.0175
2026-04-14,14.66,14.25,14.75,14.15,96991.0,星期二,0.0202,-0.028
2026-04-13,14.53,14.37,14.75,14.25,124006.0,星期一,-0.0109,-0.011
