time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,25.0,23.9,25.0,23.55,110404.0,星期五,-0.0064,-0.044
2026-06-25,25.6,25.16,26.06,24.88,121524.0,星期四,-0.0177,-0.0172
2026-06-24,25.17,26.06,26.46,25.1,155839.0,星期三,0.0,0.0354
2026-06-23,24.25,25.17,25.93,23.95,174490.0,星期二,0.0,0.0379
2026-06-22,23.88,24.25,24.33,22.95,111815.0,星期一,0.0076,0.0155
2026-06-18,24.5,23.7,24.6,23.1,115939.0,星期四,-0.0049,-0.0327
2026-06-17,25.0,24.62,25.2,24.33,98820.0,星期三,-0.0083,-0.0152
2026-06-16,25.41,25.21,26.46,24.9,171578.0,星期二,0.0107,-0.0079
2026-06-15,23.51,25.14,25.36,22.87,179217.0,星期一,0.02,0.0693
2026-06-12,22.27,23.05,23.45,22.02,121917.0,星期五,0.0063,0.035
2026-06-11,21.8,22.13,22.38,21.62,61650.0,星期四,-0.0046,0.0151
2026-06-10,21.43,21.9,22.15,21.15,78693.0,星期三,-0.0005,0.0219
2026-06-09,21.37,21.44,21.83,21.13,79479.0,星期二,0.0123,0.0033
2026-06-08,21.4,21.11,22.13,20.9,87122.0,星期一,-0.0228,-0.0136
2026-06-05,21.73,21.9,22.39,21.35,100596.0,星期五,-0.0018,0.0078
2026-06-04,22.51,21.77,22.62,21.56,128069.0,星期四,-0.0105,-0.0329
2026-06-03,22.9,22.75,23.25,22.5,53448.0,星期三,-0.0099,-0.0066
2026-06-02,23.67,23.13,23.68,23.0,58407.0,星期二,0.0013,-0.0228
2026-06-01,22.83,23.64,23.88,22.83,106231.0,星期一,0.0044,0.0355
2026-05-29,24.11,22.73,24.17,22.65,155159.0,星期五,0.0037,-0.0572
2026-05-28,24.19,24.02,24.43,23.5,86110.0,星期四,-0.0004,-0.007
2026-05-27,24.86,24.2,24.86,23.95,92922.0,星期三,0.002,-0.0265
2026-05-26,25.19,24.81,25.4,24.54,84404.0,星期二,0.0,-0.0151
2026-05-25,26.17,25.19,26.95,25.03,84823.0,星期一,0.0062,-0.0374
2026-05-22,25.75,26.01,26.4,25.5,67298.0,星期五,-0.0066,0.0101
2026-05-21,26.28,25.92,27.31,25.78,108780.0,星期四,0.0,-0.0137
2026-05-20,26.29,26.28,26.76,25.91,75389.0,星期三,0.0,-0.0004
2026-05-19,24.74,26.29,26.42,24.51,119529.0,星期二,-0.0104,0.0627
2026-05-18,24.58,25.0,25.45,24.36,122076.0,星期一,-0.0024,0.0171
2026-05-15,25.91,24.64,25.91,24.48,272633.0,星期五,-0.0296,-0.049
2026-05-14,27.67,26.7,28.17,24.9,368413.0,星期四,0.0804,-0.0351
2026-05-13,28.11,25.61,29.63,25.61,235338.0,星期三,-0.0123,-0.0889
2026-05-12,27.9,28.46,28.5,27.08,104135.0,星期二,0.0058,0.0201
2026-05-11,28.43,27.74,28.84,27.55,103456.0,星期一,0.0,-0.0243
2026-05-08,28.53,28.43,29.14,28.25,98533.0,星期五,-0.0189,-0.0035
2026-05-07,27.48,29.08,29.09,27.01,193327.0,星期四,-0.0108,0.0582
2026-05-06,26.73,27.78,27.78,25.75,209800.0,星期三,-0.0004,0.0393
2026-04-30,27.3,26.74,27.56,26.5,139699.0,星期四,-0.0094,-0.0205
2026-04-29,26.92,27.56,27.58,26.43,136141.0,星期三,-0.0193,0.0238
2026-04-28,28.46,27.45,28.65,27.2,139592.0,星期二,0.0081,-0.0355
2026-04-27,28.69,28.23,29.18,28.15,182222.0,星期一,-0.0076,-0.016
2026-04-24,26.27,28.91,28.91,26.2,198261.0,星期五,-0.0004,0.1005
2026-04-23,26.27,26.28,26.98,25.63,115916.0,星期四,-0.0102,0.0004
2026-04-22,26.47,26.54,26.9,26.3,117497.0,星期三,-0.0079,0.0026
2026-04-21,26.49,26.68,28.5,26.38,205626.0,星期二,0.0107,0.0072
2026-04-20,25.79,26.21,26.75,25.04,143565.0,星期一,0.0004,0.0163
2026-04-17,24.47,25.78,25.96,24.15,200049.0,星期五,-0.0004,0.0535
2026-04-16,23.35,24.48,24.78,23.01,151174.0,星期四,0.0,0.0484
