time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,15.95,15.81,16.5,15.6,70710.0,星期五,-0.005,-0.0088
2026-06-25,16.68,16.03,16.81,15.95,63782.0,星期四,0.0024,-0.039
2026-06-24,16.93,16.64,17.11,16.41,73078.0,星期三,-0.0082,-0.0171
2026-06-23,17.27,17.07,17.63,16.97,75836.0,星期二,-0.0097,-0.0116
2026-06-22,17.8,17.44,17.9,17.11,93368.0,星期一,-0.0056,-0.0202
2026-06-18,17.74,17.9,18.11,17.34,87368.0,星期四,0.0,0.009
2026-06-17,17.91,17.74,18.69,17.46,134607.0,星期三,-0.0176,-0.0095
2026-06-16,18.45,18.23,18.6,17.37,231336.0,星期二,0.0279,-0.0119
2026-06-15,16.38,17.95,17.95,16.38,202567.0,星期一,0.0037,0.0958
2026-06-12,15.87,16.32,16.59,15.87,71367.0,星期五,0.0057,0.0284
2026-06-11,15.68,15.78,16.1,15.41,43058.0,星期四,0.0,0.0064
2026-06-10,16.05,15.68,16.29,15.53,51239.0,星期三,-0.008,-0.0231
2026-06-09,16.43,16.18,16.54,15.88,54565.0,星期二,0.0111,-0.0152
2026-06-08,16.42,16.25,17.15,16.11,75176.0,星期一,-0.015,-0.0104
2026-06-05,16.24,16.67,17.06,15.73,107132.0,星期五,0.0093,0.0265
2026-06-04,15.88,16.09,16.26,15.5,54331.0,星期四,0.0,0.0132
2026-06-03,16.15,15.88,16.3,15.7,50914.0,星期三,0.0,-0.0167
2026-06-02,16.79,16.15,16.97,15.82,73554.0,星期二,-0.0053,-0.0381
2026-06-01,16.29,16.88,17.13,16.16,87480.0,星期一,-0.0073,0.0362
2026-05-29,17.11,16.41,17.82,16.4,79310.0,星期五,-0.0012,-0.0409
2026-05-28,16.76,17.13,17.19,16.67,47830.0,星期四,-0.0083,0.0221
2026-05-27,17.22,16.9,17.36,16.76,79972.0,星期三,0.0,-0.0186
2026-05-26,17.66,17.22,17.7,16.95,88011.0,星期二,-0.0106,-0.0249
2026-05-25,17.75,17.85,18.33,17.48,81550.0,星期一,0.0034,0.0056
2026-05-22,17.78,17.69,17.99,17.35,82395.0,星期五,0.0183,-0.0051
2026-05-21,18.71,17.46,18.79,17.43,118172.0,星期四,0.007,-0.0668
2026-05-20,17.6,18.58,18.8,17.49,139350.0,星期三,-0.004,0.0557
2026-05-19,17.91,17.67,18.15,17.49,65858.0,星期二,-0.0067,-0.0134
2026-05-18,17.73,18.03,18.15,17.41,100950.0,星期一,-0.0078,0.0169
2026-05-15,18.6,17.87,19.06,17.69,159562.0,星期五,0.0,-0.0392
2026-05-14,18.08,18.6,19.78,17.09,231715.0,星期四,0.0056,0.0288
2026-05-13,18.41,17.98,18.48,17.92,76926.0,星期三,-0.0011,-0.0234
2026-05-12,18.48,18.43,19.22,18.35,117446.0,星期二,0.0005,-0.0027
2026-05-11,17.55,18.47,18.67,17.34,126051.0,星期一,0.0121,0.0524
2026-05-08,17.3,17.34,17.5,17.06,57011.0,星期五,0.0,0.0023
2026-05-07,17.26,17.3,17.51,16.78,100096.0,星期四,0.0035,0.0023
2026-05-06,17.3,17.2,17.55,17.12,76402.0,星期三,0.0,-0.0058
2026-04-30,17.11,17.3,17.67,17.03,66364.0,星期四,-0.0029,0.0111
2026-04-29,17.21,17.16,17.54,17.09,49756.0,星期三,0.0,-0.0029
2026-04-28,17.3,17.21,17.65,17.08,59865.0,星期二,-0.0075,-0.0052
2026-04-27,17.13,17.43,17.58,17.0,56585.0,星期一,0.0,0.0175
2026-04-24,17.09,17.13,17.48,16.9,47683.0,星期五,-0.0075,0.0023
2026-04-23,17.75,17.22,18.08,17.12,61706.0,星期四,0.0,-0.0299
2026-04-22,17.8,17.75,18.03,17.53,56086.0,星期三,0.0,-0.0028
2026-04-21,18.25,17.8,18.25,17.57,58239.0,星期二,0.0156,-0.0247
2026-04-20,18.18,17.97,18.6,17.92,57722.0,星期一,0.0022,-0.0116
2026-04-17,18.01,18.14,18.2,17.79,49385.0,星期五,-0.0017,0.0072
