time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,9.85,9.82,10.08,9.81,65399.0,星期五,-0.0091,-0.003
2026-06-25,10.06,9.94,10.06,9.9,76416.0,星期四,-0.0079,-0.0119
2026-06-24,10.44,10.14,10.44,10.06,122907.0,星期三,-0.0095,-0.0287
2026-06-23,10.05,10.54,10.67,10.01,174660.0,星期二,-0.0069,0.0488
2026-06-22,10.15,10.12,10.18,9.88,110268.0,星期一,-0.0039,-0.003
2026-06-18,10.0,10.19,10.58,9.67,182512.0,星期四,-0.005,0.019
2026-06-17,10.18,10.05,10.24,10.05,76703.0,星期三,-0.0078,-0.0128
2026-06-16,10.2,10.26,10.35,10.03,93002.0,星期二,-0.001,0.0059
2026-06-15,10.17,10.21,10.32,10.06,100754.0,星期一,0.0059,0.0039
2026-06-12,10.0,10.11,10.25,9.99,111792.0,星期五,0.0111,0.011
2026-06-11,10.05,9.89,10.15,9.79,103382.0,星期四,-0.0099,-0.0159
2026-06-10,10.45,10.15,10.5,10.05,126952.0,星期三,-0.0169,-0.0287
2026-06-09,10.41,10.63,10.67,10.1,134479.0,星期二,0.0029,0.0211
2026-06-08,10.45,10.38,10.85,10.32,139810.0,星期一,-0.0413,-0.0067
2026-06-05,11.78,10.9,12.02,10.81,245899.0,星期五,-0.0067,-0.0747
2026-06-04,12.15,11.86,12.25,11.81,190765.0,星期四,-0.017,-0.0239
2026-06-03,11.96,12.36,12.36,11.7,278369.0,星期三,-0.0091,0.0334
2026-06-02,12.2,12.07,12.56,12.04,266768.0,星期二,-0.0416,-0.0107
2026-06-01,12.35,12.73,13.08,11.52,379365.0,星期一,-0.0152,0.0308
2026-05-29,12.0,12.54,12.82,11.92,421861.0,星期五,-0.0172,0.045
2026-05-28,11.67,12.21,12.21,11.49,310540.0,星期四,-0.0093,0.0463
2026-05-27,11.72,11.78,12.08,11.68,234078.0,星期三,-0.0176,0.0051
2026-05-26,11.8,11.93,12.21,11.75,318930.0,星期二,-0.0216,0.011
2026-05-25,11.69,12.06,12.26,11.59,383349.0,星期一,-0.0009,0.0317
2026-05-22,11.47,11.7,12.28,11.2,354621.0,星期五,0.0035,0.0201
2026-05-21,11.88,11.43,12.05,11.4,344678.0,星期四,-0.005,-0.0379
2026-05-20,12.29,11.94,12.47,11.87,447609.0,星期三,-0.0113,-0.0285
2026-05-19,11.26,12.43,12.43,10.91,331111.0,星期二,-0.0035,0.1039
2026-05-18,11.0,11.3,11.35,10.91,192204.0,星期一,0.0018,0.0273
2026-05-15,11.05,10.98,11.25,10.83,139136.0,星期五,0.0009,-0.0063
2026-05-14,11.38,11.04,11.46,11.03,182654.0,星期四,-0.0018,-0.0299
2026-05-13,10.93,11.4,11.65,10.93,255387.0,星期三,0.0018,0.043
2026-05-12,10.9,10.91,11.01,10.82,85084.0,星期二,-0.0046,0.0009
2026-05-11,11.06,10.95,11.09,10.89,98336.0,星期一,-0.0036,-0.0099
2026-05-08,11.03,11.1,11.11,10.96,95471.0,星期五,0.0018,0.0063
2026-05-07,11.03,11.01,11.11,10.96,99461.0,星期四,-0.0018,-0.0018
2026-05-06,11.0,11.05,11.08,10.83,142288.0,星期三,0.0018,0.0045
2026-04-30,10.93,10.98,11.04,10.85,145411.0,星期四,0.0074,0.0046
2026-04-29,10.74,10.85,10.94,10.58,159832.0,星期三,0.0047,0.0102
2026-04-28,10.45,10.69,10.75,10.41,121965.0,星期二,-0.001,0.023
2026-04-27,10.52,10.46,10.63,10.4,92598.0,星期一,-0.0085,-0.0057
2026-04-24,10.65,10.61,10.77,10.54,122133.0,星期五,-0.0121,-0.0038
2026-04-23,10.5,10.78,10.92,10.41,201274.0,星期四,-0.0019,0.0267
2026-04-22,10.35,10.52,10.55,10.34,111320.0,星期三,-0.0077,0.0164
2026-04-21,10.36,10.43,10.45,10.24,88334.0,星期二,-0.001,0.0068
2026-04-20,10.23,10.37,10.38,10.2,89399.0,星期一,0.002,0.0137
2026-04-17,10.33,10.21,10.36,10.2,92187.0,星期五,-0.0029,-0.0116
2026-04-16,10.35,10.36,10.38,10.26,82006.0,星期四,0.0,0.001
2026-04-15,10.49,10.35,10.5,10.31,82188.0,星期三,0.0029,-0.0133
2026-04-14,10.35,10.46,10.46,10.27,137447.0,星期二,-0.0038,0.0106
2026-04-13,10.52,10.39,10.52,10.26,160116.0,星期一,-0.0094,-0.0124
2026-04-10,10.5,10.62,10.7,10.45,171725.0,星期五,-0.0038,0.0114
2026-04-09,11.02,10.54,11.05,10.42,348248.0,星期四,-0.0134,-0.0436
2026-04-08,11.6,11.17,11.68,11.01,411252.0,星期三,0.0026,-0.0371
2026-04-07,12.45,11.57,12.59,11.48,321992.0,星期二,-0.0016,-0.0707
2026-04-03,12.37,12.47,13.09,12.09,309841.0,星期五,0.0016,0.0081
2026-04-02,12.37,12.35,12.64,12.11,246012.0,星期四,0.0024,-0.0016
2026-04-01,12.51,12.34,12.64,11.9,304352.0,星期三,0.0263,-0.0136
2026-03-31,13.0,12.19,13.24,12.18,406712.0,星期二,-0.0099,-0.0623
2026-03-30,12.87,13.13,13.37,12.84,446652.0,星期一,-0.0257,0.0202
2026-03-27,13.0,13.21,13.34,12.71,521543.0,星期五,-0.0091,0.0162
2026-03-26,13.01,13.12,13.31,12.82,508738.0,星期四,-0.0181,0.0085
2026-03-25,12.4,13.25,13.25,12.33,555485.0,星期三,-0.0048,0.0685
2026-03-24,12.09,12.46,12.51,11.91,376010.0,星期二,0.0092,0.0306
2026-03-23,11.71,11.98,12.09,11.2,309109.0,星期一,-0.011,0.0231
2026-03-20,12.06,11.84,12.34,11.82,290421.0,星期五,0.005,-0.0182
2026-03-19,11.39,12.0,12.02,11.39,290868.0,星期四,-0.0121,0.0536
2026-03-18,11.17,11.53,11.55,11.12,74076.0,星期三,0.0054,0.0322
2026-03-17,11.3,11.11,11.4,11.1,61678.0,星期二,0.0,-0.0168
2026-03-16,11.5,11.3,11.6,11.25,62295.0,星期一,-0.0009,-0.0174
2026-03-13,11.65,11.51,11.73,11.49,52149.0,星期五,-0.0017,-0.012
2026-03-12,11.7,11.67,11.77,11.58,52583.0,星期四,0.0,-0.0026
2026-03-11,11.73,11.7,11.73,11.58,41359.0,星期三,0.0026,-0.0026
2026-03-10,11.5,11.7,11.73,11.46,57134.0,星期二,0.0,0.0174
2026-03-09,11.58,11.5,11.66,11.41,61992.0,星期一,-0.0052,-0.0069
2026-03-06,11.3,11.64,11.68,11.28,75694.0,星期五,-0.0018,0.0301
2026-03-05,11.3,11.32,11.48,11.27,57974.0,星期四,0.008,0.0018
2026-03-04,11.2,11.21,11.35,10.98,104166.0,星期三,-0.0175,0.0009
2026-03-03,11.52,11.4,11.82,11.37,97170.0,星期二,0.0009,-0.0104
2026-03-02,11.71,11.51,11.8,11.5,81123.0,星期一,-0.016,-0.0171
2026-02-27,11.75,11.9,11.91,11.69,85229.0,星期五,0.0026,0.0128
2026-02-26,11.69,11.72,11.8,11.68,57181.0,星期四,0.0026,0.0026
2026-02-25,11.72,11.66,11.75,11.62,53839.0,星期三,0.0,-0.0051
2026-02-24,11.52,11.72,11.74,11.52,60359.0,星期二,0.0061,0.0174
2026-02-13,11.53,11.45,11.55,11.44,41150.0,星期五,0.0017,-0.0069
2026-02-12,11.69,11.51,11.69,11.51,46945.0,星期四,0.0026,-0.0154
2026-02-11,11.71,11.66,11.75,11.6,29694.0,星期三,0.0009,-0.0043
2026-02-10,11.79,11.7,11.79,11.67,41657.0,星期二,0.0,-0.0076
2026-02-09,11.69,11.79,11.8,11.64,57884.0,星期一,0.0043,0.0086
2026-02-06,11.47,11.64,11.72,11.43,62851.0,星期五,-0.0043,0.0148
