time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,24.29,25.0,25.84,23.92,344369.0,星期五,-0.0126,0.0292
2026-06-25,23.2,24.6,24.6,22.91,338549.0,星期四,-0.019,0.0603
2026-06-24,22.53,23.65,23.65,22.41,292558.0,星期三,-0.0075,0.0497
2026-06-23,22.32,22.7,23.36,22.3,235510.0,星期二,-0.0236,0.017
2026-06-22,21.64,22.86,22.86,21.55,291887.0,星期一,0.0005,0.0564
2026-06-18,21.83,21.63,22.02,21.03,242609.0,星期四,-0.0009,-0.0092
2026-06-17,21.51,21.85,22.0,21.3,207737.0,星期三,0.0033,0.0158
2026-06-16,21.4,21.44,21.72,21.01,152478.0,星期二,-0.0115,0.0019
2026-06-15,21.01,21.65,21.75,20.98,188223.0,星期一,0.0048,0.0305
2026-06-12,21.21,20.91,22.0,20.76,128699.0,星期五,0.0062,-0.0141
2026-06-11,21.1,21.08,21.66,20.55,123247.0,星期四,-0.0094,-0.0009
2026-06-10,21.61,21.3,22.0,21.0,135090.0,星期三,-0.011,-0.0143
2026-06-09,21.97,21.85,22.18,21.42,129927.0,星期二,0.0055,-0.0055
2026-06-08,21.83,21.85,22.82,21.56,173015.0,星期一,-0.0302,0.0009
2026-06-05,22.61,22.51,22.97,22.2,226464.0,星期五,0.0004,-0.0044
2026-06-04,22.21,22.6,23.06,22.09,231904.0,星期四,-0.0111,0.0176
2026-06-03,21.6,22.46,22.89,21.59,335213.0,星期三,-0.0209,0.0398
2026-06-02,21.38,22.06,22.08,20.68,348736.0,星期二,0.0196,0.0318
2026-06-01,19.07,20.97,20.97,18.98,173951.0,星期一,0.0005,0.0996
2026-05-29,19.87,19.06,20.08,18.98,116184.0,星期五,0.0,-0.0408
2026-05-28,20.2,19.87,20.27,19.3,133689.0,星期四,-0.0044,-0.0163
2026-05-27,20.69,20.29,20.92,20.21,104228.0,星期三,-0.0005,-0.0193
2026-05-26,21.0,20.7,21.0,20.27,113053.0,星期二,0.0005,-0.0143
2026-05-25,20.61,20.99,21.0,20.49,113834.0,星期一,0.001,0.0184
2026-05-22,20.03,20.59,20.7,19.7,122104.0,星期五,-0.0045,0.028
2026-05-21,21.17,20.12,21.52,20.09,162405.0,星期四,0.0202,-0.0496
2026-05-20,20.8,20.75,20.93,20.5,74337.0,星期三,-0.0081,-0.0024
2026-05-19,20.57,20.97,21.07,20.5,86389.0,星期二,-0.0048,0.0194
2026-05-18,20.5,20.67,20.95,20.35,90489.0,星期一,-0.0092,0.0083
2026-05-15,20.91,20.69,21.08,20.46,117126.0,星期五,0.0053,-0.0105
2026-05-14,21.18,20.8,21.47,20.75,98257.0,星期四,-0.0047,-0.0179
2026-05-13,20.25,21.28,21.29,20.07,130845.0,星期三,-0.0054,0.0509
2026-05-12,20.75,20.36,20.83,20.27,105509.0,星期二,-0.0038,-0.0188
2026-05-11,21.3,20.83,21.35,20.7,145685.0,星期一,0.0028,-0.0221
2026-05-08,21.01,21.24,21.29,20.7,116256.0,星期五,-0.0028,0.0109
2026-05-07,20.44,21.07,21.21,20.44,177301.0,星期四,0.0025,0.0308
2026-05-06,19.38,20.39,21.05,19.31,243863.0,星期三,0.0088,0.0521
2026-04-30,18.91,19.21,19.45,18.54,144705.0,星期四,-0.0037,0.0159
2026-04-29,18.98,18.98,19.17,18.8,102275.0,星期三,-0.0047,0.0
2026-04-28,19.44,19.07,19.51,18.98,79398.0,星期二,-0.0056,-0.019
2026-04-27,19.33,19.55,19.84,19.06,78544.0,星期一,0.0005,0.0114
2026-04-24,19.43,19.32,19.57,19.0,74475.0,星期五,-0.0056,-0.0057
