time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,66.3,62.54,66.94,62.51,133639.0,星期五,-0.0096,-0.0567
2026-06-25,72.82,66.94,73.11,66.94,144783.0,星期四,-0.021,-0.0807
2026-06-24,73.0,74.38,74.98,70.84,149828.0,星期三,0.0145,0.0189
2026-06-23,74.0,71.96,74.53,71.44,124306.0,星期二,-0.0141,-0.0276
2026-06-22,74.91,75.06,78.5,72.35,188590.0,星期一,0.0013,0.002
2026-06-18,76.88,74.81,83.62,74.5,267420.0,星期四,0.0113,-0.0269
2026-06-17,72.9,76.02,76.87,70.0,261433.0,星期三,0.0133,0.0428
2026-06-16,65.4,71.94,71.94,65.4,126528.0,星期二,0.0,0.1
2026-06-15,65.2,65.4,66.15,63.36,143594.0,星期一,0.0107,0.0031
2026-06-12,65.8,64.51,66.96,64.01,160900.0,星期五,0.0142,-0.0196
2026-06-11,68.37,64.88,68.78,63.01,249599.0,星期四,-0.0074,-0.051
2026-06-10,68.0,68.88,75.4,67.25,345979.0,星期三,-0.0106,0.0129
2026-06-09,65.31,68.73,69.62,65.31,329968.0,星期二,-0.0044,0.0524
2026-06-08,58.59,65.6,65.6,58.29,195291.0,星期一,-0.0176,0.1196
2026-06-05,58.78,59.64,61.53,55.72,252073.0,星期五,0.0159,0.0146
2026-06-04,52.37,57.86,57.86,51.88,88594.0,星期四,-0.0044,0.1048
2026-06-03,52.13,52.6,54.81,51.9,114494.0,星期三,-0.0061,0.009
2026-06-02,54.0,52.45,54.06,51.0,100825.0,星期二,0.0339,-0.0287
2026-06-01,52.56,52.23,53.86,51.79,111597.0,星期一,0.0002,-0.0063
2026-05-29,56.86,52.55,57.55,51.8,212569.0,星期五,-0.0087,-0.0758
2026-05-28,59.9,57.36,62.65,56.31,227857.0,星期四,-0.0007,-0.0424
2026-05-27,64.5,59.94,67.6,59.94,228335.0,星期三,-0.0315,-0.0707
2026-05-26,64.51,66.6,67.5,61.51,311623.0,星期二,-0.0028,0.0324
2026-05-25,67.13,64.69,69.88,64.48,365926.0,星期一,0.0165,-0.0363
2026-05-22,61.0,66.04,66.04,56.77,301315.0,星期五,0.016,0.0826
2026-05-21,55.1,60.04,60.04,54.3,188332.0,星期四,0.0095,0.0897
2026-05-20,58.3,54.58,58.38,53.69,140520.0,星期三,-0.0105,-0.0638
2026-05-19,58.55,58.92,59.75,57.39,85581.0,星期二,0.0144,0.0063
2026-05-18,58.04,57.72,58.5,56.83,73450.0,星期一,-0.0085,-0.0055
2026-05-15,57.36,58.54,60.89,56.31,116675.0,星期五,0.0049,0.0206
2026-05-14,60.26,57.08,60.74,57.0,89677.0,星期四,-0.0018,-0.0528
2026-05-13,60.2,60.37,60.76,59.04,65989.0,星期三,-0.0046,0.0028
2026-05-12,61.68,60.48,62.46,59.78,83526.0,星期二,0.0072,-0.0195
2026-05-11,62.84,61.24,62.84,60.7,113904.0,星期一,-0.0044,-0.0255
2026-05-08,61.21,63.12,64.95,60.6,159157.0,星期五,0.0,0.0312
2026-05-07,58.35,61.21,62.45,57.95,124606.0,星期四,-0.0005,0.049
2026-05-06,58.0,58.38,58.97,58.0,95856.0,星期三,0.0108,0.0066
2026-04-30,57.3,57.38,58.51,57.0,88208.0,星期四,0.004,0.0014
2026-04-29,58.5,57.07,58.92,56.95,122534.0,星期三,0.0,-0.0244
2026-04-28,60.0,58.5,60.77,57.88,193687.0,星期二,-0.0374,-0.025
2026-04-27,68.58,62.33,68.58,62.33,149720.0,星期一,-0.0097,-0.0911
2026-04-20,70.48,69.25,70.48,66.9,112696.0,星期一,-0.0003,-0.0175
2026-04-17,69.43,70.5,72.01,69.12,100649.0,星期五,-0.0104,0.0154
2026-04-16,69.4,70.16,70.92,68.51,94337.0,星期四,0.0112,0.011
2026-04-15,69.7,68.63,70.93,68.4,83249.0,星期三,-0.0004,-0.0154
2026-04-14,68.91,69.73,69.83,68.26,80290.0,星期二,0.0016,0.0119
2026-04-13,67.8,68.8,68.99,67.8,56585.0,星期一,-0.0069,0.0147
2026-04-10,69.0,68.27,70.68,68.25,74480.0,星期五,0.0038,-0.0106
2026-04-09,67.52,68.74,70.07,67.3,82060.0,星期四,-0.0173,0.0181
2026-04-08,67.06,68.71,68.87,66.77,92085.0,星期三,0.0246,0.0246
2026-04-07,65.59,65.45,66.0,64.76,50465.0,星期二,0.0021,-0.0021
2026-04-03,67.5,65.45,67.67,63.87,106623.0,星期五,0.0161,-0.0304
2026-04-02,70.05,66.43,71.3,66.38,129842.0,星期四,0.0,-0.0517
2026-04-01,69.38,70.05,72.6,68.5,155312.0,星期三,0.0236,0.0097
2026-03-31,68.63,67.78,69.83,67.47,84556.0,星期二,0.0003,-0.0124
2026-03-30,67.01,68.61,68.7,66.73,67421.0,星期一,-0.0183,0.0239
2026-03-27,65.61,68.26,68.3,65.61,79271.0,星期五,-0.0247,0.0404
2026-03-26,68.0,67.27,69.2,66.79,83371.0,星期四,0.0016,-0.0107
2026-03-25,67.61,67.89,68.98,67.15,99650.0,星期三,0.0016,0.0041
2026-03-24,67.5,67.5,68.66,65.3,109969.0,星期二,0.0189,0.0
2026-03-23,65.37,66.25,71.56,65.36,171973.0,星期一,-0.0143,0.0135
2026-03-20,69.32,66.32,69.96,66.02,116485.0,星期五,0.0149,-0.0433
2026-03-19,71.62,68.3,71.72,67.98,132412.0,星期四,0.0003,-0.0464
2026-03-18,71.06,71.6,71.89,70.23,106884.0,星期三,-0.0015,0.0076
2026-03-17,73.11,71.17,74.2,70.9,160827.0,星期二,-0.0042,-0.0265
2026-03-16,82.1,73.42,83.0,73.42,242033.0,星期一,0.0064,-0.1057
2026-03-13,79.88,81.58,81.58,79.88,79441.0,星期五,0.0771,0.0213
