time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,12.55,12.25,12.77,11.77,128684.0,星期五,-0.004,-0.0239
2026-06-25,13.3,12.6,13.36,12.52,129252.0,星期四,0.0076,-0.0526
2026-06-24,12.6,13.2,13.45,12.36,168911.0,星期三,0.0,0.0476
2026-06-23,11.85,12.6,12.98,11.85,158904.0,星期二,-0.0109,0.0633
2026-06-22,11.22,11.98,12.13,11.12,121334.0,星期一,-0.0062,0.0677
2026-06-18,11.56,11.29,11.59,11.06,65837.0,星期四,0.0017,-0.0234
2026-06-17,11.17,11.54,11.59,10.93,79553.0,星期三,0.0027,0.0331
2026-06-16,11.17,11.14,11.26,11.0,51957.0,星期二,0.0009,-0.0027
2026-06-15,11.58,11.16,11.68,11.14,64373.0,星期一,0.0017,-0.0363
2026-06-12,11.38,11.56,11.7,10.96,74944.0,星期五,0.008,0.0158
2026-06-11,11.15,11.29,11.6,11.05,67604.0,星期四,0.0009,0.0126
2026-06-10,11.05,11.14,11.18,10.95,47608.0,星期三,-0.0018,0.0081
2026-06-09,11.5,11.07,11.5,11.01,67180.0,星期二,0.0213,-0.0374
2026-06-08,11.56,11.26,11.71,11.16,72929.0,星期一,-0.0128,-0.026
2026-06-05,11.35,11.71,11.94,11.22,71157.0,星期五,0.0009,0.0317
2026-06-04,11.62,11.34,11.62,11.2,52591.0,星期四,-0.0017,-0.0241
2026-06-03,11.91,11.64,11.95,11.4,53450.0,星期三,0.0,-0.0227
2026-06-02,12.03,11.91,12.19,11.62,44247.0,星期二,0.0008,-0.01
2026-06-01,11.78,12.02,12.49,11.71,74036.0,星期一,-0.0034,0.0204
2026-05-29,12.2,11.82,12.34,11.7,76017.0,星期五,0.0008,-0.0311
2026-05-28,12.2,12.19,12.43,11.88,47967.0,星期四,-0.0073,-0.0008
2026-05-27,12.35,12.29,12.53,12.17,59188.0,星期三,0.0,-0.0049
2026-05-26,13.08,12.35,13.08,12.24,51071.0,星期二,0.0132,-0.0558
2026-05-25,12.71,12.91,13.5,12.6,76154.0,星期一,-0.0039,0.0157
2026-05-22,12.3,12.76,12.94,12.17,92611.0,星期五,0.0016,0.0374
2026-05-21,13.06,12.28,13.06,12.21,70530.0,星期四,0.0101,-0.0597
2026-05-20,13.05,12.93,13.18,12.9,36000.0,星期三,-0.0031,-0.0092
2026-05-19,13.05,13.09,13.18,12.8,57133.0,星期二,-0.0038,0.0031
2026-05-18,13.42,13.1,13.63,12.99,67660.0,星期一,-0.0103,-0.0238
2026-05-15,13.82,13.56,13.92,13.46,67790.0,星期五,0.0007,-0.0188
2026-05-14,13.82,13.81,14.03,13.51,76338.0,星期四,-0.0007,-0.0007
2026-05-13,13.64,13.83,14.05,13.54,69960.0,星期三,0.0,0.0139
2026-05-12,13.74,13.64,13.85,13.51,60418.0,星期二,0.0029,-0.0073
2026-05-11,13.63,13.7,14.09,13.59,91315.0,星期一,0.0089,0.0051
2026-05-08,13.55,13.51,13.79,13.38,101175.0,星期五,0.0074,-0.003
2026-05-07,14.48,13.45,14.57,13.4,166237.0,星期四,-0.0014,-0.0711
2026-05-06,14.38,14.5,14.62,14.01,121888.0,星期三,-0.0007,0.0083
2026-04-30,14.88,14.39,14.98,14.2,102734.0,星期四,-0.006,-0.0329
2026-04-29,14.61,14.97,15.18,14.23,78930.0,星期三,0.0104,0.0246
2026-04-28,14.48,14.46,14.88,14.1,108159.0,星期二,-0.0275,-0.0014
2026-04-27,14.6,14.89,14.99,14.51,59081.0,星期一,-0.0054,0.0199
2026-04-24,14.53,14.68,15.0,14.28,100197.0,星期五,-0.0082,0.0103
2026-04-23,14.05,14.65,15.19,14.05,85854.0,星期四,-0.0057,0.0427
2026-04-22,14.67,14.13,15.06,14.05,126665.0,星期三,0.0034,-0.0368
2026-04-21,13.72,14.62,15.0,13.61,160737.0,星期二,0.0007,0.0656
2026-04-20,14.76,13.71,14.87,13.68,111023.0,星期一,0.0007,-0.0711
2026-04-17,15.02,14.75,15.09,14.68,49818.0,星期五,-0.0027,-0.018
2026-04-16,14.75,15.06,15.33,14.65,73057.0,星期四,0.002,0.021
2026-04-15,14.77,14.72,15.15,14.62,59878.0,星期三,0.0048,-0.0034
2026-04-14,15.19,14.7,15.41,14.46,94130.0,星期二,-0.0046,-0.0323
2026-04-13,15.63,15.26,15.64,14.63,130890.0,星期一,-0.0101,-0.0237
2026-04-10,15.86,15.79,16.33,15.57,67897.0,星期五,0.0038,-0.0044
2026-04-09,15.5,15.8,15.98,15.49,82720.0,星期四,-0.0039,0.0194
2026-04-08,14.81,15.56,15.81,14.41,143720.0,星期三,-0.05,0.0506
2026-04-07,15.29,15.59,15.8,14.99,97587.0,星期二,0.0072,0.0196
2026-04-03,14.75,15.18,15.48,14.51,74971.0,星期五,0.0007,0.0292
2026-04-02,14.81,14.74,14.9,14.44,42243.0,星期四,0.0068,-0.0047
2026-04-01,14.61,14.71,15.05,14.3,79909.0,星期三,0.0083,0.0068
2026-03-31,14.8,14.49,15.18,14.38,57019.0,星期二,0.0,-0.0209
2026-03-30,14.8,14.8,15.3,14.59,52013.0,星期一,0.0034,0.0
2026-03-27,14.6,14.75,14.94,14.42,53481.0,星期五,-0.0102,0.0103
2026-03-26,14.89,14.75,15.06,14.68,37622.0,星期四,0.0,-0.0094
2026-03-25,14.78,14.89,15.14,14.65,86650.0,星期三,-0.0061,0.0074
2026-03-24,15.03,14.87,15.08,14.47,68633.0,星期二,0.0197,-0.0106
2026-03-23,14.58,14.74,15.58,14.31,120658.0,星期一,-0.0021,0.011
2026-03-20,15.04,14.61,15.49,14.58,105419.0,星期五,-0.0079,-0.0286
2026-03-19,15.77,15.16,15.78,14.91,127245.0,星期四,0.028,-0.0387
2026-03-18,15.25,15.34,15.6,15.08,63556.0,星期三,-0.0039,0.0059
2026-03-17,15.47,15.31,16.15,15.08,140939.0,星期二,-0.0102,-0.0103
2026-03-16,16.3,15.63,16.35,15.32,168060.0,星期一,-0.0049,-0.0411
2026-03-13,17.51,16.38,18.13,16.3,258828.0,星期五,-0.0096,-0.0645
2026-03-12,17.0,17.68,17.8,16.01,372266.0,星期四,0.0113,0.04
2026-03-11,15.81,16.81,17.27,15.58,357709.0,星期三,-0.018,0.0633
2026-03-10,16.54,16.1,17.59,15.9,437752.0,星期二,-0.064,-0.0266
2026-03-09,17.32,17.67,18.22,17.03,526598.0,星期一,0.0459,0.0202
2026-03-06,16.01,16.56,16.74,15.86,336498.0,星期五,0.0,0.0344
2026-03-05,14.67,16.01,16.01,14.62,285807.0,星期四,0.0082,0.0913
2026-03-04,14.41,14.55,14.62,14.02,171832.0,星期三,-0.0224,0.0097
2026-03-03,14.22,14.74,15.52,14.15,286110.0,星期二,0.0,0.0366
2026-03-02,14.43,14.22,14.59,13.93,211759.0,星期一,0.0035,-0.0146
2026-02-27,14.14,14.38,14.43,13.9,64668.0,星期五,0.0,0.017
2026-02-26,14.09,14.14,14.2,13.77,65553.0,星期四,-0.0014,0.0035
2026-02-25,13.6,14.11,14.7,13.58,153610.0,星期三,0.0097,0.0375
2026-02-24,13.44,13.47,13.74,13.17,59827.0,星期二,0.0052,0.0022
2026-02-13,13.59,13.37,13.64,13.21,71307.0,星期五,0.0067,-0.0162
2026-02-12,13.04,13.5,13.6,13.0,108984.0,星期四,-0.0031,0.0353
2026-02-11,12.69,13.08,13.3,12.62,108803.0,星期三,0.0032,0.0307
2026-02-10,12.77,12.65,12.77,12.44,42954.0,星期二,0.0095,-0.0094
2026-02-09,12.76,12.65,12.82,12.6,52023.0,星期一,0.0024,-0.0086
2026-02-06,12.03,12.73,12.8,11.94,101499.0,星期五,-0.0041,0.0582
2026-02-05,12.18,12.08,12.24,12.06,36379.0,星期四,-0.0049,-0.0082
2026-02-04,12.17,12.24,12.48,12.16,50299.0,星期三,-0.0033,0.0058
