time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,13.61,12.78,13.61,12.78,1451853.0,星期五,-0.0123,-0.061
2026-06-25,14.39,13.78,14.56,13.4,1560623.0,星期四,0.0042,-0.0424
2026-06-24,14.15,14.33,14.47,13.89,1060256.0,星期三,-0.0021,0.0127
2026-06-23,15.15,14.18,15.17,14.13,1512638.0,星期二,-0.013,-0.064
2026-06-22,14.85,15.35,15.6,14.81,1589925.0,星期一,-0.002,0.0337
2026-06-18,14.47,14.88,15.09,14.23,1580212.0,星期四,0.0063,0.0283
2026-06-17,14.48,14.38,14.69,14.24,1059843.0,星期三,-0.0062,-0.0069
2026-06-16,14.6,14.57,14.75,14.34,1004498.0,星期二,-0.0007,-0.0021
2026-06-15,14.5,14.61,14.72,14.41,1033247.0,星期一,0.0133,0.0076
2026-06-12,14.26,14.31,14.7,14.19,1437578.0,星期五,0.0149,0.0035
2026-06-11,13.9,14.05,14.2,13.56,1067298.0,星期四,-0.0079,0.0108
2026-06-10,14.18,14.01,14.63,13.89,1057966.0,星期三,-0.0098,-0.012
2026-06-09,14.32,14.32,14.45,13.96,933102.0,星期二,0.0007,0.0
2026-06-08,14.3,14.31,14.81,14.17,1060468.0,星期一,-0.0498,0.0007
2026-06-05,15.29,15.05,15.56,14.96,1101680.0,星期五,-0.0123,-0.0157
2026-06-04,15.08,15.48,15.55,14.92,1105626.0,星期四,-0.0176,0.0265
2026-06-03,15.03,15.35,15.97,14.76,1767059.0,星期三,-0.0099,0.0213
2026-06-02,15.25,15.18,15.4,14.72,1161421.0,星期二,0.0099,-0.0046
2026-06-01,15.15,15.1,15.58,14.83,1404789.0,星期一,0.0195,-0.0033
2026-05-29,15.88,14.86,16.16,14.7,1574632.0,星期五,0.0134,-0.0642
2026-05-28,16.01,15.67,16.16,15.35,1289673.0,星期四,0.0146,-0.0212
2026-05-27,16.45,15.78,16.54,15.67,1366962.0,星期三,-0.0054,-0.0407
2026-05-26,16.88,16.54,16.9,16.16,1504338.0,星期二,-0.0175,-0.0201
2026-05-25,17.4,17.18,17.7,16.7,1588536.0,星期一,0.0099,-0.0126
2026-05-22,17.01,17.23,17.29,16.68,1462571.0,星期五,0.0107,0.0129
2026-05-21,18.29,16.83,18.75,16.79,2605218.0,星期四,0.0061,-0.0798
2026-05-20,18.73,18.18,19.1,17.77,2576404.0,星期三,-0.0127,-0.0294
2026-05-19,18.4,18.97,19.23,18.19,2733309.0,星期二,-0.0043,0.031
2026-05-18,18.89,18.48,19.46,18.35,2538892.0,星期一,-0.0053,-0.0217
2026-05-15,19.05,18.99,20.15,18.8,3282489.0,星期五,0.0187,-0.0031
2026-05-14,19.94,18.7,20.04,18.68,2876740.0,星期四,0.0101,-0.0622
2026-05-13,17.6,19.74,19.97,17.49,4605269.0,星期三,0.0069,0.1216
2026-05-12,17.72,17.48,17.8,17.11,1584333.0,星期二,-0.0084,-0.0135
2026-05-11,18.1,17.87,18.43,17.41,2108910.0,星期一,0.0123,-0.0127
2026-05-08,17.68,17.88,18.2,17.37,2186065.0,星期五,0.0057,0.0113
2026-05-07,17.3,17.58,17.65,17.02,1962172.0,星期四,0.0,0.0162
2026-05-06,16.31,17.3,17.98,16.31,3016540.0,星期三,0.0194,0.0607
2026-04-30,16.3,16.0,16.66,15.83,1595259.0,星期四,-0.0091,-0.0184
2026-04-29,16.17,16.45,16.84,15.81,1691420.0,星期三,0.0012,0.0173
2026-04-28,16.87,16.15,16.87,16.05,1885401.0,星期二,-0.0012,-0.0427
2026-04-27,17.65,16.89,17.71,16.85,2340976.0,星期一,-0.0084,-0.0431
2026-04-24,18.53,17.8,18.6,16.8,3496109.0,星期五,-0.0196,-0.0394
2026-04-23,19.01,18.9,19.38,18.63,2470033.0,星期四,-0.0063,-0.0058
2026-04-22,18.3,19.13,19.24,17.88,3497700.0,星期三,0.0178,0.0454
2026-04-21,18.47,17.98,18.52,17.72,1906495.0,星期二,-0.0102,-0.0265
2026-04-20,18.8,18.66,19.09,18.52,2138085.0,星期一,-0.0053,-0.0074
2026-04-17,18.68,18.9,19.07,18.61,2394318.0,星期五,-0.024,0.0118
2026-04-16,18.49,19.14,19.39,18.4,3251478.0,星期四,0.0126,0.0352
2026-04-15,18.55,18.26,19.14,17.95,2554924.0,星期三,-0.0064,-0.0156
2026-04-14,19.1,18.67,19.48,18.42,2990856.0,星期二,0.0518,-0.0225
2026-04-13,17.44,18.16,18.63,17.44,2443400.0,星期一,-0.0186,0.0413
2026-04-10,18.25,17.77,18.35,17.71,1855082.0,星期五,0.0167,-0.0263
2026-04-09,17.7,17.95,18.08,17.62,1941083.0,星期四,-0.0391,0.0141
2026-04-08,16.91,18.42,18.47,16.91,3549319.0,星期三,0.0536,0.0893
2026-04-07,16.49,16.05,16.69,15.95,1424137.0,星期二,-0.0036,-0.0267
2026-04-03,16.88,16.55,16.97,16.32,1481921.0,星期五,0.0199,-0.0195
2026-04-02,17.46,16.55,17.5,16.32,2225538.0,星期四,-0.0152,-0.0521
2026-04-01,17.61,17.73,18.2,17.33,2504583.0,星期三,0.042,0.0068
2026-03-31,17.31,16.9,17.79,16.87,1482095.0,星期二,-0.0109,-0.0237
2026-03-30,17.06,17.5,17.64,16.52,1493594.0,星期一,-0.0212,0.0258
2026-03-27,17.31,17.43,17.81,17.03,1641090.0,星期五,-0.0109,0.0069
2026-03-26,18.22,17.5,18.44,17.4,1765021.0,星期四,0.0044,-0.0395
2026-03-25,17.25,18.14,19.18,17.25,2852351.0,星期三,0.0195,0.0516
2026-03-24,17.17,16.92,17.17,16.35,1541865.0,星期二,0.0288,-0.0146
2026-03-23,17.05,16.69,17.4,16.52,1666112.0,星期一,-0.0274,-0.0211
2026-03-20,18.45,17.53,18.6,17.5,2413835.0,星期五,-0.0097,-0.0499
2026-03-19,17.94,18.63,19.15,17.94,3031573.0,星期四,-0.0282,0.0385
2026-03-18,17.35,18.46,18.5,17.21,2953210.0,星期三,0.0266,0.064
2026-03-17,17.6,16.9,17.69,16.85,1550993.0,星期二,0.0109,-0.0398
2026-03-16,17.31,17.41,17.5,16.75,2325240.0,星期一,-0.0248,0.0058
2026-03-13,18.89,17.75,19.02,17.65,3409477.0,星期五,-0.01,-0.0603
2026-03-12,19.28,19.08,20.5,19.0,4019555.0,星期四,-0.0052,-0.0104
2026-03-11,20.2,19.38,20.38,19.36,3848011.0,星期三,-0.0093,-0.0406
2026-03-10,20.65,20.39,21.48,19.4,5682619.0,星期二,0.031,-0.0126
2026-03-09,18.0,20.03,20.24,17.81,6267059.0,星期一,0.0084,0.1128
2026-03-06,17.81,17.85,18.08,17.47,2096622.0,星期五,-0.005,0.0022
2026-03-05,18.58,17.9,18.58,17.66,2655165.0,星期四,0.0316,-0.0366
2026-03-04,17.87,18.01,18.47,17.75,2110917.0,星期三,-0.0116,0.0078
2026-03-03,19.6,18.08,19.68,17.93,3530077.0,星期二,0.0056,-0.0776
2026-03-02,19.9,19.49,20.23,19.14,4293096.0,星期一,-0.0149,-0.0206
2026-02-27,20.32,20.2,21.65,20.0,6172138.0,星期五,0.0289,-0.0059
2026-02-26,20.5,19.75,21.1,19.66,5239578.0,星期四,0.0074,-0.0366
2026-02-25,21.88,20.35,22.0,19.88,4222069.0,星期三,0.0272,-0.0699
2026-02-24,22.52,21.3,22.54,20.06,4744892.0,星期二,0.0,-0.0542
2026-02-13,22.51,22.52,24.1,22.38,4976067.0,星期五,0.0176,0.0004
2026-02-12,20.68,22.12,23.2,20.06,6051518.0,星期四,0.0112,0.0696
2026-02-11,19.3,20.45,21.23,19.3,6286162.0,星期三,0.0332,0.0596
2026-02-10,19.24,18.68,20.2,18.2,5791233.0,星期二,0.018,-0.0291
2026-02-09,18.59,18.9,19.35,18.25,5236073.0,星期一,0.0368,0.0167
2026-02-06,17.76,17.93,19.12,17.31,5682574.0,星期五,-0.0117,0.0096
2026-02-05,16.92,17.97,18.5,16.45,6131947.0,星期四,0.012,0.0621
2026-02-04,18.53,16.72,18.6,16.03,6524253.0,星期三,-0.0404,-0.0977
2026-02-03,17.3,19.31,19.31,17.07,5456429.0,星期二,0.0249,0.1162
2026-02-02,17.3,16.88,17.98,16.71,5315954.0,星期一,0.0447,-0.0243
2026-01-30,16.62,16.56,17.27,16.08,4578666.0,星期五,-0.0107,-0.0036
2026-01-29,15.32,16.8,17.76,14.67,6672254.0,星期四,-0.0173,0.0966
2026-01-28,15.58,15.59,16.25,15.21,7147094.0,星期三,0.1507,0.0006
2026-01-27,13.79,13.54,13.8,13.12,4246065.0,星期二,0.0007,-0.0181
2026-01-26,11.66,13.78,13.78,11.66,5277861.0,星期一,0.0157,0.1818
2026-01-23,11.39,11.48,11.55,11.3,659916.0,星期五,0.0,0.0079
2026-01-22,11.28,11.39,11.42,11.22,591783.0,星期四,0.0062,0.0098
2026-01-21,11.16,11.21,11.37,11.12,567036.0,星期三,-0.0089,0.0045
2026-01-20,11.57,11.26,11.6,11.15,748326.0,星期二,0.0096,-0.0268
2026-01-19,11.49,11.46,11.66,11.39,747538.0,星期一,-0.0095,-0.0026
2026-01-16,11.98,11.6,12.02,11.48,1217662.0,星期五,0.005,-0.0317
2026-01-15,12.0,11.92,12.19,11.8,1177382.0,星期四,-0.0066,-0.0067
