time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,4.16,4.18,4.23,4.09,134818.0,星期五,-0.0095,0.0048
2026-06-25,4.31,4.2,4.32,4.13,153251.0,星期四,-0.0069,-0.0255
2026-06-24,4.4,4.34,4.47,4.31,156905.0,星期三,0.0023,-0.0136
2026-06-23,4.22,4.39,4.48,4.2,217939.0,星期二,-0.0047,0.0403
2026-06-22,4.26,4.24,4.26,4.09,195144.0,星期一,0.0,-0.0047
2026-06-18,4.35,4.26,4.36,4.25,135562.0,星期四,-0.0068,-0.0207
2026-06-17,4.5,4.38,4.54,4.36,175757.0,星期三,0.0022,-0.0267
2026-06-16,4.42,4.49,4.51,4.32,192401.0,星期二,-0.0045,0.0158
2026-06-15,4.5,4.44,4.55,4.4,144523.0,星期一,0.009,-0.0133
2026-06-12,4.43,4.46,4.46,4.33,178065.0,星期五,0.0161,0.0068
2026-06-11,4.43,4.36,4.47,4.32,193159.0,星期四,-0.0067,-0.0158
2026-06-10,4.81,4.46,4.81,4.34,413374.0,星期三,-0.038,-0.0728
2026-06-09,5.01,5.0,5.04,4.96,43703.0,星期二,0.002,-0.002
2026-06-08,5.07,5.0,5.1,4.98,64931.0,星期一,-0.0059,-0.0138
2026-06-05,5.1,5.1,5.17,5.09,51719.0,星期五,0.0059,0.0
2026-06-04,5.17,5.07,5.18,5.04,68692.0,星期四,-0.0019,-0.0193
2026-06-03,5.29,5.18,5.31,5.17,62793.0,星期三,0.0019,-0.0208
2026-06-02,5.39,5.28,5.39,5.28,54852.0,星期二,-0.0019,-0.0204
2026-06-01,5.34,5.4,5.4,5.27,48369.0,星期一,0.0038,0.0112
2026-05-29,5.3,5.32,5.37,5.29,59520.0,星期五,-0.013,0.0038
2026-05-28,5.35,5.37,5.38,5.28,56319.0,星期四,0.0019,0.0037
2026-05-27,5.43,5.34,5.44,5.3,75664.0,星期三,0.0037,-0.0166
