time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,3.25,3.2,3.28,3.19,312322.0,星期五,0.0,-0.0154
2026-06-25,3.27,3.25,3.3,3.22,287017.0,星期四,-0.003,-0.0061
2026-06-24,3.39,3.28,3.4,3.26,329922.0,星期三,0.003,-0.0324
2026-06-23,3.38,3.38,3.46,3.36,321963.0,星期二,-0.0059,0.0
2026-06-22,3.36,3.4,3.41,3.25,422970.0,星期一,-0.003,0.0119
2026-06-18,3.41,3.37,3.45,3.35,308502.0,星期四,-0.0029,-0.0117
2026-06-17,3.43,3.42,3.43,3.37,350657.0,星期三,-0.0058,-0.0029
2026-06-16,3.47,3.45,3.47,3.41,331496.0,星期二,-0.0029,-0.0058
2026-06-15,3.55,3.48,3.59,3.45,572378.0,星期一,0.0028,-0.0197
2026-06-12,3.49,3.54,3.55,3.44,543947.0,星期五,0.0,0.0143
2026-06-11,3.59,3.49,3.6,3.47,475514.0,星期四,-0.0164,-0.0279
2026-06-10,3.41,3.65,3.74,3.37,631085.0,星期三,-0.0029,0.0704
2026-06-09,3.39,3.42,3.44,3.37,252680.0,星期二,0.003,0.0088
2026-06-08,3.43,3.38,3.47,3.37,323601.0,星期一,-0.0144,-0.0146
2026-06-05,3.44,3.48,3.52,3.43,299778.0,星期五,0.0029,0.0116
2026-06-04,3.49,3.43,3.52,3.42,263767.0,星期四,0.0,-0.0172
2026-06-03,3.52,3.49,3.53,3.48,246663.0,星期三,0.0,-0.0085
2026-06-02,3.58,3.52,3.6,3.51,300266.0,星期二,-0.0028,-0.0168
2026-06-01,3.53,3.59,3.6,3.52,388442.0,星期一,0.0028,0.017
2026-05-29,3.52,3.52,3.57,3.51,313192.0,星期五,0.0028,0.0
2026-05-28,3.52,3.51,3.55,3.47,240636.0,星期四,0.0,-0.0028
2026-05-27,3.59,3.52,3.62,3.49,308705.0,星期三,-0.0028,-0.0195
2026-05-26,3.64,3.6,3.65,3.56,292352.0,星期二,-0.0055,-0.011
2026-05-25,3.63,3.66,3.66,3.62,260381.0,星期一,0.0,0.0083
2026-05-22,3.66,3.63,3.68,3.62,239848.0,星期五,0.0055,-0.0082
2026-05-21,3.7,3.64,3.74,3.64,262033.0,星期四,0.0,-0.0162
2026-05-20,3.78,3.7,3.78,3.67,331470.0,星期三,0.0,-0.0212
2026-05-19,3.73,3.78,3.78,3.71,280587.0,星期二,0.0,0.0134
2026-05-18,3.73,3.73,3.75,3.69,292043.0,星期一,-0.0053,0.0
2026-05-15,3.79,3.75,3.81,3.74,311019.0,星期五,-0.0026,-0.0106
2026-05-14,3.88,3.8,3.88,3.79,457565.0,星期四,0.0,-0.0206
2026-05-13,3.87,3.88,3.9,3.86,258330.0,星期三,0.0,0.0026
2026-05-12,3.91,3.87,3.92,3.86,346617.0,星期二,-0.0026,-0.0102
2026-05-11,3.91,3.92,3.93,3.89,356463.0,星期一,-0.0026,0.0026
2026-05-08,3.9,3.92,3.93,3.88,329222.0,星期五,-0.0026,0.0051
2026-05-07,3.94,3.91,3.96,3.9,371873.0,星期四,0.0,-0.0076
2026-05-06,3.93,3.94,3.96,3.92,400447.0,星期三,0.0026,0.0025
2026-04-30,3.95,3.92,3.96,3.9,344295.0,星期四,-0.0025,-0.0076
2026-04-29,3.91,3.96,3.99,3.9,417990.0,星期三,-0.0026,0.0128
2026-04-28,4.03,3.92,4.04,3.88,786758.0,星期二,-0.0147,-0.0273
2026-04-27,4.06,4.09,4.1,4.0,387292.0,星期一,-0.0049,0.0074
2026-04-24,4.03,4.08,4.09,4.0,387084.0,星期五,-0.0025,0.0124
