time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,9.82,9.48,9.82,9.37,42518.0,星期五,0.0061,-0.0346
2026-06-25,10.07,9.76,10.07,9.65,45669.0,星期四,0.009,-0.0308
2026-06-24,10.2,9.98,10.37,9.87,49923.0,星期三,-0.0068,-0.0216
2026-06-23,10.32,10.27,10.52,10.11,46272.0,星期二,-0.0029,-0.0048
2026-06-22,10.3,10.35,10.4,9.87,50708.0,星期一,0.0078,0.0049
2026-06-18,10.28,10.22,10.43,10.18,45837.0,星期四,-0.0125,-0.0058
2026-06-17,10.71,10.41,10.83,10.35,50640.0,星期三,0.0075,-0.028
2026-06-16,10.44,10.63,10.77,10.26,49868.0,星期二,0.0029,0.0182
2026-06-15,10.36,10.41,10.67,10.28,47961.0,星期一,-0.0029,0.0048
2026-06-12,10.52,10.39,10.53,10.22,49988.0,星期五,0.0304,-0.0124
2026-06-11,10.15,10.21,10.33,10.01,40396.0,星期四,-0.0126,0.0059
2026-06-10,10.46,10.28,10.58,10.08,54627.0,星期三,-0.0151,-0.0172
2026-06-09,10.64,10.62,11.07,10.56,71995.0,星期二,0.0066,-0.0019
2026-06-08,10.91,10.57,11.28,10.4,80819.0,星期一,-0.01,-0.0312
2026-06-05,11.0,11.02,11.21,10.69,68549.0,星期五,0.0092,0.0018
2026-06-04,11.35,10.9,11.48,10.81,64385.0,星期四,0.0198,-0.0396
2026-06-03,11.17,11.13,11.33,11.02,47580.0,星期三,-0.0062,-0.0036
2026-06-02,11.57,11.24,11.68,10.99,48380.0,星期二,0.0043,-0.0285
2026-06-01,11.52,11.52,11.8,11.37,52467.0,星期一,0.0159,0.0
2026-05-29,11.85,11.34,11.96,11.28,49363.0,星期五,-0.005,-0.043
2026-05-28,11.64,11.91,12.0,11.58,44783.0,星期四,-0.0085,0.0232
2026-05-27,11.86,11.74,12.06,11.61,51731.0,星期三,0.0034,-0.0101
2026-05-26,12.1,11.82,12.22,11.67,64618.0,星期二,-0.0106,-0.0231
2026-05-25,12.68,12.23,12.75,12.04,59170.0,星期一,0.0152,-0.0355
2026-05-22,12.23,12.49,12.59,12.06,59838.0,星期五,0.0107,0.0213
2026-05-21,13.1,12.1,13.14,12.1,102365.0,星期四,0.0038,-0.0763
2026-05-20,13.2,13.05,13.85,12.8,116730.0,星期三,0.0046,-0.0114
2026-05-19,12.8,13.14,13.44,12.8,74615.0,星期二,-0.0062,0.0266
2026-05-18,12.54,12.88,13.29,12.5,63652.0,星期一,-0.0032,0.0271
2026-05-15,12.81,12.58,13.0,12.5,61695.0,星期五,-0.0047,-0.018
2026-05-14,13.57,12.87,13.57,12.83,88092.0,星期四,-0.0007,-0.0516
2026-05-13,13.33,13.58,13.79,13.25,88496.0,星期三,-0.0052,0.0188
2026-05-12,13.29,13.4,13.63,13.24,73294.0,星期二,-0.0067,0.0083
2026-05-11,13.39,13.38,13.64,13.28,56267.0,星期一,0.0,-0.0007
2026-05-08,13.09,13.39,13.49,13.06,60753.0,星期五,-0.0121,0.0229
2026-05-07,12.88,13.25,13.3,12.79,74123.0,星期四,0.0031,0.0287
2026-05-06,12.77,12.84,12.9,12.7,52950.0,星期三,0.0071,0.0055
2026-04-30,13.01,12.68,13.01,12.63,42820.0,星期四,0.0085,-0.0254
2026-04-29,12.7,12.9,13.05,12.64,51498.0,星期三,0.0,0.0157
2026-04-28,13.03,12.7,13.09,12.6,62324.0,星期二,0.0023,-0.0253
2026-04-27,13.0,13.0,13.03,12.58,60328.0,星期一,-0.0046,0.0
2026-04-24,13.08,13.06,13.18,12.84,49687.0,星期五,-0.0008,-0.0015
2026-04-23,13.34,13.09,13.56,12.92,62570.0,星期四,0.0008,-0.0187
2026-04-22,13.37,13.33,13.46,13.1,64331.0,星期三,-0.0096,-0.003
2026-04-21,13.7,13.5,13.93,13.38,75548.0,星期二,0.0051,-0.0146
2026-04-20,13.53,13.63,13.68,13.31,68129.0,星期一,-0.0022,0.0074
2026-04-17,13.44,13.56,13.81,13.18,87106.0,星期五,0.0083,0.0089
2026-04-16,13.29,13.33,13.39,13.02,58428.0,星期四,0.0053,0.003
2026-04-15,13.47,13.22,13.65,13.16,70298.0,星期三,0.0037,-0.0186
2026-04-14,13.57,13.42,13.6,13.26,68535.0,星期二,0.0052,-0.0111
2026-04-13,13.73,13.5,13.77,13.39,74093.0,星期一,-0.0079,-0.0168
2026-04-10,14.16,13.84,14.28,13.83,97498.0,星期五,-0.0021,-0.0226
2026-04-09,13.55,14.19,14.26,13.41,129791.0,星期四,-0.0102,0.0472
2026-04-08,13.37,13.69,13.72,13.18,87060.0,星期三,0.0191,0.0239
2026-04-07,12.32,13.12,13.47,12.32,125308.0,星期二,0.0016,0.0649
2026-04-03,13.05,12.3,13.1,12.2,57894.0,星期五,0.0243,-0.0575
2026-04-02,12.97,12.74,13.15,12.62,47804.0,星期四,-0.0023,-0.0177
2026-04-01,13.13,13.0,13.23,12.88,48135.0,星期三,0.0242,-0.0099
2026-03-31,13.25,12.82,13.34,12.8,49382.0,星期二,0.0053,-0.0325
2026-03-30,13.2,13.18,13.32,12.88,43225.0,星期一,-0.009,-0.0015
2026-03-27,13.0,13.32,13.41,12.99,47429.0,星期五,-0.0159,0.0246
2026-03-26,13.87,13.21,13.98,13.13,84114.0,星期四,-0.0029,-0.0476
2026-03-25,13.5,13.91,14.18,13.39,97394.0,星期三,0.012,0.0304
2026-03-24,12.96,13.34,13.4,12.71,91777.0,星期二,0.0221,0.0293
2026-03-23,13.2,12.68,13.53,12.6,76101.0,星期一,-0.0142,-0.0394
2026-03-20,13.73,13.39,14.05,13.33,77137.0,星期五,0.0066,-0.0248
2026-03-19,13.9,13.64,13.96,13.54,60449.0,星期四,-0.0149,-0.0187
2026-03-18,13.81,14.11,14.12,13.77,48543.0,星期三,0.0015,0.0217
2026-03-17,14.21,13.79,14.37,13.74,72250.0,星期二,0.0021,-0.0296
2026-03-16,14.48,14.18,14.51,13.91,72068.0,星期一,0.0084,-0.0207
2026-03-13,15.19,14.36,15.19,14.32,93884.0,星期五,0.0,-0.0546
2026-03-12,15.7,15.19,15.73,15.09,94791.0,星期四,-0.0063,-0.0325
2026-03-11,16.01,15.8,16.13,15.63,114176.0,星期三,-0.0019,-0.0131
2026-03-10,16.11,16.04,16.5,15.97,162738.0,星期二,0.005,-0.0043
2026-03-09,15.21,16.03,16.08,15.21,193180.0,星期一,-0.0386,0.0539
2026-03-06,15.5,15.82,16.6,15.47,206841.0,星期五,0.0045,0.0206
2026-03-05,15.05,15.43,15.8,15.04,134915.0,星期四,0.0087,0.0252
2026-03-04,14.29,14.92,15.23,14.12,130131.0,星期三,-0.0069,0.0441
2026-03-03,15.23,14.39,15.4,14.34,109502.0,星期二,-0.0013,-0.0552
2026-03-02,15.41,15.25,15.92,15.16,104019.0,星期一,-0.0284,-0.0104
2026-02-27,15.7,15.86,15.94,15.6,84050.0,星期五,-0.0044,0.0102
2026-02-26,15.76,15.77,15.88,15.53,88978.0,星期四,0.0,0.0006
2026-02-25,15.98,15.76,16.1,15.5,103965.0,星期三,0.0101,-0.0138
2026-02-24,15.28,15.82,16.05,15.07,139079.0,星期二,0.0241,0.0353
2026-02-13,15.07,14.92,15.19,14.86,71681.0,星期五,-0.0046,-0.01
2026-02-12,15.32,15.14,15.62,15.01,88201.0,星期四,0.0106,-0.0117
2026-02-11,15.4,15.16,15.41,15.13,56610.0,星期三,-0.0013,-0.0156
2026-02-10,15.62,15.42,15.9,15.33,80894.0,星期二,-0.0006,-0.0128
