time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,10.68,10.11,10.7,10.09,105207.0,星期五,0.0191,-0.0534
2026-06-25,10.91,10.48,11.04,10.33,95576.0,星期四,0.0158,-0.0394
2026-06-24,10.9,10.74,10.97,10.45,81620.0,星期三,-0.0009,-0.0147
2026-06-23,11.15,10.91,11.25,10.86,70918.0,星期二,0.009,-0.0215
2026-06-22,11.15,11.05,11.15,10.54,86461.0,星期一,-0.0009,-0.009
2026-06-18,11.07,11.16,11.25,11.0,65421.0,星期四,-0.0009,0.0081
2026-06-17,11.09,11.08,11.2,10.89,70101.0,星期三,-0.0054,-0.0009
2026-06-16,11.08,11.15,11.28,11.01,65787.0,星期二,-0.0054,0.0063
2026-06-15,11.05,11.14,11.17,10.8,88514.0,星期一,0.0289,0.0081
2026-06-12,10.97,10.74,11.12,10.74,73321.0,星期五,0.0176,-0.021
2026-06-11,10.9,10.78,11.05,10.65,57961.0,星期四,-0.0162,-0.011
2026-06-10,11.37,11.08,11.44,10.86,66372.0,星期三,-0.0018,-0.0255
2026-06-09,11.45,11.39,11.45,11.13,57834.0,星期二,0.0205,-0.0052
2026-06-08,11.51,11.22,11.71,10.99,86465.0,星期一,-0.0204,-0.0252
2026-06-05,11.51,11.75,12.04,11.34,82919.0,星期五,-0.0035,0.0209
2026-06-04,11.72,11.55,11.83,11.47,60992.0,星期四,-0.0059,-0.0145
2026-06-03,12.03,11.79,12.24,11.69,71111.0,星期三,-0.0008,-0.02
2026-06-02,12.32,12.04,12.32,11.94,61051.0,星期二,0.0,-0.0227
2026-06-01,12.21,12.32,12.49,12.08,77793.0,星期一,-0.0057,0.009
2026-05-29,12.76,12.28,12.88,12.05,95626.0,星期五,-0.0047,-0.0376
2026-05-28,12.76,12.82,12.97,12.41,86456.0,星期四,-0.0078,0.0047
2026-05-27,13.2,12.86,13.36,12.74,87670.0,星期三,-0.0098,-0.0258
2026-05-26,13.26,13.33,13.65,12.98,82194.0,星期二,-0.0067,0.0053
2026-05-25,12.96,13.35,13.44,12.81,87365.0,星期一,0.0015,0.0301
2026-05-22,12.79,12.94,13.05,12.55,85976.0,星期五,0.0071,0.0117
2026-05-21,13.37,12.7,13.54,12.68,134948.0,星期四,0.0015,-0.0501
2026-05-20,13.38,13.35,13.51,13.15,108417.0,星期三,-0.0059,-0.0022
2026-05-19,13.25,13.46,13.46,13.12,83261.0,星期二,-0.0038,0.0158
2026-05-18,13.21,13.3,13.42,13.08,58749.0,星期一,-0.006,0.0068
2026-05-15,13.52,13.29,13.64,13.11,73873.0,星期五,0.0,-0.017
2026-05-14,13.95,13.52,13.98,13.48,75131.0,星期四,0.005,-0.0308
2026-05-13,13.59,13.88,13.97,13.48,78195.0,星期三,-0.0029,0.0213
2026-05-12,13.67,13.63,13.82,13.5,86332.0,星期二,0.0,-0.0029
2026-05-11,13.74,13.67,13.81,13.54,88772.0,星期一,0.0081,-0.0051
2026-05-08,13.35,13.63,13.68,13.09,99583.0,星期五,-0.0067,0.021
2026-05-07,13.25,13.44,13.49,13.09,88381.0,星期四,0.0061,0.0143
2026-05-06,13.15,13.17,13.6,13.11,122794.0,星期三,0.01,0.0015
2026-04-30,12.97,13.02,13.12,12.82,78852.0,星期四,-0.0023,0.0039
2026-04-29,12.86,13.0,13.11,12.81,75980.0,星期三,-0.0039,0.0109
