time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,4.52,4.36,4.53,4.34,415683.0,星期五,0.0089,-0.0354
2026-06-25,4.57,4.48,4.57,4.47,362549.0,星期四,-0.0022,-0.0197
2026-06-24,4.79,4.58,4.81,4.54,485355.0,星期三,0.0021,-0.0438
2026-06-23,4.76,4.78,4.94,4.73,543013.0,星期二,-0.0083,0.0042
2026-06-22,4.75,4.8,4.8,4.59,468648.0,星期一,-0.0084,0.0105
2026-06-18,4.73,4.79,4.82,4.58,496544.0,星期四,-0.0063,0.0127
2026-06-17,4.89,4.76,4.92,4.74,431158.0,星期三,-0.0041,-0.0266
2026-06-16,4.9,4.91,4.94,4.81,412906.0,星期二,-0.0061,0.002
2026-06-15,4.97,4.93,5.02,4.86,531209.0,星期一,0.0122,-0.008
2026-06-12,4.91,4.91,5.01,4.8,730432.0,星期五,0.002,0.0
2026-06-11,4.76,4.9,4.97,4.7,639886.0,星期四,-0.0083,0.0294
2026-06-10,4.86,4.8,4.93,4.74,462602.0,星期三,-0.0061,-0.0123
2026-06-09,4.98,4.89,4.99,4.79,621073.0,星期二,0.004,-0.0181
2026-06-08,4.94,4.96,5.18,4.84,689032.0,星期一,-0.0237,0.004
2026-06-05,5.16,5.06,5.29,5.02,778137.0,星期五,-0.0134,-0.0194
2026-06-04,5.1,5.23,5.34,5.1,1070116.0,星期四,-0.0058,0.0255
2026-06-03,5.12,5.13,5.2,5.04,545620.0,星期三,0.0079,0.002
2026-06-02,5.21,5.08,5.23,4.96,602213.0,星期二,-0.0057,-0.025
2026-06-01,5.13,5.24,5.27,5.06,547565.0,星期一,0.0,0.0214
2026-05-29,5.15,5.13,5.27,5.09,628345.0,星期五,0.0059,-0.0039
2026-05-28,5.08,5.12,5.21,5.02,420262.0,星期四,-0.0059,0.0079
2026-05-27,5.21,5.11,5.32,5.06,657565.0,星期三,-0.0076,-0.0192
2026-05-26,5.29,5.25,5.31,5.17,386547.0,星期二,-0.0056,-0.0076
2026-05-25,5.4,5.32,5.45,5.29,399152.0,星期一,-0.0018,-0.0148
2026-05-22,5.3,5.41,5.47,5.26,479771.0,星期五,0.0095,0.0208
2026-05-21,5.51,5.25,5.57,5.25,510084.0,星期四,-0.0018,-0.0472
2026-05-20,5.66,5.52,5.68,5.49,458461.0,星期三,-0.0053,-0.0247
2026-05-19,5.75,5.69,5.77,5.59,455412.0,星期二,0.0035,-0.0104
2026-05-18,5.75,5.73,5.79,5.69,420775.0,星期一,-0.0052,-0.0035
2026-05-15,5.93,5.78,5.99,5.7,629615.0,星期五,0.0,-0.0253
2026-05-14,6.18,5.93,6.19,5.91,694738.0,星期四,0.0,-0.0405
2026-05-13,6.1,6.18,6.28,6.05,885932.0,星期三,0.0049,0.0131
2026-05-12,6.25,6.07,6.32,5.99,752759.0,星期二,0.0016,-0.0288
2026-05-11,6.28,6.24,6.36,6.18,705143.0,星期一,0.0096,-0.0064
2026-05-08,6.18,6.22,6.28,6.16,662537.0,星期五,0.0049,0.0065
2026-05-07,6.13,6.15,6.18,6.03,706596.0,星期四,0.0016,0.0033
2026-05-06,6.08,6.12,6.14,6.03,519011.0,星期三,-0.0049,0.0066
2026-04-30,6.06,6.11,6.18,6.01,515619.0,星期四,0.0066,0.0083
2026-04-29,5.97,6.02,6.07,5.92,527789.0,星期三,-0.0017,0.0084
2026-04-28,5.96,5.98,6.07,5.9,682557.0,星期二,0.0034,0.0034
2026-04-27,6.3,5.94,6.3,5.81,1113476.0,星期一,-0.0217,-0.0571
2026-04-24,6.48,6.44,6.57,6.37,473570.0,星期五,-0.0137,-0.0062
2026-04-23,6.57,6.57,6.59,6.43,604922.0,星期四,-0.0061,0.0
2026-04-22,6.68,6.61,6.7,6.55,538267.0,星期三,0.0,-0.0105
2026-04-21,6.83,6.68,6.9,6.61,627200.0,星期二,0.0,-0.022
2026-04-20,6.77,6.83,6.85,6.74,597524.0,星期一,0.003,0.0089
2026-04-17,6.76,6.75,6.82,6.66,460554.0,星期五,-0.0059,-0.0015
2026-04-16,6.71,6.8,6.82,6.56,620524.0,星期四,-0.0015,0.0134
2026-04-15,6.83,6.72,6.84,6.66,593792.0,星期三,-0.0058,-0.0161
2026-04-14,6.76,6.87,6.87,6.73,610658.0,星期二,-0.0073,0.0163
2026-04-13,6.8,6.81,6.88,6.68,627873.0,星期一,0.0059,0.0015
2026-04-10,6.77,6.76,6.83,6.7,584271.0,星期五,0.0015,-0.0015
2026-04-09,6.72,6.76,6.88,6.64,753060.0,星期四,-0.0103,0.006
2026-04-08,6.51,6.79,6.82,6.51,944986.0,星期三,-0.0091,0.043
2026-04-07,6.37,6.57,6.59,6.25,967776.0,星期二,0.0095,0.0314
2026-04-03,6.66,6.31,6.69,6.28,933788.0,星期五,0.0045,-0.0526
2026-04-02,6.96,6.63,7.03,6.62,914761.0,星期四,0.0043,-0.0474
2026-04-01,7.07,6.93,7.16,6.88,893932.0,星期三,-0.0042,-0.0198
2026-03-31,7.3,7.1,7.4,7.03,1306511.0,星期二,-0.0228,-0.0274
2026-03-30,7.08,7.47,7.55,7.08,1659155.0,星期一,-0.0167,0.0551
2026-03-27,6.96,7.2,7.38,6.91,1101922.0,星期五,-0.01,0.0345
2026-03-26,7.24,7.03,7.42,6.99,989887.0,星期四,-0.0041,-0.029
2026-03-25,7.12,7.27,7.37,7.09,933855.0,星期三,-0.0084,0.0211
2026-03-24,7.13,7.18,7.18,6.86,959224.0,星期二,0.023,0.007
2026-03-23,7.15,6.97,7.28,6.91,1178709.0,星期一,-0.0192,-0.0252
2026-03-20,7.52,7.29,7.6,7.28,1209676.0,星期五,-0.0246,-0.0306
2026-03-19,7.9,7.71,8.0,7.58,1254265.0,星期四,0.0128,-0.0241
2026-03-18,8.1,7.8,8.14,7.62,1716838.0,星期三,-0.0229,-0.037
2026-03-17,8.44,8.29,8.74,8.11,2368297.0,星期二,-0.042,-0.0178
2026-03-16,8.2,8.81,8.97,8.18,2885305.0,星期一,-0.0073,0.0744
2026-03-13,8.13,8.26,8.64,8.12,2105518.0,星期五,0.0049,0.016
2026-03-12,8.45,8.09,8.45,8.02,1524277.0,星期四,0.0108,-0.0426
2026-03-11,8.23,8.36,8.44,8.18,1530371.0,星期三,-0.0048,0.0158
2026-03-10,7.86,8.27,8.41,7.86,2043147.0,星期二,-0.0609,0.0522
2026-03-09,8.88,8.37,9.3,8.32,2844303.0,星期一,0.0254,-0.0574
2026-03-06,8.22,8.66,8.86,8.06,3008913.0,星期五,-0.0072,0.0535
2026-03-05,8.64,8.28,8.81,8.09,3519814.0,星期四,-0.0749,-0.0417
2026-03-04,8.5,9.34,9.93,8.45,4281114.0,星期三,0.0119,0.0988
2026-03-03,8.03,8.4,9.12,8.0,3667085.0,星期二,-0.0183,0.0461
2026-03-02,7.91,8.18,8.38,7.89,2150773.0,星期一,-0.0186,0.0341
2026-02-27,7.77,8.06,8.15,7.71,2006305.0,星期五,-0.0038,0.0373
2026-02-26,7.71,7.8,8.18,7.63,1947776.0,星期四,-0.0153,0.0117
2026-02-25,7.63,7.83,8.11,7.54,2215171.0,星期三,0.0026,0.0262
2026-02-24,7.35,7.61,7.7,7.32,1654806.0,星期二,0.0124,0.0354
2026-02-13,7.23,7.26,7.35,7.17,1009521.0,星期五,0.0084,0.0041
2026-02-12,7.4,7.17,7.45,7.13,1269116.0,星期四,-0.012,-0.0311
2026-02-11,7.35,7.49,7.64,7.33,1335758.0,星期三,-0.0041,0.019
2026-02-10,7.57,7.38,7.61,7.3,1366893.0,星期二,-0.0105,-0.0251
2026-02-09,7.5,7.65,7.87,7.49,1772570.0,星期一,0.004,0.02
2026-02-06,7.44,7.47,7.7,7.34,1710066.0,星期五,-0.0133,0.004
2026-02-05,7.71,7.54,7.94,7.45,2244399.0,星期四,-0.0363,-0.022
2026-02-04,8.2,8.0,8.54,7.68,3647427.0,星期三,0.0086,-0.0244
2026-02-03,7.86,8.13,8.18,7.71,2695824.0,星期二,-0.0051,0.0344
2026-02-02,7.75,7.9,8.36,7.68,3314100.0,星期一,-0.1051,0.0194
2026-01-30,7.7,8.66,9.2,7.59,4714638.0,星期五,0.0039,0.1247
2026-01-29,7.14,7.67,7.8,7.14,3391900.0,星期四,0.0085,0.0742
2026-01-28,6.75,7.08,7.26,6.71,2562080.0,星期三,0.0045,0.0489
2026-01-27,6.73,6.72,6.76,6.51,886178.0,星期二,-0.0117,-0.0015
2026-01-26,6.81,6.81,6.9,6.72,1139257.0,星期一,-0.0087,0.0
2026-01-23,6.71,6.87,6.98,6.7,1294868.0,星期五,-0.0103,0.0238
2026-01-22,6.6,6.78,6.79,6.58,1170777.0,星期四,0.0046,0.0273
2026-01-21,6.66,6.57,6.66,6.41,1053400.0,星期三,-0.0089,-0.0135
2026-01-20,7.15,6.72,7.15,6.65,1863389.0,星期二,-0.0192,-0.0601
2026-01-19,6.57,7.29,7.44,6.52,2497291.0,星期一,-0.012,0.1096
2026-01-16,6.62,6.65,6.78,6.53,1135432.0,星期五,0.0046,0.0045
2026-01-15,6.83,6.59,6.83,6.52,1303501.0,星期四,-0.0087,-0.0351
2026-01-14,7.06,6.89,7.15,6.75,2088647.0,星期三,-0.014,-0.0241
2026-01-13,7.65,7.16,7.7,7.12,2122534.0,星期二,-0.0154,-0.0641
2026-01-12,7.37,7.77,7.86,7.33,2315096.0,星期一,-0.0173,0.0543
2026-01-09,7.23,7.5,7.54,7.22,2174643.0,星期五,-0.0028,0.0373
2026-01-08,7.14,7.25,7.38,7.09,1778936.0,星期四,0.0014,0.0154
2026-01-07,7.24,7.13,7.4,7.09,1803419.0,星期三,-0.0096,-0.0152
2026-01-06,7.12,7.31,7.66,7.09,2638333.0,星期二,0.0071,0.0267
2026-01-05,7.3,7.07,7.36,6.91,2384332.0,星期一,-0.0188,-0.0315
2025-12-31,7.54,7.44,7.88,7.18,2618818.0,星期三,0.0175,-0.0133
2025-12-30,7.6,7.41,7.71,7.3,2292007.0,星期二,-0.0168,-0.025
2025-12-29,7.92,7.73,8.19,7.67,2787651.0,星期一,-0.0174,-0.024
2025-12-26,7.53,8.06,8.68,7.53,3997916.0,星期五,0.0027,0.0704
2025-12-25,8.01,7.51,8.23,7.46,2766086.0,星期四,0.0139,-0.0624
2025-12-24,7.75,7.9,8.14,7.44,3664698.0,星期三,-0.0051,0.0194
2025-12-23,7.61,7.79,8.56,7.61,5509558.0,星期二,0.0673,0.0237
2025-12-22,6.01,7.13,7.13,5.95,4034383.0,星期一,0.0118,0.1864
2025-12-19,5.46,5.94,6.33,5.3,2631355.0,星期五,0.0,0.0879
2025-12-18,5.56,5.46,5.8,5.41,1641636.0,星期四,-0.0142,-0.018
2025-12-17,6.04,5.64,6.04,5.45,2055785.0,星期三,-0.0258,-0.0662
