time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,3.97,3.86,4.02,3.83,198309.0,星期五,-0.0025,-0.0277
2026-06-25,4.1,3.98,4.1,3.97,269749.0,星期四,-0.0024,-0.0293
2026-06-24,4.25,4.11,4.25,4.06,290181.0,星期三,-0.0047,-0.0329
2026-06-23,4.06,4.27,4.33,4.05,392291.0,星期二,-0.0049,0.0517
2026-06-22,4.14,4.08,4.17,3.99,269797.0,星期一,-0.0096,-0.0145
2026-06-18,4.3,4.18,4.3,4.14,268560.0,星期四,-0.0069,-0.0279
2026-06-17,4.14,4.33,4.33,4.14,301218.0,星期三,-0.0096,0.0459
2026-06-16,4.04,4.18,4.23,3.98,267554.0,星期二,-0.0049,0.0347
2026-06-15,4.03,4.06,4.15,3.99,209244.0,星期一,0.0,0.0074
2026-06-12,4.22,4.03,4.22,3.98,305053.0,星期五,0.0072,-0.045
2026-06-11,4.2,4.19,4.29,4.12,251876.0,星期四,-0.0164,-0.0024
2026-06-10,3.96,4.27,4.29,3.96,511105.0,星期三,-0.01,0.0783
2026-06-09,4.02,4.0,4.05,3.92,187700.0,星期二,0.005,-0.005
2026-06-08,3.91,4.0,4.06,3.88,212321.0,星期一,-0.0201,0.023
2026-06-05,3.96,3.99,4.06,3.88,224271.0,星期五,-0.005,0.0076
2026-06-04,4.11,3.98,4.14,3.95,234198.0,星期四,-0.0024,-0.0316
2026-06-03,4.1,4.12,4.21,4.04,206709.0,星期三,-0.0024,0.0049
2026-06-02,4.22,4.11,4.22,4.05,190468.0,星期二,0.0024,-0.0261
2026-06-01,4.1,4.21,4.26,4.05,210798.0,星期一,-0.0024,0.0268
2026-05-29,4.37,4.11,4.37,4.09,267572.0,星期五,0.0,-0.0595
2026-05-28,4.31,4.37,4.42,4.23,200674.0,星期四,0.0023,0.0139
2026-05-27,4.32,4.3,4.4,4.24,237901.0,星期三,0.0023,-0.0046
2026-05-26,4.41,4.31,4.41,4.25,253665.0,星期二,-0.0023,-0.0227
2026-05-25,4.57,4.42,4.59,4.41,314224.0,星期一,0.0066,-0.0328
2026-05-22,4.45,4.54,4.58,4.39,226982.0,星期五,0.0091,0.0202
2026-05-21,4.75,4.41,4.75,4.38,436435.0,星期四,0.0171,-0.0716
2026-05-20,4.52,4.67,4.76,4.47,483710.0,星期三,0.0,0.0332
2026-05-19,4.55,4.52,4.57,4.47,289893.0,星期二,-0.0066,-0.0066
2026-05-18,4.64,4.58,4.74,4.48,413552.0,星期一,0.0043,-0.0129
2026-05-15,4.49,4.62,4.76,4.36,736270.0,星期五,0.0,0.029
2026-05-14,4.67,4.49,4.85,4.49,865778.0,星期四,0.0471,-0.0385
2026-05-13,4.12,4.46,4.6,4.1,933699.0,星期三,-0.0048,0.0825
2026-05-12,4.17,4.14,4.18,4.05,215742.0,星期二,-0.0024,-0.0072
2026-05-11,4.25,4.18,4.25,4.13,254741.0,星期一,-0.0023,-0.0165
2026-05-08,4.2,4.26,4.26,4.15,287407.0,星期五,0.0,0.0143
2026-05-07,4.19,4.2,4.28,4.16,256254.0,星期四,0.0,0.0024
2026-05-06,4.2,4.19,4.23,4.11,199419.0,星期三,0.0,-0.0024
2026-04-30,4.15,4.2,4.25,4.1,322666.0,星期四,0.0,0.012
2026-04-29,4.05,4.15,4.16,4.02,297979.0,星期三,0.0025,0.0247
2026-04-28,4.11,4.04,4.13,4.01,190243.0,星期二,-0.0024,-0.017
2026-04-27,4.0,4.12,4.13,3.94,251477.0,星期一,-0.005,0.03
2026-04-24,4.03,4.02,4.03,3.96,170586.0,星期五,-0.0025,-0.0025
2026-04-23,4.05,4.04,4.06,3.92,239106.0,星期四,0.0,-0.0025
2026-04-22,4.04,4.05,4.09,4.02,221868.0,星期三,-0.0025,0.0025
2026-04-21,4.13,4.05,4.13,4.03,243202.0,星期二,-0.0024,-0.0194
2026-04-20,4.13,4.14,4.17,4.05,217108.0,星期一,-0.0024,0.0024
2026-04-17,4.21,4.14,4.21,4.09,299908.0,星期五,0.0,-0.0166
2026-04-16,4.16,4.21,4.3,4.12,417506.0,星期四,0.0,0.012
2026-04-15,4.2,4.16,4.2,4.11,214288.0,星期三,0.0048,-0.0095
2026-04-14,4.18,4.18,4.23,4.12,261577.0,星期二,0.0024,0.0
2026-04-13,4.16,4.17,4.2,4.08,245441.0,星期一,-0.0072,0.0024
2026-04-10,4.14,4.19,4.29,4.11,370444.0,星期五,0.0098,0.0121
2026-04-09,4.14,4.1,4.18,4.05,217688.0,星期四,-0.0143,-0.0097
2026-04-08,4.18,4.2,4.22,4.08,324805.0,星期三,0.017,0.0048
2026-04-07,3.96,4.11,4.16,3.9,360705.0,星期二,0.0102,0.0379
2026-04-03,3.96,3.92,3.98,3.81,260871.0,星期五,0.0025,-0.0101
2026-04-02,4.02,3.95,4.12,3.92,224548.0,星期四,0.0025,-0.0174
2026-04-01,4.1,4.01,4.12,4.0,186563.0,星期三,0.0174,-0.022
2026-03-31,4.2,4.03,4.23,4.03,253692.0,星期二,0.0,-0.0405
2026-03-30,4.19,4.2,4.27,4.16,220643.0,星期一,-0.0141,0.0024
2026-03-27,4.24,4.25,4.27,4.16,194215.0,星期五,-0.0024,0.0024
2026-03-26,4.38,4.25,4.38,4.15,341870.0,星期四,0.0023,-0.0297
2026-03-25,4.4,4.37,4.44,4.3,327844.0,星期三,0.0185,-0.0068
2026-03-24,4.19,4.32,4.32,4.14,365502.0,星期二,0.022,0.031
2026-03-23,4.3,4.1,4.34,4.06,397081.0,星期一,-0.0183,-0.0465
2026-03-20,4.55,4.38,4.61,4.28,561169.0,星期五,0.0179,-0.0374
2026-03-19,4.49,4.47,4.61,4.41,441357.0,星期四,-0.0154,-0.0045
2026-03-18,4.73,4.56,4.76,4.45,626802.0,星期三,0.0021,-0.0359
2026-03-17,4.87,4.72,5.01,4.71,698108.0,星期二,-0.0181,-0.0308
2026-03-16,4.59,4.96,5.18,4.59,1136103.0,星期一,0.0022,0.0806
2026-03-13,4.4,4.58,4.64,4.35,444942.0,星期五,-0.0023,0.0409
2026-03-12,4.4,4.41,4.45,4.31,244753.0,星期四,0.0069,0.0023
2026-03-11,4.47,4.37,4.48,4.32,257285.0,星期三,0.0,-0.0224
2026-03-10,4.39,4.47,4.48,4.36,223397.0,星期二,0.0092,0.0182
2026-03-09,4.44,4.35,4.47,4.32,223130.0,星期一,-0.0089,-0.0203
2026-03-06,4.33,4.48,4.5,4.31,181643.0,星期五,-0.0069,0.0346
2026-03-05,4.41,4.36,4.44,4.33,203158.0,星期四,0.0185,-0.0113
2026-03-04,4.33,4.33,4.41,4.29,253789.0,星期三,-0.0069,0.0
2026-03-03,4.54,4.36,4.57,4.33,335033.0,星期二,0.0067,-0.0396
2026-03-02,4.69,4.51,4.74,4.48,409609.0,星期一,-0.0147,-0.0384
2026-02-27,4.76,4.76,4.78,4.65,363333.0,星期五,-0.0063,0.0
2026-02-26,4.79,4.79,4.8,4.71,272367.0,星期四,0.0084,0.0
2026-02-25,4.8,4.75,4.8,4.72,259973.0,星期三,-0.0021,-0.0104
2026-02-24,4.74,4.81,4.84,4.66,334731.0,星期二,0.0107,0.0148
2026-02-13,4.78,4.69,4.85,4.66,381185.0,星期五,0.0149,-0.0188
2026-02-12,4.75,4.71,4.85,4.6,394818.0,星期四,-0.0084,-0.0084
2026-02-11,4.65,4.79,4.86,4.6,404218.0,星期三,0.0,0.0301
2026-02-10,4.58,4.65,4.69,4.5,316838.0,星期二,0.011,0.0153
2026-02-09,4.49,4.53,4.6,4.47,239998.0,星期一,0.009,0.0089
2026-02-06,4.46,4.45,4.5,4.42,162207.0,星期五,-0.0022,-0.0022
2026-02-05,4.58,4.47,4.58,4.45,251701.0,星期四,-0.0022,-0.024
2026-02-04,4.47,4.59,4.61,4.45,321997.0,星期三,0.0,0.0268
2026-02-03,4.47,4.47,4.48,4.36,262117.0,星期二,0.0136,0.0
2026-02-02,4.48,4.41,4.59,4.4,355997.0,星期一,0.0022,-0.0156
2026-01-30,4.39,4.47,4.48,4.35,284284.0,星期五,-0.0023,0.0182
2026-01-29,4.41,4.4,4.54,4.36,269011.0,星期四,-0.0045,-0.0023
2026-01-28,4.46,4.43,4.53,4.41,265852.0,星期三,-0.0089,-0.0067
2026-01-27,4.54,4.5,4.57,4.43,239914.0,星期二,-0.0044,-0.0088
2026-01-26,4.65,4.56,4.67,4.48,401827.0,星期一,0.0,-0.0194
2026-01-23,4.65,4.65,4.7,4.58,534335.0,星期五,0.0,0.0
2026-01-22,4.62,4.65,4.69,4.59,318886.0,星期四,0.0043,0.0065
2026-01-21,4.53,4.6,4.66,4.48,262768.0,星期三,-0.0066,0.0155
2026-01-20,4.49,4.56,4.64,4.48,328249.0,星期二,0.0,0.0156
2026-01-19,4.28,4.49,4.5,4.28,320682.0,星期一,-0.0023,0.0491
2026-01-16,4.36,4.29,4.4,4.28,198685.0,星期五,0.0046,-0.0161
2026-01-15,4.4,4.34,4.4,4.3,215310.0,星期四,0.0023,-0.0136
