time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,21.86,19.77,22.2,19.74,462254.0,星期五,-0.0059,-0.0956
2026-06-25,21.48,21.99,22.09,20.89,340315.0,星期四,-0.0187,0.0237
2026-06-24,22.1,21.89,22.56,21.71,394687.0,星期三,-0.0081,-0.0095
2026-06-23,22.44,22.28,23.28,22.22,525550.0,星期二,-0.0031,-0.0071
2026-06-22,21.74,22.51,22.58,20.83,454863.0,星期一,-0.0118,0.0354
2026-06-18,21.99,22.0,22.4,21.61,302940.0,星期四,-0.0063,0.0005
2026-06-17,22.82,22.13,23.0,21.91,310566.0,星期三,-0.007,-0.0302
2026-06-16,22.79,22.98,23.4,22.49,334743.0,星期二,-0.0104,0.0083
2026-06-15,21.8,23.03,23.15,21.69,449791.0,星期一,-0.0027,0.0564
2026-06-12,20.92,21.86,22.39,20.88,378559.0,星期五,0.0087,0.0449
2026-06-11,21.01,20.74,21.25,20.47,203334.0,星期四,-0.0066,-0.0129
2026-06-10,21.34,21.15,21.9,20.98,248274.0,星期三,-0.0042,-0.0089
2026-06-09,20.71,21.43,21.68,20.36,347461.0,星期二,0.0063,0.0348
2026-06-08,20.57,20.58,21.49,20.34,360579.0,星期一,-0.0419,0.0005
2026-06-05,23.4,21.47,23.49,21.36,573552.0,星期五,0.0236,-0.0825
2026-06-04,22.23,22.86,23.31,21.82,442463.0,星期四,-0.0049,0.0283
2026-06-03,22.54,22.34,22.9,22.06,278062.0,星期三,-0.007,-0.0089
2026-06-02,22.1,22.7,22.95,21.4,391469.0,星期二,-0.0041,0.0271
2026-06-01,23.22,22.19,23.44,22.14,392188.0,星期一,0.0048,-0.0444
2026-05-29,24.51,23.11,24.83,23.01,441791.0,星期五,0.0066,-0.0571
2026-05-28,24.69,24.35,24.9,23.5,407174.0,星期四,0.0028,-0.0138
2026-05-27,25.09,24.62,25.45,24.53,395651.0,星期三,-0.0099,-0.0187
2026-05-26,25.05,25.34,25.46,24.51,445797.0,星期二,-0.0142,0.0116
2026-05-25,24.86,25.41,26.56,24.86,756139.0,星期一,0.0126,0.0221
2026-05-22,23.51,24.55,24.86,23.43,863060.0,星期五,0.0334,0.0442
2026-05-21,23.55,22.75,24.0,22.68,458403.0,星期四,0.0021,-0.034
2026-05-20,23.69,23.5,24.02,22.85,478767.0,星期三,-0.0096,-0.008
2026-05-19,24.03,23.92,24.6,23.42,531568.0,星期二,-0.0115,-0.0046
2026-05-18,23.0,24.31,24.5,22.98,785890.0,星期一,-0.0154,0.057
2026-05-15,22.36,23.36,23.9,22.35,778339.0,星期五,-0.008,0.0447
2026-05-14,22.94,22.54,23.29,22.5,686038.0,星期四,-0.0013,-0.0174
2026-05-13,19.9,22.97,23.45,19.8,1143594.0,星期三,-0.0109,0.1543
2026-05-12,20.31,20.12,20.47,19.9,327644.0,星期二,-0.0098,-0.0094
