time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,7.28,7.21,7.5,7.2,181344.0,星期五,-0.0082,-0.0096
2026-06-25,7.67,7.34,7.76,7.34,217584.0,星期四,-0.0026,-0.043
2026-06-24,7.65,7.69,7.75,7.44,190441.0,星期三,-0.0091,0.0052
2026-06-23,7.66,7.72,7.88,7.61,149484.0,星期二,-0.0013,0.0078
2026-06-22,7.79,7.67,7.8,7.42,208764.0,星期一,0.0,-0.0154
2026-06-18,7.83,7.79,7.94,7.68,148153.0,星期四,-0.0063,-0.0051
2026-06-17,8.0,7.88,8.01,7.8,185814.0,星期三,-0.0123,-0.015
2026-06-16,7.97,8.1,8.3,7.95,261450.0,星期二,-0.0013,0.0163
2026-06-15,7.7,7.98,7.98,7.7,211912.0,星期一,0.0026,0.0364
2026-06-12,7.56,7.68,7.73,7.45,173554.0,星期五,0.004,0.0159
2026-06-11,7.47,7.53,7.66,7.42,129891.0,星期四,-0.0119,0.008
2026-06-10,7.73,7.56,7.74,7.45,179269.0,星期三,-0.0051,-0.022
2026-06-09,7.86,7.77,7.88,7.65,148072.0,星期二,0.009,-0.0115
2026-06-08,7.8,7.79,8.05,7.71,199587.0,星期一,-0.0213,-0.0013
2026-06-05,7.85,7.97,8.05,7.68,224249.0,星期五,-0.0025,0.0153
2026-06-04,8.28,7.87,8.34,7.82,286827.0,星期四,-0.0084,-0.0495
2026-06-03,8.34,8.35,8.58,8.27,182336.0,星期三,-0.0095,0.0012
2026-06-02,8.43,8.42,8.62,8.21,194670.0,星期二,-0.0082,-0.0012
2026-06-01,8.23,8.5,8.69,8.21,180849.0,星期一,-0.0072,0.0328
2026-05-29,8.66,8.29,8.66,8.27,236844.0,星期五,-0.0114,-0.0427
2026-05-28,8.47,8.76,8.83,8.37,263307.0,星期四,0.0071,0.0342
2026-05-27,8.37,8.41,8.56,8.37,257654.0,星期三,0.0048,0.0048
2026-05-26,8.63,8.33,8.63,8.18,308870.0,星期二,-0.0126,-0.0348
2026-05-25,9.23,8.74,9.23,8.63,410337.0,星期一,-0.0011,-0.0531
2026-05-22,9.2,9.24,9.32,9.07,218803.0,星期五,0.0166,0.0043
2026-05-21,9.5,9.05,9.64,9.05,339282.0,星期四,0.0021,-0.0474
2026-05-20,9.83,9.48,9.88,9.46,316316.0,星期三,-0.0101,-0.0356
2026-05-19,10.2,9.93,10.23,9.76,376275.0,星期二,-0.0068,-0.0265
2026-05-18,10.28,10.27,10.38,10.11,398684.0,星期一,-0.0096,-0.001
2026-05-15,9.92,10.38,10.39,9.87,605477.0,星期五,0.0051,0.0464
2026-05-14,10.1,9.87,10.35,9.87,430474.0,星期四,-0.0098,-0.0228
2026-05-13,9.81,10.2,10.23,9.7,550748.0,星期三,-0.0121,0.0398
2026-05-12,9.68,9.93,10.2,9.68,684390.0,星期二,0.0136,0.0258
2026-05-11,9.34,9.55,9.56,9.32,415446.0,星期一,0.0021,0.0225
2026-05-08,9.36,9.32,9.36,9.24,244358.0,星期五,-0.0053,-0.0043
2026-05-07,9.45,9.41,9.46,9.35,274809.0,星期四,-0.0042,-0.0042
2026-05-06,9.31,9.49,9.51,9.28,364287.0,星期三,0.0,0.0193
2026-04-30,9.4,9.31,9.44,9.12,290886.0,星期四,0.0043,-0.0096
2026-04-29,9.33,9.36,9.43,9.32,276023.0,星期三,-0.0137,0.0032
2026-04-28,9.06,9.46,9.5,9.06,470691.0,星期二,-0.0055,0.0442
2026-04-27,8.95,9.11,9.11,8.84,193676.0,星期一,-0.0089,0.0179
2026-04-24,8.94,9.03,9.12,8.94,181103.0,星期五,-0.0122,0.0101
2026-04-23,9.0,9.05,9.13,8.92,233079.0,星期四,-0.0022,0.0056
2026-04-22,8.94,9.02,9.04,8.78,280847.0,星期三,-0.0111,0.0089
2026-04-21,9.31,9.04,9.31,8.9,468284.0,星期二,-0.019,-0.029
2026-04-20,9.18,9.49,9.52,9.17,332974.0,星期一,-0.0043,0.0338
2026-04-17,9.32,9.22,9.33,9.17,238902.0,星期五,-0.0032,-0.0107
2026-04-16,9.38,9.35,9.39,9.23,218730.0,星期四,0.0032,-0.0032
2026-04-15,9.61,9.35,9.62,9.33,272921.0,星期三,0.0073,-0.0271
2026-04-14,9.49,9.54,9.58,9.35,351032.0,星期二,0.0064,0.0053
2026-04-13,9.5,9.43,9.56,9.32,337567.0,星期一,0.0021,-0.0074
2026-04-10,9.34,9.48,9.56,9.32,250928.0,星期五,0.0086,0.015
2026-04-09,9.34,9.26,9.37,9.23,172436.0,星期四,-0.0085,-0.0086
2026-04-08,9.29,9.42,9.45,9.25,231518.0,星期三,0.0186,0.014
2026-04-07,8.91,9.12,9.14,8.9,209513.0,星期二,0.0022,0.0236
2026-04-03,9.36,8.89,9.36,8.89,276056.0,星期五,0.0075,-0.0502
2026-04-02,9.42,9.29,9.57,9.21,254446.0,星期四,-0.0095,-0.0138
2026-04-01,9.4,9.51,9.52,9.29,322035.0,星期三,0.0129,0.0117
2026-03-31,9.23,9.28,9.41,9.18,279869.0,星期二,0.0011,0.0054
2026-03-30,9.07,9.22,9.28,9.01,217356.0,星期一,-0.0152,0.0165
2026-03-27,8.99,9.21,9.28,8.95,203590.0,星期五,-0.0099,0.0245
2026-03-26,9.27,9.08,9.39,9.05,233678.0,星期四,-0.0032,-0.0205
2026-03-25,9.22,9.3,9.39,9.18,256324.0,星期三,0.0011,0.0087
2026-03-24,9.18,9.21,9.25,8.94,264792.0,星期二,0.0211,0.0033
2026-03-23,9.24,8.99,9.45,8.92,375666.0,星期一,-0.0253,-0.0271
2026-03-20,9.95,9.48,10.04,9.47,453427.0,星期五,0.0,-0.0472
2026-03-19,10.08,9.95,10.33,9.9,377529.0,星期四,-0.0059,-0.0129
2026-03-18,10.02,10.14,10.17,9.86,319580.0,星期三,0.002,0.012
2026-03-17,10.69,10.0,10.79,10.0,490005.0,星期二,0.0181,-0.0645
2026-03-16,10.85,10.5,10.9,10.21,502927.0,星期一,0.0093,-0.0323
2026-03-13,10.93,10.75,11.27,10.71,482079.0,星期五,0.0,-0.0165
2026-03-12,11.27,10.93,11.33,10.8,491130.0,星期四,0.0081,-0.0302
2026-03-11,11.15,11.18,11.24,10.93,536940.0,星期三,0.0,0.0027
2026-03-10,10.82,11.15,11.3,10.62,610670.0,星期二,-0.0155,0.0305
2026-03-09,11.71,10.99,11.93,10.93,895736.0,星期一,0.0446,-0.0615
2026-03-06,11.57,11.21,11.69,11.03,818047.0,星期五,-0.0236,-0.0311
2026-03-05,11.54,11.85,12.12,11.33,1097952.0,星期四,-0.0009,0.0269
2026-03-04,12.0,11.55,12.1,11.2,1305512.0,星期三,-0.0632,-0.0375
2026-03-03,11.42,12.81,13.08,11.14,2024247.0,星期二,0.0325,0.1217
2026-03-02,11.23,11.06,11.65,11.05,714135.0,星期一,0.009,-0.0151
2026-02-27,10.88,11.13,11.25,10.86,500848.0,星期五,-0.0091,0.023
2026-02-26,10.75,10.98,11.0,10.61,452650.0,星期四,-0.0037,0.0214
2026-02-25,10.78,10.79,10.85,10.67,386770.0,星期三,0.0047,0.0009
2026-02-24,10.28,10.73,10.99,10.28,765125.0,星期二,0.0178,0.0438
2026-02-13,10.2,10.1,10.35,10.1,238176.0,星期五,-0.0039,-0.0098
2026-02-12,10.05,10.24,10.49,9.96,435364.0,星期四,0.003,0.0189
2026-02-11,10.33,10.02,10.36,9.99,439677.0,星期三,0.0019,-0.03
2026-02-10,10.49,10.31,10.59,10.19,359833.0,星期二,-0.0029,-0.0172
2026-02-09,10.64,10.52,10.9,10.47,420829.0,星期一,0.0221,-0.0113
2026-02-06,10.45,10.41,10.72,10.3,375962.0,星期五,-0.0085,-0.0038
2026-02-05,10.83,10.54,10.94,10.48,516816.0,星期四,-0.0172,-0.0268
2026-02-04,10.42,11.02,11.4,10.4,878074.0,星期三,-0.0133,0.0576
2026-02-03,10.28,10.56,10.62,10.2,391551.0,星期二,0.0078,0.0272
2026-02-02,10.37,10.2,10.49,10.18,315038.0,星期一,-0.0086,-0.0164
2026-01-30,10.42,10.46,10.65,10.05,492790.0,星期五,-0.001,0.0038
2026-01-29,10.75,10.43,10.84,10.43,521067.0,星期四,0.0113,-0.0298
2026-01-28,11.28,10.63,11.32,10.58,700581.0,星期三,0.008,-0.0576
2026-01-27,10.71,11.19,11.21,10.63,701193.0,星期二,-0.0192,0.0448
2026-01-26,10.78,10.92,11.09,10.63,735811.0,星期一,0.0019,0.013
2026-01-23,10.67,10.76,10.79,10.58,750672.0,星期五,-0.0037,0.0084
2026-01-22,9.99,10.71,11.16,9.95,933348.0,星期四,0.004,0.0721
2026-01-21,9.82,9.95,10.05,9.68,331764.0,星期三,-0.0051,0.0132
2026-01-20,10.11,9.87,10.29,9.76,392760.0,星期二,0.001,-0.0237
2026-01-19,9.8,10.1,10.12,9.73,399868.0,星期一,-0.001,0.0306
2026-01-16,10.13,9.81,10.17,9.81,398672.0,星期五,0.013,-0.0316
2026-01-15,10.06,10.0,10.4,9.84,610350.0,星期四,-0.0157,-0.006
2026-01-14,10.18,10.22,10.53,10.02,735315.0,星期三,0.0039,0.0039
2026-01-13,10.95,10.14,10.95,10.08,902269.0,星期二,-0.0045,-0.074
2026-01-12,10.56,11.0,11.3,10.55,1028787.0,星期一,0.0134,0.0417
2026-01-09,10.75,10.42,10.9,10.36,906694.0,星期五,0.0209,-0.0307
2026-01-08,10.2,10.53,10.58,10.15,940777.0,星期四,-0.0126,0.0324
2026-01-07,10.01,10.33,10.39,9.83,929511.0,星期三,-0.0118,0.032
2026-01-06,9.86,10.13,10.2,9.77,840083.0,星期二,-0.003,0.0274
2026-01-05,10.12,9.89,10.16,9.84,690908.0,星期一,0.0233,-0.0227
2025-12-31,10.02,9.89,10.14,9.84,602904.0,星期三,0.001,-0.013
2025-12-30,10.21,10.01,10.35,9.92,751660.0,星期二,-0.0058,-0.0196
2025-12-29,10.54,10.27,10.63,10.24,903015.0,星期一,-0.0085,-0.0256
2025-12-26,10.41,10.63,10.81,10.35,1457612.0,星期五,0.0,0.0211
2025-12-25,9.56,10.41,11.2,9.46,1670944.0,星期四,0.0053,0.0889
2025-12-24,9.01,9.51,9.7,8.77,852579.0,星期三,-0.0142,0.0555
2025-12-23,8.99,9.14,9.49,8.99,805909.0,星期二,0.0056,0.0167
2025-12-22,9.16,8.94,9.21,8.91,471072.0,星期一,-0.0054,-0.024
2025-12-19,8.91,9.21,9.31,8.86,510389.0,星期五,0.0034,0.0337
2025-12-18,8.83,8.88,9.17,8.73,492167.0,星期四,-0.0079,0.0057
2025-12-17,9.18,8.9,9.23,8.61,667830.0,星期三,0.0044,-0.0305
2025-12-16,9.43,9.14,9.48,8.93,951501.0,星期二,-0.0308,-0.0308
2025-12-15,9.58,9.73,10.16,9.41,1229254.0,星期一,0.0031,0.0157
2025-12-12,9.32,9.55,9.75,9.15,1025336.0,星期五,0.0186,0.0247
2025-12-11,8.94,9.15,9.58,8.91,842488.0,星期四,0.0045,0.0235
2025-12-10,8.87,8.9,9.21,8.77,452550.0,星期三,0.0011,0.0034
2025-12-09,9.03,8.86,9.07,8.79,424710.0,星期二,-0.0033,-0.0188
2025-12-08,9.02,9.06,9.3,8.98,656477.0,星期一,0.0,0.0044
2025-12-05,8.75,9.02,9.07,8.66,578756.0,星期五,-0.0046,0.0309
2025-12-04,8.77,8.79,8.9,8.63,395550.0,星期四,-0.0034,0.0023
2025-12-03,8.95,8.8,9.0,8.71,539292.0,星期三,-0.0078,-0.0168
2025-12-02,8.91,9.02,9.19,8.56,821122.0,星期二,0.0195,0.0123
2025-12-01,8.73,8.74,9.03,8.71,698153.0,星期一,0.0199,0.0011
2025-11-28,8.22,8.56,8.79,8.22,698046.0,星期五,0.0024,0.0414
2025-11-27,8.16,8.2,8.35,8.13,210227.0,星期四,0.0012,0.0049
2025-11-26,8.27,8.15,8.43,8.14,242335.0,星期三,-0.0036,-0.0145
2025-11-25,8.35,8.3,8.37,8.22,284736.0,星期二,0.0183,-0.006
2025-11-24,8.15,8.2,8.28,8.04,319419.0,星期一,0.0099,0.0061
2025-11-21,8.36,8.07,8.6,8.06,523663.0,星期五,-0.0222,-0.0347
2025-11-20,8.56,8.55,8.8,8.52,631647.0,星期四,-0.0104,-0.0012
2025-11-19,8.28,8.65,9.23,8.27,903092.0,星期三,-0.0024,0.0447
2025-11-18,8.5,8.3,8.51,8.2,292264.0,星期二,-0.007,-0.0235
