time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,11.49,10.92,11.65,10.91,61470.0,星期五,-0.0061,-0.0496
2026-06-25,11.25,11.56,11.66,10.89,82279.0,星期四,-0.0114,0.0276
2026-06-24,11.31,11.38,11.85,11.11,78462.0,星期三,-0.0182,0.0062
2026-06-23,10.9,11.52,11.79,10.9,106538.0,星期二,-0.0055,0.0569
2026-06-22,10.91,10.96,10.97,10.48,72058.0,星期一,-0.0136,0.0046
2026-06-18,11.0,11.06,11.46,10.9,96068.0,星期四,0.0129,0.0055
2026-06-17,10.91,10.86,11.04,10.76,38446.0,星期三,-0.0118,-0.0046
2026-06-16,10.86,11.04,11.08,10.71,36636.0,星期二,-0.0037,0.0166
2026-06-15,10.99,10.9,11.27,10.76,45655.0,星期一,0.0,-0.0082
2026-06-12,10.86,10.99,11.05,10.58,47380.0,星期五,0.0188,0.012
2026-06-11,10.78,10.66,10.87,10.52,36525.0,星期四,-0.0083,-0.0111
2026-06-10,11.09,10.87,11.09,10.71,33328.0,星期三,0.0027,-0.0198
2026-06-09,11.02,11.06,11.15,10.8,43675.0,星期二,0.0064,0.0036
2026-06-08,11.3,10.95,11.36,10.75,60185.0,星期一,-0.0131,-0.031
2026-06-05,11.36,11.45,11.56,11.26,41371.0,星期五,0.0053,0.0079
2026-06-04,11.57,11.3,11.64,11.22,42841.0,星期四,0.0017,-0.0233
2026-06-03,11.77,11.55,11.78,11.5,29322.0,星期三,0.0017,-0.0187
2026-06-02,12.02,11.75,12.09,11.64,36555.0,星期二,0.0017,-0.0225
2026-06-01,11.9,12.0,12.11,11.77,25547.0,星期一,0.0051,0.0084
2026-05-29,12.18,11.84,12.25,11.81,36015.0,星期五,0.0058,-0.0279
2026-05-28,12.09,12.11,12.24,11.85,32491.0,星期四,0.0042,0.0017
2026-05-27,12.26,12.04,12.43,11.93,42221.0,星期三,-0.0033,-0.0179
2026-05-26,12.53,12.3,12.56,12.16,39160.0,星期二,0.0,-0.0184
2026-05-25,12.89,12.53,13.0,12.39,53159.0,星期一,0.0,-0.0279
2026-05-22,12.78,12.89,12.94,12.63,36111.0,星期五,0.0071,0.0086
2026-05-21,12.92,12.69,13.29,12.66,45922.0,星期四,-0.0023,-0.0178
2026-05-20,13.15,12.95,13.21,12.87,35891.0,星期三,-0.009,-0.0152
2026-05-19,13.17,13.27,13.56,13.05,46302.0,星期二,0.0053,0.0076
2026-05-18,13.18,13.1,13.25,12.91,41207.0,星期一,-0.0015,-0.0061
