time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,7.92,7.66,7.92,7.64,68421.0,星期五,-0.0013,-0.0328
2026-06-25,8.01,7.93,8.19,7.86,67903.0,星期四,-0.0148,-0.01
2026-06-24,8.35,8.13,8.45,7.98,88014.0,星期三,-0.0071,-0.0263
2026-06-23,8.4,8.41,8.62,8.36,73479.0,星期二,-0.0141,0.0012
2026-06-22,8.22,8.52,8.54,8.04,102386.0,星期一,-0.0084,0.0365
2026-06-18,8.4,8.29,8.53,8.24,75998.0,星期四,-0.0024,-0.0131
2026-06-17,8.49,8.42,8.59,8.35,69462.0,星期三,-0.007,-0.0082
2026-06-16,8.46,8.55,8.57,8.32,77216.0,星期二,0.0012,0.0106
2026-06-15,8.45,8.45,8.64,8.33,97614.0,星期一,0.0132,0.0
2026-06-12,8.38,8.34,8.65,8.2,103219.0,星期五,0.0109,-0.0048
2026-06-11,8.51,8.29,8.56,8.18,100121.0,星期四,-0.0105,-0.0259
2026-06-10,8.72,8.6,9.11,8.48,122958.0,星期三,-0.0147,-0.0138
2026-06-09,8.99,8.85,9.19,8.74,145634.0,星期二,0.0033,-0.0156
2026-06-08,8.21,8.96,9.27,8.2,230361.0,星期一,-0.0386,0.0914
2026-06-05,8.34,8.54,8.73,8.27,81174.0,星期五,-0.0071,0.024
2026-06-04,8.56,8.4,8.63,8.34,62329.0,星期四,-0.0047,-0.0187
2026-06-03,8.74,8.6,8.77,8.51,65335.0,星期三,-0.0011,-0.016
2026-06-02,9.03,8.75,9.03,8.65,76791.0,星期二,0.0067,-0.031
2026-06-01,8.84,8.97,9.15,8.7,97305.0,星期一,0.008,0.0147
2026-05-29,9.16,8.77,9.27,8.7,93457.0,星期五,-0.0011,-0.0426
2026-05-28,9.14,9.17,9.29,8.92,85851.0,星期四,-0.0011,0.0033
2026-05-27,9.65,9.15,9.65,9.1,127866.0,星期三,-0.001,-0.0518
2026-05-26,9.81,9.66,9.95,9.44,112147.0,星期二,-0.001,-0.0153
2026-05-25,9.83,9.82,9.99,9.63,96606.0,星期一,0.0,-0.001
2026-05-22,9.79,9.83,9.94,9.55,102547.0,星期五,0.0082,0.0041
2026-05-21,10.01,9.71,10.21,9.69,145875.0,星期四,0.0101,-0.03
2026-05-20,10.32,9.91,10.32,9.9,138973.0,星期三,-0.0058,-0.0397
2026-05-19,10.15,10.38,10.42,10.04,211305.0,星期二,-0.0068,0.0227
2026-05-18,9.64,10.22,10.36,9.6,226700.0,星期一,0.0021,0.0602
2026-05-15,9.69,9.62,9.9,9.56,82329.0,星期五,0.001,-0.0072
2026-05-14,10.13,9.68,10.13,9.67,79094.0,星期四,0.013,-0.0444
2026-05-13,9.9,10.0,10.03,9.81,73212.0,星期三,0.002,0.0101
2026-05-12,10.12,9.88,10.16,9.87,88092.0,星期二,0.0,-0.0237
2026-05-11,10.25,10.12,10.33,10.0,90718.0,星期一,0.0069,-0.0127
2026-05-08,9.98,10.18,10.3,9.93,108550.0,星期五,0.003,0.02
2026-05-07,9.84,9.95,9.97,9.76,90597.0,星期四,0.0061,0.0112
2026-05-06,9.74,9.78,9.93,9.65,88181.0,星期三,0.0125,0.0041
2026-04-30,9.65,9.62,9.76,9.6,59205.0,星期四,0.0,-0.0031
2026-04-29,9.46,9.65,9.72,9.41,65157.0,星期三,-0.0011,0.0201
2026-04-28,9.81,9.47,9.81,9.42,80943.0,星期二,0.0031,-0.0347
2026-04-27,9.62,9.78,9.8,9.45,104282.0,星期一,-0.0082,0.0166
2026-04-24,10.0,9.7,10.18,9.41,172436.0,星期五,-0.0196,-0.03
2026-04-23,10.4,10.2,10.48,10.15,72648.0,星期四,-0.001,-0.0192
2026-04-22,10.3,10.41,10.47,10.27,57495.0,星期三,-0.0087,0.0107
2026-04-21,10.49,10.39,10.56,10.28,57531.0,星期二,-0.0057,-0.0095
2026-04-20,10.47,10.55,10.64,10.42,66849.0,星期一,-0.0019,0.0076
2026-04-17,10.58,10.49,10.58,10.41,56224.0,星期五,-0.0009,-0.0085
2026-04-16,10.33,10.59,10.62,10.3,95969.0,星期四,0.0029,0.0252
2026-04-15,10.54,10.3,10.56,10.26,58020.0,星期三,0.0067,-0.0228
2026-04-14,10.55,10.47,10.55,10.36,56079.0,星期二,0.0125,-0.0076
2026-04-13,10.37,10.42,10.48,10.3,49944.0,星期一,-0.0067,0.0048
2026-04-10,10.38,10.44,10.55,10.38,66227.0,星期五,0.0068,0.0058
2026-04-09,10.54,10.31,10.56,10.2,82331.0,星期四,-0.0122,-0.0218
2026-04-08,10.35,10.67,10.67,10.35,101508.0,星期三,0.0187,0.0309
2026-04-07,10.03,10.16,10.23,10.0,50326.0,星期二,0.002,0.013
2026-04-03,10.4,10.01,10.4,9.98,74188.0,星期五,0.0307,-0.0375
2026-04-02,10.4,10.09,10.4,10.04,56653.0,星期四,0.0,-0.0298
2026-04-01,10.32,10.4,10.49,10.25,71226.0,星期三,0.0198,0.0078
2026-03-31,10.32,10.12,10.5,10.11,67294.0,星期二,0.0,-0.0194
2026-03-30,10.16,10.32,10.33,10.02,76834.0,星期一,-0.0097,0.0157
2026-03-27,9.88,10.26,10.26,9.88,129238.0,星期五,-0.0189,0.0385
2026-03-26,10.68,10.07,10.73,10.05,174559.0,星期四,0.0,-0.0571
2026-03-25,10.68,10.68,10.83,10.6,135026.0,星期三,0.0028,0.0
2026-03-24,10.48,10.65,10.66,10.29,95134.0,星期二,0.0224,0.0162
2026-03-23,10.8,10.25,10.89,10.2,156469.0,星期一,-0.0305,-0.0509
2026-03-20,11.7,11.14,11.79,11.13,105681.0,星期五,0.0009,-0.0479
2026-03-19,11.7,11.69,11.87,11.63,57091.0,星期四,-0.0209,-0.0009
2026-03-18,11.74,11.95,11.97,11.65,56853.0,星期三,0.0069,0.0179
2026-03-17,12.0,11.66,12.07,11.65,46810.0,星期二,0.0033,-0.0283
2026-03-16,11.74,11.96,11.98,11.74,58841.0,星期一,-0.0068,0.0187
2026-03-13,12.06,11.82,12.06,11.81,69327.0,星期五,-0.0017,-0.0199
2026-03-12,12.23,12.08,12.25,12.04,67068.0,星期四,0.0066,-0.0123
2026-03-11,12.34,12.15,12.38,12.08,73997.0,星期三,0.0,-0.0154
2026-03-10,12.35,12.34,12.62,12.22,94039.0,星期二,0.009,-0.0008
2026-03-09,11.88,12.24,12.33,11.77,92705.0,星期一,-0.019,0.0303
2026-03-06,11.81,12.11,12.12,11.72,75967.0,星期五,-0.0076,0.0254
2026-03-05,11.9,11.9,12.0,11.81,86207.0,星期四,0.0223,0.0
2026-03-04,11.65,11.64,11.83,11.51,85707.0,星期三,-0.0094,-0.0009
2026-03-03,12.38,11.76,12.41,11.74,134921.0,星期二,0.0024,-0.0501
2026-03-02,12.76,12.35,12.84,12.27,176300.0,星期一,-0.0274,-0.0321
2026-02-27,12.84,13.12,13.17,12.77,111907.0,星期五,-0.0023,0.0218
2026-02-26,13.13,12.87,13.17,12.85,118627.0,星期四,0.0038,-0.0198
2026-02-25,13.07,13.08,13.22,13.02,110961.0,星期三,0.0015,0.0008
2026-02-24,13.56,13.05,13.59,13.0,144089.0,星期二,0.0082,-0.0376
2026-02-13,13.57,13.45,13.78,13.41,129632.0,星期五,0.0,-0.0088
2026-02-12,13.32,13.57,13.68,13.32,143598.0,星期四,0.0008,0.0188
2026-02-11,13.51,13.31,13.69,13.3,124098.0,星期三,-0.0081,-0.0148
2026-02-10,13.38,13.62,13.71,13.28,164281.0,星期二,0.0007,0.0179
2026-02-09,13.16,13.37,13.42,13.13,135744.0,星期一,0.0178,0.016
2026-02-06,12.92,12.93,13.1,12.75,77266.0,星期五,-0.0031,0.0008
2026-02-05,13.13,12.96,13.13,12.95,75794.0,星期四,0.0,-0.0129
2026-02-04,13.21,13.13,13.25,12.92,115318.0,星期三,-0.009,-0.0061
2026-02-03,12.96,13.33,13.35,12.95,138084.0,星期二,0.0101,0.0285
2026-02-02,12.8,12.83,13.22,12.73,135110.0,星期一,-0.0023,0.0023
2026-01-30,13.38,12.83,13.39,12.82,179913.0,星期五,0.0,-0.0411
2026-01-29,13.26,13.38,13.82,12.94,228603.0,星期四,-0.0038,0.009
2026-01-28,13.41,13.31,13.64,13.25,145411.0,星期三,0.0052,-0.0075
2026-01-27,13.35,13.34,13.47,13.06,133605.0,星期二,-0.0037,-0.0007
2026-01-26,14.06,13.4,14.09,13.13,283156.0,星期一,0.005,-0.0469
2026-01-23,13.64,13.99,14.02,13.43,246737.0,星期五,0.0052,0.0257
2026-01-22,13.53,13.57,13.65,13.37,131057.0,星期四,0.0022,0.003
