time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,11.03,10.34,11.35,10.27,166378.0,星期五,0.0166,-0.0626
2026-06-25,10.78,10.85,11.65,10.67,162756.0,星期四,-0.0046,0.0065
2026-06-24,11.43,10.83,11.48,10.58,106923.0,星期三,-0.0026,-0.0525
2026-06-23,10.86,11.46,11.57,10.8,144825.0,星期二,-0.0109,0.0552
2026-06-22,11.62,10.98,11.85,10.63,174211.0,星期一,-0.0026,-0.0551
2026-06-18,11.99,11.65,12.05,11.57,77862.0,星期四,-0.005,-0.0284
2026-06-17,12.16,12.05,12.3,11.74,106172.0,星期三,0.0016,-0.009
2026-06-16,11.89,12.14,12.19,11.67,75005.0,星期二,0.0008,0.021
2026-06-15,11.44,11.88,11.95,11.44,84737.0,星期一,0.0,0.0385
2026-06-12,12.0,11.44,12.25,11.39,88103.0,星期五,0.0204,-0.0467
2026-06-11,11.98,11.76,12.16,11.65,67546.0,星期四,-0.0107,-0.0184
2026-06-10,12.22,12.11,12.35,11.96,68040.0,星期三,-0.0113,-0.009
2026-06-09,12.3,12.36,12.48,12.0,75943.0,星期二,0.009,0.0049
2026-06-08,11.95,12.19,12.74,11.62,101116.0,星期一,-0.0347,0.0201
2026-06-05,12.44,12.38,12.83,12.25,95061.0,星期五,-0.0056,-0.0048
2026-06-04,12.83,12.51,13.08,12.28,101842.0,星期四,-0.0146,-0.0249
2026-06-03,12.49,13.02,13.3,12.3,133582.0,星期三,-0.0024,0.0424
2026-06-02,12.57,12.52,12.73,12.2,78117.0,星期二,0.0,-0.004
2026-06-01,12.82,12.57,13.18,12.53,105845.0,星期一,-0.0039,-0.0195
2026-05-29,13.71,12.87,13.88,12.72,143758.0,星期五,0.0051,-0.0613
2026-05-28,12.7,13.64,13.75,12.54,134727.0,星期四,0.0024,0.074
2026-05-27,13.06,12.67,13.12,12.57,77636.0,星期三,0.0015,-0.0299
2026-05-26,13.2,13.04,13.26,12.55,125556.0,星期二,-0.0075,-0.0121
2026-05-25,13.7,13.3,13.98,13.13,124969.0,星期一,0.0254,-0.0292
2026-05-22,13.2,13.36,13.52,13.0,113316.0,星期五,-0.0023,0.0121
2026-05-21,13.85,13.23,14.48,13.09,164794.0,星期四,0.0029,-0.0448
2026-05-20,13.99,13.81,14.07,13.65,89395.0,星期三,0.0007,-0.0129
2026-05-19,13.96,13.98,14.23,13.81,88517.0,星期二,0.0022,0.0014
2026-05-18,14.24,13.93,14.35,13.68,136677.0,星期一,0.0056,-0.0218
2026-05-15,14.41,14.16,14.6,13.88,156299.0,星期五,0.0,-0.0173
2026-05-14,14.75,14.41,14.96,14.2,144465.0,星期四,0.0124,-0.0231
2026-05-13,14.51,14.57,14.9,14.48,149470.0,星期三,-0.0149,0.0041
2026-05-12,14.5,14.73,15.11,14.37,194270.0,星期二,-0.0075,0.0159
2026-05-11,15.22,14.61,15.62,14.53,215638.0,星期一,0.0,-0.0401
2026-05-08,14.21,15.22,15.4,14.13,219094.0,星期五,-0.0111,0.0711
2026-05-07,13.68,14.37,14.65,13.55,217069.0,星期四,0.0201,0.0504
2026-05-06,13.36,13.41,13.83,13.09,154890.0,星期三,0.0,0.0037
2026-04-30,12.86,13.36,13.44,12.85,168481.0,星期四,0.0008,0.0389
2026-04-29,12.85,12.85,13.08,12.61,100416.0,星期三,-0.0085,0.0
2026-04-28,12.44,12.96,13.29,12.4,175709.0,星期二,-0.0127,0.0418
2026-04-27,12.4,12.6,12.64,11.97,147963.0,星期一,-0.008,0.0161
2026-04-24,12.53,12.5,12.92,12.44,135595.0,星期五,-0.0149,-0.0024
2026-04-23,12.32,12.72,12.78,12.25,181468.0,星期四,-0.0096,0.0325
2026-04-22,12.59,12.44,12.85,12.03,233700.0,星期三,0.0286,-0.0119
2026-04-21,11.74,12.24,12.31,11.68,158829.0,星期二,-0.0051,0.0426
2026-04-20,12.1,11.8,12.42,11.72,255842.0,星期一,0.0126,-0.0248
2026-04-17,11.34,11.95,12.2,11.3,317798.0,星期五,-0.0096,0.0538
2026-04-16,10.27,11.45,11.66,10.2,246114.0,星期四,0.002,0.1149
2026-04-15,10.63,10.25,10.63,10.2,57406.0,星期三,0.0153,-0.0357
2026-04-14,10.52,10.47,10.64,10.37,45432.0,星期二,0.0086,-0.0048
2026-04-13,10.39,10.43,10.58,10.33,38899.0,星期一,-0.0048,0.0038
2026-04-10,10.47,10.44,10.77,10.41,48164.0,星期五,0.0087,-0.0029
2026-04-09,10.65,10.38,10.65,10.28,46836.0,星期四,0.0,-0.0254
2026-04-08,10.51,10.65,10.69,10.45,53858.0,星期三,0.0274,0.0133
2026-04-07,10.09,10.23,10.33,9.99,42432.0,星期二,0.001,0.0139
2026-04-03,10.43,10.08,10.44,10.0,49675.0,星期五,0.0068,-0.0336
2026-04-02,10.72,10.36,10.77,10.27,72798.0,星期四,-0.0046,-0.0336
2026-04-01,10.89,10.77,10.97,10.65,55785.0,星期三,0.0159,-0.011
2026-03-31,11.08,10.72,11.25,10.66,86677.0,星期二,-0.0027,-0.0325
2026-03-30,10.33,11.11,11.19,10.26,140943.0,星期一,-0.0096,0.0755
2026-03-27,9.98,10.43,10.72,9.95,70809.0,星期五,-0.0177,0.0451
2026-03-26,10.59,10.16,10.6,10.06,64000.0,星期四,0.0057,-0.0406
