time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,5.6,5.87,6.2,5.53,297332.0,星期五,-0.0106,0.0482
2026-06-25,5.91,5.66,6.0,5.58,150041.0,星期四,0.0554,-0.0423
2026-06-24,5.51,5.6,5.68,5.4,142458.0,星期三,-0.0125,0.0163
2026-06-23,5.66,5.58,5.73,5.56,128823.0,星期二,-0.0035,-0.0141
2026-06-22,5.7,5.68,5.79,5.51,155149.0,星期一,-0.0087,-0.0035
2026-06-18,6.0,5.75,6.0,5.71,192329.0,星期四,-0.0017,-0.0417
2026-06-17,6.06,6.01,6.15,5.94,211736.0,星期三,-0.013,-0.0083
2026-06-16,6.05,6.14,6.22,5.81,287987.0,星期二,-0.0033,0.0149
2026-06-15,5.97,6.07,6.14,5.88,276107.0,星期一,-0.0181,0.0168
2026-06-12,6.54,6.08,6.62,5.94,508197.0,星期五,0.0187,-0.0703
2026-06-11,5.72,6.42,6.73,5.69,599842.0,星期四,0.0178,0.1224
2026-06-10,5.7,5.62,5.7,5.45,182949.0,星期三,-0.0104,-0.014
2026-06-09,5.73,5.76,5.89,5.62,149374.0,星期二,0.0017,0.0052
2026-06-08,6.02,5.72,6.05,5.7,209616.0,星期一,-0.0211,-0.0498
2026-06-05,5.9,6.15,6.27,5.85,260447.0,星期五,0.0051,0.0424
2026-06-04,5.85,5.87,5.96,5.74,121296.0,星期四,-0.0085,0.0034
2026-06-03,5.88,5.9,5.98,5.8,132606.0,星期三,0.0,0.0034
2026-06-02,6.08,5.88,6.09,5.81,191349.0,星期二,0.0,-0.0329
2026-06-01,6.1,6.08,6.25,6.03,154879.0,星期一,0.0049,-0.0033
2026-05-29,6.48,6.07,6.5,6.03,282271.0,星期五,-0.0046,-0.0633
2026-05-28,6.14,6.51,6.55,6.0,315534.0,星期四,-0.0097,0.0603
2026-05-27,6.15,6.2,6.48,6.1,294777.0,星期三,0.0016,0.0081
2026-05-26,6.22,6.14,6.4,5.99,252809.0,星期二,0.0,-0.0129
2026-05-25,6.44,6.22,6.5,6.18,151359.0,星期一,0.0031,-0.0342
2026-05-22,6.33,6.42,6.47,6.25,155707.0,星期五,0.0048,0.0142
2026-05-21,6.74,6.3,6.79,6.28,217431.0,星期四,0.009,-0.0653
2026-05-20,6.81,6.68,6.84,6.63,198488.0,星期三,-0.0073,-0.0191
2026-05-19,6.87,6.86,7.01,6.78,168268.0,星期二,0.0,-0.0015
2026-05-18,6.94,6.87,6.94,6.77,163843.0,星期一,-0.0057,-0.0101
2026-05-15,7.09,6.98,7.21,6.88,268509.0,星期五,-0.0042,-0.0155
2026-05-14,7.28,7.12,7.4,7.12,252286.0,星期四,0.0041,-0.022
2026-05-13,7.06,7.25,7.32,7.04,275907.0,星期三,-0.0084,0.0269
2026-05-12,7.33,7.12,7.44,7.05,294985.0,星期二,-0.0014,-0.0286
2026-05-11,7.32,7.34,7.4,7.23,397043.0,星期一,0.0,0.0027
2026-05-08,6.75,7.32,7.4,6.68,668007.0,星期五,-0.0203,0.0844
2026-05-07,6.53,6.89,6.98,6.52,427387.0,星期四,-0.0046,0.0551
2026-05-06,6.45,6.56,6.57,6.41,167416.0,星期三,0.0016,0.0171
2026-04-30,6.35,6.44,6.45,6.33,134127.0,星期四,-0.0078,0.0142
2026-04-29,6.19,6.4,6.49,6.14,194858.0,星期三,-0.0032,0.0339
2026-04-28,6.36,6.21,6.38,6.12,225361.0,星期二,-0.0185,-0.0236
2026-04-27,6.4,6.48,6.48,6.22,169178.0,星期一,-0.0047,0.0125
2026-04-24,6.33,6.43,6.49,6.31,163489.0,星期五,-0.0047,0.0158
2026-04-23,6.63,6.36,6.7,6.26,295483.0,星期四,-0.0015,-0.0407
2026-04-22,6.73,6.64,6.73,6.62,204123.0,星期三,-0.0074,-0.0134
2026-04-21,6.8,6.78,6.95,6.73,196623.0,星期二,-0.0058,-0.0029
2026-04-20,6.69,6.84,6.88,6.65,264969.0,星期一,-0.0015,0.0224
2026-04-17,6.68,6.7,6.74,6.56,254022.0,星期五,-0.0074,0.003
2026-04-16,6.67,6.73,6.76,6.63,217773.0,星期四,-0.003,0.009
2026-04-15,6.82,6.69,6.85,6.67,218694.0,星期三,-0.0029,-0.0191
2026-04-14,6.92,6.84,6.92,6.75,306611.0,星期二,-0.0072,-0.0116
2026-04-13,6.92,6.97,7.09,6.75,463958.0,星期一,0.0222,0.0072
2026-04-10,6.75,6.77,6.84,6.68,263342.0,星期五,0.012,0.003
2026-04-09,6.88,6.67,6.88,6.67,312733.0,星期四,-0.0115,-0.0305
2026-04-08,6.81,6.96,7.0,6.75,394995.0,星期三,0.0225,0.022
2026-04-07,6.61,6.66,6.79,6.55,272689.0,星期二,-0.0105,0.0076
2026-04-03,7.24,6.68,7.28,6.64,496628.0,星期五,0.0,-0.0773
2026-04-02,7.6,7.24,7.73,7.17,561984.0,星期四,-0.0181,-0.0474
2026-04-01,7.63,7.74,7.81,7.5,581651.0,星期三,0.0173,0.0144
2026-03-31,7.77,7.5,7.98,7.45,623533.0,星期二,-0.0152,-0.0347
2026-03-30,7.91,7.89,8.0,7.47,746147.0,星期一,-0.0259,-0.0025
2026-03-27,7.93,8.12,8.24,7.86,804555.0,星期五,-0.0282,0.024
2026-03-26,8.62,8.16,8.93,8.15,1135433.0,星期四,-0.0012,-0.0534
2026-03-25,8.97,8.63,9.07,8.59,1204710.0,星期三,-0.0099,-0.0379
2026-03-24,9.53,9.06,9.95,8.6,1772917.0,星期二,0.0601,-0.0493
2026-03-23,7.25,8.99,8.99,7.25,1850512.0,星期一,-0.032,0.24
2026-03-20,7.33,7.49,8.11,7.29,728301.0,星期五,-0.0081,0.0218
2026-03-19,7.9,7.39,7.94,7.39,721635.0,星期四,-0.01,-0.0646
2026-03-18,8.18,7.98,8.23,7.74,900271.0,星期三,-0.0085,-0.0244
2026-03-17,7.55,8.25,8.89,7.55,1224891.0,星期二,0.008,0.0927
2026-03-16,7.55,7.49,7.76,7.43,452320.0,星期一,-0.022,-0.0079
2026-03-13,7.7,7.72,8.1,7.46,813780.0,星期五,0.0391,0.0026
2026-03-12,7.6,7.41,7.93,7.4,411585.0,星期四,0.004,-0.025
2026-03-11,7.79,7.57,7.79,7.54,278471.0,星期三,0.0117,-0.0282
2026-03-10,7.48,7.7,7.74,7.45,297345.0,星期二,-0.0066,0.0294
2026-03-09,7.5,7.53,7.56,7.33,338468.0,星期一,0.0027,0.004
2026-03-06,7.08,7.48,7.55,7.02,451915.0,星期五,-0.0084,0.0565
2026-03-05,7.6,7.14,7.64,7.05,462279.0,星期四,0.027,-0.0605
2026-03-04,7.26,7.4,7.6,7.18,407515.0,星期三,-0.0384,0.0193
2026-03-03,7.64,7.55,8.13,7.51,590405.0,星期二,0.0173,-0.0118
2026-03-02,7.78,7.51,7.95,7.5,405542.0,星期一,-0.0275,-0.0347
2026-02-27,7.62,8.0,8.03,7.56,423728.0,星期五,-0.0026,0.0499
2026-02-26,7.9,7.64,7.92,7.62,285087.0,星期四,-0.0013,-0.0329
2026-02-25,7.81,7.91,8.34,7.77,489736.0,星期三,0.0103,0.0128
2026-02-24,7.5,7.73,7.87,7.45,412871.0,星期二,0.0204,0.0307
2026-02-13,7.6,7.35,7.61,7.35,298663.0,星期五,-0.0091,-0.0329
2026-02-12,7.79,7.67,7.83,7.61,409038.0,星期四,-0.0064,-0.0154
2026-02-11,8.01,7.84,8.21,7.83,561087.0,星期三,-0.0208,-0.0212
2026-02-10,7.99,8.18,8.38,7.8,803500.0,星期二,0.0,0.0238
2026-02-09,7.92,7.99,8.74,7.92,1022997.0,星期一,0.0313,0.0088
2026-02-06,7.61,7.68,7.97,7.43,787152.0,星期五,0.0382,0.0092
2026-02-05,7.32,7.33,7.56,7.2,516655.0,星期四,-0.0343,0.0014
2026-02-04,7.01,7.58,7.76,6.95,791420.0,星期三,-0.0085,0.0813
2026-02-03,6.82,7.07,7.28,6.82,522511.0,星期二,0.0134,0.0367
2026-02-02,6.66,6.73,6.95,6.61,261575.0,星期一,-0.0089,0.0105
2026-01-30,6.97,6.72,7.02,6.53,368525.0,星期五,-0.0099,-0.0359
2026-01-29,7.11,7.04,7.28,6.97,374284.0,星期四,-0.0125,-0.0098
2026-01-28,7.36,7.2,7.56,7.17,452854.0,星期三,-0.0094,-0.0217
2026-01-27,7.39,7.43,7.53,7.03,693624.0,星期二,0.0014,0.0054
2026-01-26,7.8,7.38,7.85,7.23,977988.0,星期一,-0.025,-0.0538
2026-01-23,6.67,8.0,8.0,6.66,1189251.0,星期五,0.0,0.1994
2026-01-22,6.51,6.67,6.67,6.51,108920.0,星期四,0.0,0.0246
2026-01-21,6.45,6.51,6.54,6.42,64735.0,星期三,-0.0062,0.0093
2026-01-20,6.61,6.49,6.62,6.44,94393.0,星期二,0.0,-0.0182
2026-01-19,6.42,6.61,6.63,6.4,124241.0,星期一,-0.0031,0.0296
2026-01-16,6.38,6.44,6.51,6.38,103597.0,星期五,0.0016,0.0094
2026-01-15,6.38,6.37,6.52,6.32,89668.0,星期四,-0.0093,-0.0016
2026-01-14,6.44,6.44,6.56,6.32,152702.0,星期三,0.0063,0.0
2026-01-13,6.61,6.4,6.61,6.36,148647.0,星期二,0.0,-0.0318
2026-01-12,6.46,6.61,6.65,6.44,139619.0,星期一,-0.0015,0.0232
2026-01-09,6.42,6.47,6.51,6.34,127878.0,星期五,0.0047,0.0078
2026-01-08,6.15,6.39,6.42,6.15,148503.0,星期四,-0.0065,0.039
2026-01-07,6.35,6.19,6.38,6.18,125787.0,星期三,0.0016,-0.0252
2026-01-06,6.3,6.34,6.4,6.26,95647.0,星期二,0.0064,0.0063
2026-01-05,6.29,6.26,6.33,6.22,91979.0,星期一,0.0032,-0.0048
2025-12-31,6.35,6.27,6.38,6.23,70365.0,星期三,0.0016,-0.0126
2025-12-30,6.39,6.34,6.42,6.32,85913.0,星期二,-0.0047,-0.0078
2025-12-29,6.41,6.42,6.54,6.3,110277.0,星期一,0.0,0.0016
2025-12-26,6.45,6.41,6.74,6.39,183742.0,星期五,0.019,-0.0062
2025-12-25,6.28,6.33,6.36,6.21,73879.0,星期四,0.0032,0.008
2025-12-24,6.12,6.26,6.26,6.12,64643.0,星期三,-0.0049,0.0229
2025-12-23,6.23,6.15,6.29,6.14,62127.0,星期二,0.0,-0.0128
2025-12-22,6.19,6.23,6.26,6.16,57185.0,星期一,0.0016,0.0065
2025-12-19,6.15,6.18,6.21,6.12,65492.0,星期五,0.0,0.0049
2025-12-18,6.06,6.15,6.22,6.02,84017.0,星期四,-0.0033,0.0149
2025-12-17,6.01,6.08,6.11,5.92,87072.0,星期三,-0.0033,0.0116
2025-12-16,6.22,6.03,6.22,6.03,78707.0,星期二,0.0048,-0.0305
2025-12-15,6.12,6.19,6.25,6.07,68413.0,星期一,-0.0065,0.0114
2025-12-12,6.18,6.16,6.25,6.12,67726.0,星期五,0.0,-0.0032
2025-12-11,6.36,6.18,6.39,6.18,96945.0,星期四,-0.0016,-0.0283
2025-12-10,6.46,6.37,6.47,6.31,93971.0,星期三,-0.0062,-0.0139
2025-12-09,6.5,6.5,6.52,6.4,90933.0,星期二,-0.0061,0.0
2025-12-08,6.43,6.54,6.58,6.43,85625.0,星期一,0.0,0.0171
2025-12-05,6.44,6.43,6.44,6.33,74232.0,星期五,0.0031,-0.0016
2025-12-04,6.51,6.42,6.53,6.35,82490.0,星期四,0.0031,-0.0138
2025-12-03,6.61,6.49,6.64,6.44,84286.0,星期三,0.0015,-0.0182
2025-12-02,6.65,6.6,6.68,6.55,84984.0,星期二,-0.0045,-0.0075
2025-12-01,6.72,6.68,6.8,6.65,101735.0,星期一,-0.003,-0.006
2025-11-28,6.53,6.74,6.74,6.45,162299.0,星期五,0.0062,0.0322
2025-11-27,6.5,6.49,6.58,6.45,86481.0,星期四,0.0046,-0.0015
2025-11-26,6.54,6.47,6.65,6.46,80634.0,星期三,0.0,-0.0107
2025-11-25,6.53,6.54,6.63,6.49,87800.0,星期二,0.0077,0.0015
2025-11-24,6.49,6.48,6.52,6.32,110211.0,星期一,0.0046,-0.0015
2025-11-21,6.59,6.46,6.73,6.34,173363.0,星期五,-0.0164,-0.0197
2025-11-20,6.99,6.7,7.02,6.68,159242.0,星期四,-0.0014,-0.0415
2025-11-19,6.99,7.0,7.08,6.86,142030.0,星期三,-0.0043,0.0014
2025-11-18,7.1,7.02,7.2,6.98,180332.0,星期二,-0.0042,-0.0113
2025-11-17,7.19,7.13,7.26,7.05,220601.0,星期一,-0.0137,-0.0083
2025-11-14,7.32,7.29,7.55,7.2,278380.0,星期五,-0.0014,-0.0041
2025-11-13,7.42,7.33,7.64,7.28,339508.0,星期四,0.0054,-0.0121
2025-11-12,7.78,7.38,7.8,7.35,411887.0,星期三,-0.0202,-0.0514
2025-11-11,7.6,7.94,8.06,7.45,582480.0,星期二,0.0,0.0447
2025-11-10,7.17,7.6,7.6,7.07,537052.0,星期一,0.0214,0.06
2025-11-07,6.75,7.02,7.19,6.75,333480.0,星期五,-0.0059,0.04
2025-11-06,6.89,6.79,6.89,6.76,96855.0,星期四,0.0058,-0.0145
2025-11-05,6.71,6.85,6.89,6.68,120320.0,星期三,-0.0074,0.0209
2025-11-04,6.84,6.76,6.87,6.7,114521.0,星期二,0.0,-0.0117
2025-11-03,6.74,6.84,6.85,6.7,128972.0,星期一,0.0015,0.0148
2025-10-31,6.6,6.73,6.78,6.56,152626.0,星期五,0.003,0.0197
2025-10-30,6.69,6.58,6.8,6.58,120503.0,星期四,-0.0015,-0.0164
2025-10-29,6.7,6.7,6.75,6.56,156804.0,星期三,0.0,0.0
2025-10-28,6.72,6.7,6.77,6.66,89930.0,星期二,0.003,-0.003
2025-10-27,6.62,6.7,6.78,6.6,126070.0,星期一,0.0,0.0121
2025-10-24,6.66,6.62,6.69,6.56,91587.0,星期五,0.0015,-0.006
2025-10-23,6.66,6.65,6.7,6.48,133924.0,星期四,-0.003,-0.0015
2025-10-22,6.55,6.68,6.72,6.51,125815.0,星期三,-0.0015,0.0198
2025-10-21,6.41,6.56,6.57,6.37,99381.0,星期二,-0.0016,0.0234
2025-10-20,6.38,6.42,6.47,6.35,114102.0,星期一,0.0159,0.0063
2025-10-17,6.5,6.28,6.52,6.28,118662.0,星期五,0.0,-0.0338
2025-10-16,6.65,6.5,6.65,6.48,111069.0,星期四,0.0015,-0.0226
2025-10-15,6.49,6.64,6.65,6.45,121938.0,星期三,-0.0031,0.0231
2025-10-14,6.51,6.51,6.74,6.5,163162.0,星期二,0.0031,0.0
2025-10-13,6.13,6.49,6.51,6.01,174722.0,星期一,-0.0598,0.0587
2025-10-10,6.59,6.52,6.69,6.51,143285.0,星期五,-0.003,-0.0106
2025-10-09,6.73,6.61,6.78,6.58,189433.0,星期四,-0.0015,-0.0178
2025-09-30,6.74,6.74,6.83,6.72,122267.0,星期二,-0.0015,0.0
2025-09-29,6.63,6.75,6.82,6.5,170379.0,星期一,0.003,0.0181
2025-09-26,6.7,6.61,6.72,6.56,151502.0,星期五,-0.0045,-0.0134
2025-09-25,6.72,6.73,7.03,6.68,306079.0,星期四,0.006,0.0015
