time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,43.59,45.05,45.98,43.42,277513.0,星期五,-0.0062,0.0335
2026-06-25,42.39,43.86,44.97,41.65,299270.0,星期四,-0.0228,0.0347
2026-06-24,41.64,43.38,44.68,41.33,384930.0,星期三,0.0136,0.0418
2026-06-23,40.73,41.08,43.48,40.57,271582.0,星期二,-0.0114,0.0086
2026-06-22,39.67,41.2,41.35,38.72,212700.0,星期一,-0.0112,0.0386
2026-06-18,40.0,40.12,40.88,39.3,193551.0,星期四,-0.0047,0.003
2026-06-17,39.39,40.19,40.5,38.69,182153.0,星期三,0.0008,0.0203
2026-06-16,39.19,39.36,39.83,38.5,192075.0,星期二,-0.0053,0.0043
2026-06-15,39.48,39.4,39.77,38.31,255840.0,星期一,-0.0085,-0.002
2026-06-12,39.83,39.82,40.25,38.39,291741.0,星期五,0.0033,-0.0003
2026-06-11,38.11,39.7,40.6,37.8,263060.0,星期四,-0.0168,0.0417
2026-06-10,36.65,38.76,39.66,36.64,198400.0,星期三,-0.0097,0.0576
2026-06-09,36.49,37.01,37.97,35.57,165015.0,星期二,0.0088,0.0143
2026-06-08,38.26,36.17,38.97,36.05,216101.0,星期一,-0.017,-0.0546
2026-06-05,39.86,38.92,40.69,38.73,185586.0,星期五,0.0071,-0.0236
2026-06-04,39.42,39.58,39.89,39.01,126683.0,星期四,0.0013,0.0041
2026-06-03,39.19,39.37,40.08,38.65,143955.0,星期三,0.0,0.0046
2026-06-02,39.7,39.19,40.08,38.92,128972.0,星期二,0.0066,-0.0128
2026-06-01,39.14,39.44,39.68,38.6,147388.0,星期一,-0.0079,0.0077
2026-05-29,39.82,39.45,40.76,38.9,170881.0,星期五,0.0148,-0.0093
2026-05-28,39.78,39.24,41.55,39.24,153657.0,星期四,0.002,-0.0136
2026-05-27,40.87,39.7,40.87,38.8,209659.0,星期三,0.0,-0.0286
2026-05-26,42.47,40.87,42.49,40.15,188155.0,星期二,0.004,-0.0377
2026-05-25,41.93,42.3,42.53,41.2,166534.0,星期一,-0.0092,0.0088
2026-05-22,45.64,42.32,45.97,41.61,314085.0,星期五,0.0037,-0.0727
2026-05-21,44.98,45.47,46.97,44.9,148737.0,星期四,0.002,0.0109
2026-05-20,45.51,44.89,45.7,44.6,83912.0,星期三,-0.0022,-0.0136
2026-05-19,46.0,45.61,46.4,44.49,131011.0,星期二,-0.0024,-0.0085
2026-05-18,46.74,46.11,46.79,45.76,119625.0,星期一,-0.0004,-0.0135
2026-05-15,47.95,46.76,48.36,46.32,177647.0,星期五,-0.0002,-0.0248
2026-05-14,48.98,47.96,50.2,47.7,196505.0,星期四,-0.0022,-0.0208
2026-05-13,48.88,49.09,49.98,45.23,453119.0,星期三,-0.0514,0.0043
2026-05-12,52.0,51.53,52.47,51.22,103363.0,星期二,-0.0076,-0.009
2026-05-11,51.2,52.4,52.67,50.69,133358.0,星期一,0.0008,0.0234
2026-05-08,53.0,51.16,53.25,51.15,143417.0,星期五,-0.0024,-0.0347
2026-05-07,53.65,53.13,54.18,52.92,123752.0,星期四,-0.0061,-0.0097
2026-05-06,54.5,53.98,55.0,51.8,203437.0,星期三,-0.0127,-0.0095
2026-04-30,55.55,55.2,56.59,54.27,163597.0,星期四,-0.0147,-0.0063
2026-04-29,55.8,56.38,56.77,54.38,234971.0,星期三,-0.0444,0.0104
2026-04-28,56.86,58.39,59.5,56.86,181317.0,星期二,0.0,0.0269
2026-04-27,55.8,56.86,57.15,55.11,112167.0,星期一,-0.0039,0.019
2026-04-24,55.8,56.02,57.3,55.0,97693.0,星期五,-0.0055,0.0039
2026-04-23,57.3,56.11,57.74,55.55,93764.0,星期四,-0.0016,-0.0208
2026-04-22,57.0,57.39,57.82,56.81,71086.0,星期三,-0.0031,0.0068
2026-04-21,58.04,57.18,59.03,57.07,90466.0,星期二,-0.0107,-0.0148
2026-04-20,57.49,58.67,59.34,57.47,115300.0,星期一,-0.0019,0.0205
2026-04-17,58.63,57.6,58.63,56.69,117392.0,星期五,0.0002,-0.0176
2026-04-16,59.03,58.62,59.15,57.88,85824.0,星期四,-0.0003,-0.0069
2026-04-15,60.8,59.05,60.91,57.9,158218.0,星期三,0.0227,-0.0288
2026-04-14,56.29,59.45,59.72,55.81,142756.0,星期二,0.0041,0.0561
2026-04-13,57.33,56.06,57.6,55.86,91120.0,星期一,-0.0092,-0.0222
2026-04-10,55.8,57.86,58.33,55.55,165039.0,星期五,0.0,0.0369
2026-04-09,55.72,55.8,57.06,55.43,102813.0,星期四,-0.0057,0.0014
2026-04-08,56.78,56.04,56.95,54.7,131800.0,星期三,0.0244,-0.013
2026-04-07,55.6,55.43,56.42,53.84,98425.0,星期二,0.0054,-0.0031
2026-04-03,55.55,55.3,56.28,54.52,114082.0,星期五,-0.0133,-0.0045
2026-04-02,56.6,56.3,57.2,56.03,133001.0,星期四,-0.0079,-0.0053
2026-04-01,54.85,57.05,57.45,54.06,212540.0,星期三,0.0189,0.0401
2026-03-31,53.11,53.83,55.98,52.92,215282.0,星期二,0.0082,0.0136
2026-03-30,52.88,52.68,54.09,52.45,125674.0,星期一,-0.0107,-0.0038
2026-03-27,50.4,53.45,53.65,50.06,150599.0,星期五,-0.0075,0.0605
2026-03-26,50.4,50.78,52.17,50.39,103092.0,星期四,-0.0016,0.0075
2026-03-25,49.0,50.48,51.0,48.93,100536.0,星期三,0.0041,0.0302
2026-03-24,48.5,48.8,48.8,48.0,101102.0,星期二,0.0202,0.0062
2026-03-23,49.78,47.54,49.94,47.13,134001.0,星期一,-0.0086,-0.045
2026-03-20,51.19,50.21,51.54,50.07,115343.0,星期五,0.0004,-0.0191
2026-03-19,52.37,51.17,52.5,50.97,87911.0,星期四,-0.0117,-0.0229
2026-03-18,52.98,52.99,53.15,52.3,76984.0,星期三,0.0006,0.0002
2026-03-17,54.6,52.95,54.96,52.88,100297.0,星期二,0.0048,-0.0302
2026-03-16,54.92,54.34,55.62,53.52,129688.0,星期一,-0.0034,-0.0106
2026-03-13,55.6,55.11,56.33,54.7,108408.0,星期五,-0.0038,-0.0088
2026-03-12,56.65,55.81,57.2,55.69,65284.0,星期四,0.0018,-0.0148
2026-03-11,57.69,56.55,57.97,56.2,81267.0,星期三,-0.0019,-0.0198
2026-03-10,57.22,57.8,58.44,57.0,67065.0,星期二,0.0122,0.0101
2026-03-09,55.94,56.53,56.87,54.91,86652.0,星期一,-0.0249,0.0105
2026-03-06,56.51,57.37,58.4,56.41,68582.0,星期五,-0.0046,0.0152
2026-03-05,56.68,56.77,57.32,55.92,67872.0,星期四,0.0111,0.0016
2026-03-04,56.8,56.06,57.3,55.8,66946.0,星期三,-0.0014,-0.013
2026-03-03,58.84,56.88,59.2,56.7,96014.0,星期二,0.0,-0.0333
2026-03-02,58.6,58.84,59.65,57.78,82639.0,星期一,-0.0174,0.0041
2026-02-27,60.18,59.64,61.15,59.42,61842.0,星期五,-0.0053,-0.009
2026-02-26,60.5,60.5,61.44,59.68,66541.0,星期四,-0.0126,0.0
2026-02-25,60.18,61.27,61.28,59.4,95630.0,星期三,-0.002,0.0181
2026-02-24,61.22,60.3,61.33,59.66,90865.0,星期二,0.0056,-0.015
2026-02-13,63.61,60.88,63.8,60.85,123312.0,星期五,-0.0064,-0.0429
2026-02-12,65.42,64.02,66.82,63.86,102657.0,星期四,0.0,-0.0214
2026-02-11,66.39,65.42,67.08,65.26,73765.0,星期三,-0.0032,-0.0146
2026-02-10,65.58,66.6,67.85,64.9,111474.0,星期二,0.0,0.0156
2026-02-09,65.91,65.58,66.3,64.41,98487.0,星期一,0.004,-0.005
2026-02-06,63.0,65.65,66.43,62.92,175012.0,星期五,-0.011,0.0421
2026-02-05,64.9,63.7,65.26,63.3,118302.0,星期四,-0.0006,-0.0185
2026-02-04,63.19,64.94,65.59,61.92,169772.0,星期三,-0.0002,0.0277
2026-02-03,61.21,63.2,64.05,60.45,164699.0,星期二,0.0166,0.0325
2026-02-02,62.9,60.21,63.1,60.2,176965.0,星期一,-0.0017,-0.0428
2026-01-30,60.08,63.01,66.47,60.08,230514.0,星期五,0.0199,0.0488
2026-01-29,56.6,58.91,59.8,55.93,133766.0,星期四,-0.0054,0.0408
2026-01-28,58.58,56.91,58.81,56.71,102075.0,星期三,0.0014,-0.0285
2026-01-27,59.47,58.5,59.89,58.2,89208.0,星期二,0.0095,-0.0163
2026-01-26,60.31,58.91,60.31,58.68,116916.0,星期一,-0.0018,-0.0232
