time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,18.59,17.95,18.65,17.95,74950.0,星期五,-0.0032,-0.0344
2026-06-25,19.37,18.65,19.53,18.6,88410.0,星期四,0.0005,-0.0372
2026-06-24,19.81,19.36,19.95,19.06,76590.0,星期三,-0.0045,-0.0227
2026-06-23,19.75,19.9,20.67,19.5,90151.0,星期二,-0.0025,0.0076
2026-06-22,20.28,19.8,20.28,18.78,146560.0,星期一,-0.0005,-0.0237
2026-06-18,20.01,20.29,20.67,19.82,80201.0,星期四,-0.0079,0.014
2026-06-17,20.3,20.17,20.58,20.0,69613.0,星期三,-0.0093,-0.0064
2026-06-16,20.3,20.49,20.75,20.03,68949.0,星期二,-0.0054,0.0094
2026-06-15,20.22,20.41,20.68,20.21,63477.0,星期一,0.0025,0.0094
2026-06-12,20.7,20.17,21.12,20.01,76012.0,星期五,0.0137,-0.0256
2026-06-11,20.29,20.42,20.73,19.61,86431.0,星期四,-0.0069,0.0064
2026-06-10,21.6,20.43,21.75,20.17,93547.0,星期三,-0.0096,-0.0542
2026-06-09,22.1,21.81,22.25,21.3,85952.0,星期二,0.0096,-0.0131
2026-06-08,21.02,21.89,22.58,21.02,109164.0,星期一,-0.0557,0.0414
2026-06-05,21.7,22.26,23.14,20.63,167194.0,星期五,-0.0078,0.0258
2026-06-04,21.56,21.87,22.58,21.33,90395.0,星期四,-0.0115,0.0144
2026-06-03,22.12,21.81,22.69,21.63,92807.0,星期三,-0.0076,-0.014
2026-06-02,22.68,22.29,22.9,21.48,117975.0,星期二,0.012,-0.0172
2026-06-01,22.39,22.41,22.88,22.2,84952.0,星期一,0.0,0.0009
2026-05-29,23.8,22.39,24.01,22.21,134139.0,星期五,-0.0034,-0.0592
2026-05-28,24.34,23.88,24.46,23.15,148998.0,星期四,0.005,-0.0189
2026-05-27,26.02,24.22,26.48,24.13,213677.0,星期三,-0.0136,-0.0692
2026-05-26,26.99,26.38,27.74,26.02,191460.0,星期二,-0.0048,-0.0226
2026-05-25,27.83,27.12,27.96,26.7,203861.0,星期一,-0.0046,-0.0255
2026-05-22,27.11,27.96,28.3,26.52,291775.0,星期五,-0.0131,0.0314
2026-05-21,26.88,27.47,28.2,26.57,343994.0,星期四,0.0004,0.0219
2026-05-20,27.36,26.87,27.5,26.5,197321.0,星期三,-0.0112,-0.0179
