time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,24.8,24.8,25.77,24.51,222003.0,星期五,-0.0024,0.0
2026-06-25,25.2,24.86,25.34,24.42,239959.0,星期四,-0.0067,-0.0135
2026-06-24,23.66,25.37,25.46,22.95,324130.0,星期三,-0.0207,0.0723
2026-06-23,23.52,24.16,25.26,23.52,284049.0,星期二,-0.0175,0.0272
2026-06-22,24.39,23.94,24.52,22.43,364565.0,星期一,0.0184,-0.0185
2026-06-18,21.08,23.95,24.77,21.0,389271.0,星期四,-0.0057,0.1361
2026-06-17,20.71,21.2,21.75,20.42,256596.0,星期三,-0.0048,0.0237
2026-06-16,20.5,20.81,21.25,20.31,247641.0,星期二,-0.0019,0.0151
2026-06-15,19.31,20.54,20.77,19.18,311457.0,星期一,0.0016,0.0637
2026-06-12,18.52,19.28,20.44,18.46,289093.0,星期五,-0.0091,0.041
2026-06-11,18.25,18.69,18.79,17.63,245356.0,星期四,-0.0011,0.0241
2026-06-10,17.09,18.27,19.16,17.0,279392.0,星期三,-0.0029,0.069
2026-06-09,17.29,17.14,17.35,16.8,74206.0,星期二,0.0093,-0.0087
2026-06-08,17.69,17.13,17.98,16.9,99703.0,星期一,-0.0216,-0.0317
2026-06-05,18.2,18.08,18.5,17.75,97809.0,星期五,0.0,-0.0066
2026-06-04,18.05,18.2,18.27,17.9,62578.0,星期四,-0.0061,0.0083
2026-06-03,18.18,18.16,18.34,17.95,68768.0,星期三,0.0028,-0.0011
2026-06-02,18.7,18.13,18.71,17.85,75207.0,星期二,0.0054,-0.0305
2026-06-01,18.49,18.6,18.86,18.3,87941.0,星期一,0.0,0.0059
2026-05-29,19.2,18.49,19.26,18.43,91975.0,星期五,-0.0005,-0.037
2026-05-28,19.11,19.21,19.39,18.83,78603.0,星期四,-0.0005,0.0052
2026-05-27,19.67,19.12,19.78,19.01,94323.0,星期三,0.0005,-0.028
2026-05-26,20.08,19.66,20.13,19.35,107730.0,星期二,-0.003,-0.0209
2026-05-25,20.56,20.14,20.66,19.92,109870.0,星期一,0.0005,-0.0204
2026-05-22,20.6,20.55,20.75,20.23,78709.0,星期五,0.0118,-0.0024
2026-05-21,21.22,20.36,21.5,20.36,139048.0,星期四,-0.0093,-0.0405
2026-05-20,21.3,21.42,22.11,21.09,98689.0,星期三,-0.0033,0.0056
2026-05-19,21.71,21.37,21.85,21.01,111586.0,星期二,0.0005,-0.0157
2026-05-18,21.91,21.7,22.16,21.51,112798.0,星期一,-0.0077,-0.0096
2026-05-15,22.45,22.08,22.75,21.81,141722.0,星期五,-0.0053,-0.0165
2026-05-14,22.35,22.57,23.37,22.13,210690.0,星期四,0.0018,0.0098
2026-05-13,21.95,22.31,22.83,21.82,167801.0,星期三,-0.009,0.0164
2026-05-12,23.03,22.15,23.14,22.03,162672.0,星期二,0.0,-0.0382
2026-05-11,22.75,23.03,23.34,22.6,189402.0,星期一,-0.0152,0.0123
2026-05-08,22.9,23.1,23.25,22.78,111800.0,星期五,-0.0022,0.0087
2026-05-07,23.61,22.95,23.75,22.78,190479.0,星期四,0.0,-0.028
2026-05-06,23.57,23.61,23.77,23.41,140080.0,星期三,0.003,0.0017
2026-04-30,24.0,23.5,24.52,23.37,152057.0,星期四,0.005,-0.0208
2026-04-29,24.36,23.88,24.57,23.78,235014.0,星期三,-0.0248,-0.0197
2026-04-28,23.11,24.98,25.19,23.11,326845.0,星期二,-0.009,0.0809
2026-04-27,23.63,23.32,24.7,22.99,215365.0,星期一,0.0085,-0.0131
2026-04-24,23.24,23.43,25.33,22.92,276993.0,星期五,-0.0026,0.0082
2026-04-23,24.06,23.3,24.42,22.8,205131.0,星期四,-0.0012,-0.0316
2026-04-22,24.03,24.09,24.17,23.5,219345.0,星期三,-0.016,0.0025
2026-04-21,25.87,24.42,25.87,23.65,331220.0,星期二,-0.0667,-0.056
2026-04-20,28.05,27.72,28.06,26.95,170712.0,星期一,0.0065,-0.0118
2026-04-17,27.61,27.87,28.08,27.4,115492.0,星期五,-0.005,0.0094
2026-04-16,26.89,27.75,27.83,26.63,132420.0,星期四,0.0,0.032
2026-04-15,27.09,26.89,27.75,26.8,106059.0,星期三,0.0052,-0.0074
2026-04-14,26.83,26.95,27.04,26.52,84484.0,星期二,0.0007,0.0045
2026-04-13,27.0,26.81,27.0,26.5,77910.0,星期一,-0.0044,-0.007
2026-04-10,26.77,27.12,27.29,26.7,99980.0,星期五,0.0004,0.0131
2026-04-09,26.69,26.76,26.95,26.18,84322.0,星期四,-0.0126,0.0026
2026-04-08,26.01,27.03,27.09,26.01,110294.0,星期三,0.0184,0.0392
2026-04-07,25.01,25.54,25.7,25.01,75743.0,星期二,-0.0008,0.0212
2026-04-03,26.0,25.03,26.35,25.0,86124.0,星期五,0.0015,-0.0373
2026-04-02,26.55,25.96,26.89,25.76,92049.0,星期四,-0.003,-0.0222
2026-04-01,26.07,26.63,26.66,25.98,124141.0,星期三,0.0156,0.0215
2026-03-31,26.2,25.67,26.54,25.65,95038.0,星期二,-0.0109,-0.0202
2026-03-30,26.28,26.49,26.69,25.89,118002.0,星期一,-0.0008,0.008
2026-03-27,25.48,26.3,26.43,25.46,85343.0,星期五,-0.0143,0.0322
2026-03-26,25.97,25.85,26.22,25.7,76504.0,星期四,0.0,-0.0046
2026-03-25,25.78,25.97,26.22,25.68,103469.0,星期三,0.0043,0.0074
2026-03-24,25.8,25.67,25.95,24.99,105612.0,星期二,0.0142,-0.005
2026-03-23,25.43,25.44,26.67,24.97,166897.0,星期一,-0.0178,0.0004
2026-03-20,27.29,25.89,27.3,25.88,146452.0,星期五,0.0244,-0.0513
2026-03-19,27.35,26.64,27.89,26.55,159012.0,星期四,0.0096,-0.026
2026-03-18,26.97,27.09,27.13,26.42,110837.0,星期三,0.0116,0.0044
2026-03-17,27.86,26.66,28.18,26.62,128154.0,星期二,0.0076,-0.0431
2026-03-16,28.36,27.65,28.57,27.3,147074.0,星期一,0.006,-0.025
2026-03-13,28.04,28.19,29.28,27.68,214719.0,星期五,0.0043,0.0053
2026-03-12,28.59,27.92,28.78,27.7,148030.0,星期四,0.0021,-0.0234
2026-03-11,28.9,28.53,29.14,28.31,165325.0,星期三,-0.0079,-0.0128
2026-03-10,28.98,29.13,29.5,28.83,215510.0,星期二,-0.014,0.0052
2026-03-09,30.75,29.39,31.75,29.25,308278.0,星期一,0.041,-0.0442
2026-03-06,30.07,29.54,30.39,29.25,225779.0,星期五,-0.016,-0.0176
2026-03-05,31.91,30.56,32.28,29.95,326523.0,星期四,0.0201,-0.0423
2026-03-04,33.0,31.28,33.0,27.94,423669.0,星期三,-0.055,-0.0521
2026-03-03,31.0,34.92,36.38,31.0,666848.0,星期二,0.0131,0.1265
2026-03-02,31.5,30.6,32.08,30.4,186303.0,星期一,-0.0016,-0.0286
2026-02-27,30.79,31.55,31.98,30.79,145684.0,星期五,-0.0081,0.0247
2026-02-26,30.82,31.04,31.29,30.02,136322.0,星期四,-0.0026,0.0071
2026-02-25,30.33,30.9,31.16,30.08,145483.0,星期三,-0.0056,0.0188
2026-02-24,30.4,30.5,30.98,30.1,133337.0,星期二,0.0167,0.0033
2026-02-13,30.25,29.9,30.43,29.75,93522.0,星期五,-0.0072,-0.0116
2026-02-12,29.52,30.47,30.71,29.51,164007.0,星期四,0.0003,0.0322
2026-02-11,29.67,29.51,30.08,29.44,100987.0,星期三,-0.0024,-0.0054
2026-02-10,29.96,29.74,30.22,29.56,100520.0,星期二,-0.0089,-0.0073
2026-02-09,30.0,30.23,30.3,29.67,144453.0,星期一,0.0135,0.0077
2026-02-06,29.58,29.6,30.38,29.4,135138.0,星期五,-0.0097,0.0007
2026-02-05,30.6,29.87,30.77,29.75,203428.0,星期四,-0.0161,-0.0239
2026-02-04,31.25,31.1,32.37,30.62,258002.0,星期三,-0.0079,-0.0048
2026-02-03,31.0,31.5,31.69,30.75,203360.0,星期二,0.0065,0.0161
2026-02-02,30.67,30.8,32.29,30.54,223094.0,星期一,-0.0094,0.0042
2026-01-30,30.89,30.96,31.35,29.5,270246.0,星期五,-0.0093,0.0023
2026-01-29,32.7,31.18,33.3,31.07,312046.0,星期四,0.0046,-0.0465
2026-01-28,33.25,32.55,33.37,32.11,271334.0,星期三,-0.0006,-0.0211
2026-01-27,33.3,33.27,34.49,32.7,346776.0,星期二,-0.0083,-0.0009
2026-01-26,34.67,33.58,35.78,33.54,430532.0,星期一,0.0043,-0.0314
2026-01-23,35.0,34.52,36.39,33.99,529964.0,星期五,-0.0077,-0.0137
2026-01-22,30.71,35.27,36.5,30.71,634097.0,星期四,0.002,0.1485
2026-01-21,32.25,30.65,32.65,30.52,456307.0,星期三,-0.0269,-0.0496
2026-01-20,30.3,33.14,34.88,30.0,581939.0,星期二,0.0,0.0937
2026-01-19,28.42,30.3,30.74,28.42,417231.0,星期一,0.0128,0.0662
2026-01-16,29.1,28.06,29.28,27.92,240510.0,星期五,0.0146,-0.0357
2026-01-15,28.41,28.68,28.8,27.9,290367.0,星期四,-0.0251,0.0095
2026-01-14,29.59,29.14,31.85,28.75,541206.0,星期三,-0.003,-0.0152
2026-01-13,33.28,29.68,34.23,29.61,638549.0,星期二,0.0532,-0.1082
2026-01-12,27.66,31.6,31.6,27.66,489707.0,星期一,0.0505,0.1424
2026-01-09,26.27,26.33,27.1,26.0,289367.0,星期五,0.017,0.0023
2026-01-08,25.28,25.83,27.38,25.28,339813.0,星期四,-0.002,0.0218
2026-01-07,24.3,25.33,25.77,23.88,404922.0,星期三,0.0407,0.0424
2026-01-06,23.5,23.35,23.69,23.29,148433.0,星期二,-0.008,-0.0064
2026-01-05,22.52,23.69,23.97,22.42,229289.0,星期一,0.0135,0.052
2025-12-31,22.15,22.22,22.58,22.01,95750.0,星期三,0.0023,0.0032
