time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,18.29,17.86,18.39,17.8,116052.0,星期五,0.0038,-0.0235
2026-06-25,18.15,18.22,18.47,17.85,113642.0,星期四,-0.0136,0.0039
2026-06-24,19.0,18.4,19.0,17.98,152971.0,星期三,-0.0063,-0.0316
2026-06-23,19.7,19.12,20.2,19.01,137796.0,星期二,0.0,-0.0294
2026-06-22,19.37,19.7,20.12,19.0,159524.0,星期一,-0.0051,0.017
2026-06-18,19.31,19.47,19.94,19.09,118187.0,星期四,-0.0036,0.0083
2026-06-17,19.34,19.38,19.68,19.07,122807.0,星期三,-0.0123,0.0021
2026-06-16,19.79,19.58,19.8,18.82,157880.0,星期二,0.0281,-0.0106
2026-06-15,19.11,19.25,19.85,18.81,252469.0,星期一,-0.028,0.0073
2026-06-12,17.63,19.66,20.18,17.63,384304.0,星期五,-0.0537,0.1151
2026-06-11,18.4,18.63,18.97,18.28,258371.0,星期四,0.0066,0.0125
2026-06-10,18.25,18.28,18.65,17.56,211714.0,星期三,-0.0178,0.0016
2026-06-09,18.42,18.58,18.75,17.48,304639.0,星期二,-0.0197,0.0087
2026-06-08,18.7,18.79,20.15,18.58,315424.0,星期一,-0.0142,0.0048
2026-06-05,18.79,18.97,19.15,17.89,292543.0,星期五,-0.0105,0.0096
2026-06-04,19.01,18.99,19.2,18.3,229205.0,星期四,-0.034,-0.0011
2026-06-03,20.05,19.68,20.4,18.95,268727.0,星期三,0.0065,-0.0185
2026-06-02,20.96,19.92,21.12,19.55,242084.0,星期二,0.0077,-0.0496
2026-06-01,18.44,20.8,21.1,18.44,319765.0,星期一,-0.0065,0.128
2026-05-29,17.92,18.56,18.87,17.82,169892.0,星期五,-0.0319,0.0357
2026-05-28,18.22,18.51,19.08,17.95,189213.0,星期四,-0.0082,0.0159
2026-05-27,19.4,18.37,19.82,18.22,199905.0,星期三,-0.0241,-0.0531
2026-05-26,20.06,19.88,20.22,19.2,219197.0,星期二,-0.005,-0.009
