time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,3.18,3.12,3.21,3.1,143700.0,星期五,-0.0031,-0.0189
2026-06-25,3.23,3.19,3.26,3.15,155361.0,星期四,-0.0031,-0.0124
2026-06-24,3.4,3.24,3.41,3.21,194735.0,星期三,0.0,-0.0471
2026-06-23,3.35,3.4,3.47,3.3,191262.0,星期二,-0.0059,0.0149
2026-06-22,3.32,3.37,3.37,3.19,211332.0,星期一,-0.006,0.0151
2026-06-18,3.34,3.34,3.39,3.29,138521.0,星期四,-0.0118,0.0
2026-06-17,3.46,3.38,3.48,3.36,151457.0,星期三,-0.0057,-0.0231
2026-06-16,3.47,3.48,3.5,3.39,158890.0,星期二,0.0029,0.0029
2026-06-15,3.49,3.46,3.53,3.42,147757.0,星期一,0.0145,-0.0086
2026-06-12,3.41,3.44,3.49,3.38,187460.0,星期五,0.0089,0.0088
2026-06-11,3.4,3.38,3.45,3.32,163344.0,星期四,-0.0116,-0.0059
2026-06-10,3.53,3.44,3.54,3.39,176905.0,星期三,-0.0084,-0.0255
2026-06-09,3.54,3.56,3.58,3.48,141116.0,星期二,0.0085,0.0056
2026-06-08,3.52,3.51,3.64,3.46,177847.0,星期一,-0.0303,-0.0028
2026-06-05,3.59,3.63,3.7,3.51,164779.0,星期五,0.0,0.0111
2026-06-04,3.66,3.59,3.69,3.57,169774.0,星期四,-0.0027,-0.0191
2026-06-03,3.76,3.67,3.77,3.65,188420.0,星期三,-0.0027,-0.0239
2026-06-02,3.88,3.77,3.9,3.7,203071.0,星期二,0.0078,-0.0284
2026-06-01,3.68,3.85,3.89,3.66,220374.0,星期一,-0.0027,0.0462
2026-05-29,3.81,3.69,3.84,3.69,209171.0,星期五,-0.0052,-0.0315
2026-05-28,3.77,3.83,3.85,3.7,176199.0,星期四,0.0,0.0159
2026-05-27,3.86,3.77,3.93,3.75,162748.0,星期三,-0.0052,-0.0233
2026-05-26,3.99,3.88,4.01,3.83,189605.0,星期二,-0.0075,-0.0276
2026-05-25,3.98,4.02,4.17,3.96,202726.0,星期一,0.0,0.0101
2026-05-22,3.93,3.98,4.02,3.86,224056.0,星期五,0.0077,0.0127
2026-05-21,4.12,3.9,4.15,3.89,349635.0,星期四,0.0024,-0.0534
2026-05-20,4.26,4.11,4.26,4.09,246370.0,星期三,-0.0023,-0.0352
2026-05-19,4.19,4.27,4.27,4.17,240725.0,星期二,0.0,0.0191
2026-05-18,4.11,4.19,4.2,4.1,234376.0,星期一,-0.0048,0.0195
2026-05-15,4.18,4.13,4.24,4.09,240201.0,星期五,-0.0024,-0.012
2026-05-14,4.39,4.19,4.4,4.19,321254.0,星期四,0.0023,-0.0456
2026-05-13,4.25,4.38,4.4,4.22,378641.0,星期三,0.0,0.0306
2026-05-12,4.27,4.25,4.32,4.22,243169.0,星期二,0.0,-0.0047
2026-05-11,4.29,4.27,4.3,4.24,219274.0,星期一,0.0094,-0.0047
2026-05-08,4.28,4.25,4.32,4.22,188934.0,星期五,0.019,-0.007
2026-05-07,4.24,4.2,4.31,4.19,169816.0,星期四,0.0024,-0.0094
2026-05-06,4.21,4.23,4.24,4.19,174651.0,星期三,0.0072,0.0048
2026-04-30,4.17,4.18,4.21,4.15,154805.0,星期四,-0.0024,0.0024
2026-04-29,4.04,4.18,4.2,4.03,235750.0,星期三,-0.0025,0.0347
2026-04-28,4.06,4.05,4.1,4.03,216217.0,星期二,-0.0146,-0.0025
2026-04-27,4.02,4.12,4.14,3.99,245098.0,星期一,-0.005,0.0249
2026-04-24,4.04,4.04,4.07,3.98,195005.0,星期五,0.005,0.0
2026-04-23,4.08,4.02,4.13,4.01,200120.0,星期四,0.0,-0.0147
2026-04-22,4.08,4.08,4.12,4.05,142727.0,星期三,-0.0049,0.0
2026-04-21,4.18,4.1,4.19,4.08,191056.0,星期二,-0.0048,-0.0191
