time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,10.82,10.28,10.84,10.28,130099.0,星期五,-0.0119,-0.0499
2026-06-25,11.2,10.95,11.38,10.91,120101.0,星期四,-0.008,-0.0223
2026-06-24,11.65,11.29,11.79,11.18,129078.0,星期三,-0.0077,-0.0309
2026-06-23,11.74,11.74,12.12,11.6,112437.0,星期二,-0.0068,0.0
2026-06-22,11.94,11.82,12.0,11.24,173306.0,星期一,-0.005,-0.0101
2026-06-18,12.4,12.0,12.47,12.0,130716.0,星期四,0.0,-0.0323
2026-06-17,12.4,12.4,12.62,12.26,127069.0,星期三,-0.0198,0.0
2026-06-16,12.14,12.65,12.73,12.1,196396.0,星期二,-0.009,0.042
2026-06-15,11.65,12.25,12.55,11.6,216772.0,星期一,0.0095,0.0515
2026-06-12,12.06,11.54,12.09,11.52,138918.0,星期五,0.0194,-0.0431
2026-06-11,11.89,11.83,12.14,11.69,134619.0,星期四,-0.0165,-0.005
2026-06-10,11.98,12.09,12.15,11.44,178009.0,星期三,-0.0066,0.0092
2026-06-09,12.18,12.06,12.29,11.93,132392.0,星期二,0.0116,-0.0099
2026-06-08,12.44,12.04,12.74,11.93,202279.0,星期一,-0.0304,-0.0322
2026-06-05,12.85,12.83,13.3,12.4,178229.0,星期五,-0.0115,-0.0016
2026-06-04,12.5,13.0,13.01,12.47,166037.0,星期四,-0.0242,0.04
2026-06-03,13.0,12.81,13.6,12.67,197942.0,星期三,0.0046,-0.0146
2026-06-02,13.2,12.94,13.46,12.89,168861.0,星期二,0.0,-0.0197
2026-06-01,14.11,13.2,14.2,13.17,278681.0,星期一,0.0007,-0.0645
2026-05-29,13.85,14.1,14.99,13.68,351834.0,星期五,0.0154,0.0181
2026-05-28,13.55,13.64,13.87,13.19,157562.0,星期四,-0.0059,0.0066
2026-05-27,14.09,13.63,14.28,13.59,160388.0,星期三,-0.0014,-0.0326
2026-05-26,14.57,14.11,14.63,13.97,174538.0,星期二,-0.0048,-0.0316
2026-05-25,14.8,14.64,15.04,14.37,200338.0,星期一,0.0034,-0.0108
2026-05-22,14.24,14.75,15.08,14.06,239688.0,星期五,0.0049,0.0358
2026-05-21,14.99,14.17,15.22,14.11,273941.0,星期四,0.0047,-0.0547
2026-05-20,15.31,14.92,15.37,14.74,313833.0,星期三,-0.0078,-0.0255
2026-05-19,15.76,15.43,15.98,15.15,353318.0,星期二,0.0045,-0.0209
2026-05-18,15.39,15.69,15.99,14.8,482596.0,星期一,-0.0135,0.0195
2026-05-15,15.77,15.6,16.15,15.2,611489.0,星期五,0.0409,-0.0108
2026-05-14,14.3,15.15,16.29,14.2,760464.0,星期四,0.0214,0.0594
2026-05-13,13.3,14.0,14.18,13.28,336016.0,星期三,0.0068,0.0526
2026-05-12,13.0,13.21,13.26,12.85,159813.0,星期二,0.007,0.0162
2026-05-11,13.15,12.91,13.18,12.82,116924.0,星期一,0.0084,-0.0183
2026-05-08,13.12,13.04,13.18,12.97,112124.0,星期五,-0.0083,-0.0061
2026-05-07,12.9,13.23,13.26,12.8,164436.0,星期四,0.0047,0.0256
2026-05-06,12.75,12.84,12.93,12.75,103907.0,星期三,0.0031,0.0071
2026-04-30,12.65,12.71,12.76,12.53,97321.0,星期四,0.0,0.0047
2026-04-29,12.59,12.65,12.78,12.51,102071.0,星期三,0.0032,0.0048
2026-04-28,12.7,12.55,12.8,12.5,112211.0,星期二,-0.0117,-0.0118
2026-04-27,12.53,12.85,12.85,12.14,165832.0,星期一,-0.0095,0.0255
2026-04-24,12.82,12.65,13.1,12.65,167620.0,星期五,0.0248,-0.0133
2026-04-23,13.31,12.51,13.37,12.45,236650.0,星期四,-0.0052,-0.0601
2026-04-22,13.33,13.38,13.58,13.21,131486.0,星期三,-0.0082,0.0038
2026-04-21,13.87,13.44,13.87,13.22,230352.0,星期二,-0.005,-0.031
2026-04-20,14.39,13.94,14.39,13.8,258483.0,星期一,-0.0028,-0.0313
2026-04-17,14.36,14.43,14.65,14.19,209123.0,星期五,-0.0042,0.0049
2026-04-16,14.45,14.42,14.46,14.04,198321.0,星期四,-0.0007,-0.0021
2026-04-15,14.7,14.46,14.78,14.28,243458.0,星期三,-0.0101,-0.0163
2026-04-14,15.03,14.85,15.06,14.58,256573.0,星期二,0.0054,-0.012
2026-04-13,14.68,14.95,15.08,14.53,242235.0,星期一,-0.0167,0.0184
2026-04-10,15.33,14.93,15.47,14.88,443206.0,星期五,-0.0173,-0.0261
2026-04-09,14.76,15.6,15.86,14.71,579257.0,星期四,-0.0153,0.0569
2026-04-08,14.78,14.99,15.02,14.58,389113.0,星期三,0.0158,0.0142
2026-04-07,14.11,14.55,14.75,14.0,307133.0,星期二,0.0,0.0312
2026-04-03,14.85,14.11,14.94,14.02,325710.0,星期五,0.0109,-0.0498
2026-04-02,13.81,14.69,15.18,13.78,457312.0,星期四,-0.0093,0.0637
2026-04-01,14.29,13.94,14.45,13.79,206722.0,星期三,0.0099,-0.0245
2026-03-31,14.33,14.15,14.38,13.85,230056.0,星期二,0.0028,-0.0126
2026-03-30,13.37,14.29,14.72,13.31,331179.0,星期一,-0.0248,0.0688
2026-03-27,13.51,13.71,13.84,12.91,243896.0,星期五,-0.0217,0.0148
