time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,4.68,4.73,5.04,4.67,246050.0,星期五,0.0,0.0107
2026-06-25,4.77,4.68,4.86,4.67,176609.0,星期四,-0.0083,-0.0189
2026-06-24,4.93,4.81,4.94,4.76,163572.0,星期三,0.0041,-0.0243
2026-06-23,4.92,4.91,5.05,4.88,186746.0,星期二,-0.0101,-0.002
2026-06-22,4.79,4.97,5.04,4.77,233428.0,星期一,-0.0042,0.0376
2026-06-18,4.9,4.81,4.9,4.78,141488.0,星期四,-0.0061,-0.0184
2026-06-17,4.97,4.93,5.01,4.85,159100.0,星期三,-0.006,-0.008
2026-06-16,5.05,5.0,5.08,4.97,165728.0,星期二,-0.0059,-0.0099
2026-06-15,4.88,5.08,5.09,4.88,247561.0,星期一,0.0021,0.041
2026-06-12,4.88,4.87,4.93,4.78,187256.0,星期五,0.0104,-0.002
2026-06-11,4.85,4.83,4.94,4.78,189411.0,星期四,-0.0102,-0.0041
2026-06-10,4.89,4.9,5.02,4.72,337567.0,星期三,-0.0081,0.002
2026-06-09,4.98,4.93,5.0,4.85,169940.0,星期二,0.0061,-0.01
2026-06-08,5.06,4.95,5.15,4.89,245135.0,星期一,-0.0194,-0.0217
2026-06-05,5.16,5.16,5.25,5.05,202899.0,星期五,-0.0019,0.0
2026-06-04,5.26,5.17,5.31,5.13,174262.0,星期四,-0.0057,-0.0171
2026-06-03,5.32,5.29,5.41,5.25,136450.0,星期三,-0.0019,-0.0056
2026-06-02,5.46,5.33,5.48,5.23,181866.0,星期二,0.0,-0.0238
2026-06-01,5.32,5.46,5.54,5.32,192635.0,星期一,-0.0075,0.0263
2026-05-29,5.5,5.36,5.56,5.33,196259.0,星期五,-0.009,-0.0255
2026-05-28,5.45,5.55,5.57,5.43,176601.0,星期四,0.0,0.0183
2026-05-27,5.56,5.45,5.65,5.39,186238.0,星期三,-0.0036,-0.0198
2026-05-26,5.63,5.58,5.67,5.51,165023.0,星期二,-0.0071,-0.0089
2026-05-25,5.73,5.67,5.76,5.59,180043.0,星期一,0.0017,-0.0105
2026-05-22,5.66,5.72,5.77,5.6,186948.0,星期五,0.0035,0.0106
2026-05-21,5.87,5.64,5.91,5.62,273069.0,星期四,0.0,-0.0392
2026-05-20,6.03,5.87,6.03,5.83,259988.0,星期三,-0.005,-0.0265
2026-05-19,6.07,6.06,6.1,5.97,207107.0,星期二,-0.0016,-0.0016
2026-05-18,5.96,6.08,6.13,5.94,198661.0,星期一,-0.0067,0.0201
2026-05-15,6.1,6.0,6.17,5.95,332725.0,星期五,-0.0016,-0.0164
2026-05-14,6.41,6.11,6.44,6.11,472779.0,星期四,0.0079,-0.0468
2026-05-13,6.22,6.36,6.42,6.21,393423.0,星期三,-0.0016,0.0225
2026-05-12,6.3,6.23,6.36,6.21,296533.0,星期二,0.0016,-0.0111
2026-05-11,6.33,6.29,6.39,6.24,378846.0,星期一,0.0016,-0.0063
2026-05-08,6.26,6.32,6.34,6.22,297604.0,星期五,-0.0079,0.0096
2026-05-07,6.21,6.31,6.32,6.19,334097.0,星期四,0.0032,0.0161
2026-05-06,6.21,6.19,6.24,6.15,249560.0,星期三,0.0049,-0.0032
2026-04-30,6.25,6.18,6.28,6.13,269007.0,星期四,-0.0048,-0.0112
2026-04-29,6.15,6.28,6.31,6.14,235305.0,星期三,-0.0049,0.0211
2026-04-28,6.32,6.18,6.35,6.14,309913.0,星期二,-0.0016,-0.0222
2026-04-27,6.26,6.33,6.36,6.22,264678.0,星期一,-0.0095,0.0112
2026-04-24,6.38,6.32,6.53,6.26,375533.0,星期五,-0.0016,-0.0094
2026-04-23,6.6,6.39,6.65,6.27,659891.0,星期四,-0.0265,-0.0318
2026-04-22,6.62,6.78,6.78,6.55,364298.0,星期三,-0.009,0.0242
2026-04-21,6.8,6.68,6.82,6.57,455765.0,星期二,-0.0044,-0.0176
2026-04-20,6.95,6.83,6.98,6.72,531329.0,星期一,0.0058,-0.0173
2026-04-17,6.6,6.91,7.18,6.6,879063.0,星期五,-0.0045,0.047
2026-04-16,6.6,6.63,6.63,6.51,220896.0,星期四,0.0,0.0045
2026-04-15,6.63,6.6,6.73,6.55,290763.0,星期三,0.0015,-0.0045
2026-04-14,6.66,6.62,6.7,6.52,262312.0,星期二,0.003,-0.006
2026-04-13,6.43,6.64,6.66,6.38,327694.0,星期一,-0.0077,0.0327
2026-04-10,6.56,6.48,6.64,6.48,298688.0,星期五,0.0061,-0.0122
2026-04-09,6.56,6.52,6.57,6.45,277064.0,星期四,-0.0135,-0.0061
2026-04-08,6.56,6.65,6.66,6.53,362742.0,星期三,0.0155,0.0137
2026-04-07,6.27,6.46,6.5,6.23,270291.0,星期二,-0.0032,0.0303
2026-04-03,6.63,6.29,6.7,6.27,468234.0,星期五,0.0,-0.0513
2026-04-02,6.81,6.63,7.0,6.56,513589.0,星期四,-0.0044,-0.0264
2026-04-01,6.96,6.84,7.03,6.77,447345.0,星期三,0.0235,-0.0172
2026-03-31,7.08,6.8,7.18,6.78,722044.0,星期二,-0.0139,-0.0395
2026-03-30,7.07,7.18,7.4,6.95,651499.0,星期一,-0.0098,0.0156
2026-03-27,7.01,7.14,7.29,6.88,537838.0,星期五,-0.0182,0.0185
2026-03-26,7.38,7.14,7.45,7.11,713094.0,星期四,-0.0173,-0.0325
2026-03-25,7.39,7.51,7.62,7.25,908397.0,星期三,-0.0027,0.0162
2026-03-24,7.29,7.41,7.43,6.97,1042210.0,星期二,0.021,0.0165
2026-03-23,7.21,7.14,7.52,7.08,1006755.0,星期一,-0.0335,-0.0097
2026-03-20,7.69,7.46,7.95,7.46,1319655.0,星期五,0.0013,-0.0299
2026-03-19,7.57,7.68,8.21,7.43,1646701.0,星期四,-0.0092,0.0145
2026-03-18,8.02,7.64,8.15,7.54,1563494.0,星期三,-0.0037,-0.0474
2026-03-17,8.18,8.05,8.59,7.94,1985754.0,星期二,-0.0192,-0.0159
2026-03-16,7.79,8.34,8.95,7.73,2604131.0,星期一,0.0,0.0706
2026-03-13,7.15,7.79,8.25,7.06,2042240.0,星期五,0.0142,0.0895
2026-03-12,6.9,7.05,7.21,6.79,914138.0,星期四,-0.01,0.0217
2026-03-11,6.77,6.97,6.99,6.73,533982.0,星期三,0.0,0.0295
2026-03-10,6.66,6.77,6.8,6.61,423452.0,星期二,-0.006,0.0165
2026-03-09,6.54,6.7,6.71,6.51,428618.0,星期一,-0.0106,0.0245
2026-03-06,6.5,6.61,6.66,6.47,324156.0,星期五,-0.0061,0.0169
2026-03-05,6.45,6.54,6.58,6.4,386675.0,星期四,0.019,0.014
2026-03-04,6.17,6.33,6.43,6.17,261870.0,星期三,-0.0253,0.0259
2026-03-03,6.42,6.33,6.51,6.28,354665.0,星期二,0.0078,-0.014
2026-03-02,6.45,6.37,6.55,6.36,300295.0,星期一,-0.0138,-0.0124
2026-02-27,6.52,6.54,6.75,6.47,426425.0,星期五,0.0,0.0031
2026-02-26,6.32,6.52,6.52,6.28,388825.0,星期四,0.0032,0.0316
2026-02-25,6.27,6.3,6.33,6.24,188183.0,星期三,-0.0032,0.0048
2026-02-24,6.12,6.29,6.3,6.12,243195.0,星期二,0.0049,0.0278
2026-02-13,6.17,6.09,6.2,6.09,146742.0,星期五,-0.0032,-0.013
2026-02-12,6.21,6.19,6.25,6.11,158983.0,星期四,-0.0016,-0.0032
2026-02-11,6.23,6.22,6.32,6.21,157893.0,星期三,0.0,-0.0016
2026-02-10,6.29,6.23,6.31,6.22,150449.0,星期二,-0.0016,-0.0095
2026-02-09,6.25,6.3,6.35,6.23,210732.0,星期一,0.0113,0.008
2026-02-06,6.09,6.18,6.25,6.06,212767.0,星期五,-0.0049,0.0148
