time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,240.0,234.1,245.0,225.0,333834.0,星期五,-0.0709,-0.0246
2026-06-25,272.13,258.31,277.26,246.3,324125.0,星期四,0.003,-0.0508
2026-06-24,264.52,271.32,273.0,260.08,198383.0,星期三,0.0,0.0257
2026-06-23,274.0,264.52,276.46,257.0,250075.0,星期二,-0.0255,-0.0346
2026-06-22,264.0,281.18,285.85,262.0,335404.0,星期一,-0.0171,0.0651
2026-06-18,265.0,268.6,269.02,254.0,300167.0,星期四,-0.0037,0.0136
2026-06-17,261.5,265.99,272.4,256.27,316964.0,星期三,-0.0068,0.0172
2026-06-16,245.06,263.29,263.6,245.06,408701.0,星期二,0.1034,0.0744
2026-06-15,203.23,222.1,222.1,203.01,302353.0,星期一,0.0981,0.0929
2026-06-12,183.0,185.08,192.75,175.0,387958.0,星期五,0.0305,0.0114
2026-06-11,173.0,177.58,184.99,169.0,319499.0,星期四,0.0176,0.0265
2026-06-10,178.57,170.0,179.6,168.0,260520.0,星期三,-0.0173,-0.048
2026-06-09,158.0,181.71,184.68,156.24,402269.0,星期二,0.0266,0.1501
2026-06-08,151.05,153.9,161.5,151.05,206247.0,星期一,-0.1029,0.0189
2026-06-05,172.0,168.38,180.5,167.0,264736.0,星期五,0.0019,-0.021
2026-06-04,168.31,171.67,178.02,168.31,206165.0,星期四,-0.0029,0.02
2026-06-03,169.99,168.8,181.88,165.0,359225.0,星期三,0.0568,-0.007
2026-06-02,147.99,160.85,163.95,146.0,243841.0,星期二,0.0016,0.0869
2026-06-01,162.34,147.75,165.66,147.7,211013.0,星期一,-0.0186,-0.0899
2026-05-29,172.0,165.42,181.29,161.4,257712.0,星期五,0.0094,-0.0383
2026-05-28,158.0,170.4,172.0,154.35,291631.0,星期四,-0.0245,0.0785
2026-05-27,158.01,161.96,166.18,153.3,255863.0,星期三,-0.0226,0.025
2026-05-26,164.0,161.67,168.48,157.12,205061.0,星期二,0.0049,-0.0142
