time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,10.81,10.36,10.91,10.36,95501.0,星期五,-0.0037,-0.0416
2026-06-25,10.83,10.85,10.97,10.48,100053.0,星期四,-0.0028,0.0018
2026-06-24,11.26,10.86,11.37,10.86,94328.0,星期三,0.009,-0.0355
2026-06-23,11.04,11.16,11.42,11.02,100617.0,星期二,-0.0036,0.0109
2026-06-22,10.95,11.08,11.08,10.59,117400.0,星期一,-0.0064,0.0119
2026-06-18,11.19,11.02,11.28,11.0,69062.0,星期四,0.0,-0.0152
2026-06-17,11.18,11.19,11.23,11.04,62561.0,星期三,0.0,0.0009
2026-06-16,11.26,11.18,11.26,11.09,62684.0,星期二,-0.0009,-0.0071
2026-06-15,11.29,11.27,11.47,11.17,77699.0,星期一,-0.0018,-0.0018
2026-06-12,11.02,11.31,11.41,10.9,107728.0,星期五,0.0046,0.0263
2026-06-11,11.05,10.97,11.18,10.86,63988.0,星期四,-0.0063,-0.0072
2026-06-10,10.98,11.12,11.13,10.89,65302.0,星期三,-0.0018,0.0128
2026-06-09,11.1,11.0,11.17,10.93,70233.0,星期二,0.0,-0.009
2026-06-08,11.43,11.1,11.52,10.98,97780.0,星期一,-0.0104,-0.0289
2026-06-05,11.5,11.55,11.64,11.46,61346.0,星期五,0.0044,0.0043
2026-06-04,11.74,11.45,11.82,11.35,93376.0,星期四,-0.0042,-0.0247
2026-06-03,11.99,11.79,11.99,11.73,80444.0,星期三,-0.0008,-0.0167
2026-06-02,12.14,12.0,12.22,12.0,64665.0,星期二,-0.0041,-0.0115
2026-06-01,12.05,12.19,12.2,11.99,70774.0,星期一,-0.0025,0.0116
2026-05-29,11.93,12.08,12.28,11.88,113550.0,星期五,0.0025,0.0126
2026-05-28,12.05,11.9,12.08,11.76,84054.0,星期四,-0.0025,-0.0124
2026-05-27,12.19,12.08,12.28,11.86,94917.0,星期三,-0.0016,-0.009
2026-05-26,12.52,12.21,12.52,12.08,99811.0,星期二,-0.0024,-0.0248
2026-05-25,12.42,12.55,12.56,12.23,81520.0,星期一,-0.0032,0.0105
2026-05-22,12.74,12.46,12.83,12.39,95792.0,星期五,0.0079,-0.022
2026-05-21,12.97,12.64,13.13,12.64,91631.0,星期四,0.0046,-0.0254
2026-05-20,13.09,12.91,13.12,12.85,65920.0,星期三,-0.0068,-0.0138
2026-05-19,13.17,13.18,13.27,13.07,56345.0,星期二,0.0023,0.0008
2026-05-18,13.25,13.14,13.29,13.05,71851.0,星期一,-0.003,-0.0083
2026-05-15,13.51,13.29,13.57,13.22,96749.0,星期五,0.0,-0.0163
2026-05-14,14.01,13.51,14.03,13.5,144743.0,星期四,0.0007,-0.0357
2026-05-13,14.04,14.0,14.09,13.96,77108.0,星期三,-0.0007,-0.0028
2026-05-12,14.28,14.05,14.28,14.03,85828.0,星期二,-0.0014,-0.0161
2026-05-11,14.14,14.3,14.35,13.99,135151.0,星期一,-0.0028,0.0113
2026-05-08,14.11,14.18,14.29,14.11,75953.0,星期五,-0.0049,0.005
2026-05-07,14.39,14.18,14.43,14.14,106862.0,星期四,0.0035,-0.0146
2026-05-06,14.35,14.34,14.53,14.3,127065.0,星期三,-0.0049,-0.0007
2026-04-30,14.71,14.42,15.18,14.4,184067.0,星期四,0.0294,-0.0197
2026-04-29,14.41,14.29,14.49,14.27,105423.0,星期三,0.0035,-0.0083
2026-04-28,14.51,14.36,14.7,14.29,103964.0,星期二,0.0,-0.0103
2026-04-27,14.28,14.51,14.61,14.22,101878.0,星期一,-0.0063,0.0161
2026-04-24,14.16,14.37,14.7,14.15,176884.0,星期五,-0.0098,0.0148
2026-04-23,14.14,14.3,14.42,13.81,158571.0,星期四,-0.0056,0.0113
2026-04-22,13.92,14.22,14.24,13.87,100951.0,星期三,0.0,0.0216
2026-04-21,14.02,13.92,14.11,13.88,64119.0,星期二,-0.0028,-0.0071
2026-04-20,13.96,14.06,14.12,13.9,75633.0,星期一,-0.0021,0.0072
2026-04-17,14.16,13.99,14.18,13.87,110402.0,星期五,-0.0035,-0.012
2026-04-16,14.21,14.21,14.29,14.11,69893.0,星期四,0.0007,0.0
2026-04-15,14.39,14.2,14.47,14.17,60808.0,星期三,0.0056,-0.0132
2026-04-14,14.23,14.31,14.32,14.12,59804.0,星期二,0.0085,0.0056
2026-04-13,14.09,14.11,14.23,14.08,43855.0,星期一,-0.0091,0.0014
2026-04-10,14.15,14.22,14.37,14.12,61129.0,星期五,0.0078,0.0049
2026-04-09,14.26,14.04,14.31,14.04,60913.0,星期四,-0.0063,-0.0154
2026-04-08,14.08,14.35,14.35,14.07,88389.0,星期三,0.0188,0.0192
2026-04-07,13.81,13.82,13.97,13.76,44865.0,星期二,0.0022,0.0007
2026-04-03,14.19,13.78,14.2,13.78,82568.0,星期五,0.0007,-0.0289
2026-04-02,14.51,14.18,14.51,14.1,74220.0,星期四,0.0021,-0.0227
2026-04-01,14.29,14.48,14.51,14.2,87071.0,星期三,0.0113,0.0133
2026-03-31,14.2,14.13,14.38,14.12,54601.0,星期二,-0.0007,-0.0049
2026-03-30,14.17,14.21,14.32,13.96,78493.0,星期一,-0.0173,0.0028
2026-03-27,14.04,14.42,14.44,14.02,70357.0,星期五,-0.0113,0.0271
2026-03-26,14.26,14.2,14.57,14.12,71194.0,星期四,-0.0007,-0.0042
2026-03-25,14.29,14.27,14.4,14.18,70291.0,星期三,0.0028,-0.0014
2026-03-24,14.24,14.25,14.29,13.95,74181.0,星期二,0.0171,0.0007
2026-03-23,14.51,14.0,14.65,13.91,133265.0,星期一,-0.0176,-0.0351
2026-03-20,15.12,14.77,15.32,14.76,98175.0,星期五,-0.004,-0.0231
2026-03-19,15.53,15.18,15.59,15.12,95085.0,星期四,-0.0083,-0.0225
2026-03-18,15.76,15.66,15.76,15.55,63733.0,星期三,0.0045,-0.0063
2026-03-17,15.88,15.69,16.02,15.66,96178.0,星期二,-0.0019,-0.012
2026-03-16,15.61,15.91,15.92,15.61,101382.0,星期一,-0.0026,0.0192
2026-03-13,15.33,15.65,15.8,15.27,110405.0,星期五,-0.0026,0.0209
2026-03-12,15.52,15.37,15.55,15.29,60421.0,星期四,0.0,-0.0097
