time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,9.98,9.92,10.1,9.82,35789.0,星期五,-0.0099,-0.006
2026-06-25,10.33,10.08,10.44,10.01,46093.0,星期四,-0.0077,-0.0242
2026-06-24,10.7,10.41,10.76,10.24,36543.0,星期三,-0.0009,-0.0271
2026-06-23,10.6,10.71,10.9,10.58,40040.0,星期二,-0.0066,0.0104
2026-06-22,10.37,10.67,10.7,10.05,47363.0,星期一,-0.0067,0.0289
2026-06-18,10.47,10.44,10.6,10.33,34057.0,星期四,-0.0104,-0.0029
2026-06-17,10.8,10.58,10.98,10.52,47060.0,星期三,-0.0009,-0.0204
2026-06-16,10.59,10.81,10.83,10.42,47364.0,星期二,0.0,0.0208
2026-06-15,10.71,10.59,10.84,10.44,50846.0,星期一,0.0104,-0.0112
2026-06-12,10.61,10.6,10.75,10.37,47548.0,星期五,0.0047,-0.0009
2026-06-11,10.58,10.56,10.73,10.36,38115.0,星期四,-0.0056,-0.0019
2026-06-10,10.45,10.64,10.74,10.36,44630.0,星期三,-0.0076,0.0182
2026-06-09,10.4,10.53,10.84,10.33,33483.0,星期二,0.0058,0.0125
2026-06-08,10.63,10.34,10.81,10.21,52238.0,星期一,-0.0167,-0.0273
2026-06-05,10.55,10.81,10.92,10.42,40202.0,星期五,-0.0047,0.0246
2026-06-04,10.66,10.6,10.77,10.52,37706.0,星期四,-0.0102,-0.0056
2026-06-03,10.87,10.77,10.89,10.66,35425.0,星期三,0.0037,-0.0092
2026-06-02,11.23,10.83,11.25,10.78,50228.0,星期二,0.0018,-0.0356
2026-06-01,10.7,11.21,11.32,10.7,53615.0,星期一,-0.0047,0.0477
2026-05-29,11.26,10.75,11.31,10.66,49614.0,星期五,0.0009,-0.0453
2026-05-28,11.2,11.25,11.4,10.99,34436.0,星期四,0.0009,0.0045
2026-05-27,11.46,11.19,11.65,11.06,44933.0,星期三,-0.0052,-0.0236
2026-05-26,11.7,11.52,11.81,11.41,36779.0,星期二,-0.0034,-0.0154
2026-05-25,12.07,11.74,12.08,11.68,52383.0,星期一,0.0017,-0.0273
2026-05-22,11.61,12.05,12.17,11.49,54562.0,星期五,0.0009,0.0379
2026-05-21,12.2,11.6,12.33,11.55,58690.0,星期四,0.0008,-0.0492
2026-05-20,12.17,12.19,12.26,11.85,49661.0,星期三,0.0066,0.0016
2026-05-19,12.26,12.09,12.3,11.93,52506.0,星期二,-0.0008,-0.0139
2026-05-18,12.38,12.27,12.54,12.01,91248.0,星期一,-0.0128,-0.0089
2026-05-15,12.2,12.54,12.97,12.2,102118.0,星期五,-0.0041,0.0279
2026-05-14,12.19,12.25,12.39,12.02,44017.0,星期四,0.0,0.0049
2026-05-13,12.24,12.19,12.35,12.13,51243.0,星期三,-0.0008,-0.0041
2026-05-12,12.45,12.25,12.57,12.15,34808.0,星期二,-0.0032,-0.0161
