time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,36.52,34.86,36.6,34.83,53778.0,星期五,0.0,-0.0455
2026-06-25,37.83,36.52,38.63,36.08,68000.0,星期四,-0.0156,-0.0346
2026-06-24,38.24,38.43,38.74,37.22,42797.0,星期三,0.0,0.005
2026-06-23,40.06,38.24,40.27,37.93,62441.0,星期二,-0.0057,-0.0454
2026-06-22,39.03,40.29,40.3,38.69,61477.0,星期一,-0.0104,0.0323
2026-06-18,39.33,39.44,40.18,38.94,45773.0,星期四,-0.0083,0.0028
2026-06-17,39.51,39.66,40.47,39.4,47242.0,星期三,-0.0142,0.0038
2026-06-16,38.65,40.08,40.48,38.45,58120.0,星期二,-0.001,0.037
2026-06-15,38.4,38.69,38.8,38.11,43305.0,星期一,0.0202,0.0076
2026-06-12,38.16,37.64,38.92,37.34,46701.0,星期五,0.0119,-0.0136
2026-06-11,38.09,37.71,38.25,37.11,39163.0,星期四,0.0,-0.01
2026-06-10,39.2,38.09,39.59,37.53,44685.0,星期三,-0.0031,-0.0283
2026-06-09,38.21,39.32,39.44,38.21,49592.0,星期二,0.0162,0.029
2026-06-08,38.5,37.6,39.09,37.4,53283.0,星期一,-0.0253,-0.0234
2026-06-05,40.5,39.5,40.65,38.56,57468.0,星期五,0.0,-0.0247
2026-06-04,40.0,40.5,41.33,39.31,54283.0,星期四,-0.0114,0.0125
2026-06-03,40.98,40.46,42.16,40.01,53584.0,星期三,0.0094,-0.0127
2026-06-02,41.0,40.6,41.33,39.54,52470.0,星期二,-0.0049,-0.0098
2026-06-01,42.05,41.2,43.58,41.11,67998.0,星期一,-0.0078,-0.0202
2026-05-29,45.07,42.38,45.24,42.03,79090.0,星期五,-0.0053,-0.0597
2026-05-28,42.19,45.31,46.36,41.55,111107.0,星期四,0.0048,0.074
2026-05-27,42.73,41.99,43.64,41.47,50531.0,星期三,0.0014,-0.0173
2026-05-26,43.65,42.67,44.2,41.93,59306.0,星期二,-0.0111,-0.0225
2026-05-25,45.52,44.14,45.7,43.58,66208.0,星期一,-0.0009,-0.0303
2026-05-22,44.35,45.56,46.05,44.23,62340.0,星期五,0.0,0.0273
2026-05-21,47.06,44.35,47.86,44.12,83347.0,星期四,-0.0084,-0.0576
2026-05-20,48.14,47.46,48.47,46.5,84286.0,星期三,-0.001,-0.0141
2026-05-19,47.61,48.19,49.24,47.2,65583.0,星期二,-0.009,0.0122
2026-05-18,45.14,48.04,49.28,44.78,103392.0,星期一,-0.0031,0.0642
2026-05-15,45.98,45.28,46.78,44.81,72376.0,星期五,0.0024,-0.0152
2026-05-14,47.5,45.87,47.87,45.87,75372.0,星期四,0.0002,-0.0343
2026-05-13,48.8,47.49,48.9,47.03,107124.0,星期三,-0.0055,-0.0268
2026-05-12,48.57,49.07,49.86,48.36,122622.0,星期二,-0.0053,0.0103
2026-05-11,45.25,48.83,50.38,44.96,221575.0,星期一,0.0175,0.0791
2026-05-08,44.22,44.47,46.28,44.13,94755.0,星期五,-0.0029,0.0057
2026-05-07,44.9,44.35,45.12,43.67,82420.0,星期四,0.0177,-0.0122
2026-05-06,41.42,44.12,44.76,41.41,122626.0,星期三,0.0095,0.0652
2026-04-30,41.86,41.03,42.16,40.94,71809.0,星期四,-0.0033,-0.0198
2026-04-29,39.9,42.0,42.35,39.35,110899.0,星期三,-0.0023,0.0526
2026-04-28,41.33,39.99,41.65,39.79,87244.0,星期二,-0.0041,-0.0324
2026-04-27,39.2,41.5,42.28,39.0,161593.0,星期一,-0.0597,0.0587
2026-04-24,43.0,41.69,43.0,39.41,239496.0,星期五,-0.0664,-0.0305
2026-04-23,43.01,46.06,46.06,42.68,204161.0,星期四,0.0056,0.0709
2026-04-22,42.69,42.77,43.18,42.31,52902.0,星期三,-0.0047,0.0019
2026-04-21,42.37,42.89,43.25,41.2,78266.0,星期二,-0.0066,0.0123
2026-04-20,42.98,42.65,43.62,42.35,68989.0,星期一,0.0087,-0.0077
2026-04-17,42.68,42.61,43.69,42.58,61133.0,星期五,-0.0033,-0.0016
2026-04-16,42.3,42.82,43.08,42.01,55011.0,星期四,0.0043,0.0123
2026-04-15,44.23,42.12,44.5,41.88,75060.0,星期三,-0.0005,-0.0477
2026-04-14,42.81,44.25,44.25,42.81,77274.0,星期二,0.0066,0.0336
2026-04-13,41.6,42.53,42.71,41.5,54413.0,星期一,-0.0102,0.0224
2026-04-10,40.91,42.03,42.86,40.71,74166.0,星期五,0.0086,0.0274
2026-04-09,40.63,40.56,41.15,40.01,44173.0,星期四,-0.0012,-0.0017
2026-04-08,39.6,40.68,40.72,39.44,48191.0,星期三,0.0198,0.0273
2026-04-07,38.52,38.83,39.6,38.41,41610.0,星期二,0.006,0.008
2026-04-03,39.95,38.29,40.26,38.29,41004.0,星期五,0.0038,-0.0416
2026-04-02,40.1,39.8,40.55,39.46,34354.0,星期四,-0.0072,-0.0075
2026-04-01,40.35,40.39,40.84,39.72,44438.0,星期三,0.0228,0.001
2026-03-31,41.03,39.45,41.48,39.45,52426.0,星期二,-0.001,-0.0385
2026-03-30,42.04,41.07,42.25,40.23,67000.0,星期一,0.0065,-0.0231
2026-03-27,39.45,41.77,42.19,39.05,86492.0,星期五,-0.024,0.0588
2026-03-26,39.7,40.42,41.73,39.5,82490.0,星期四,0.0003,0.0181
2026-03-25,39.01,39.69,39.98,38.97,42645.0,星期三,-0.0008,0.0174
2026-03-24,38.94,39.04,39.28,37.43,54426.0,星期二,0.0194,0.0026
2026-03-23,39.39,38.2,40.0,37.92,59806.0,星期一,-0.0018,-0.0302
2026-03-20,40.05,39.46,41.11,39.46,60201.0,星期五,0.0035,-0.0147
2026-03-19,39.98,39.91,40.95,39.52,56177.0,星期四,-0.0087,-0.0018
2026-03-18,40.5,40.33,41.29,39.72,89803.0,星期三,-0.0313,-0.0042
2026-03-17,42.92,41.81,43.42,41.81,47463.0,星期二,0.0009,-0.0259
2026-03-16,42.77,42.88,43.2,42.1,49838.0,星期一,0.0033,0.0026
2026-03-13,41.7,42.63,43.75,41.61,84374.0,星期五,-0.0024,0.0223
2026-03-12,42.67,41.8,42.69,41.5,57814.0,星期四,-0.0054,-0.0204
2026-03-11,42.49,42.9,43.56,42.22,75929.0,星期三,-0.0007,0.0096
2026-03-10,42.45,42.52,42.88,41.9,50627.0,星期二,0.0204,0.0016
2026-03-09,42.04,41.6,42.48,40.41,74190.0,星期一,-0.0205,-0.0105
2026-03-06,43.12,42.92,43.46,42.5,52765.0,星期五,-0.0076,-0.0046
2026-03-05,44.47,43.45,45.28,42.81,71303.0,星期四,0.0167,-0.0229
2026-03-04,43.12,43.74,44.53,43.12,47614.0,星期三,-0.02,0.0144
2026-03-03,46.43,44.0,47.64,43.88,82960.0,星期二,0.0006,-0.0523
2026-03-02,46.58,46.4,47.78,46.31,71099.0,星期一,-0.0185,-0.0039
2026-02-27,46.95,47.46,47.57,46.31,62705.0,星期五,-0.013,0.0109
2026-02-26,50.69,47.57,51.03,47.31,109972.0,星期四,0.0334,-0.0616
2026-02-25,47.99,49.05,49.8,47.99,82870.0,星期三,0.0044,0.0221
2026-02-24,48.0,47.78,50.34,47.64,94024.0,星期二,0.0219,-0.0046
2026-02-13,47.35,46.97,47.99,46.85,48968.0,星期五,-0.0096,-0.008
2026-02-12,47.63,47.81,48.58,47.01,65184.0,星期四,-0.0013,0.0038
2026-02-11,47.75,47.69,48.98,46.85,93073.0,星期三,0.0121,-0.0013
2026-02-10,51.45,47.18,51.59,47.1,160653.0,星期二,-0.0077,-0.083
2026-02-09,52.8,51.85,53.32,51.63,94375.0,星期一,0.0337,-0.018
2026-02-06,48.5,51.08,52.48,48.16,120552.0,星期五,-0.0096,0.0532
2026-02-05,49.5,48.97,50.72,48.2,49243.0,星期四,-0.0104,-0.0107
2026-02-04,49.6,50.02,50.25,48.53,62375.0,星期三,-0.002,0.0085
2026-02-03,48.15,49.7,50.46,47.82,96763.0,星期二,0.0116,0.0322
2026-02-02,48.28,47.6,49.33,46.72,97208.0,星期一,0.0004,-0.0141
2026-01-30,48.1,48.26,49.43,45.81,166268.0,星期五,-0.0642,0.0033
2026-01-29,55.52,51.4,55.52,50.9,154330.0,星期四,0.0065,-0.0742
2026-01-28,51.7,55.16,57.08,51.3,163526.0,星期三,0.0037,0.0669
2026-01-27,52.28,51.51,52.5,49.2,133025.0,星期二,-0.0141,-0.0147
2026-01-26,51.07,53.03,53.28,49.68,170386.0,星期一,0.0204,0.0384
2026-01-23,47.46,50.05,50.77,46.96,176646.0,星期五,0.0087,0.0546
2026-01-22,45.76,47.05,48.85,45.6,141979.0,星期四,-0.0076,0.0282
2026-01-21,42.5,46.11,46.28,42.29,165900.0,星期三,0.0,0.0849
2026-01-20,44.81,42.5,44.9,42.22,113606.0,星期二,0.0009,-0.0516
2026-01-19,44.43,44.77,45.3,43.9,76913.0,星期一,-0.0038,0.0077
2026-01-16,44.72,44.6,44.99,43.76,80229.0,星期五,0.0002,-0.0027
2026-01-15,43.97,44.71,46.44,43.97,99111.0,星期四,-0.0095,0.0168
2026-01-14,44.51,44.39,45.99,43.85,115496.0,星期三,-0.0043,-0.0027
2026-01-13,45.38,44.7,46.18,44.67,109199.0,星期二,0.0,-0.015
2026-01-12,48.55,45.38,48.88,45.07,178666.0,星期一,0.0165,-0.0653
2026-01-09,47.01,47.76,48.58,46.33,126706.0,星期五,-0.0042,0.016
2026-01-08,47.29,47.21,48.47,46.86,106890.0,星期四,-0.0021,-0.0017
2026-01-07,47.08,47.39,48.66,46.5,124528.0,星期三,-0.0097,0.0066
2026-01-06,46.0,47.54,49.19,45.89,172470.0,星期二,0.0166,0.0335
2026-01-05,44.18,45.25,45.57,43.61,79958.0,星期一,0.0064,0.0242
2025-12-31,44.7,43.9,44.77,43.5,65236.0,星期三,0.0004,-0.0179
2025-12-30,43.33,44.68,46.0,43.06,116593.0,星期二,-0.013,0.0312
2025-12-29,46.7,43.9,47.25,43.6,129068.0,星期一,0.006,-0.06
2025-12-26,45.5,46.42,47.6,45.17,181844.0,星期五,0.0111,0.0202
2025-12-25,44.25,45.0,45.23,43.89,79273.0,星期四,-0.0147,0.0169
2025-12-24,44.71,44.91,45.29,43.85,94336.0,星期三,-0.0067,0.0045
2025-12-23,44.73,45.01,45.98,44.36,101048.0,星期二,-0.0078,0.0063
2025-12-22,43.16,45.08,46.18,43.11,123225.0,星期一,-0.0005,0.0445
2025-12-19,42.86,43.18,43.5,42.16,66744.0,星期五,0.0037,0.0075
2025-12-18,43.22,42.7,43.97,42.66,80019.0,星期四,-0.018,-0.012
2025-12-17,42.87,44.01,44.3,42.87,109204.0,星期三,0.0144,0.0266
2025-12-16,43.96,42.26,44.23,41.78,107281.0,星期二,0.0002,-0.0387
2025-12-15,43.77,43.95,44.7,42.75,102233.0,星期一,-0.0193,0.0041
2025-12-12,48.77,44.63,48.77,42.6,250530.0,星期五,-0.0114,-0.0849
2025-12-11,45.0,49.33,49.33,45.0,253258.0,星期四,0.0029,0.0962
2025-12-10,47.55,44.87,47.6,44.65,161762.0,星期三,0.0121,-0.0564
2025-12-09,46.5,46.98,47.52,45.5,167608.0,星期二,-0.0043,0.0103
2025-12-08,46.2,46.7,46.99,45.8,124835.0,星期一,0.0011,0.0108
2025-12-05,46.97,46.15,47.32,46.0,97368.0,星期五,0.0026,-0.0175
2025-12-04,47.81,46.85,48.5,46.62,67977.0,星期四,0.0002,-0.0201
2025-12-03,49.33,47.8,49.59,47.58,80227.0,星期三,0.0123,-0.031
2025-12-02,50.04,48.73,50.36,48.65,98625.0,星期二,-0.004,-0.0262
2025-12-01,50.97,50.24,52.15,50.0,146432.0,星期一,-0.0062,-0.0143
2025-11-28,50.18,51.29,55.0,50.18,289634.0,星期五,-0.0176,0.0221
2025-11-27,45.01,51.08,52.43,45.01,330532.0,星期四,-0.0046,0.1349
2025-11-26,41.29,45.22,47.0,41.0,205187.0,星期三,0.0,0.0952
2025-11-25,41.95,41.29,42.24,41.14,76479.0,星期二,0.0143,-0.0157
