time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,24.8,23.2,24.8,23.15,36368.0,星期五,0.0012,-0.0645
2026-06-25,25.38,24.77,25.52,24.42,28551.0,星期四,0.002,-0.024
2026-06-24,25.13,25.33,25.46,24.65,26084.0,星期三,-0.0133,0.008
2026-06-23,26.4,25.47,26.4,25.3,35281.0,星期二,-0.0049,-0.0352
2026-06-22,25.4,26.53,26.53,24.88,42071.0,星期一,-0.0051,0.0445
2026-06-18,25.79,25.53,26.35,25.28,28950.0,星期四,-0.0039,-0.0101
2026-06-17,26.16,25.89,26.3,25.6,26963.0,星期三,0.0,-0.0103
2026-06-16,25.98,26.16,26.45,25.73,39539.0,星期二,-0.0133,0.0069
2026-06-15,25.93,26.33,26.59,25.7,57044.0,星期一,0.0062,0.0154
2026-06-12,25.71,25.77,26.69,24.72,86025.0,星期五,0.065,0.0023
2026-06-11,24.18,24.14,24.48,23.55,23414.0,星期四,-0.0025,-0.0017
2026-06-10,24.54,24.24,24.76,23.86,25788.0,星期三,-0.0101,-0.0122
2026-06-09,23.86,24.79,24.85,23.8,35618.0,星期二,0.0097,0.039
2026-06-08,23.6,23.63,24.45,23.13,35313.0,星期一,-0.026,0.0013
2026-06-05,23.62,24.23,24.75,23.18,31089.0,星期五,-0.0046,0.0258
2026-06-04,23.9,23.73,24.07,23.51,20199.0,星期四,-0.0079,-0.0071
2026-06-03,24.28,24.09,24.38,23.67,23113.0,星期三,-0.0033,-0.0078
2026-06-02,24.9,24.36,24.9,23.73,24268.0,星期二,0.011,-0.0217
2026-06-01,24.74,24.63,24.9,24.17,20849.0,星期一,0.0098,-0.0044
2026-05-29,25.6,24.5,25.79,24.37,28276.0,星期五,-0.0004,-0.043
2026-05-28,25.59,25.61,25.92,24.95,24919.0,星期四,-0.0004,0.0008
2026-05-27,26.28,25.6,26.56,25.48,26452.0,星期三,-0.0023,-0.0259
2026-05-26,27.0,26.34,27.0,25.93,28501.0,星期二,-0.0004,-0.0244
2026-05-25,27.1,27.01,27.38,26.55,26058.0,星期一,-0.0055,-0.0033
2026-05-22,26.88,27.25,27.36,26.51,27366.0,星期五,0.0098,0.0138
2026-05-21,28.19,26.62,28.65,26.49,42952.0,星期四,0.0082,-0.0557
2026-05-20,27.6,27.96,27.99,27.04,39024.0,星期三,-0.0065,0.013
2026-05-19,29.0,27.78,29.04,27.66,53598.0,星期二,0.0038,-0.0421
2026-05-18,28.88,28.89,29.1,28.5,33950.0,星期一,-0.0079,0.0003
2026-05-15,29.56,29.11,29.9,28.85,37781.0,星期五,0.0,-0.0152
2026-05-14,30.28,29.56,30.4,29.56,33436.0,星期四,0.0023,-0.0238
2026-05-13,29.69,30.21,30.38,29.45,39745.0,星期三,-0.008,0.0175
2026-05-12,30.84,29.93,30.84,29.76,41181.0,星期二,0.001,-0.0295
2026-05-11,30.7,30.81,31.25,30.16,63772.0,星期一,-0.001,0.0036
2026-05-08,31.42,30.73,32.42,30.63,84370.0,星期五,-0.0048,-0.022
2026-05-07,30.93,31.57,32.58,30.93,137713.0,星期四,0.0023,0.0207
2026-05-06,29.6,30.86,31.87,29.6,171193.0,星期三,0.0478,0.0426
2026-04-30,27.84,28.25,28.25,27.5,32177.0,星期四,-0.0004,0.0147
2026-04-29,26.75,27.85,27.99,26.5,41237.0,星期三,-0.0034,0.0411
2026-04-28,27.2,26.84,27.34,26.73,20550.0,星期二,0.0,-0.0132
2026-04-27,27.0,27.2,27.39,26.63,31084.0,星期一,-0.0128,0.0074
2026-04-24,26.33,27.35,27.5,26.2,41400.0,星期五,-0.0027,0.0387
2026-04-23,27.38,26.4,27.45,26.08,43072.0,星期四,-0.0047,-0.0358
2026-04-22,27.34,27.51,27.59,27.25,19091.0,星期三,-0.0044,0.0062
2026-04-21,27.55,27.46,27.58,27.23,20715.0,星期二,0.0029,-0.0033
2026-04-20,27.7,27.47,27.7,27.25,24992.0,星期一,0.0051,-0.0083
2026-04-17,27.54,27.56,27.98,27.53,23418.0,星期五,-0.004,0.0007
2026-04-16,27.18,27.65,27.76,27.18,26564.0,星期四,-0.0018,0.0173
2026-04-15,27.81,27.23,27.88,27.2,24816.0,星期三,0.0105,-0.0209
2026-04-14,27.45,27.52,27.68,27.09,28199.0,星期二,0.0088,0.0026
2026-04-13,27.39,27.21,27.77,26.9,33069.0,星期一,0.0194,-0.0066
2026-04-10,26.52,26.87,27.27,26.52,28894.0,星期五,0.0,0.0132
2026-04-09,26.75,26.52,26.96,26.4,22589.0,星期四,-0.0093,-0.0086
2026-04-08,26.78,27.0,27.0,26.45,29757.0,星期三,0.0241,0.0082
2026-04-07,26.04,26.15,26.38,25.73,26263.0,星期二,0.0,0.0042
2026-04-03,26.51,26.04,27.61,26.01,37712.0,星期五,0.0061,-0.0177
2026-04-02,26.0,26.35,26.6,25.85,31241.0,星期四,-0.0054,0.0135
2026-04-01,26.21,26.14,26.38,25.87,17336.0,星期三,0.0187,-0.0027
2026-03-31,26.08,25.73,26.56,25.73,26745.0,星期二,-0.0023,-0.0134
2026-03-30,26.6,26.14,26.63,26.0,34232.0,星期一,-0.0141,-0.0173
2026-03-27,25.1,26.98,27.24,24.98,50415.0,星期五,-0.0138,0.0749
2026-03-26,25.71,25.45,25.9,25.22,17596.0,星期四,0.0004,-0.0101
2026-03-25,25.74,25.7,25.98,25.53,20693.0,星期三,0.0098,-0.0016
2026-03-24,25.07,25.49,25.52,24.57,24819.0,星期二,0.0237,0.0168
2026-03-23,25.49,24.49,25.85,24.18,34338.0,星期一,-0.0166,-0.0392
2026-03-20,26.56,25.92,26.85,25.92,24728.0,星期五,0.0008,-0.0241
2026-03-19,27.34,26.54,27.34,26.41,23837.0,星期四,-0.0087,-0.0293
2026-03-18,27.4,27.58,27.61,27.01,19293.0,星期三,0.0022,0.0066
2026-03-17,28.23,27.34,28.25,27.33,20528.0,星期二,0.0075,-0.0315
2026-03-16,28.4,28.02,28.48,27.56,30246.0,星期一,0.0004,-0.0134
2026-03-13,28.4,28.39,29.16,28.3,28176.0,星期五,-0.0014,-0.0004
2026-03-12,28.98,28.44,28.98,28.29,24326.0,星期四,0.0,-0.0186
2026-03-11,29.25,28.98,29.54,28.86,25832.0,星期三,-0.0014,-0.0092
2026-03-10,29.14,29.29,29.46,28.94,28137.0,星期二,0.0111,0.0051
2026-03-09,28.55,28.82,28.89,27.85,36874.0,星期一,-0.0135,0.0095
2026-03-06,28.1,28.94,29.19,28.06,31172.0,星期五,-0.006,0.0299
2026-03-05,28.8,28.27,28.89,28.08,34007.0,星期四,0.0209,-0.0184
2026-03-04,27.86,28.21,28.83,27.75,37438.0,星期三,-0.0149,0.0126
2026-03-03,30.8,28.28,30.95,28.28,78924.0,星期二,0.0023,-0.0818
2026-03-02,31.2,30.73,31.61,30.0,81520.0,星期一,-0.0265,-0.0151
2026-02-27,31.49,32.05,32.12,30.91,126751.0,星期五,-0.0101,0.0178
2026-02-26,33.5,31.81,34.99,31.48,182202.0,星期四,0.0976,-0.0504
2026-02-25,29.6,30.52,30.85,29.56,43273.0,星期三,-0.001,0.0311
2026-02-24,29.22,29.63,29.71,29.22,19773.0,星期二,0.0065,0.014
2026-02-13,29.5,29.03,29.61,29.0,18700.0,星期五,-0.0017,-0.0159
2026-02-12,29.3,29.55,29.68,29.05,25314.0,星期四,0.0017,0.0085
2026-02-11,28.93,29.25,29.75,28.78,29404.0,星期三,0.001,0.0111
2026-02-10,28.97,28.9,29.3,28.82,19532.0,星期二,0.001,-0.0024
2026-02-09,28.67,28.94,29.15,28.54,24922.0,星期一,0.0149,0.0094
2026-02-06,27.88,28.25,28.57,27.77,19074.0,星期五,-0.0068,0.0133
2026-02-05,28.61,28.07,28.73,27.92,22861.0,星期四,0.0003,-0.0189
2026-02-04,28.84,28.6,28.97,28.31,21980.0,星期三,0.0017,-0.0083
2026-02-03,28.61,28.79,28.84,28.06,27382.0,星期二,0.0189,0.0063
2026-02-02,29.65,28.08,29.8,28.08,51228.0,星期一,-0.0044,-0.053
2026-01-30,30.2,29.78,30.2,28.88,70853.0,星期五,-0.016,-0.0139
2026-01-29,30.54,30.69,31.8,30.15,79861.0,星期四,0.0036,0.0049
2026-01-28,30.5,30.43,30.9,30.09,30427.0,星期三,-0.0065,-0.0023
2026-01-27,31.03,30.7,31.41,30.0,33789.0,星期二,-0.0086,-0.0106
2026-01-26,31.71,31.3,31.89,31.08,44428.0,星期一,-0.0013,-0.0129
2026-01-23,32.0,31.75,32.0,31.37,45154.0,星期五,0.0111,-0.0078
2026-01-22,31.35,31.65,31.87,31.06,42969.0,星期四,0.0048,0.0096
2026-01-21,30.51,31.2,31.29,30.47,40821.0,星期三,-0.0068,0.0226
2026-01-20,30.85,30.72,31.18,30.51,34414.0,星期二,0.0,-0.0042
2026-01-19,30.51,30.85,31.14,30.5,28319.0,星期一,-0.0081,0.0111
2026-01-16,31.07,30.76,31.35,30.68,40088.0,星期五,0.0084,-0.01
2026-01-15,30.58,30.81,31.55,30.26,54871.0,星期四,-0.0003,0.0075
2026-01-14,30.7,30.59,31.33,30.01,68621.0,星期三,-0.009,-0.0036
2026-01-13,30.75,30.98,32.24,30.42,88844.0,星期二,0.0007,0.0075
2026-01-12,31.18,30.73,31.31,30.35,53158.0,星期一,0.029,-0.0144
2026-01-09,29.58,30.3,30.64,29.58,46012.0,星期五,-0.009,0.0243
2026-01-08,29.59,29.85,30.12,29.53,39410.0,星期四,-0.0107,0.0088
2026-01-07,29.86,29.91,30.4,29.71,66578.0,星期三,0.0071,0.0017
2026-01-06,29.59,29.65,30.0,29.36,37265.0,星期二,0.0044,0.002
2026-01-05,29.02,29.46,29.6,28.79,31631.0,星期一,0.0045,0.0152
2025-12-31,28.55,28.89,29.06,28.3,31088.0,星期三,0.0014,0.0119
2025-12-30,28.51,28.51,28.82,28.2,21132.0,星期二,-0.0083,0.0
2025-12-29,29.07,28.75,29.17,28.69,26209.0,星期一,-0.0041,-0.011
2025-12-26,29.39,29.19,29.5,28.95,34750.0,星期五,0.0127,-0.0068
2025-12-25,29.0,29.02,29.12,28.6,23402.0,星期四,-0.001,0.0007
2025-12-24,29.0,29.03,29.27,28.83,25220.0,星期三,0.0,0.001
2025-12-23,28.48,29.0,29.2,28.45,28593.0,星期二,-0.009,0.0183
2025-12-22,28.54,28.74,28.98,28.44,20518.0,星期一,0.0,0.007
2025-12-19,27.96,28.54,28.78,27.96,23235.0,星期五,0.0,0.0207
2025-12-18,27.92,27.96,28.57,27.87,21307.0,星期四,-0.0152,0.0014
2025-12-17,27.7,28.35,28.4,27.31,32087.0,星期三,0.0065,0.0235
2025-12-16,28.09,27.52,28.26,27.44,26865.0,星期二,-0.0074,-0.0203
2025-12-15,28.44,28.3,28.48,27.89,32517.0,星期一,-0.0052,-0.0049
2025-12-12,28.81,28.59,29.3,28.4,34794.0,星期五,0.0073,-0.0076
2025-12-11,28.95,28.6,29.34,28.47,31106.0,星期四,0.0003,-0.0121
2025-12-10,28.71,28.94,29.08,28.3,30329.0,星期三,-0.0059,0.008
2025-12-09,28.62,28.88,29.26,28.19,39924.0,星期二,-0.0062,0.0091
2025-12-08,28.67,28.8,28.93,28.3,31600.0,星期一,0.001,0.0045
2025-12-05,28.4,28.64,28.93,27.64,34838.0,星期五,0.0035,0.0085
2025-12-04,29.02,28.3,29.09,28.21,29744.0,星期四,0.0014,-0.0248
2025-12-03,29.25,28.98,29.66,28.72,29539.0,星期三,0.0017,-0.0092
2025-12-02,30.0,29.2,30.0,29.08,40385.0,星期二,-0.006,-0.0267
2025-12-01,29.71,30.18,30.4,29.54,52438.0,星期一,0.0007,0.0158
2025-11-28,29.0,29.69,29.94,28.94,39600.0,星期五,-0.0031,0.0238
2025-11-27,29.28,29.09,29.76,29.0,41186.0,星期四,0.0076,-0.0065
2025-11-26,30.16,29.06,30.16,28.97,62911.0,星期三,-0.001,-0.0365
2025-11-25,28.71,30.19,30.58,28.38,91632.0,星期二,0.0042,0.0515
2025-11-24,29.48,28.59,29.5,28.04,92091.0,星期一,-0.0196,-0.0302
2025-11-21,31.9,30.07,32.73,30.03,156503.0,星期五,-0.0503,-0.0574
2025-11-20,31.05,33.59,35.74,31.05,209788.0,星期四,-0.0214,0.0818
2025-11-19,30.05,31.73,33.88,30.02,113481.0,星期三,-0.0076,0.0559
2025-11-18,31.48,30.28,32.64,30.06,68291.0,星期二,0.0184,-0.0381
2025-11-17,30.07,30.91,30.96,30.05,44282.0,星期一,0.0003,0.0279
2025-11-14,30.05,30.06,30.59,29.86,34489.0,星期五,-0.0115,0.0003
2025-11-13,29.29,30.4,30.98,29.28,58003.0,星期四,-0.0031,0.0379
2025-11-12,30.22,29.38,30.24,29.18,30696.0,星期三,0.0,-0.0278
2025-11-11,30.32,30.22,30.68,30.09,26119.0,星期二,0.0023,-0.0033
2025-11-10,29.68,30.25,30.9,29.68,36007.0,星期一,0.0013,0.0192
2025-11-07,30.23,29.64,30.35,29.44,40548.0,星期五,0.001,-0.0195
2025-11-06,30.32,30.2,30.35,30.12,22274.0,星期四,0.0043,-0.004
2025-11-05,30.0,30.19,30.39,29.72,28652.0,星期三,-0.0151,0.0063
2025-11-04,30.99,30.46,31.29,30.33,29217.0,星期二,0.0003,-0.0171
2025-11-03,31.5,30.98,31.5,30.48,44646.0,星期一,-0.0094,-0.0165
2025-10-31,31.62,31.8,32.1,31.3,44526.0,星期五,-0.0078,0.0057
2025-10-30,31.3,31.87,32.48,31.03,75888.0,星期四,-0.0022,0.0182
2025-10-29,30.55,31.37,31.64,30.3,53312.0,星期三,-0.0084,0.0268
2025-10-28,31.2,30.81,31.58,30.71,47061.0,星期二,-0.017,-0.0125
2025-10-27,31.48,31.74,32.18,31.32,50546.0,星期一,-0.0054,0.0083
2025-10-24,30.95,31.65,32.4,30.75,50939.0,星期五,0.0026,0.0226
2025-10-23,31.3,30.87,31.31,30.64,31158.0,星期四,-0.0117,-0.0137
2025-10-22,30.68,31.67,32.0,30.0,66029.0,星期三,-0.0081,0.0323
2025-10-21,30.61,30.93,31.0,30.5,29198.0,星期二,0.001,0.0105
2025-10-20,31.0,30.58,31.13,30.1,38297.0,星期一,0.0161,-0.0135
2025-10-17,31.35,30.51,32.22,30.47,47851.0,星期五,-0.0067,-0.0268
2025-10-16,32.87,31.56,32.98,31.55,67532.0,星期四,-0.0117,-0.0399
2025-10-15,33.88,33.26,33.88,32.73,73669.0,星期三,-0.0128,-0.0183
2025-10-14,35.76,34.32,35.82,33.58,133256.0,星期二,0.0006,-0.0403
2025-10-13,32.18,35.74,35.74,32.01,176995.0,星期一,-0.0405,0.1106
2025-10-10,34.12,33.54,35.25,33.33,92490.0,星期五,-0.0026,-0.017
2025-10-09,33.5,34.21,34.3,33.0,108065.0,星期四,0.0207,0.0212
2025-09-30,32.8,32.82,33.48,32.46,47621.0,星期二,0.0012,0.0006
2025-09-29,32.28,32.76,32.93,32.01,49136.0,星期一,0.0016,0.0149
2025-09-26,32.83,32.23,33.83,32.14,59747.0,星期五,-0.012,-0.0183
2025-09-25,34.13,33.23,34.25,33.22,73104.0,星期四,-0.002,-0.0264
2025-09-24,33.0,34.2,34.25,32.78,100953.0,星期三,0.0021,0.0364
2025-09-23,33.1,32.93,33.43,32.04,62409.0,星期二,-0.0087,-0.0051
2025-09-22,33.5,33.39,33.77,32.96,48061.0,星期一,0.0027,-0.0033
2025-09-19,33.9,33.41,34.3,33.38,67887.0,星期五,-0.0088,-0.0145
2025-09-18,34.98,34.2,35.72,33.8,115671.0,星期四,0.004,-0.0223
2025-09-17,36.06,34.84,36.06,34.4,109408.0,星期三,0.025,-0.0338
2025-09-16,36.6,35.18,36.98,33.9,208824.0,星期二,-0.0161,-0.0388
2025-09-15,36.7,37.2,38.5,36.0,193446.0,星期一,-0.0049,0.0136
2025-09-12,35.5,36.88,37.0,35.0,191319.0,星期五,-0.0025,0.0389
2025-09-11,35.71,35.59,36.36,34.8,173402.0,星期四,-0.0047,-0.0034
2025-09-10,33.62,35.88,38.15,33.33,232199.0,星期三,-0.0181,0.0672
2025-09-09,32.7,34.24,35.4,32.52,128988.0,星期二,-0.0148,0.0471
2025-09-08,32.43,33.19,33.23,31.9,73044.0,星期一,0.0025,0.0234
2025-09-05,31.0,32.35,32.42,30.71,79510.0,星期五,0.0108,0.0435
2025-09-04,31.6,30.67,32.2,30.08,66070.0,星期四,0.0048,-0.0294
2025-09-03,32.98,31.45,32.98,31.4,66183.0,星期三,0.0117,-0.0464
2025-09-02,34.16,32.6,34.44,32.2,97227.0,星期二,0.0,-0.0457
2025-09-01,34.5,34.16,35.32,33.6,97501.0,星期一,-0.0129,-0.0099
2025-08-29,34.58,34.95,36.24,34.58,120033.0,星期五,-0.0165,0.0107
2025-08-28,35.0,35.16,36.64,34.1,141546.0,星期四,-0.0116,0.0046
2025-08-27,35.2,35.41,36.5,34.65,174076.0,星期三,0.0049,0.006
2025-08-26,36.29,35.03,36.29,34.5,152685.0,星期二,-0.0098,-0.0347
2025-08-25,35.18,36.65,37.41,35.18,263354.0,星期一,0.006,0.0418
2025-08-22,34.48,34.97,36.84,34.1,211659.0,星期五,0.0,0.0142
2025-08-21,35.03,34.48,36.3,34.38,155990.0,星期四,-0.0127,-0.0157
2025-08-20,36.04,35.48,38.5,35.07,285131.0,星期三,-0.0225,-0.0155
2025-08-19,33.7,36.87,39.61,33.14,388466.0,星期二,0.0209,0.0941
2025-08-18,31.5,33.01,33.01,31.31,144566.0,星期一,-0.0019,0.0479
2025-08-15,30.69,31.56,31.66,30.6,72494.0,星期五,-0.0042,0.0283
2025-08-14,31.64,30.82,31.94,30.79,92275.0,星期四,-0.0119,-0.0259
2025-08-13,31.8,32.02,32.19,31.65,90773.0,星期三,-0.005,0.0069
2025-08-12,32.38,31.96,32.72,31.56,133924.0,星期二,-0.0346,-0.013
2025-08-11,33.68,33.54,34.6,32.71,162783.0,星期一,0.0363,-0.0042
2025-08-08,31.72,32.5,33.64,31.7,180720.0,星期五,-0.0294,0.0246
2025-08-07,30.55,32.68,34.8,29.57,242957.0,星期四,0.0083,0.0697
2025-08-06,30.2,30.3,30.58,29.7,89299.0,星期三,-0.0013,0.0033
2025-08-05,31.08,30.24,31.2,30.03,82610.0,星期二,0.0075,-0.027
2025-08-04,30.42,30.85,30.95,30.06,87295.0,星期一,-0.0181,0.0141
2025-08-01,31.18,30.98,31.87,30.89,122400.0,星期五,0.0173,-0.0064
2025-07-31,30.95,30.65,31.28,30.53,82111.0,星期四,-0.0099,-0.0097
2025-07-30,32.3,31.26,32.5,30.7,118112.0,星期三,0.0176,-0.0322
2025-07-29,32.62,31.74,33.15,31.4,161129.0,星期二,-0.0172,-0.027
2025-07-28,32.24,33.19,33.4,32.24,143778.0,星期一,-0.0239,0.0295
2025-07-25,34.09,33.03,34.31,32.58,229047.0,星期五,-0.0313,-0.0311
2025-07-24,33.01,35.19,37.0,32.68,319685.0,星期四,-0.0429,0.066
2025-07-23,32.14,34.49,35.0,31.1,290864.0,星期三,-0.0062,0.0731
2025-07-22,32.96,32.34,33.45,32.23,244655.0,星期二,-0.0466,-0.0188
2025-07-21,33.05,34.57,36.38,31.66,383278.0,星期一,-0.0178,0.046
2025-07-18,28.28,33.65,33.65,27.95,291035.0,星期五,0.0086,0.1899
2025-07-17,27.3,28.04,28.73,27.05,152436.0,星期四,-0.025,0.0271
2025-07-16,28.51,28.0,29.54,27.91,199175.0,星期三,-0.0433,-0.0179
2025-07-15,28.88,29.8,31.55,28.3,272083.0,星期二,0.007,0.0319
2025-07-14,29.24,28.68,30.97,28.28,328769.0,星期一,0.0097,-0.0192
2025-07-11,24.13,28.96,28.96,24.1,225261.0,星期五,0.0,0.2002
2025-07-10,24.36,24.13,24.36,24.05,30474.0,星期四,-0.0012,-0.0094
2025-07-09,24.8,24.39,25.08,24.29,37847.0,星期三,-0.0024,-0.0165
2025-07-08,24.39,24.86,24.95,24.25,48240.0,星期二,-0.0016,0.0193
2025-07-07,24.18,24.43,24.43,24.11,27007.0,星期一,-0.0037,0.0103
2025-07-04,24.7,24.27,24.71,24.11,44705.0,星期五,-0.0032,-0.0174
2025-07-03,24.12,24.78,24.95,24.01,74967.0,星期四,-0.0082,0.0274
2025-07-02,24.21,24.32,24.77,24.06,36000.0,星期三,-0.0045,0.0045
2025-07-01,24.56,24.32,24.56,24.04,48316.0,星期二,0.0,-0.0098
2025-06-30,23.79,24.56,24.64,23.59,71499.0,星期一,0.0,0.0324
2025-06-27,23.53,23.79,24.33,23.53,53944.0,星期五,-0.0142,0.011
2025-06-26,23.75,23.87,24.5,23.62,62955.0,星期四,-0.0004,0.0051
2025-06-25,23.7,23.76,24.01,23.27,47534.0,星期三,-0.0042,0.0025
2025-06-24,22.92,23.8,24.1,22.66,53373.0,星期二,-0.0004,0.0384
2025-06-23,22.31,22.93,22.99,22.24,25901.0,星期一,-0.0106,0.0278
2025-06-20,22.55,22.55,23.19,22.53,30205.0,星期五,-0.0004,0.0
2025-06-19,23.25,22.56,23.55,22.51,49044.0,星期四,-0.0106,-0.0297
2025-06-18,23.36,23.5,23.69,23.08,40879.0,星期三,-0.0114,0.006
2025-06-17,23.83,23.63,24.5,23.4,55651.0,星期二,0.0055,-0.0084
2025-06-16,23.3,23.7,24.12,22.91,54417.0,星期一,-0.0239,0.0172
2025-06-13,24.11,23.87,24.83,23.74,87634.0,星期五,-0.0094,-0.01
2025-06-12,24.5,24.34,24.5,23.78,109822.0,星期四,-0.0196,-0.0065
2025-06-11,23.93,24.99,26.0,23.76,175876.0,星期三,-0.0071,0.0443
2025-06-10,23.39,24.1,25.24,23.1,120895.0,星期二,-0.0122,0.0304
2025-06-09,22.77,23.68,23.73,22.74,99965.0,星期一,0.0129,0.04
2025-06-06,22.66,22.48,22.67,22.28,33203.0,星期五,-0.0004,-0.0079
2025-06-05,22.55,22.67,22.9,22.53,35434.0,星期四,-0.0044,0.0053
2025-06-04,22.9,22.65,23.0,22.55,41209.0,星期三,0.0115,-0.0109
2025-06-03,22.0,22.64,22.84,21.7,41920.0,星期二,-0.0148,0.0291
2025-05-30,23.49,22.33,23.5,22.3,69235.0,星期五,-0.0072,-0.0494
2025-05-29,23.89,23.66,23.96,23.11,83593.0,星期四,0.0008,-0.0096
2025-05-28,22.71,23.87,23.89,22.57,126979.0,星期三,-0.0026,0.0511
2025-05-27,22.98,22.77,22.99,22.46,58165.0,星期二,-0.0009,-0.0091
2025-05-26,22.58,23.0,23.1,22.22,71460.0,星期一,0.0009,0.0186
2025-05-23,22.77,22.56,23.18,22.45,93388.0,星期五,0.0013,-0.0092
2025-05-22,23.32,22.74,23.51,22.61,117043.0,星期四,-0.0181,-0.0249
2025-05-21,24.63,23.75,24.98,23.6,172623.0,星期三,-0.0479,-0.0357
2025-05-20,24.66,25.87,26.16,23.5,288033.0,星期二,0.0033,0.0491
2025-05-19,22.11,24.58,24.58,21.4,215655.0,星期一,0.0796,0.1117
2025-05-16,20.63,20.48,20.81,20.42,10917.0,星期五,0.0088,-0.0073
2025-05-15,20.66,20.45,20.78,20.41,11146.0,星期四,0.001,-0.0102
2025-05-14,20.79,20.64,21.0,20.59,13173.0,星期三,0.0005,-0.0072
2025-05-13,21.15,20.78,21.22,20.75,11186.0,星期二,0.0105,-0.0175
2025-05-12,21.05,20.93,21.05,20.73,12819.0,星期一,0.0169,-0.0057
2025-05-09,20.92,20.7,21.08,20.66,12697.0,星期五,0.0,-0.0105
2025-05-08,20.62,20.92,21.15,20.53,14995.0,星期四,-0.0024,0.0145
2025-05-07,21.0,20.67,21.49,20.53,22552.0,星期三,0.015,-0.0157
2025-05-06,20.29,20.69,20.72,20.25,19035.0,星期二,0.01,0.0197
2025-04-30,20.0,20.09,20.29,20.0,9555.0,星期三,0.0,0.0045
2025-04-29,19.75,20.0,20.24,19.71,11811.0,星期二,-0.003,0.0127
2025-04-28,19.99,19.81,20.15,19.65,11414.0,星期一,-0.0005,-0.009
2025-04-25,19.95,20.0,20.08,19.8,12561.0,星期五,0.0,0.0025
2025-04-24,20.23,19.95,20.37,19.79,15610.0,星期四,0.0025,-0.0138
2025-04-23,20.03,20.18,20.4,19.94,17316.0,星期三,0.005,0.0075
