time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,23.63,23.9,25.0,21.78,61135.0,星期五,0.0004,0.0114
2026-06-25,23.99,23.62,26.88,22.7,75423.0,星期四,-0.0004,-0.0154
2026-06-24,22.22,24.0,24.36,22.06,72370.0,星期三,-0.0004,0.0801
2026-06-23,21.57,22.23,22.79,21.56,52578.0,星期二,0.0223,0.0306
2026-06-22,20.5,21.1,21.74,19.81,73764.0,星期一,-0.0478,0.0293
2026-06-18,19.98,21.53,22.0,19.7,70262.0,星期四,0.0071,0.0776
2026-06-17,18.5,19.84,20.1,18.5,51328.0,星期三,-0.0086,0.0724
2026-06-16,18.02,18.66,19.2,18.02,41730.0,星期二,-0.0088,0.0355
2026-06-15,17.99,18.18,18.65,17.58,35994.0,星期一,0.0,0.0106
2026-06-12,19.78,17.99,19.9,17.35,90242.0,星期五,0.0238,-0.0905
2026-06-11,18.11,19.32,19.48,18.11,52977.0,星期四,-0.0232,0.0668
2026-06-10,18.0,18.54,18.9,17.8,69336.0,星期三,-0.0196,0.03
2026-06-09,17.2,18.36,18.65,17.17,80831.0,星期二,0.0047,0.0674
2026-06-08,16.1,17.12,17.63,16.1,75967.0,星期一,-0.0411,0.0634
2026-06-05,16.44,16.79,17.33,15.6,113025.0,星期五,-0.0358,0.0213
2026-06-04,17.0,17.05,17.4,16.03,152398.0,星期四,0.1724,0.0029
2026-06-03,14.63,14.5,15.0,14.2,25682.0,星期三,0.0,-0.0089
2026-06-02,14.83,14.63,15.2,14.6,25413.0,星期二,-0.0218,-0.0135
2026-06-01,14.7,15.16,15.33,14.14,29515.0,星期一,0.0208,0.0313
2026-05-29,14.75,14.4,15.05,14.2,23699.0,星期五,-0.002,-0.0237
2026-05-28,15.01,14.78,15.19,14.23,29499.0,星期四,-0.0092,-0.0153
2026-05-27,15.64,15.15,15.64,15.0,22173.0,星期三,0.0176,-0.0313
2026-05-26,15.6,15.37,15.62,14.97,29687.0,星期二,0.0359,-0.0147
2026-05-25,15.19,15.06,15.63,14.74,32631.0,星期一,-0.0007,-0.0086
2026-05-22,14.69,15.2,15.52,14.21,39603.0,星期五,-0.0088,0.0347
2026-05-21,16.07,14.82,16.21,14.0,67804.0,星期四,-0.0099,-0.0778
2026-05-20,16.29,16.23,16.45,16.03,25181.0,星期三,-0.0043,-0.0037
2026-05-19,16.42,16.36,16.78,16.01,32742.0,星期二,-0.0108,-0.0037
2026-05-18,16.0,16.6,17.1,16.0,43718.0,星期一,-0.022,0.0375
2026-05-15,16.32,16.36,16.82,15.88,31221.0,星期五,-0.0018,0.0025
2026-05-14,16.8,16.35,17.03,16.18,35019.0,星期四,0.0,-0.0268
2026-05-13,16.68,16.8,17.37,16.4,43860.0,星期三,0.0,0.0072
2026-05-12,16.77,16.68,16.99,16.1,68555.0,星期二,-0.0153,-0.0054
2026-05-11,15.5,17.03,17.5,15.1,132788.0,星期一,0.0065,0.0987
2026-05-08,13.0,15.4,15.6,12.72,128593.0,星期五,-0.0054,0.1846
2026-05-07,12.94,13.07,13.53,12.57,75365.0,星期四,-0.0145,0.01
2026-05-06,13.1,13.13,13.77,13.0,80418.0,星期三,-0.0303,0.0023
2026-04-29,13.83,13.51,14.04,13.5,63904.0,星期三,-0.0058,-0.0231
2026-04-28,13.4,13.91,14.04,13.4,39514.0,星期二,-0.0205,0.0381
2026-04-27,13.4,13.68,13.78,13.21,38353.0,星期一,-0.0233,0.0209
2026-04-24,13.32,13.72,13.75,13.2,41569.0,星期五,-0.0097,0.03
2026-04-23,13.26,13.45,13.98,13.26,34865.0,星期四,-0.0127,0.0143
2026-04-22,13.46,13.43,13.97,13.21,61114.0,星期三,-0.0037,-0.0022
2026-04-21,13.93,13.51,13.94,13.49,48390.0,星期二,0.0,-0.0302
2026-04-20,13.48,13.93,14.26,13.48,60189.0,星期一,-0.0052,0.0334
2026-04-17,14.1,13.55,14.1,13.41,77582.0,星期五,-0.0028,-0.039
2026-04-16,14.18,14.14,14.29,13.9,47229.0,星期四,0.0,-0.0028
2026-04-15,14.52,14.18,14.6,13.8,52814.0,星期三,0.0269,-0.0234
2026-04-14,14.53,14.14,14.6,13.76,60915.0,星期二,0.0062,-0.0268
2026-04-13,14.39,14.44,14.82,14.23,70836.0,星期一,-0.0251,0.0035
2026-04-10,14.58,14.76,15.09,14.43,75199.0,星期五,0.0007,0.0123
2026-04-09,14.42,14.57,14.71,14.03,46712.0,星期四,-0.0007,0.0104
2026-04-08,13.6,14.43,14.43,13.5,68382.0,星期三,0.028,0.061
2026-04-07,13.19,13.23,13.5,12.89,39093.0,星期二,0.0,0.003
2026-04-03,13.73,13.19,13.9,12.84,56307.0,星期五,0.0007,-0.0393
2026-04-02,14.32,13.72,14.57,13.68,49822.0,星期四,-0.0124,-0.0419
2026-04-01,14.8,14.5,15.06,14.22,58341.0,星期三,0.0214,-0.0203
2026-03-31,14.6,14.49,14.88,14.34,58105.0,星期二,-0.0082,-0.0075
2026-03-30,14.8,14.72,15.18,14.31,73648.0,星期一,-0.0282,-0.0054
2026-03-27,14.54,15.23,15.49,14.54,57062.0,星期五,-0.0136,0.0475
2026-03-26,14.88,14.74,14.91,14.47,52656.0,星期四,0.0061,-0.0094
2026-03-25,14.27,14.79,14.86,14.27,71486.0,星期三,0.0259,0.0364
2026-03-24,13.27,13.91,13.91,13.13,62826.0,星期二,0.0263,0.0482
2026-03-23,13.6,12.93,13.7,12.83,94497.0,星期一,-0.0423,-0.0493
2026-03-20,14.0,14.2,14.71,13.36,126584.0,星期五,-0.0444,0.0143
2026-03-19,14.71,14.65,14.98,14.61,28502.0,星期四,-0.0174,-0.0041
2026-03-18,14.68,14.97,15.1,14.53,41072.0,星期三,-0.0054,0.0198
2026-03-17,14.51,14.76,15.04,14.49,37269.0,星期二,0.0021,0.0172
2026-03-16,14.68,14.48,14.75,14.4,27423.0,星期一,-0.0094,-0.0136
2026-03-13,14.26,14.82,14.87,14.22,47680.0,星期五,0.0014,0.0393
2026-03-12,14.67,14.24,14.8,14.13,70190.0,星期四,-0.0154,-0.0293
2026-03-11,15.16,14.9,15.59,14.88,48828.0,星期三,-0.0033,-0.0172
2026-03-10,15.11,15.21,15.29,14.71,47569.0,星期二,0.0073,0.0066
2026-03-09,14.6,15.0,15.17,14.42,37560.0,星期一,-0.0331,0.0274
2026-03-06,14.58,15.1,15.18,14.42,39080.0,星期五,-0.0115,0.0357
2026-03-05,15.07,14.75,15.26,14.4,40410.0,星期四,0.0169,-0.0212
2026-03-04,14.41,14.82,14.82,14.18,42935.0,星期三,0.0,0.0285
2026-03-03,14.81,14.41,15.38,14.01,72298.0,星期二,-0.0007,-0.027
2026-03-02,14.56,14.82,15.27,14.5,71655.0,星期一,-0.0228,0.0179
2026-02-27,13.9,14.9,15.02,13.85,77238.0,星期五,-0.0135,0.0719
2026-02-26,14.02,14.09,14.38,13.76,68383.0,星期四,0.0167,0.005
2026-02-25,13.2,13.79,13.95,13.2,53088.0,星期三,-0.0045,0.0447
2026-02-24,12.89,13.26,13.5,12.77,55372.0,星期二,0.0039,0.0287
2026-02-13,12.86,12.84,13.04,12.63,29072.0,星期五,0.0008,-0.0016
2026-02-12,13.29,12.85,13.42,12.8,36010.0,星期四,0.0076,-0.0331
2026-02-11,13.33,13.19,13.65,13.07,41998.0,星期三,-0.0089,-0.0105
2026-02-10,13.34,13.45,13.62,13.05,43426.0,星期二,-0.0015,0.0082
2026-02-09,12.98,13.36,13.8,12.76,77373.0,星期一,0.0172,0.0293
2026-02-06,12.6,12.76,13.1,12.6,49049.0,星期五,-0.0047,0.0127
2026-02-05,12.66,12.66,13.05,12.66,38851.0,星期四,-0.0224,0.0
2026-02-04,12.99,12.95,13.28,12.41,70602.0,星期三,0.0228,-0.0031
2026-02-03,13.46,12.7,13.46,12.01,107762.0,星期二,0.0426,-0.0565
2026-02-02,11.4,12.91,13.2,11.38,148703.0,星期一,0.0151,0.1325
2026-01-30,10.35,11.23,11.36,10.11,42343.0,星期五,0.0167,0.085
2026-01-29,10.4,10.18,10.61,10.07,22137.0,星期四,0.0,-0.0212
2026-01-28,11.06,10.4,11.39,10.4,46553.0,星期三,0.0027,-0.0597
2026-01-27,10.7,11.03,11.1,10.32,44493.0,星期二,0.0066,0.0308
2026-01-26,11.88,10.63,11.91,10.53,73667.0,星期一,-0.0025,-0.1052
2026-01-23,12.0,11.91,12.15,11.82,23308.0,星期五,-0.0008,-0.0075
2026-01-22,12.38,12.01,12.59,11.9,20090.0,星期四,0.0,-0.0299
2026-01-21,11.9,12.38,12.5,11.82,20105.0,星期三,-0.0092,0.0403
2026-01-20,12.23,12.01,12.23,11.91,18964.0,星期二,0.0008,-0.018
2026-01-19,12.78,12.22,12.8,12.2,27024.0,星期一,0.02,-0.0438
2026-01-16,12.53,12.53,12.85,12.13,27826.0,星期五,0.0121,0.0
2026-01-15,11.99,12.38,12.66,11.85,41316.0,星期四,0.0101,0.0325
2026-01-14,11.8,11.87,12.57,11.61,34527.0,星期三,0.0094,0.0059
2026-01-13,11.83,11.69,11.97,11.61,23988.0,星期二,0.0,-0.0118
2026-01-12,11.9,11.83,11.99,11.32,24202.0,星期一,0.0059,-0.0059
2026-01-09,12.33,11.83,12.94,11.7,54656.0,星期五,0.0,-0.0406
2026-01-08,12.47,12.33,12.65,12.26,23758.0,星期四,-0.0008,-0.0112
2026-01-07,13.26,12.48,13.5,12.35,56188.0,星期三,0.0,-0.0588
2026-01-06,12.59,13.26,13.3,12.4,48373.0,星期二,-0.0008,0.0532
2026-01-05,12.3,12.6,12.98,12.2,44533.0,星期一,0.0276,0.0244
2025-12-31,11.97,11.97,12.29,11.78,37146.0,星期三,0.0,0.0
2025-12-30,10.89,11.97,12.25,10.89,63017.0,星期二,-0.0118,0.0992
2025-12-29,9.96,11.02,11.52,9.86,50927.0,星期一,0.0,0.1064
2025-12-26,10.05,9.96,10.3,9.96,15829.0,星期五,0.001,-0.009
2025-12-25,9.71,10.04,10.13,9.68,18145.0,星期四,-0.0082,0.034
2025-12-24,9.84,9.79,9.91,9.66,11373.0,星期三,0.001,-0.0051
2025-12-23,9.94,9.83,10.05,9.79,13042.0,星期二,-0.008,-0.0111
2025-12-22,10.09,10.02,10.25,9.91,19517.0,星期一,0.0,-0.0069
2025-12-19,10.2,10.09,10.32,10.0,8109.0,星期五,0.0089,-0.0108
2025-12-18,9.89,10.11,10.28,9.73,17446.0,星期四,-0.006,0.0222
2025-12-17,9.69,9.95,10.0,9.22,29694.0,星期三,-0.001,0.0268
2025-12-16,10.25,9.7,10.25,9.67,20594.0,星期二,0.0069,-0.0537
2025-12-15,10.09,10.18,10.32,9.83,16208.0,星期一,-0.0137,0.0089
2025-12-12,10.27,10.23,10.44,9.9,20143.0,星期五,-0.0048,-0.0039
2025-12-11,10.82,10.32,10.92,10.15,27819.0,星期四,0.0,-0.0462
2025-12-10,11.33,10.82,11.33,10.81,22956.0,星期三,0.0062,-0.045
2025-12-09,10.77,11.26,11.88,10.67,43380.0,星期二,0.0009,0.0455
2025-12-08,10.85,10.76,11.1,10.64,19648.0,星期一,0.0028,-0.0083
2025-12-05,11.11,10.82,11.21,10.62,30391.0,星期五,0.0027,-0.0261
2025-12-04,11.48,11.08,11.49,11.03,14457.0,星期四,-0.0043,-0.0348
2025-12-03,11.8,11.53,11.92,11.42,15281.0,星期三,0.0,-0.0229
2025-12-02,12.11,11.8,12.16,11.77,17236.0,星期二,0.0041,-0.0256
2025-12-01,12.24,12.06,12.24,11.81,16699.0,星期一,0.026,-0.0147
2025-11-28,11.5,11.93,12.05,11.39,22729.0,星期五,-0.0026,0.0374
2025-11-27,11.82,11.53,11.82,11.34,24060.0,星期四,0.0,-0.0245
2025-11-26,12.1,11.82,12.1,11.74,10696.0,星期三,0.0151,-0.0231
2025-11-25,11.66,11.92,12.08,11.66,14651.0,星期二,0.0026,0.0223
2025-11-24,11.86,11.63,12.15,11.35,32007.0,星期一,0.0008,-0.0194
2025-11-21,12.4,11.85,12.4,11.62,19841.0,星期五,0.0081,-0.0444
2025-11-20,12.9,12.3,12.98,12.3,25278.0,星期四,-0.0031,-0.0465
2025-11-19,13.18,12.94,13.28,12.93,12432.0,星期三,0.0,-0.0182
2025-11-18,13.01,13.18,13.49,12.88,24971.0,星期二,-0.0099,0.0131
2025-11-17,13.15,13.14,13.37,12.95,17657.0,星期一,-0.0038,-0.0008
2025-11-14,13.14,13.2,13.38,13.04,14491.0,星期五,-0.0008,0.0046
2025-11-13,13.24,13.15,13.68,13.1,14179.0,星期四,-0.0068,-0.0068
2025-11-12,13.45,13.33,13.6,13.11,23850.0,星期三,-0.0088,-0.0089
2025-11-11,13.29,13.57,13.72,13.25,25322.0,星期二,0.0061,0.0211
2025-11-10,13.16,13.21,13.49,13.16,15166.0,星期一,-0.0045,0.0038
2025-11-07,13.32,13.22,13.44,13.15,16559.0,星期五,0.0129,-0.0075
2025-11-06,13.53,13.15,13.89,12.92,34605.0,星期四,0.0089,-0.0281
2025-11-05,12.96,13.41,13.6,12.96,17663.0,星期三,-0.0226,0.0347
2025-11-04,13.08,13.26,14.2,12.91,38316.0,星期二,0.014,0.0138
2025-11-03,13.22,12.9,13.27,12.83,19855.0,星期一,0.0092,-0.0242
2025-10-31,12.4,13.1,13.3,12.4,35579.0,星期五,-0.0135,0.0565
2025-10-30,13.03,12.57,13.03,12.38,53723.0,星期四,0.0,-0.0353
2025-10-29,12.8,13.03,13.14,12.8,16448.0,星期三,-0.0199,0.018
2025-10-28,13.61,13.06,13.79,12.95,29494.0,星期二,0.0007,-0.0404
2025-10-27,12.92,13.6,13.69,12.82,39327.0,星期一,-0.0008,0.0526
2025-10-24,13.23,12.93,13.4,12.76,41248.0,星期五,0.0023,-0.0227
2025-10-23,13.8,13.2,13.85,13.16,34749.0,星期四,-0.0086,-0.0435
2025-10-22,13.94,13.92,14.4,13.67,35060.0,星期三,0.0,-0.0014
2025-10-21,14.03,13.94,14.03,13.69,17856.0,星期二,0.0,-0.0064
2025-10-20,14.1,14.03,14.35,13.68,21506.0,星期一,0.0079,-0.005
2025-10-17,14.55,13.99,14.55,13.91,18043.0,星期五,0.0154,-0.0385
2025-10-16,14.78,14.33,15.15,14.26,29930.0,星期四,0.0,-0.0304
2025-10-15,15.0,14.78,15.39,14.63,34610.0,星期三,-0.0086,-0.0147
2025-10-14,15.0,15.13,15.49,14.88,55564.0,星期二,0.0197,0.0087
2025-10-13,13.3,14.71,14.95,13.25,66702.0,星期一,-0.0313,0.106
2025-10-10,13.8,13.73,13.95,13.63,24105.0,星期五,0.0015,-0.0051
2025-10-09,13.49,13.78,13.82,12.95,32043.0,星期四,0.0007,0.0215
2025-09-30,13.63,13.48,13.83,13.2,42688.0,星期二,0.0029,-0.011
2025-09-29,13.13,13.59,13.8,13.12,44881.0,星期一,0.0008,0.035
2025-09-26,13.0,13.12,13.3,12.86,27270.0,星期五,-0.0046,0.0092
2025-09-25,13.24,13.06,13.37,13.04,20892.0,星期四,0.0,-0.0136
2025-09-24,12.42,13.24,13.3,12.4,36609.0,星期三,-0.0158,0.066
2025-09-23,12.19,12.62,12.65,12.02,45600.0,星期二,0.0074,0.0353
2025-09-22,12.5,12.1,12.7,11.99,63762.0,星期一,-0.028,-0.032
2025-09-19,13.46,12.86,13.5,12.4,67772.0,星期五,0.0,-0.0446
2025-09-18,13.34,13.46,13.92,13.25,51676.0,星期四,0.0008,0.009
2025-09-17,13.55,13.33,13.55,13.06,49818.0,星期三,0.0,-0.0162
2025-09-16,13.65,13.55,14.05,13.45,43052.0,星期二,-0.0187,-0.0073
2025-09-15,14.13,13.91,14.4,13.38,88448.0,星期一,0.005,-0.0156
2025-09-12,13.24,14.06,14.18,12.98,83129.0,星期五,0.0138,0.0619
2025-09-11,13.15,13.06,14.22,12.99,122893.0,星期四,-0.0223,-0.0068
2025-09-10,12.37,13.45,13.56,12.37,90833.0,星期三,0.0057,0.0873
2025-09-09,12.16,12.3,12.44,11.97,79294.0,星期二,0.0008,0.0115
2025-09-08,11.43,12.15,12.28,10.94,101222.0,星期一,0.027,0.063
2025-09-05,10.43,11.13,11.37,10.43,64301.0,星期五,0.0107,0.0671
2025-09-04,10.98,10.32,11.15,10.15,74554.0,星期四,0.0018,-0.0601
2025-09-03,11.1,10.96,11.38,10.8,63132.0,星期三,0.0,-0.0126
2025-09-02,11.2,11.1,11.5,10.76,82963.0,星期二,0.0266,-0.0089
2025-09-01,9.78,10.91,11.36,9.78,103079.0,星期一,-0.0041,0.1155
2025-08-29,9.59,9.82,9.9,9.24,69869.0,星期五,0.0202,0.024
2025-08-28,9.15,9.4,9.4,9.05,62063.0,星期四,0.011,0.0273
2025-08-27,9.64,9.05,9.68,8.96,57368.0,星期三,0.0,-0.0612
2025-08-26,9.73,9.64,9.93,9.35,46376.0,星期二,0.0052,-0.0092
2025-08-25,9.2,9.68,9.88,9.2,62092.0,星期一,0.0011,0.0522
2025-08-22,9.67,9.19,9.67,9.05,61639.0,星期五,0.0222,-0.0496
2025-08-21,8.69,9.46,9.56,8.6,76574.0,星期四,-0.0046,0.0886
2025-08-20,8.93,8.73,8.99,8.61,35027.0,星期三,0.0171,-0.0224
2025-08-19,8.63,8.78,9.0,8.62,44202.0,星期二,0.0035,0.0174
2025-08-18,8.26,8.6,8.74,8.25,50726.0,星期一,0.0085,0.0412
2025-08-15,7.9,8.19,8.24,7.9,24040.0,星期五,-0.0186,0.0367
2025-08-14,8.26,8.05,8.38,7.99,38953.0,星期四,-0.0072,-0.0254
2025-08-13,8.3,8.32,8.39,8.16,31443.0,星期三,-0.0048,0.0024
2025-08-12,8.5,8.34,8.55,8.22,40366.0,星期二,0.0,-0.0188
2025-08-11,7.84,8.5,8.7,7.84,77880.0,星期一,0.0026,0.0842
2025-08-08,7.7,7.82,7.85,7.62,23825.0,星期五,-0.0039,0.0156
2025-08-07,7.78,7.73,8.06,7.73,40675.0,星期四,0.0039,-0.0064
2025-08-06,7.53,7.75,7.82,7.42,42120.0,星期三,-0.0013,0.0292
2025-08-05,7.38,7.54,7.61,7.33,28043.0,星期二,-0.0014,0.0217
2025-08-04,7.25,7.39,7.4,7.03,36028.0,星期一,0.0014,0.0193
2025-08-01,7.21,7.24,7.43,7.21,37896.0,星期五,-0.0096,0.0042
2025-07-31,7.33,7.28,7.35,7.13,39835.0,星期四,-0.0135,-0.0068
2025-07-30,7.69,7.43,7.77,7.41,50368.0,星期三,0.0281,-0.0338
2025-07-29,7.78,7.48,7.78,7.41,47411.0,星期二,0.0,-0.0386
2025-07-28,7.34,7.78,7.79,7.3,51559.0,星期一,0.0,0.0599
2025-07-25,7.46,7.34,7.47,7.27,33610.0,星期五,-0.0013,-0.0161
2025-07-24,7.55,7.47,7.69,7.44,26015.0,星期四,-0.0013,-0.0106
2025-07-23,7.55,7.56,7.83,7.53,27250.0,星期三,0.0,0.0013
2025-07-22,7.52,7.55,7.63,7.49,17758.0,星期二,-0.0105,0.004
2025-07-21,7.75,7.6,7.75,7.59,21758.0,星期一,0.0091,-0.0194
2025-07-18,7.81,7.68,7.82,7.66,22782.0,星期五,-0.0013,-0.0166
2025-07-17,7.89,7.82,8.08,7.8,16760.0,星期四,0.0102,-0.0089
2025-07-16,7.93,7.81,7.99,7.61,28363.0,星期三,0.0,-0.0151
2025-07-15,7.9,7.93,8.1,7.72,31889.0,星期二,0.0025,0.0038
2025-07-14,8.15,7.88,8.15,7.88,51194.0,星期一,-0.0193,-0.0331
2025-07-11,8.2,8.31,8.65,8.12,61913.0,星期五,-0.0036,0.0134
2025-07-10,7.7,8.23,8.25,7.63,69957.0,星期四,0.0052,0.0688
2025-07-09,7.61,7.66,7.75,7.53,36380.0,星期三,-0.0039,0.0066
2025-07-08,7.23,7.64,7.69,7.18,54997.0,星期二,0.0028,0.0567
2025-07-07,7.31,7.21,7.41,7.2,30001.0,星期一,-0.0054,-0.0137
2025-07-04,7.41,7.35,7.41,7.2,36141.0,星期五,0.0014,-0.0081
2025-07-03,7.52,7.4,7.72,7.38,49465.0,星期四,0.0094,-0.016
2025-07-02,7.08,7.45,7.87,7.08,80830.0,星期三,0.0,0.0523
2025-07-01,6.86,7.08,7.17,6.86,31195.0,星期二,0.0029,0.0321
2025-06-30,6.65,6.84,6.94,6.65,25099.0,星期一,0.0015,0.0286
2025-06-27,6.66,6.64,6.73,6.62,17639.0,星期五,0.0015,-0.003
2025-06-26,6.7,6.65,6.78,6.64,20047.0,星期四,0.003,-0.0075
2025-06-25,6.73,6.68,6.75,6.66,15943.0,星期三,0.0015,-0.0074
2025-06-24,6.56,6.72,6.77,6.55,15579.0,星期二,0.0,0.0244
2025-06-23,6.4,6.56,6.61,6.34,17865.0,星期一,-0.0108,0.025
2025-06-20,6.74,6.47,6.85,6.45,30317.0,星期五,-0.0044,-0.0401
2025-06-19,6.88,6.77,7.06,6.73,18490.0,星期四,-0.0072,-0.016
2025-06-18,6.97,6.93,7.07,6.86,18693.0,星期三,-0.0099,-0.0057
2025-06-17,7.15,7.04,7.27,6.98,19339.0,星期二,0.0142,-0.0154
2025-06-16,7.03,7.05,7.12,7.03,15560.0,星期一,-0.0057,0.0028
2025-06-13,7.19,7.07,7.28,7.06,20146.0,星期五,-0.0124,-0.0167
2025-06-12,7.35,7.28,7.41,7.22,24579.0,星期四,0.0,-0.0095
2025-06-11,6.95,7.35,7.37,6.94,37540.0,星期三,-0.0029,0.0576
2025-06-10,7.11,6.97,7.13,6.83,28100.0,星期二,0.0028,-0.0197
2025-06-09,7.08,7.09,7.14,7.04,19328.0,星期一,0.0,0.0014
2025-06-06,7.1,7.08,7.15,7.03,18918.0,星期五,0.0028,-0.0028
2025-06-05,7.3,7.08,7.35,7.05,38333.0,星期四,-0.0068,-0.0301
2025-06-04,7.31,7.35,7.4,7.23,20151.0,星期三,0.0125,0.0055
2025-06-03,7.22,7.22,7.41,7.22,16450.0,星期二,-0.011,0.0
2025-05-30,7.41,7.3,7.45,7.2,30861.0,星期五,-0.008,-0.0148
2025-05-29,7.35,7.47,7.69,7.35,31943.0,星期四,-0.0081,0.0163
2025-05-28,7.38,7.41,7.7,7.3,45116.0,星期三,0.0165,0.0041
2025-05-27,7.27,7.26,7.43,7.18,27489.0,星期二,0.0028,-0.0014
2025-05-26,7.25,7.25,7.3,7.0,42999.0,星期一,-0.0014,0.0
2025-05-23,7.55,7.26,7.62,7.18,40203.0,星期五,0.0053,-0.0384
2025-05-22,7.77,7.51,7.98,7.41,54380.0,星期四,-0.0152,-0.0335
2025-05-21,7.76,7.89,8.07,7.76,35514.0,星期三,-0.0177,0.0168
2025-05-20,7.55,7.9,8.14,7.37,76216.0,星期二,0.0,0.0464
2025-05-19,6.98,7.55,7.55,6.98,47582.0,星期一,0.0043,0.0817
2025-05-16,6.84,6.95,6.98,6.8,31826.0,星期五,0.0015,0.0161
2025-05-15,6.7,6.83,7.0,6.7,58217.0,星期四,0.0045,0.0194
2025-05-14,6.94,6.67,6.94,6.5,78011.0,星期三,0.0,-0.0389
2025-05-13,6.95,6.94,7.16,6.75,71247.0,星期二,0.0176,-0.0014
2025-05-12,6.68,6.83,6.92,6.56,61625.0,星期一,0.006,0.0225
2025-05-09,6.6,6.64,7.0,6.41,97156.0,星期五,-0.0045,0.0061
2025-05-08,6.2,6.63,6.89,6.17,91898.0,星期四,0.0032,0.0694
2025-05-07,6.08,6.18,6.33,6.05,82145.0,星期三,0.0,0.0164
2025-05-06,5.71,6.08,6.08,5.56,108369.0,星期二,0.0088,0.0648
2025-04-30,5.5,5.66,5.9,5.41,169257.0,星期三,-0.0126,0.0291
2025-04-28,5.55,5.57,6.14,5.55,259487.0,星期一,-0.2003,0.0036
2025-04-25,6.94,6.94,6.94,6.94,26142.0,星期五,-0.1995,0.0
2025-04-24,9.61,8.67,9.78,8.5,121142.0,星期四,-0.0093,-0.0978
2025-04-23,9.8,9.7,9.89,9.37,58033.0,星期三,0.0072,-0.0102
2025-04-22,9.86,9.73,10.05,9.72,32559.0,星期二,-0.009,-0.0132
