time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,68.01,66.76,70.38,66.76,142396.0,星期五,-0.0021,-0.0184
2026-06-25,69.0,68.15,70.58,66.94,148642.0,星期四,-0.0036,-0.0123
2026-06-24,68.4,69.25,70.11,67.33,105891.0,星期三,-0.0012,0.0124
2026-06-23,73.0,68.48,73.07,68.24,130429.0,星期二,-0.0014,-0.0619
2026-06-22,72.88,73.1,73.8,70.76,127293.0,星期一,0.0,0.003
2026-06-18,73.38,72.88,73.9,72.56,107474.0,星期四,-0.0089,-0.0068
2026-06-17,74.86,74.04,75.49,72.83,143817.0,星期三,0.0162,-0.011
2026-06-16,72.5,73.67,74.19,71.52,111948.0,星期二,0.0011,0.0161
2026-06-15,70.41,72.42,72.43,69.94,113309.0,星期一,0.0037,0.0285
2026-06-12,70.33,70.15,72.48,69.8,118298.0,星期五,0.02,-0.0026
2026-06-11,69.57,68.95,70.67,68.02,91619.0,星期四,-0.0132,-0.0089
2026-06-10,70.5,70.5,71.3,68.46,107722.0,星期三,-0.0189,0.0
2026-06-09,71.34,71.86,71.97,69.5,106322.0,星期二,0.0121,0.0073
2026-06-08,73.03,70.49,73.81,69.85,122251.0,星期一,-0.0199,-0.0348
2026-06-05,76.38,74.51,76.38,73.01,127695.0,星期五,0.0,-0.0245
2026-06-04,74.32,76.38,77.6,72.92,150246.0,星期四,-0.0065,0.0277
2026-06-03,75.78,74.81,76.84,74.1,111859.0,星期三,0.0026,-0.0128
2026-06-02,78.03,75.58,78.62,73.93,151814.0,星期二,-0.0075,-0.0314
2026-06-01,81.04,78.62,82.17,78.58,124020.0,星期一,0.0041,-0.0299
2026-05-29,85.99,80.71,87.0,80.24,168504.0,星期五,-0.0049,-0.0614
2026-05-28,86.9,86.41,87.55,84.0,148129.0,星期四,-0.0056,-0.0056
2026-05-27,90.33,87.39,91.99,87.0,172649.0,星期三,0.0,-0.0325
2026-05-26,88.7,90.33,91.89,88.01,175091.0,星期二,-0.0045,0.0184
2026-05-25,88.52,89.1,90.44,87.4,119753.0,星期一,0.0067,0.0066
2026-05-22,87.56,87.93,88.68,86.3,122345.0,星期五,0.0093,0.0042
2026-05-21,90.77,86.75,93.12,86.68,170391.0,星期四,0.0051,-0.0443
2026-05-20,88.64,90.31,91.08,87.2,149765.0,星期三,-0.004,0.0188
2026-05-19,89.29,89.0,90.22,87.57,115842.0,星期二,0.0096,-0.0032
2026-05-18,89.48,88.44,90.8,87.91,116080.0,星期一,-0.0121,-0.0116
2026-05-15,90.5,90.58,92.31,85.5,234788.0,星期五,-0.0094,0.0009
2026-05-14,92.26,91.36,95.0,91.36,177564.0,星期四,-0.0053,-0.0098
2026-05-13,91.78,92.75,93.62,90.0,137619.0,星期三,-0.0106,0.0106
2026-05-12,96.19,92.76,97.8,92.0,145816.0,星期二,0.0136,-0.0357
2026-05-11,94.01,94.9,96.18,94.0,160055.0,星期一,0.0013,0.0095
2026-05-08,92.8,93.89,94.2,92.27,130607.0,星期五,-0.0078,0.0117
2026-05-07,92.38,93.53,95.9,92.36,193719.0,星期四,0.0,0.0124
2026-05-06,93.47,92.38,93.85,91.97,167598.0,星期三,0.0025,-0.0117
2026-04-30,90.8,93.24,93.48,90.58,167639.0,星期四,-0.0024,0.0269
2026-04-29,86.8,91.02,91.2,86.13,181937.0,星期三,-0.0063,0.0486
2026-04-28,89.51,87.35,90.36,86.88,146138.0,星期二,0.0003,-0.0241
2026-04-27,89.2,89.48,90.57,88.74,122720.0,星期一,-0.0067,0.0031
2026-04-24,91.2,89.8,91.6,89.2,153933.0,星期五,0.0027,-0.0154
2026-04-23,93.38,90.95,94.25,90.06,273424.0,星期四,-0.0045,-0.026
2026-04-22,98.0,93.8,99.54,93.38,505695.0,星期三,-0.0935,-0.0429
2026-04-21,110.0,108.11,111.0,107.41,123077.0,星期二,0.002,-0.0172
2026-04-20,109.09,109.78,111.08,108.55,136325.0,星期一,-0.0103,0.0063
2026-04-17,109.2,110.23,110.5,108.67,122624.0,星期五,-0.0108,0.0094
2026-04-16,111.0,110.39,112.33,108.11,133386.0,星期四,0.0074,-0.0055
2026-04-15,112.63,110.19,113.87,109.82,163473.0,星期三,0.0047,-0.0217
2026-04-14,110.5,112.1,112.45,108.93,161148.0,星期二,0.0087,0.0145
2026-04-13,106.8,109.55,110.66,106.27,147150.0,星期一,-0.0111,0.0257
2026-04-10,106.99,108.0,109.52,106.05,158983.0,星期五,0.012,0.0094
2026-04-09,106.44,105.72,107.2,102.22,157071.0,星期四,-0.014,-0.0068
2026-04-08,105.5,107.95,108.14,104.7,172993.0,星期三,0.0318,0.0232
2026-04-07,103.99,102.25,104.94,101.75,102012.0,星期二,0.0055,-0.0167
2026-04-03,107.8,103.42,108.0,103.39,135343.0,星期五,0.0048,-0.0406
2026-04-02,107.02,107.28,109.5,105.07,133881.0,星期四,-0.0235,0.0024
2026-04-01,108.38,109.6,113.8,105.78,248238.0,星期三,0.0289,0.0113
2026-03-31,110.63,105.34,112.23,105.33,230587.0,星期二,-0.0127,-0.0478
2026-03-30,117.0,112.05,117.97,109.93,242973.0,星期一,-0.0248,-0.0423
2026-03-27,118.0,119.98,121.98,116.69,177320.0,星期五,-0.0301,0.0168
2026-03-26,126.06,121.66,126.41,120.8,243824.0,星期四,-0.0097,-0.0349
2026-03-25,129.1,127.3,132.18,126.2,328402.0,星期三,0.0123,-0.0139
2026-03-24,130.53,127.53,132.68,120.26,357964.0,星期二,0.0165,-0.023
2026-03-23,128.87,128.41,136.0,127.11,470331.0,星期一,-0.0018,-0.0036
2026-03-20,118.0,129.1,141.6,116.77,543502.0,星期五,0.0,0.0941
2026-03-19,116.2,118.0,120.68,116.12,127758.0,星期四,-0.0279,0.0155
2026-03-18,118.94,119.53,120.28,116.09,144995.0,星期三,-0.0103,0.005
2026-03-17,122.88,120.18,125.2,119.61,186859.0,星期二,0.0249,-0.022
2026-03-16,121.71,119.89,122.8,118.27,137241.0,星期一,-0.0062,-0.015
2026-03-13,118.0,122.47,124.83,117.3,258641.0,星期五,-0.0012,0.0379
2026-03-12,119.0,118.14,119.92,115.8,171677.0,星期四,-0.0106,-0.0072
2026-03-11,118.8,120.28,123.88,118.18,261296.0,星期三,-0.0059,0.0125
2026-03-10,117.0,119.5,119.88,115.28,207189.0,星期二,0.0065,0.0214
2026-03-09,111.8,116.25,116.5,108.0,205312.0,星期一,-0.0186,0.0398
2026-03-06,113.37,113.92,116.16,112.28,112580.0,星期五,-0.0074,0.0049
2026-03-05,117.01,114.22,118.0,113.0,133956.0,星期四,0.0183,-0.0238
2026-03-04,113.1,114.91,117.49,113.05,127672.0,星期三,-0.0222,0.016
2026-03-03,119.33,115.67,123.47,115.63,207900.0,星期二,0.0,-0.0307
2026-03-02,120.49,119.33,123.38,118.2,205428.0,星期一,-0.0261,-0.0096
2026-02-27,120.85,123.72,125.05,120.62,187783.0,星期五,-0.0055,0.0237
2026-02-26,123.25,121.52,123.25,120.51,163528.0,星期四,-0.0028,-0.014
2026-02-25,122.16,123.6,124.5,120.8,155848.0,星期三,-0.0041,0.0118
2026-02-24,123.01,122.66,126.0,120.59,173096.0,星期二,0.0025,-0.0028
2026-02-13,126.0,122.7,126.4,122.6,165527.0,星期五,-0.0094,-0.0262
2026-02-12,126.67,127.19,128.52,124.93,209647.0,星期四,-0.0067,0.0041
2026-02-11,129.0,127.52,130.78,126.0,228981.0,星期三,-0.0075,-0.0115
2026-02-10,134.38,129.98,135.3,129.08,259520.0,星期二,-0.0019,-0.0327
2026-02-09,139.89,134.63,142.18,134.16,362194.0,星期一,0.0549,-0.0376
2026-02-06,128.74,132.61,134.97,126.18,282200.0,星期五,-0.0051,0.0301
2026-02-05,138.15,129.4,138.63,129.4,448402.0,星期四,-0.0647,-0.0633
2026-02-04,144.78,147.7,152.24,142.2,575528.0,星期三,0.0145,0.0202
2026-02-03,136.64,142.71,144.8,135.31,414460.0,星期二,0.03,0.0444
2026-02-02,141.53,132.66,142.8,132.58,321855.0,星期一,0.0278,-0.0627
2026-01-30,134.0,137.7,139.81,127.78,382691.0,星期五,-0.0169,0.0276
2026-01-29,128.0,136.3,144.96,128.0,476295.0,星期四,-0.0044,0.0648
2026-01-28,134.27,128.57,134.96,127.3,351219.0,星期三,-0.018,-0.0425
2026-01-27,129.06,136.73,137.36,125.01,483671.0,星期二,-0.0194,0.0594
2026-01-26,143.8,131.61,145.0,131.5,629870.0,星期一,0.0723,-0.0848
2026-01-23,118.34,134.1,134.1,117.33,545467.0,星期五,0.059,0.1332
2026-01-22,107.42,111.75,112.98,105.43,246087.0,星期四,0.0015,0.0403
2026-01-21,109.23,107.26,111.5,107.2,223403.0,星期三,-0.0111,-0.018
2026-01-20,117.75,110.46,123.5,108.21,348898.0,星期二,-0.0001,-0.0619
2026-01-19,118.42,117.76,121.2,115.21,281271.0,星期一,-0.009,-0.0056
2026-01-16,116.62,119.5,119.99,115.18,249283.0,星期五,0.0004,0.0247
2026-01-15,114.46,116.57,120.52,114.46,217516.0,星期四,-0.0067,0.0184
2026-01-14,118.1,115.23,124.8,112.42,345377.0,星期三,0.0036,-0.0243
2026-01-13,114.29,117.68,122.2,113.4,356183.0,星期二,-0.0194,0.0297
2026-01-12,104.04,116.55,119.88,104.0,457697.0,星期一,0.0067,0.1202
2026-01-09,103.0,103.35,105.77,100.6,262524.0,星期五,-0.0111,0.0034
2026-01-08,97.38,104.16,106.55,96.85,368288.0,星期四,-0.0063,0.0696
2026-01-07,98.5,98.0,99.65,97.26,150015.0,星期三,-0.0083,-0.0051
2026-01-06,96.09,99.32,100.69,96.01,204568.0,星期二,0.0001,0.0336
2026-01-05,96.0,96.08,97.22,94.38,173775.0,星期一,0.0042,0.0008
