time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,13.42,13.38,14.06,13.27,93532.0,星期五,-0.0096,-0.003
2026-06-25,14.32,13.55,14.51,13.52,103867.0,星期四,0.0007,-0.0538
2026-06-24,14.21,14.31,14.6,13.9,91207.0,星期三,-0.0077,0.007
2026-06-23,14.26,14.32,15.32,14.19,132522.0,星期二,-0.0049,0.0042
2026-06-22,14.18,14.33,14.58,13.6,154113.0,星期一,-0.0077,0.0106
2026-06-18,12.51,14.29,14.56,12.49,234959.0,星期四,-0.0111,0.1423
2026-06-17,13.12,12.65,13.12,12.46,100861.0,星期三,-0.003,-0.0358
2026-06-16,13.02,13.16,13.33,12.6,95442.0,星期二,-0.0091,0.0108
2026-06-15,13.36,13.14,13.55,12.94,90315.0,星期一,0.0045,-0.0165
2026-06-12,13.99,13.3,14.12,13.27,82841.0,星期五,0.0197,-0.0493
2026-06-11,14.19,13.72,14.23,13.55,89389.0,星期四,-0.0056,-0.0331
2026-06-10,14.4,14.27,14.67,13.9,95390.0,星期三,-0.0103,-0.009
2026-06-09,13.82,14.55,14.8,13.69,132744.0,星期二,0.0169,0.0528
2026-06-08,13.6,13.59,14.37,13.12,110066.0,星期一,-0.0355,-0.0007
2026-06-05,14.53,14.1,14.76,14.02,98576.0,星期五,0.0,-0.0296
2026-06-04,14.33,14.53,14.87,14.27,94628.0,星期四,-0.0165,0.014
2026-06-03,14.46,14.57,15.04,14.24,114195.0,星期三,-0.0075,0.0076
2026-06-02,15.3,14.57,15.42,14.3,122399.0,星期二,0.0059,-0.0477
2026-06-01,14.98,15.21,15.5,14.8,117574.0,星期一,0.0135,0.0154
2026-05-29,15.39,14.78,15.5,14.68,116747.0,星期五,0.0046,-0.0396
2026-05-28,15.44,15.32,15.71,14.88,129714.0,星期四,0.0092,-0.0078
2026-05-27,15.94,15.3,15.98,15.16,126248.0,星期三,-0.0038,-0.0402
2026-05-26,16.3,16.0,16.7,15.77,136217.0,星期二,-0.0061,-0.0184
2026-05-25,16.75,16.4,16.89,16.2,158210.0,星期一,0.0006,-0.0209
2026-05-22,15.96,16.74,17.13,15.82,250687.0,星期五,0.0185,0.0489
2026-05-21,16.54,15.67,16.69,15.63,173166.0,星期四,0.0178,-0.0526
2026-05-20,16.5,16.25,17.49,16.17,262051.0,星期三,0.0098,-0.0152
2026-05-19,15.25,16.34,16.35,15.07,264997.0,星期二,-0.0097,0.0715
2026-05-18,14.01,15.4,15.8,13.89,346316.0,星期一,-0.0168,0.0992
2026-05-15,16.04,14.25,16.14,14.1,408613.0,星期五,-0.0237,-0.1116
2026-05-14,16.51,16.43,16.93,16.11,221439.0,星期四,-0.0018,-0.0048
2026-05-13,15.21,16.54,16.62,15.1,327713.0,星期三,0.0086,0.0874
2026-05-12,15.7,15.08,15.8,14.94,201371.0,星期二,0.0006,-0.0395
2026-05-11,13.85,15.69,15.82,13.84,374882.0,星期一,0.0206,0.1329
2026-05-08,13.38,13.57,13.78,13.34,77123.0,星期五,0.0007,0.0142
2026-05-07,13.3,13.37,13.39,13.2,65919.0,星期四,-0.0023,0.0053
2026-05-06,13.45,13.33,13.75,13.21,95566.0,星期三,0.0,-0.0089
2026-04-30,13.35,13.45,13.48,13.18,39418.0,星期四,0.0007,0.0075
2026-04-29,13.2,13.34,13.54,13.2,48478.0,星期三,-0.0105,0.0106
2026-04-28,13.6,13.34,13.67,13.23,54095.0,星期二,-0.0058,-0.0191
2026-04-27,13.2,13.68,13.69,13.05,75572.0,星期一,-0.0038,0.0364
2026-04-24,13.33,13.25,13.42,12.93,65193.0,星期五,-0.0089,-0.006
2026-04-23,13.91,13.45,14.05,13.45,60358.0,星期四,0.0007,-0.0331
2026-04-22,13.73,13.9,13.98,13.52,57394.0,星期三,-0.0087,0.0124
2026-04-21,14.22,13.85,14.26,13.77,72053.0,星期二,-0.0028,-0.026
2026-04-20,14.4,14.26,14.46,14.19,70480.0,星期一,-0.0007,-0.0097
2026-04-17,14.78,14.41,14.91,14.36,117771.0,星期五,-0.0074,-0.025
2026-04-16,15.05,14.89,15.28,14.75,115894.0,星期四,-0.0046,-0.0106
2026-04-15,14.97,15.12,15.35,14.74,128088.0,星期三,0.0,0.01
2026-04-14,14.98,14.97,15.22,14.8,104799.0,星期二,0.0115,-0.0007
2026-04-13,14.6,14.81,15.15,14.45,98851.0,星期一,-0.0027,0.0144
2026-04-10,14.66,14.64,14.99,14.54,104125.0,星期五,-0.0007,-0.0014
2026-04-09,14.55,14.67,14.97,14.52,122748.0,星期四,-0.0156,0.0082
2026-04-08,14.31,14.78,14.9,14.31,174364.0,星期三,0.0127,0.0328
2026-04-07,13.8,14.13,14.25,13.8,125020.0,星期二,-0.0108,0.0239
2026-04-03,14.26,13.95,14.26,13.38,193842.0,星期五,0.0078,-0.0217
2026-04-02,13.71,14.15,14.48,13.54,273739.0,星期四,0.0178,0.0321
2026-04-01,14.19,13.47,14.27,13.35,155625.0,星期三,0.0187,-0.0507
2026-03-31,13.95,13.93,14.37,13.73,174405.0,星期二,-0.0029,-0.0014
2026-03-30,14.11,13.99,14.22,13.63,233940.0,星期一,0.0247,-0.0085
2026-03-27,12.93,13.77,14.3,12.82,303406.0,星期五,0.0039,0.065
2026-03-26,13.45,12.88,14.0,12.84,127760.0,星期四,-0.0081,-0.0424
2026-03-25,12.92,13.56,13.56,12.81,98576.0,星期三,0.0016,0.0495
2026-03-24,12.67,12.9,12.98,12.36,92325.0,星期二,0.0218,0.0182
2026-03-23,12.67,12.4,13.03,12.26,115396.0,星期一,-0.0178,-0.0213
2026-03-20,13.53,12.9,13.56,12.88,109411.0,星期五,0.0089,-0.0466
2026-03-19,13.47,13.41,13.89,13.35,145169.0,星期四,-0.0074,-0.0045
2026-03-18,12.69,13.57,13.65,12.61,191477.0,星期三,0.012,0.0693
2026-03-17,13.01,12.54,13.04,12.52,45674.0,星期二,0.0054,-0.0361
2026-03-16,12.74,12.94,13.0,12.69,51352.0,星期一,0.0008,0.0157
2026-03-13,13.02,12.73,13.1,12.71,54775.0,星期五,-0.0061,-0.0223
2026-03-12,13.23,13.1,13.45,13.06,51791.0,星期四,-0.0008,-0.0098
2026-03-11,13.44,13.24,13.46,13.19,55671.0,星期三,0.0022,-0.0149
2026-03-10,13.22,13.41,13.5,13.19,65977.0,星期二,0.0092,0.0144
2026-03-09,12.73,13.1,13.17,12.61,66520.0,星期一,-0.0147,0.0291
2026-03-06,12.56,12.92,12.92,12.56,50043.0,星期五,-0.0079,0.0287
2026-03-05,12.53,12.66,12.81,12.46,69543.0,星期四,0.0179,0.0104
2026-03-04,12.33,12.31,12.56,12.21,63249.0,星期三,-0.008,-0.0016
2026-03-03,13.16,12.43,13.29,12.41,74410.0,星期二,0.0053,-0.0555
2026-03-02,13.59,13.09,13.61,13.05,102498.0,星期一,-0.0188,-0.0368
2026-02-27,13.56,13.85,13.87,13.55,70832.0,星期五,-0.0022,0.0214
2026-02-26,13.6,13.59,13.68,13.49,48295.0,星期四,0.0029,-0.0007
2026-02-25,13.41,13.56,13.66,13.41,47318.0,星期三,-0.0067,0.0112
2026-02-24,13.77,13.5,13.86,13.4,58305.0,星期二,0.0155,-0.0196
2026-02-13,13.51,13.56,13.75,13.51,56144.0,星期五,-0.0007,0.0037
2026-02-12,13.65,13.52,13.87,13.37,58599.0,星期四,0.0,-0.0095
2026-02-11,13.65,13.65,13.86,13.5,70559.0,星期三,0.0022,0.0
2026-02-10,13.65,13.62,13.73,13.5,80184.0,星期二,0.0007,-0.0022
2026-02-09,12.98,13.64,13.76,12.98,152447.0,星期一,0.0172,0.0508
2026-02-06,12.78,12.76,12.94,12.65,52152.0,星期五,0.0016,-0.0016
2026-02-05,12.66,12.76,13.04,12.63,51203.0,星期四,-0.0102,0.0079
2026-02-04,12.89,12.79,12.95,12.67,56429.0,星期三,-0.0015,-0.0078
2026-02-03,12.85,12.91,12.92,12.7,64092.0,星期二,0.015,0.0047
2026-02-02,12.92,12.66,13.16,12.6,83780.0,星期一,-0.01,-0.0201
2026-01-30,13.29,13.05,13.35,12.98,75412.0,星期五,-0.0045,-0.0181
2026-01-29,13.22,13.35,13.73,12.95,92715.0,星期四,-0.0053,0.0098
2026-01-28,13.5,13.29,13.74,13.24,68620.0,星期三,-0.0015,-0.0156
