time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,18.73,17.85,19.12,17.82,223967.0,星期五,-0.0194,-0.047
2026-06-25,20.67,19.1,20.7,19.09,223967.0,星期四,-0.0048,-0.076
2026-06-24,21.75,20.77,21.98,20.71,128002.0,星期三,-0.0082,-0.0451
2026-06-23,22.23,21.93,22.6,21.86,104517.0,星期二,-0.0085,-0.0135
2026-06-22,22.53,22.42,23.42,22.0,157519.0,星期一,-0.0097,-0.0049
2026-06-18,22.3,22.75,22.98,22.11,118837.0,星期四,0.0123,0.0202
2026-06-17,22.3,22.03,22.49,21.66,91464.0,星期三,0.0009,-0.0121
2026-06-16,22.01,22.28,22.69,22.0,114219.0,星期二,-0.0009,0.0123
2026-06-15,21.28,22.03,22.49,21.12,161191.0,星期一,0.0038,0.0352
2026-06-12,21.73,21.2,21.84,21.18,122618.0,星期五,0.0093,-0.0244
2026-06-11,22.62,21.53,22.79,21.44,165165.0,星期四,-0.0075,-0.0482
2026-06-10,23.31,22.79,23.88,22.3,153480.0,星期三,-0.0055,-0.0223
2026-06-09,23.36,23.44,23.72,22.92,158364.0,星期二,0.0139,0.0034
2026-06-08,22.6,23.04,23.96,22.6,187849.0,星期一,-0.0195,0.0195
2026-06-05,23.56,23.05,24.74,22.99,171501.0,星期五,0.0034,-0.0216
2026-06-04,24.23,23.48,24.38,23.23,117707.0,星期四,-0.009,-0.031
2026-06-03,24.6,24.45,24.96,24.23,89816.0,星期三,-0.0024,-0.0061
2026-06-02,24.78,24.66,25.3,24.24,105091.0,星期二,-0.0056,-0.0048
2026-06-01,24.4,24.92,25.49,24.0,138541.0,星期一,0.0041,0.0213
2026-05-29,25.3,24.3,25.45,24.23,105105.0,星期五,0.0016,-0.0395
2026-05-28,25.22,25.26,25.43,24.7,77277.0,星期四,-0.0012,0.0016
2026-05-27,25.8,25.25,25.85,24.93,89581.0,星期三,0.0016,-0.0213
2026-05-26,25.66,25.76,26.03,25.31,82111.0,星期二,-0.0062,0.0039
2026-05-25,25.59,25.82,26.57,24.8,111773.0,星期一,0.0024,0.009
2026-05-22,25.81,25.53,25.88,25.27,99950.0,星期五,0.013,-0.0108
2026-05-21,26.78,25.48,27.04,25.32,133257.0,星期四,0.0019,-0.0485
2026-05-20,26.23,26.73,26.97,26.2,86393.0,星期三,-0.0064,0.0191
2026-05-19,25.49,26.4,26.97,25.39,151730.0,星期二,0.0008,0.0357
2026-05-18,25.98,25.47,26.09,25.19,110736.0,星期一,0.005,-0.0196
2026-05-15,26.17,25.85,26.45,25.64,132808.0,星期五,0.0,-0.0122
2026-05-14,27.15,26.17,27.72,26.16,162040.0,星期四,0.0018,-0.0361
2026-05-13,27.15,27.1,27.92,26.86,125513.0,星期三,0.0048,-0.0018
2026-05-12,26.78,27.02,27.71,26.53,180277.0,星期二,-0.0011,0.009
2026-05-11,26.73,26.81,28.33,26.2,180900.0,星期一,0.0034,0.003
2026-05-08,26.24,26.64,27.08,26.21,117934.0,星期五,-0.0061,0.0152
2026-05-07,25.9,26.4,26.8,25.88,127896.0,星期四,0.0,0.0193
2026-05-06,25.6,25.9,25.99,25.46,123410.0,星期三,-0.0023,0.0117
2026-04-30,25.5,25.66,26.56,25.36,158380.0,星期四,-0.0023,0.0063
2026-04-29,24.85,25.56,25.76,24.81,132563.0,星期三,0.0,0.0286
2026-04-28,25.55,24.85,25.55,24.75,140883.0,星期二,0.0047,-0.0274
2026-04-27,24.77,25.43,25.76,24.5,185968.0,星期一,0.0135,0.0266
2026-04-24,23.78,24.44,25.0,23.7,278456.0,星期五,0.025,0.0278
2026-04-23,23.38,23.2,23.65,23.02,122202.0,星期四,-0.0051,-0.0077
2026-04-22,23.15,23.5,23.79,23.15,113677.0,星期三,-0.0052,0.0151
2026-04-21,23.45,23.27,23.75,23.03,121978.0,星期二,-0.0004,-0.0077
