time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,244.0,261.93,265.0,238.0,168916.0,星期五,-0.022,0.0735
2026-06-25,227.77,249.5,261.0,221.2,169604.0,星期四,0.0001,0.0954
2026-06-24,209.0,227.75,228.0,204.0,125571.0,星期三,0.0033,0.0897
2026-06-23,218.0,208.31,220.28,207.97,101987.0,星期二,-0.022,-0.0444
2026-06-22,220.82,222.9,228.0,216.1,106483.0,星期一,0.0008,0.0094
2026-06-18,220.95,220.64,226.81,216.5,105517.0,星期四,-0.018,-0.0014
2026-06-17,218.57,225.0,228.5,217.81,118554.0,星期三,-0.0083,0.0294
2026-06-16,218.0,220.4,229.58,211.01,125999.0,星期二,0.0211,0.011
2026-06-15,212.9,213.5,215.0,207.87,102651.0,星期一,-0.0005,0.0028
2026-06-12,220.58,213.0,237.66,211.3,166063.0,星期五,0.0388,-0.0344
2026-06-11,203.86,212.34,213.59,195.0,112734.0,星期四,0.0059,0.0416
2026-06-10,208.5,202.66,209.94,198.0,92006.0,星期三,-0.0077,-0.028
2026-06-09,210.71,210.11,211.28,202.61,78962.0,星期二,0.0229,-0.0028
2026-06-08,221.0,206.0,223.98,201.23,136399.0,星期一,-0.0371,-0.0679
2026-06-05,226.9,229.51,235.89,218.0,117201.0,星期五,-0.0001,0.0115
2026-06-04,215.8,226.92,233.3,210.28,150179.0,星期四,-0.0101,0.0515
2026-06-03,219.96,218.0,231.2,215.0,122521.0,星期三,0.0057,-0.0089
2026-06-02,238.36,218.72,241.36,217.51,141453.0,星期二,-0.017,-0.0824
2026-06-01,246.0,242.48,259.95,240.7,95886.0,星期一,-0.0147,-0.0143
2026-05-29,260.36,249.66,264.49,241.04,109942.0,星期五,-0.0023,-0.0411
2026-05-28,270.02,260.97,271.0,253.63,104706.0,星期四,0.0014,-0.0335
2026-05-27,291.01,269.65,293.37,268.88,130039.0,星期三,0.0028,-0.0734
2026-05-26,298.27,290.2,301.05,283.07,114548.0,星期二,0.0001,-0.0271
2026-05-25,290.8,298.23,303.0,278.75,180342.0,星期一,0.0197,0.0256
2026-05-22,273.86,285.19,289.71,273.01,113440.0,星期五,-0.0108,0.0414
2026-05-21,277.49,276.85,291.08,271.6,140406.0,星期四,0.01,-0.0023
2026-05-20,268.66,274.74,279.0,268.02,112215.0,星期三,0.0,0.0226
2026-05-19,257.55,268.66,271.79,246.0,134536.0,星期二,0.0125,0.0431
2026-05-18,261.55,254.37,268.85,251.86,105045.0,星期一,0.0054,-0.0275
2026-05-15,265.2,260.14,267.9,248.16,140133.0,星期五,-0.0283,-0.0191
2026-05-14,275.0,272.91,289.9,272.9,151779.0,星期四,0.0096,-0.0076
