time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,12.58,11.68,12.72,11.68,89480.0,星期五,-0.0055,-0.0715
2026-06-25,12.58,12.65,13.55,12.35,119047.0,星期四,-0.0087,0.0056
2026-06-24,13.4,12.69,13.44,12.69,81740.0,星期三,-0.0052,-0.053
2026-06-23,14.13,13.47,14.13,13.4,98909.0,星期二,-0.014,-0.0467
2026-06-22,14.74,14.33,14.94,14.0,81040.0,星期一,-0.0107,-0.0278
2026-06-18,14.92,14.9,15.03,14.45,51830.0,星期四,-0.0073,-0.0013
2026-06-17,14.99,15.03,15.1,14.77,50810.0,星期三,-0.0132,0.0027
2026-06-16,15.31,15.19,15.49,15.0,64372.0,星期二,-0.0103,-0.0078
2026-06-15,14.87,15.47,15.58,14.61,93844.0,星期一,0.0,0.0403
2026-06-12,15.3,14.87,15.9,14.87,78340.0,星期五,0.0007,-0.0281
2026-06-11,16.06,15.29,16.06,14.54,130710.0,星期四,0.0012,-0.0479
2026-06-10,17.0,16.04,17.0,16.01,110100.0,星期三,0.0077,-0.0565
2026-06-09,15.53,16.87,17.51,15.45,212398.0,星期二,0.0251,0.0863
2026-06-08,14.62,15.15,16.12,14.62,138949.0,星期一,-0.0201,0.0363
2026-06-05,14.81,14.92,15.65,14.77,95000.0,星期五,0.0007,0.0074
2026-06-04,15.49,14.8,15.66,14.69,80939.0,星期四,-0.009,-0.0445
2026-06-03,15.51,15.63,15.8,15.27,67444.0,星期三,-0.0121,0.0077
2026-06-02,16.31,15.7,16.65,15.6,87414.0,星期二,-0.0043,-0.0374
2026-06-01,15.06,16.38,17.29,15.06,167259.0,星期一,-0.0408,0.0876
2026-05-29,15.25,15.7,16.55,15.1,137839.0,星期五,-0.0007,0.0295
2026-05-28,15.77,15.26,15.88,15.05,94486.0,星期四,-0.0162,-0.0323
2026-05-27,16.44,16.03,16.7,15.7,126949.0,星期三,-0.003,-0.0249
2026-05-26,16.98,16.49,17.35,16.3,87264.0,星期二,-0.0053,-0.0289
2026-05-25,16.46,17.07,17.65,16.33,104958.0,星期一,0.0,0.0371
2026-05-22,16.48,16.46,17.0,16.07,85915.0,星期五,-0.0084,-0.0012
2026-05-21,17.33,16.62,17.5,16.51,128137.0,星期四,-0.0091,-0.041
