time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,15.73,16.23,16.85,15.51,136424.0,星期五,0.0025,0.0318
2026-06-25,16.23,15.69,16.35,15.64,96775.0,星期四,-0.0018,-0.0333
2026-06-24,16.95,16.26,16.95,16.21,70937.0,星期三,0.0024,-0.0407
2026-06-23,17.01,16.91,17.46,16.87,67157.0,星期二,-0.007,-0.0059
2026-06-22,17.08,17.13,17.18,16.65,71390.0,星期一,-0.0064,0.0029
2026-06-18,17.36,17.19,17.44,17.02,60506.0,星期四,0.0035,-0.0098
2026-06-17,17.59,17.3,17.79,17.13,81722.0,星期三,-0.0085,-0.0165
2026-06-16,18.21,17.74,18.29,17.59,77948.0,星期二,0.0,-0.0258
2026-06-15,18.03,18.21,18.48,17.91,62103.0,星期一,-0.0033,0.01
2026-06-12,17.81,18.09,18.17,17.4,64776.0,星期五,-0.0028,0.0157
2026-06-11,17.76,17.86,18.18,17.54,61997.0,星期四,-0.0034,0.0056
2026-06-10,17.59,17.82,18.11,17.52,54574.0,星期三,-0.0028,0.0131
2026-06-09,18.07,17.64,18.14,17.5,62935.0,星期二,-0.0044,-0.0238
2026-06-08,18.06,18.15,18.94,17.85,103661.0,星期一,-0.0028,0.005
2026-06-05,17.89,18.11,18.43,17.5,105772.0,星期五,0.0034,0.0123
2026-06-04,19.5,17.83,19.93,17.72,260902.0,星期四,-0.0399,-0.0856
2026-06-03,20.05,20.31,20.47,19.73,83691.0,星期三,0.0055,0.013
2026-06-02,20.47,19.94,20.64,19.94,78773.0,星期二,-0.0135,-0.0259
2026-06-01,19.99,20.75,20.99,19.86,130300.0,星期一,-0.006,0.038
2026-05-29,19.82,20.11,20.3,19.6,92017.0,星期五,0.0,0.0146
2026-05-28,19.72,19.82,19.96,19.4,79038.0,星期四,-0.0055,0.0051
2026-05-27,20.31,19.83,20.5,19.73,80655.0,星期三,0.0045,-0.0236
2026-05-26,19.88,20.22,20.82,19.88,115574.0,星期二,-0.0183,0.0171
2026-05-25,19.97,20.25,20.59,19.65,102772.0,星期一,-0.0025,0.014
2026-05-22,20.7,20.02,20.85,19.8,94079.0,星期五,0.0068,-0.0329
