time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,57.12,54.25,58.0,54.25,86849.0,星期五,0.006,-0.0502
2026-06-25,56.6,56.78,58.5,55.92,76274.0,星期四,-0.0037,0.0032
2026-06-24,59.88,56.81,59.9,56.55,84829.0,星期三,-0.0068,-0.0513
2026-06-23,58.98,60.29,62.33,58.5,102455.0,星期二,0.0002,0.0222
2026-06-22,60.99,58.97,63.39,55.5,124738.0,星期一,-0.0041,-0.0331
2026-06-18,60.92,61.24,62.82,59.84,93203.0,星期四,-0.0075,0.0053
2026-06-17,59.58,61.38,61.49,59.0,107151.0,星期三,-0.0201,0.0302
2026-06-16,54.0,60.8,61.39,53.34,160548.0,星期二,-0.0066,0.1259
2026-06-15,54.84,54.36,55.64,53.91,97942.0,星期一,-0.0002,-0.0088
2026-06-12,55.58,54.85,56.31,54.04,83606.0,星期五,-0.268,-0.0131
2026-06-11,78.57,75.93,80.3,75.36,62524.0,星期四,0.0003,-0.0336
2026-06-10,76.69,78.55,79.3,75.01,59070.0,星期三,-0.014,0.0243
2026-06-09,75.48,77.78,79.22,72.5,78249.0,星期二,0.0132,0.0305
2026-06-08,77.25,74.5,79.49,73.74,62158.0,星期一,-0.0386,-0.0356
2026-06-05,82.18,80.35,83.23,79.83,71765.0,星期五,-0.0035,-0.0223
2026-06-04,82.56,82.47,87.19,82.11,127181.0,星期四,0.0087,-0.0011
2026-06-03,77.85,81.85,85.49,76.6,118263.0,星期三,-0.0113,0.0514
2026-06-02,80.84,78.74,81.16,78.37,56967.0,星期二,-0.0052,-0.026
2026-06-01,83.21,81.26,85.08,81.0,78634.0,星期一,-0.005,-0.0234
2026-05-29,87.41,83.63,87.88,83.01,79648.0,星期五,0.0105,-0.0432
2026-05-28,89.3,86.5,89.7,85.78,92669.0,星期四,0.0008,-0.0314
2026-05-27,91.93,89.23,93.5,88.66,142773.0,星期三,-0.0024,-0.0294
2026-05-26,85.98,92.15,95.42,84.7,261647.0,星期二,0.0429,0.0718
2026-05-25,69.89,82.44,82.44,69.4,161925.0,星期一,0.0173,0.1796
2026-05-22,66.29,68.7,69.9,65.76,74056.0,星期五,0.0027,0.0364
2026-05-21,68.18,66.11,69.5,66.1,57770.0,星期四,-0.0039,-0.0304
2026-05-20,68.44,68.45,69.44,67.53,36094.0,星期三,-0.0117,0.0001
2026-05-19,67.94,69.25,69.44,67.18,42016.0,星期二,-0.0007,0.0193
2026-05-18,67.4,67.99,69.87,67.3,52952.0,星期一,-0.0081,0.0088
2026-05-15,69.51,67.95,70.06,67.23,58644.0,星期五,-0.0061,-0.0224
2026-05-14,71.01,69.94,72.74,69.75,49553.0,星期四,-0.0098,-0.0151
2026-05-13,70.31,71.71,72.72,69.86,62434.0,星期三,-0.0096,0.0199
2026-05-12,70.38,70.99,71.8,68.41,77354.0,星期二,0.0013,0.0087
2026-05-11,73.25,70.29,73.28,69.5,72593.0,星期一,0.0026,-0.0404
2026-05-08,72.0,73.06,73.56,71.33,51180.0,星期五,-0.0098,0.0147
2026-05-07,69.5,72.71,73.6,67.85,106758.0,星期四,-0.0007,0.0462
2026-05-06,69.82,69.55,70.88,69.32,49554.0,星期三,0.0,-0.0039
2026-04-30,70.0,69.82,71.25,69.01,43620.0,星期四,-0.006,-0.0026
2026-04-29,70.0,70.42,71.63,68.85,57958.0,星期三,-0.0036,0.006
2026-04-28,73.19,70.25,73.46,69.53,85637.0,星期二,-0.0064,-0.0402
2026-04-27,70.9,73.66,73.86,69.5,101628.0,星期一,-0.0037,0.0389
2026-04-24,86.0,71.16,86.9,70.04,200932.0,星期五,-0.0076,-0.1726
2026-04-23,88.5,86.66,90.82,86.17,53523.0,星期四,0.0015,-0.0208
2026-04-22,90.01,88.37,90.55,88.3,50713.0,星期三,-0.0083,-0.0182
2026-04-21,91.01,90.76,91.33,88.9,38959.0,星期二,-0.0011,-0.0027
2026-04-20,90.11,91.11,92.69,89.5,47780.0,星期一,-0.0043,0.0111
2026-04-17,90.11,90.5,91.5,89.14,42298.0,星期五,-0.0055,0.0043
2026-04-16,89.02,90.61,91.35,88.3,48631.0,星期四,-0.0015,0.0179
2026-04-15,90.48,89.15,91.26,88.9,37576.0,星期三,-0.0002,-0.0147
2026-04-14,92.0,90.5,92.8,89.51,41533.0,星期二,0.0089,-0.0163
2026-04-13,92.55,91.19,93.79,91.0,38342.0,星期一,-0.0029,-0.0147
2026-04-10,92.4,92.82,94.68,92.39,39142.0,星期五,-0.0028,0.0045
2026-04-09,92.0,92.66,94.4,91.35,40709.0,星期四,-0.0128,0.0072
2026-04-08,90.0,93.19,93.19,89.45,52951.0,星期三,0.0157,0.0354
2026-04-07,87.31,88.61,89.98,86.5,32118.0,星期二,-0.0078,0.0149
2026-04-03,91.82,88.0,92.19,87.21,50040.0,星期五,0.0,-0.0416
2026-04-02,95.8,91.82,95.85,91.0,63736.0,星期四,-0.0098,-0.0415
2026-04-01,92.43,96.75,97.71,91.75,94314.0,星期三,0.0122,0.0467
2026-03-31,92.7,91.32,94.5,90.86,62924.0,星期二,0.0086,-0.0149
2026-03-30,88.11,91.91,94.84,88.06,81693.0,星期一,0.0066,0.0431
2026-03-27,83.0,87.53,90.5,82.27,72130.0,星期五,-0.0166,0.0546
2026-03-26,87.19,84.4,87.4,83.81,41098.0,星期四,-0.0024,-0.032
2026-03-25,86.54,87.4,88.44,86.32,39308.0,星期三,-0.0049,0.0099
2026-03-24,87.34,86.97,87.66,84.26,43541.0,星期二,0.0189,-0.0042
2026-03-23,88.9,85.72,89.75,85.0,62585.0,星期一,-0.0147,-0.0358
2026-03-20,93.52,90.23,93.7,89.0,66417.0,星期五,-0.0115,-0.0352
2026-03-19,94.5,94.61,99.4,92.51,71183.0,星期四,-0.0084,0.0012
2026-03-18,94.19,95.3,95.35,92.51,46031.0,星期三,-0.0064,0.0118
2026-03-17,99.82,94.8,100.0,94.6,79978.0,星期二,-0.002,-0.0503
2026-03-16,103.0,100.02,105.01,98.36,81071.0,星期一,0.0036,-0.0289
2026-03-13,102.03,102.63,106.8,101.85,101960.0,星期五,0.0001,0.0059
2026-03-12,102.63,102.02,105.5,101.4,52782.0,星期四,0.0047,-0.0059
2026-03-11,102.05,102.15,105.6,101.72,61782.0,星期三,-0.0073,0.001
2026-03-10,102.05,102.8,103.34,100.61,64077.0,星期二,-0.0054,0.0073
2026-03-09,98.0,102.6,105.88,97.91,144204.0,星期一,0.0198,0.0469
2026-03-06,93.0,96.1,97.13,92.33,53485.0,星期五,-0.0077,0.0333
2026-03-05,97.0,93.72,98.05,93.02,74144.0,星期四,-0.0091,-0.0338
2026-03-04,97.1,97.89,102.0,95.68,65211.0,星期三,-0.0037,0.0081
2026-03-03,100.06,97.46,100.58,96.91,47405.0,星期二,-0.0023,-0.026
2026-03-02,99.14,100.29,104.0,97.62,57736.0,星期一,-0.02,0.0116
2026-02-27,98.93,101.16,104.89,98.0,70648.0,星期五,0.0,0.0225
2026-02-26,103.99,98.93,104.1,98.0,57881.0,星期四,0.0219,-0.0487
2026-02-25,100.16,101.76,103.59,100.11,45945.0,星期三,0.0017,0.016
2026-02-24,103.44,99.99,104.0,98.32,56747.0,星期二,0.0083,-0.0334
2026-02-13,98.58,102.59,104.79,97.97,109952.0,星期五,0.0193,0.0407
2026-02-12,98.8,96.71,98.96,95.58,44833.0,星期四,-0.0086,-0.0212
2026-02-11,100.3,99.66,104.97,98.5,59028.0,星期三,0.0203,-0.0064
2026-02-10,106.95,98.3,107.2,97.59,100235.0,星期二,-0.002,-0.0809
2026-02-09,103.58,107.16,110.88,103.46,98940.0,星期一,0.016,0.0346
2026-02-06,101.57,101.95,103.48,99.9,49496.0,星期五,0.0,0.0037
