time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,24.3,24.27,24.5,23.64,41358.0,星期五,-0.0045,-0.0012
2026-06-25,25.72,24.41,25.77,24.41,46191.0,星期四,-0.0089,-0.0509
2026-06-24,26.2,25.95,26.8,25.6,30306.0,星期三,-0.003,-0.0095
2026-06-23,26.09,26.28,26.8,25.9,34917.0,星期二,-0.0004,0.0073
2026-06-22,26.49,26.1,26.49,25.39,31059.0,星期一,-0.0004,-0.0147
2026-06-18,25.2,26.5,26.73,25.11,38368.0,星期四,-0.0087,0.0516
2026-06-17,25.96,25.42,26.19,24.93,27334.0,星期三,-0.0027,-0.0208
2026-06-16,25.7,26.03,26.04,25.18,19775.0,星期二,-0.005,0.0128
2026-06-15,25.8,25.83,26.23,25.67,22923.0,星期一,0.0055,0.0012
2026-06-12,26.12,25.66,26.3,25.56,25693.0,星期五,0.0046,-0.0176
2026-06-11,25.75,26.0,26.25,24.92,36883.0,星期四,-0.0108,0.0097
2026-06-10,25.38,26.03,26.3,25.09,26659.0,星期三,0.0012,0.0256
2026-06-09,25.25,25.35,25.89,24.8,19893.0,星期二,0.0076,0.004
2026-06-08,26.0,25.06,26.14,24.62,26732.0,星期一,-0.0065,-0.0362
2026-06-05,26.05,26.17,26.66,25.66,22494.0,星期五,-0.0031,0.0046
2026-06-04,25.99,26.13,26.23,25.78,22165.0,星期四,0.0012,0.0054
2026-06-03,25.94,25.96,26.07,25.48,20994.0,星期三,0.0,0.0008
2026-06-02,26.16,25.94,26.23,25.81,19620.0,星期二,-0.0046,-0.0084
2026-06-01,24.5,26.28,26.6,24.45,35079.0,星期一,-0.0037,0.0727
2026-05-29,24.9,24.59,25.19,24.4,20455.0,星期五,-0.0044,-0.0124
2026-05-28,25.5,25.01,25.63,24.73,24750.0,星期四,0.0,-0.0192
2026-05-27,25.52,25.5,25.7,25.14,18708.0,星期三,0.0047,-0.0008
2026-05-26,25.65,25.4,26.36,25.16,28825.0,星期二,-0.0054,-0.0097
2026-05-25,25.67,25.79,25.85,24.92,22051.0,星期一,-0.0004,0.0047
2026-05-22,25.86,25.68,26.09,25.41,18348.0,星期五,0.0023,-0.007
2026-05-21,26.1,25.8,26.53,25.8,26772.0,星期四,-0.0065,-0.0115
2026-05-20,26.5,26.27,26.77,25.96,22378.0,星期三,-0.0108,-0.0087
2026-05-19,26.32,26.79,27.1,26.12,36015.0,星期二,0.0241,0.0179
2026-05-18,26.2,25.7,26.34,25.62,25490.0,星期一,-0.0011,-0.0191
2026-05-15,26.0,26.23,27.38,25.87,59953.0,星期五,0.0054,0.0088
2026-05-14,26.08,25.86,26.23,25.59,20044.0,星期四,-0.0004,-0.0084
2026-05-13,25.75,26.09,26.2,25.67,22781.0,星期三,0.0004,0.0132
2026-05-12,26.02,25.74,26.25,25.71,18326.0,星期二,0.0008,-0.0108
2026-05-11,25.8,26.0,26.28,25.57,24458.0,星期一,0.0008,0.0078
2026-05-08,25.0,25.78,26.06,25.0,32039.0,星期五,-0.0016,0.0312
2026-05-07,24.9,25.04,25.25,24.82,16083.0,星期四,-0.0016,0.0056
2026-05-06,25.06,24.94,25.3,24.87,21309.0,星期三,0.0008,-0.0048
2026-04-30,24.26,25.04,25.43,24.26,27804.0,星期四,-0.0037,0.0322
2026-04-29,24.28,24.35,24.7,24.1,18112.0,星期三,0.0004,0.0029
2026-04-28,24.9,24.27,24.91,24.21,20470.0,星期二,-0.0052,-0.0253
2026-04-27,24.15,25.03,25.32,23.93,44924.0,星期一,0.0263,0.0364
