time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,16.58,16.04,16.58,16.04,32055.0,星期五,0.0,-0.0326
2026-06-25,17.0,16.58,17.23,16.54,43059.0,星期四,-0.007,-0.0247
2026-06-24,17.57,17.12,17.57,17.03,36390.0,星期三,0.0,-0.0256
2026-06-23,17.9,17.57,17.9,17.3,33995.0,星期二,0.0124,-0.0184
2026-06-22,18.29,17.68,18.34,17.42,58027.0,星期一,-0.0033,-0.0334
2026-06-18,19.3,18.35,19.3,18.11,49158.0,星期四,0.0052,-0.0492
2026-06-17,20.0,19.2,20.0,19.11,34476.0,星期三,-0.0055,-0.04
2026-06-16,19.89,20.11,20.25,19.73,16569.0,星期二,-0.006,0.0111
2026-06-15,20.12,20.01,20.51,19.57,25716.0,星期一,0.0,-0.0055
2026-06-12,20.29,20.12,20.3,19.7,18848.0,星期五,0.0201,-0.0084
2026-06-11,20.91,19.89,21.15,19.79,26614.0,星期四,-0.0274,-0.0488
2026-06-10,19.83,21.5,21.65,18.82,59558.0,星期三,-0.0005,0.0842
2026-06-09,19.95,19.84,20.08,19.65,10424.0,星期二,0.0,-0.0055
2026-06-08,20.59,19.95,20.59,19.62,27786.0,星期一,-0.0096,-0.0311
2026-06-05,20.89,20.79,20.97,20.11,26535.0,星期五,0.0,-0.0048
2026-06-04,21.62,20.89,21.95,20.49,36220.0,星期四,-0.015,-0.0338
2026-06-03,21.38,21.95,22.15,21.03,32148.0,星期三,-0.0005,0.0267
2026-06-02,20.73,21.39,22.18,20.26,39142.0,星期二,0.0053,0.0318
2026-06-01,20.51,20.62,20.9,20.42,18256.0,星期一,-0.0125,0.0054
2026-05-29,21.74,20.77,21.74,20.61,29510.0,星期五,0.0107,-0.0446
2026-05-28,22.48,21.51,22.54,21.15,41871.0,星期四,0.0045,-0.0431
2026-05-27,23.0,22.38,23.19,22.25,26984.0,星期三,-0.0004,-0.027
2026-05-26,22.76,23.01,23.05,22.46,30066.0,星期二,0.0004,0.011
