time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,5.9,5.75,5.97,5.7,58777.0,星期五,-0.0084,-0.0254
2026-06-25,6.01,5.95,6.03,5.8,61147.0,星期四,-0.0017,-0.01
2026-06-24,6.32,6.02,6.36,5.97,70986.0,星期三,0.008,-0.0475
2026-06-23,6.12,6.27,6.43,6.12,76289.0,星期二,-0.0129,0.0245
2026-06-22,6.06,6.2,6.21,5.81,64901.0,星期一,-0.0098,0.0231
2026-06-18,6.09,6.12,6.18,6.02,51247.0,星期四,0.0,0.0049
2026-06-17,6.22,6.09,6.28,6.04,68984.0,星期三,-0.0096,-0.0209
2026-06-16,6.2,6.28,6.32,6.11,58028.0,星期二,0.0,0.0129
2026-06-15,6.39,6.2,6.5,6.16,70969.0,星期一,0.0,-0.0297
2026-06-12,6.25,6.39,6.39,6.16,57191.0,星期五,0.0097,0.0224
2026-06-11,6.16,6.19,6.25,6.05,58867.0,星期四,-0.0096,0.0049
2026-06-10,6.3,6.22,6.35,6.11,50100.0,星期三,-0.011,-0.0127
2026-06-09,6.33,6.37,6.43,6.23,53311.0,星期二,0.0128,0.0063
2026-06-08,6.41,6.25,6.49,6.14,59092.0,星期一,-0.0077,-0.025
2026-06-05,6.46,6.46,6.55,6.31,58497.0,星期五,0.0047,0.0
2026-06-04,6.51,6.43,6.58,6.37,45335.0,星期四,-0.0091,-0.0123
2026-06-03,6.69,6.57,6.69,6.51,49195.0,星期三,-0.0045,-0.0179
2026-06-02,6.9,6.72,6.92,6.66,51291.0,星期二,0.0,-0.0261
2026-06-01,6.71,6.9,6.97,6.64,58066.0,星期一,0.0015,0.0283
2026-05-29,6.89,6.7,6.93,6.65,43035.0,星期五,0.0,-0.0276
2026-05-28,6.88,6.89,6.97,6.71,46007.0,星期四,-0.0043,0.0015
2026-05-27,7.04,6.91,7.07,6.79,56169.0,星期三,-0.0042,-0.0185
2026-05-26,7.22,7.07,7.23,6.96,46197.0,星期二,0.0042,-0.0208
2026-05-25,7.28,7.19,7.42,7.11,54404.0,星期一,0.0069,-0.0124
2026-05-22,7.2,7.23,7.29,7.0,49486.0,星期五,0.0141,0.0042
2026-05-21,7.37,7.1,7.51,7.08,53839.0,星期四,0.0027,-0.0366
2026-05-20,7.52,7.35,7.52,7.3,46672.0,星期三,0.0013,-0.0226
2026-05-19,7.51,7.51,7.59,7.4,44978.0,星期二,0.0,0.0
2026-05-18,7.49,7.51,7.54,7.33,46890.0,星期一,0.0054,0.0027
2026-05-15,7.53,7.45,7.6,7.41,47451.0,星期五,-0.0013,-0.0106
2026-05-14,7.78,7.54,7.78,7.53,51834.0,星期四,0.0117,-0.0308
2026-05-13,7.72,7.69,7.75,7.63,46682.0,星期三,0.0,-0.0039
2026-05-12,8.0,7.72,8.0,7.71,90615.0,星期二,-0.0062,-0.035
2026-05-11,7.97,8.05,8.05,7.77,75055.0,星期一,0.0101,0.01
2026-05-08,7.82,7.89,7.95,7.79,53123.0,星期五,0.0,0.009
2026-05-07,7.73,7.82,7.86,7.73,57378.0,星期四,-0.0051,0.0116
2026-05-06,7.93,7.77,7.99,7.71,75095.0,星期三,0.0051,-0.0202
2026-04-30,7.88,7.89,7.96,7.77,57073.0,星期四,-0.0013,0.0013
2026-04-29,7.71,7.89,7.92,7.63,58572.0,星期三,-0.0039,0.0233
2026-04-28,7.9,7.74,8.04,7.63,113974.0,星期二,0.0,-0.0203
2026-04-27,8.09,7.9,8.09,7.4,159161.0,星期一,-0.0253,-0.0235
2026-04-24,8.15,8.3,8.35,8.1,56005.0,星期五,-0.0012,0.0184
2026-04-23,8.29,8.16,8.32,8.1,56347.0,星期四,0.0,-0.0157
2026-04-22,8.32,8.29,8.34,8.22,39077.0,星期三,-0.0036,-0.0036
2026-04-21,8.4,8.35,8.46,8.26,46521.0,星期二,0.0012,-0.006
2026-04-20,8.39,8.39,8.44,8.3,45556.0,星期一,0.0012,0.0
2026-04-17,8.53,8.38,8.55,8.32,57269.0,星期五,-0.0012,-0.0176
2026-04-16,8.47,8.54,8.55,8.35,68487.0,星期四,0.0036,0.0083
2026-04-15,8.51,8.44,8.59,8.36,68003.0,星期三,0.0047,-0.0082
2026-04-14,8.73,8.47,8.77,8.29,128663.0,星期二,0.0046,-0.0298
2026-04-13,8.34,8.69,8.98,8.1,170655.0,星期一,-0.0036,0.042
2026-04-10,8.26,8.37,8.5,8.26,47945.0,星期五,0.0,0.0133
2026-04-09,8.49,8.26,8.54,8.21,51606.0,星期四,-0.0047,-0.0271
2026-04-08,8.46,8.53,8.58,8.42,51278.0,星期三,0.0168,0.0083
2026-04-07,8.07,8.32,8.4,7.97,63292.0,星期二,0.0037,0.031
2026-04-03,8.39,8.04,8.44,8.04,59142.0,星期五,-0.0024,-0.0417
