time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,22.38,21.95,22.4,21.68,12053.0,星期五,-0.0071,-0.0192
2026-06-25,23.04,22.54,23.3,22.29,12855.0,星期四,-0.0052,-0.0217
2026-06-24,23.72,23.16,24.32,22.91,15491.0,星期三,-0.019,-0.0236
2026-06-23,23.67,24.18,24.68,23.67,12522.0,星期二,-0.0125,0.0215
2026-06-22,23.32,23.97,24.03,22.6,14540.0,星期一,-0.0152,0.0279
2026-06-18,23.81,23.68,24.11,23.24,10830.0,星期四,0.0013,-0.0055
2026-06-17,24.44,23.78,24.5,23.61,11461.0,星期三,0.0,-0.027
2026-06-16,24.67,24.44,24.73,23.8,11291.0,星期二,-0.0012,-0.0093
2026-06-15,24.88,24.7,25.58,24.6,13106.0,星期一,0.0085,-0.0072
2026-06-12,24.3,24.67,25.12,24.08,11912.0,星期五,0.0033,0.0152
2026-06-11,24.6,24.22,24.8,23.75,11459.0,星期四,-0.0097,-0.0154
2026-06-10,25.22,24.84,25.46,24.04,15743.0,星期三,-0.0102,-0.0151
2026-06-09,25.1,25.48,26.02,24.31,18043.0,星期二,0.0084,0.0151
2026-06-08,25.37,24.89,26.16,24.31,14501.0,星期一,-0.0227,-0.0189
2026-06-05,25.38,25.96,26.36,24.89,19043.0,星期五,0.0083,0.0229
2026-06-04,25.86,25.17,26.08,25.03,15615.0,星期四,0.0,-0.0267
2026-06-03,26.79,25.86,26.8,25.52,17685.0,星期三,-0.0004,-0.0347
2026-06-02,28.05,26.8,28.35,26.56,15890.0,星期二,0.0047,-0.0446
2026-06-01,26.62,27.92,28.39,26.03,20624.0,星期一,-0.0004,0.0488
2026-05-29,26.87,26.63,27.6,26.37,17953.0,星期五,-0.003,-0.0089
2026-05-28,27.09,26.95,27.29,26.12,15134.0,星期四,-0.0029,-0.0052
2026-05-27,27.96,27.17,28.1,26.44,15180.0,星期三,0.0076,-0.0283
2026-05-26,28.11,27.75,28.55,27.35,16272.0,星期二,-0.0085,-0.0128
2026-05-25,29.29,28.35,29.66,28.13,19690.0,星期一,0.0145,-0.0321
2026-05-22,28.87,28.87,29.19,28.1,15246.0,星期五,0.0098,0.0
2026-05-21,29.99,28.59,30.3,28.31,16009.0,星期四,0.0,-0.0467
2026-05-20,30.54,29.99,30.55,29.77,12151.0,星期三,-0.0091,-0.018
2026-05-19,30.69,30.82,31.27,30.28,13695.0,星期二,-0.0013,0.0042
2026-05-18,30.15,30.73,30.77,30.0,11481.0,星期一,-0.003,0.0192
2026-05-15,30.34,30.24,30.88,30.14,14157.0,星期五,0.0,-0.0033
2026-05-14,30.67,30.34,30.87,30.11,11245.0,星期四,-0.0003,-0.0108
2026-05-13,30.39,30.68,30.85,30.23,12672.0,星期三,0.0,0.0095
2026-05-12,31.26,30.39,31.38,30.23,15537.0,星期二,0.0003,-0.0278
2026-05-11,31.2,31.25,31.39,30.85,17073.0,星期一,0.0,0.0016
2026-05-08,31.09,31.2,31.5,30.9,16746.0,星期五,-0.0019,0.0035
2026-05-07,30.45,31.15,31.29,30.39,20667.0,星期四,0.0,0.023
2026-05-06,30.75,30.45,30.99,30.35,19906.0,星期三,0.0118,-0.0098
2026-04-30,29.83,30.39,30.49,29.83,15629.0,星期四,0.0013,0.0188
2026-04-29,29.27,29.79,30.1,29.0,21088.0,星期三,-0.0051,0.0178
2026-04-28,29.0,29.42,29.93,28.86,21135.0,星期二,-0.0099,0.0145
2026-04-27,28.39,29.29,29.48,28.21,14729.0,星期一,-0.0021,0.0317
2026-04-24,28.29,28.45,28.69,27.95,14281.0,星期五,-0.0067,0.0057
2026-04-23,28.7,28.48,28.79,28.24,9605.0,星期四,-0.0038,-0.0077
2026-04-22,28.95,28.81,28.98,28.26,10523.0,星期三,0.0,-0.0048
